date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600409,7.4900,7.55,7.39,7.5,21643689,161715095.0000,3,2.304638,1,0.133500,-96.727313,2.856417,2.097274,-5.631417,0,7.275999999999998,7.093000000000001,7.225500000000006,1,1,1,1,1,91.08195127878015,86.88362391916247,99.47860599801552,1,-0.3585954207593973,-0.5422354816658037,0.1836400609064064
2010-02-26,sh.600409,7.4900,7.57,7.41,7.5,12147120,91030806.0000,3,1.293436,1,0.000000,-96.727313,2.856417,2.097274,-5.631417,0,7.345999999999998,7.169000000000001,7.207500000000005,1,1,1,1,1,90.87650700553927,89.19148658077034,94.2465478550771,1,-0.31186955010488315,-0.4961622953536196,0.18429274524873646
2010-03-01,sh.600409,7.5100,7.72,7.51,7.57,12511074,95305218.0000,3,1.332190,1,0.933300,-97.630101,2.883077,2.116849,-5.683977,0,7.4499999999999975,7.245000000000002,7.192000000000005,1,1,1,1,1,88.4843359290623,90.14759807112723,85.15781164493242,-1,-0.26612284745413994,-0.4501544057737237,0.18403155831958373
2010-03-02,sh.600409,7.5900,7.68,7.39,7.48,13469301,100831131.0000,3,1.434223,1,-1.188900,-96.469373,2.848800,2.091681,-5.616400,0,7.507999999999997,7.296000000000002,7.1955000000000044,-1,1,1,1,1,82.36295539666331,87.24126611042163,72.60633396914665,-1,-0.2344281619305768,-0.4070091570050943,0.17258099507451752
2010-03-03,sh.600409,7.4800,7.71,7.35,7.7,23573351,177613679.0000,3,2.510110,1,2.941200,-99.306708,2.932588,2.153201,-5.781588,0,7.549999999999997,7.366000000000002,7.216000000000004,1,1,1,1,1,84.64419475655437,85.16382869409334,83.60492688147642,-1,-0.1893747398032195,-0.36348227356471935,0.17410753376149984
2010-03-04,sh.600409,7.7400,7.96,7.35,7.44,22811965,174975229.0000,3,2.429037,1,-3.376600,-95.953494,2.833566,2.080496,-5.586365,0,7.537999999999997,7.407000000000002,7.221500000000003,-1,1,1,1,1,74.92293924629617,80.64336313317129,63.48209147254593,-1,-0.1726590986515495,-0.3253176385820854,0.1526585399305359
2010-03-05,sh.600409,7.4000,7.53,7.31,7.42,10266931,76281004.0000,3,1.093232,1,-0.268800,-95.695555,2.825949,2.074903,-5.571348,0,7.521999999999997,7.434000000000002,7.220500000000003,-1,-1,1,1,1,67.98249975141694,75.84987791808915,52.24774341807253,-1,-0.15919061514352872,-0.29209223389437405,0.13290161875084533
2010-03-08,sh.600409,7.4300,7.62,7.39,7.52,14091699,105572337.0000,3,1.500496,1,1.347700,-96.985252,2.864034,2.102867,-5.646434,0,7.511999999999998,7.481000000000002,7.2390000000000025,1,1,1,1,1,52.43526712553261,65.11356870774857,27.078663961100688,-1,-0.13884703843332957,-0.26144319480216516,0.12259615636883558
2010-03-09,sh.600409,7.5300,7.72,7.47,7.7,28538894,218233966.0000,3,3.038846,1,2.393600,187.991725,2.722855,2.015665,41.685693,0,7.555999999999997,7.532000000000002,7.2745000000000015,1,1,1,1,1,54.44116683054737,58.2863112358323,46.750878019977506,-1,-0.10696706194034356,-0.23054796822980084,0.12358090628945728
2010-03-10,sh.600409,7.7000,7.88,7.61,7.74,23983789,185700169.0000,3,2.553814,1,0.519500,188.968306,2.736999,2.026136,41.902243,0,7.563999999999997,7.557000000000002,7.306000000000002,1,1,1,1,1,59.08831908831912,55.32158434813303,66.6217885686913,1,-0.07757999133255833,-0.19995437285035234,0.122374381517794
