date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600420,15.9500,16.39,15.83,16.08,3298358,53268391.0000,3,1.146324,1,0.815000,70.167522,7.890953,4.287027,152.362019,0,15.548000000000002,15.177999999999997,15.169499999999996,1,1,1,1,1,84.04919829152566,70.97939892075009,110.18879703307678,1,0.02394193170114356,-0.1573607521158501,0.18130268381699366
2010-02-26,sh.600420,15.9400,16.21,15.9,16.02,2094409,33652962.0000,3,0.727899,1,-0.373100,69.905703,7.861509,4.271030,151.793504,0,15.716000000000003,15.261,15.210499999999996,1,1,1,1,1,86.58779827258086,80.89489309118464,97.97360863537327,1,0.07660944652388224,-0.11056671238790364,0.18717615891178588
2010-03-01,sh.600420,16.0300,16.25,15.89,16.19,5391829,86479421.0000,3,1.873897,1,1.061200,52.310903,7.569102,4.001262,400.757749,0,15.940000000000003,15.379,15.244999999999996,1,1,1,1,1,85.595688051196,85.4108948717675,85.96527441005301,1,0.1305613803989747,-0.062341093830527966,0.19290247422950266
2010-03-02,sh.600420,16.2400,16.34,16.1,16.27,4657175,75625339.0000,3,1.618573,1,0.494100,52.569388,7.606504,4.021033,402.738022,0,16.102,15.562000000000001,15.329499999999996,1,1,1,1,1,88.28878594669271,86.82409075682318,91.21817632643177,1,0.17772530146465648,-0.014327814771491074,0.19205311623614757
2010-03-03,sh.600420,16.3000,16.3,15.86,16.0,4905424,78775648.0000,3,1.704850,1,-1.659500,51.697001,7.480274,3.954304,396.054601,0,16.112000000000002,15.696000000000002,15.407499999999995,-1,1,1,1,1,86.3200887234886,86.73485424045909,85.49055768954761,-1,0.19111327037406944,0.026760402257621038,0.1643528681164484
2010-03-04,sh.600420,15.8900,16.05,15.52,15.58,3300506,52147942.0000,3,1.147071,1,-2.625000,50.339955,7.283917,3.850504,385.658167,0,16.012,15.780000000000001,15.464499999999996,-1,-1,1,1,1,71.02432015699463,81.87773160905863,49.317497252866644,-1,0.16592021729313622,0.05459236526472407,0.11132785202841214
2010-03-05,sh.600420,15.5800,15.75,15.3,15.39,2129891,32986698.0000,3,0.740231,1,-1.219500,49.726053,7.195089,3.803546,380.955019,0,15.886000000000001,15.800999999999998,15.470499999999996,-1,-1,-1,1,1,50.175022583559176,69.17314382134745,12.178780107982618,-1,0.12913454644860778,0.06950080150150081,0.059633744947106965
2010-03-08,sh.600420,15.5200,15.61,15.37,15.48,3016876,46659257.0000,3,1.048497,1,0.584800,50.016849,7.237165,3.825789,383.182826,0,15.744000000000003,15.841999999999999,15.454499999999996,-1,-1,1,-1,1,30.273105674481826,50.490816138345195,-10.162315253244913,-1,0.10602173257954917,0.07680498771711049,0.02921674486243868
2010-03-09,sh.600420,15.5600,15.67,15.35,15.6,2573487,39988446.0000,3,0.894400,1,0.775200,50.404576,7.293267,3.855447,386.153236,0,15.610000000000003,15.855999999999998,15.464499999999997,-1,-1,1,-1,1,24.864084267753963,35.10407084193164,4.384111119398611,-1,0.09627782732510681,0.08069955563870976,0.015578271686397055
2010-03-10,sh.600420,15.5300,15.63,15.2,15.3,1542999,23758676.0000,3,0.536260,1,-1.923100,49.435258,7.153012,3.781303,378.727212,0,15.470000000000002,15.791,15.464999999999998,-1,-1,-1,-1,1,17.602875690755933,24.246688544330556,4.315249983606684,-1,0.06361490637276468,0.07728262578552074,-0.01366771941275606
2010-03-11,sh.600420,15.2500,15.32,15.01,15.14,1853234,28043831.0000,3,0.644080,1,-1.045800,48.918288,7.078209,3.741760,374.766666,0,15.382000000000001,15.696999999999997,15.437499999999996,-1,-1,-1,-1,-1,15.356433898201177,19.274464618903675,7.520372456796181,-1,0.02453580982750836,0.06673326259391826,-0.042197452766409904
2010-03-12,sh.600420,15.1800,15.3,15.05,15.06,1328463,20088417.0000,3,0.461699,1,-0.528400,48.659803,7.040808,3.721989,372.786393,0,15.316000000000003,15.600999999999996,15.430999999999997,-1,-1,-1,-1,-1,7.435254803675922,13.464854797544326,-4.6239451840608865,-1,-0.012743092705983727,0.050837991533937865,-0.06358108423992159
2010-03-15,sh.600420,15.0600,15.29,14.58,14.59,3079600,45669525.0000,3,1.070296,1,-3.120800,47.141203,6.821075,3.605831,361.152289,0,15.138000000000002,15.440999999999997,15.409999999999997,-1,-1,-1,-1,-1,4.705076645101147,9.16558844899273,-4.215946962682022,-1,-0.07929786713870968,0.024810819799408357,-0.10410868693811803
2010-03-16,sh.600420,14.5900,14.8,14.56,14.7,4023874,58978984.0000,3,1.398473,1,0.753900,47.496620,6.872502,3.633017,363.875164,0,14.958000000000002,15.283999999999995,15.422999999999996,-1,-1,-1,-1,-1,4.578922333146717,5.573084593974578,2.590597811490994,-1,-0.12176331300892151,-0.0045040067622576195,-0.11725930624666389
2010-03-17,sh.600420,14.8500,15.88,14.85,15.52,5975231,92251508.0000,3,2.076655,1,5.578200,50.146091,7.255866,3.835675,384.172963,0,15.002,15.235999999999995,15.465999999999994,1,1,1,-1,-1,27.568213743490713,12.284070907246175,58.136499415979785,1,-0.08823323996696253,-0.021249853403198602,-0.06698338656376393
2010-03-18,sh.600420,15.4800,15.56,15.3,15.48,3083857,47602781.0000,3,1.071776,1,-0.257700,50.016849,7.237165,3.825789,383.182826,0,15.070000000000002,15.225999999999994,15.502999999999995,1,1,-1,-1,-1,50.606738526201546,27.584624867612973,96.65096584337869,1,-0.06414861590312704,-0.02982960590318429,-0.03431900999994275
2010-03-19,sh.600420,15.4800,15.58,15.17,15.51,2754964,42340456.0000,3,0.957471,1,0.193800,50.113781,7.251191,3.833204,383.925428,0,15.160000000000002,15.237999999999994,15.519499999999994,1,1,-1,-1,-1,71.4646464646464,49.87986624477954,114.63420690438012,1,-0.04215469544396022,-0.032294623811339476,-0.009860071632620745
2010-03-22,sh.600420,15.5000,15.78,15.36,15.38,3113066,48314394.0000,3,1.081927,1,-0.838200,49.693743,7.190414,3.801075,380.707485,0,15.318000000000001,15.227999999999994,15.534999999999993,1,1,-1,1,-1,67.9292929292929,63.333559306713596,77.1207601744515,1,-0.0348129663612049,-0.03279829232131256,-0.0020146740398923405
2010-03-23,sh.600420,15.3800,15.38,15.38,15.38,0,0.0000,3,,0,0.000000,49.693743,7.190414,3.801075,380.707485,0,15.453999999999999,15.205999999999994,15.530999999999995,-1,1,-1,1,-1,65.40404040404037,68.2659932659932,59.68013468013473,-1,-0.028664170454646865,-0.03197146794797942,0.003307297493332556
2010-03-24,sh.600420,15.4700,15.6,15.04,15.11,3708104,56200259.0000,3,1.288729,1,-1.755500,48.821356,7.064184,3.734346,374.024063,0,15.372,15.186999999999994,15.488999999999995,-1,-1,-1,1,-1,55.303030303030276,62.878787878787826,40.15151515151517,-1,-0.045058542089625675,-0.03458888277630867,-0.010469659313317004
2010-03-25,sh.600420,15.1200,15.26,14.83,15.1,2507924,37636469.0000,3,0.871614,1,-0.066200,48.789045,7.059509,3.731875,373.776529,0,15.295999999999998,15.182999999999996,15.439999999999998,-1,-1,-1,1,-1,48.232323232323175,56.31313131313126,32.070707070707,-1,-0.05818736838951466,-0.03930857989894987,-0.01887878849056479
2010-03-26,sh.600420,15.0900,15.52,14.95,15.39,3243685,49667934.0000,3,1.127323,1,1.920500,49.726053,7.195089,3.803546,380.955019,0,15.271999999999997,15.215999999999998,15.408499999999998,1,1,-1,1,-1,48.48484848484842,50.67340067340061,44.107744107744054,-1,-0.044676478813764575,-0.04038215968191281,-0.0042943191318517634
2010-03-29,sh.600420,15.4000,15.84,15.4,15.59,5496829,85845256.0000,3,1.910390,1,1.299500,50.372266,7.288592,3.852975,385.905701,0,15.313999999999997,15.315999999999997,15.378499999999997,1,1,1,-1,-1,58.72294372294366,51.81337181337173,72.54208754208753,1,-0.017627474401837873,-0.03583122262589782,0.01820374822405995
2010-03-30,sh.600420,15.5900,15.88,15.5,15.75,4118208,64533416.0000,3,1.431258,1,1.026300,50.889236,7.363395,3.892518,389.866247,0,15.387999999999995,15.420999999999998,15.352499999999997,1,1,1,-1,1,74.29292929292923,60.50024050024041,101.87830687830689,1,0.016529181184736785,-0.0253591418637709,0.04188832304850769
2010-03-31,sh.600420,15.8000,15.98,15.68,15.93,4563003,72250725.0000,3,1.585844,1,1.142900,51.470827,7.447548,3.937004,394.321862,0,15.551999999999992,15.461999999999998,15.348999999999998,1,1,1,1,1,85.21739130434776,72.74442144007352,110.16333103289622,1,0.05746070130316561,-0.008795173230383597,0.0662558745335492
2010-04-01,sh.600420,16.0100,16.1,15.8,16.0,4975429,79504209.0000,3,1.729180,1,0.439400,51.697001,7.480274,3.954304,396.054601,0,15.731999999999994,15.514,15.37,1,1,1,1,1,91.79906859468646,83.76979639732112,107.85761298941716,1,0.09445877887397991,0.011855617190489103,0.0826031616834908
