date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600456,21.8600,22.38,21.7,22.28,5945157,131611585.0000,3,2.837394,1,2.061400,583.600818,2.569687,4.140198,-80.077685,0,21.868000000000006,21.675999999999995,21.994000000000007,1,1,1,1,-1,65.33950915114671,62.62815358058049,70.76222029227915,1,-0.7770658878053993,-1.057054493344686,0.2799886055392866
2010-02-26,sh.600456,22.2600,22.57,21.99,22.4,5333884,118943391.0000,3,2.545657,1,0.538600,586.744090,2.583528,4.162497,-80.508983,0,21.962000000000007,21.871999999999993,21.921000000000003,1,1,1,1,1,77.53054324113121,67.81698841844947,96.95765288649469,1,-0.6841224441564009,-0.982468083507029,0.2983456393506281
2010-03-01,sh.600456,22.8000,22.97,22.5,22.53,6606608,149758138.0000,3,3.153080,1,0.580400,590.149301,2.598521,4.186655,-80.976222,0,22.090000000000007,22.039999999999996,21.856000000000005,1,1,1,1,1,81.71363882820283,74.8612304068269,95.4184556709547,1,-0.5931368692843186,-0.904601840662487,0.3114649713781683
2010-03-02,sh.600456,22.5800,22.7,22.1,22.2,4904678,109567540.0000,3,2.340814,1,-1.464700,581.505303,2.560460,4.125332,-79.790153,0,22.248000000000008,22.056999999999995,21.840500000000006,-1,1,1,1,1,74.8356257926056,78.02660262064653,68.45367213652375,-1,-0.5414172665294501,-0.8319649258358796,0.29054765930642945
2010-03-03,sh.600456,22.3000,22.79,22.2,22.73,6509334,146978720.0000,3,3.106654,1,2.387400,595.388087,2.621589,4.223820,-81.695053,0,22.428000000000008,22.121999999999993,21.85750000000001,1,1,1,1,1,75.95356550580438,77.50094337553757,72.858809766338,-1,-0.45244701062145154,-0.756061342792994,0.30361433217154243
2010-03-04,sh.600456,22.8600,22.89,21.6,21.69,5859077,130665778.0000,3,2.796312,1,-4.575500,568.146398,2.501639,4.030561,-77.957135,0,22.31000000000001,22.08899999999999,21.81950000000001,-1,-1,-1,1,1,62.0232172470979,70.93746951516927,44.194712710955145,-1,-0.46054784134172166,-0.6969586425027395,0.23641080116101787
2010-03-05,sh.600456,21.7500,21.96,21.5,21.54,4834192,104661632.0000,3,2.307174,1,-0.691600,564.217308,2.484339,4.002687,-77.418013,0,22.138000000000005,22.04999999999999,21.803500000000007,-1,-1,-1,1,1,51.077943615257084,63.018242122719755,27.19734660033174,-1,-0.47361204955456415,-0.6522893239131045,0.1786772743585403
2010-03-08,sh.600456,21.6500,21.68,21.32,21.63,4198115,90360420.0000,3,2.003599,1,0.417800,566.574762,2.494719,4.019412,-77.741486,0,21.958000000000006,22.02399999999999,21.820000000000007,-1,-1,-1,-1,1,32.83582089552238,48.64566058595909,1.2161415146489674,-1,-0.4712707648261123,-0.616085612095706,0.1448148472695937
2010-03-09,sh.600456,21.6100,21.8,21.17,21.66,4276316,91865871.0000,3,2.040921,1,0.138700,567.360580,2.498179,4.024986,-77.849311,0,21.85,22.04899999999999,21.832000000000008,-1,-1,-1,-1,1,29.803758982863418,37.905841164547596,13.599594619495065,-1,-0.46167265553942016,-0.5852030207844489,0.1235303652450287
2010-03-10,sh.600456,21.5900,21.97,21.42,21.87,4636726,100654891.0000,3,2.212931,1,0.969500,572.861305,2.522400,4.064010,-78.604083,0,21.678000000000004,22.05299999999999,21.827500000000008,1,-1,1,-1,-1,33.14814814814813,31.92924267551128,35.58595909342184,1,-0.43213940575025234,-0.5545902977776096,0.12245089202735726
