date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600458,24.0100,24.6,23.89,24.5,4028520,98207683.0000,3,2.741468,1,1.491300,57.755513,10.005847,3.556016,123.585429,0,23.394000000000005,22.81499999999999,22.719500000000004,1,1,1,1,1,86.80572130232768,74.94474596609189,110.52767197479926,1,0.19052975465925215,-0.07728495566681086,0.267814710326063
2010-02-26,sh.600458,24.5000,24.5,23.78,23.81,2446431,58639856.0000,3,1.664833,1,-2.816300,56.128929,9.724050,3.455867,120.104860,0,23.570000000000004,23.019999999999992,22.788500000000006,1,1,1,1,1,80.91798018642486,80.15910781890761,82.43572492145933,1,0.233825677293936,-0.015062829074661485,0.2488885063685975
2010-03-01,sh.600458,23.6800,23.96,23.39,23.48,3326886,78578940.0000,3,2.263996,1,-1.386000,55.350997,9.589277,3.407969,118.440240,0,23.746000000000006,23.147999999999993,22.853500000000004,-1,1,1,1,1,71.44825068878637,79.72398405917964,54.896783947999836,-1,0.2387575177935446,0.03570124029897974,0.20305627749456484
2010-03-02,sh.600458,23.6000,24.15,23.52,24.13,3707548,88938859.0000,3,2.523042,1,2.768300,56.883287,9.854739,3.502313,121.719037,0,24.012000000000008,23.343999999999994,22.995500000000003,1,1,1,1,1,65.75976646769344,72.70866578096825,51.86196784114381,-1,0.29175246385114306,0.0869114850094124,0.20484097884173066
2010-03-03,sh.600458,24.4500,24.81,24.11,24.25,4639423,113287481.0000,3,3.157197,1,0.497300,57.166171,9.903747,3.519730,122.324353,0,24.034000000000006,23.527999999999995,23.098500000000005,1,1,1,1,1,69.17402818703994,68.79401511450659,69.93405433210663,1,0.3395205559036647,0.13743329918826286,0.20208725671540184
2010-03-04,sh.600458,24.2500,24.25,24.25,24.25,0,0.0000,3,,0,0.000000,57.166171,9.903747,3.519730,122.324353,0,23.984000000000005,23.688999999999993,23.156000000000002,1,1,1,1,1,77.41694263433396,70.7835790963558,90.6836697102903,1,0.37307651912539797,0.18456194317568989,0.18851457594970808
2010-03-05,sh.600458,23.5500,24.0,23.28,23.68,3694999,87763804.0000,3,2.514502,1,-2.350500,55.822471,9.670958,3.436998,119.449101,0,23.958000000000006,23.763999999999992,23.192500000000003,-1,-1,1,1,1,71.04247104247109,72.54448062128169,68.03845188484988,-1,0.3496451339672113,0.21757858133399416,0.13206655263321715
2010-03-08,sh.600458,23.6000,23.9,23.28,23.47,1687213,39866241.0000,3,1.148174,1,-0.886800,55.327424,9.585193,3.406518,118.389797,0,23.956000000000003,23.850999999999992,23.184500000000003,-1,-1,1,1,1,58.829388394605786,69.09626735713697,38.295630469543426,-1,0.31055051443908965,0.23617296795501325,0.0743775464840764
2010-03-09,sh.600458,23.4800,23.63,23.1,23.61,1282156,29866332.0000,3,0.872526,1,0.596500,55.657455,9.642370,3.426838,119.095999,0,23.852000000000004,23.931999999999995,23.190000000000005,-1,-1,1,-1,1,42.644782736315875,57.50554739113094,12.923253426685747,-1,0.2875498807411141,0.2464483505122334,0.04110153022888069
2010-03-10,sh.600458,23.6000,23.72,22.85,23.19,3164956,73237362.0000,3,2.153800,1,-1.778900,54.667361,9.470841,3.365878,116.977392,0,23.640000000000004,23.836999999999996,23.21,-1,-1,-1,-1,1,29.636876871267148,43.70368266739629,1.5032652790088576,-1,0.23274824601202937,0.2437083296121926,-0.010960083600163234
2010-03-11,sh.600458,23.0100,23.18,22.5,22.65,1598746,36364543.0000,3,1.087971,1,-2.328600,53.394382,9.250304,3.287500,114.253468,0,23.320000000000004,23.651999999999994,23.2335,-1,-1,-1,-1,1,17.888335557508444,30.05666505503051,-6.448323437535684,-1,0.14408316756603057,0.2237832972029602,-0.07970012963692963
2010-03-12,sh.600458,22.6600,23.0,22.37,22.96,1441584,32841126.0000,3,0.981020,1,1.368700,54.125166,9.376908,3.332495,115.817202,0,23.176000000000005,23.566999999999997,23.2935,-1,-1,-1,-1,-1,16.006924379289703,21.177378936021785,5.666015265825543,-1,0.09770359707339793,0.19856735717704774,-0.10086376010364981
2010-03-15,sh.600458,23.1700,23.49,22.5,22.7,3097240,71122482.0000,3,2.107718,1,-1.132400,53.512251,9.270724,3.294757,114.505683,0,23.022000000000006,23.488999999999997,23.3185,-1,-1,-1,-1,-1,14.732808175431087,16.209356037409766,11.779712451473728,-1,0.03951215469799152,0.1667563166812365,-0.12724416198324498
2010-03-16,sh.600458,22.7500,23.06,22.2,23.05,2031748,45762278.0000,3,1.382635,1,1.541900,54.337329,9.413665,3.345558,116.271190,0,22.910000000000004,23.380999999999997,23.3625,1,-1,-1,-1,-1,26.389444222311074,19.04305892567731,41.0822148155786,1,0.021390515746343652,0.13768315649425794,-0.11629264074791429
2010-03-17,sh.600458,23.1000,24.01,23.1,24.0,4386752,104413207.0000,3,2.985251,1,4.121500,56.576829,9.801646,3.483444,121.063278,0,23.072000000000006,23.355999999999998,23.442,1,1,1,-1,-1,51.47850620341179,30.866919533718004,92.70167954279935,1,0.08273235969310022,0.1266929971340264,-0.04396063744092618
2010-03-18,sh.600458,24.0000,24.1,23.7,23.87,2203102,52636260.0000,3,1.499244,1,-0.541700,56.270371,9.748554,3.464575,120.407518,0,23.31600000000001,23.317999999999998,23.5035,1,1,1,-1,-1,76.26855509613542,51.37883517395278,126.0479949405007,1,0.11947901965488228,0.12525020163819758,-0.005771181983315304
2010-03-19,sh.600458,23.7200,24.15,23.72,23.99,1677369,40153666.0000,3,1.141475,1,0.502700,56.553255,9.797562,3.481992,121.012835,0,23.522000000000006,23.348999999999997,23.5565,1,1,1,1,-1,93.04570748304388,73.59758959419706,131.94194326073753,1,0.15648020316163525,0.1314962019428851,0.024984001218750135
2010-03-22,sh.600458,23.9700,24.47,23.9,24.36,2007249,48783369.0000,3,1.365963,1,1.542300,57.425481,9.948671,3.535696,122.879227,0,23.854000000000006,23.438,23.6445,1,1,1,1,1,91.6145978863345,86.97628682183796,100.89122001532758,1,0.21320215373630802,0.1478373923015697,0.06536476143473832
2010-03-23,sh.600458,24.1600,24.49,23.7,23.91,1701289,40826804.0000,3,1.157753,1,-1.847300,56.364666,9.764890,3.470381,120.609290,0,24.026000000000003,23.467999999999996,23.7,-1,1,1,1,1,87.20718196662257,90.62249577866702,80.3765543425337,-1,0.21931533833200945,0.16213298150765765,0.0571823568243518
2010-03-24,sh.600458,23.9100,25.2,23.71,24.91,5890562,145611967.0000,3,4.008616,1,4.182400,58.722034,10.173292,3.615524,125.653594,0,24.208000000000006,23.639999999999997,23.738500000000002,1,1,1,1,1,86.72000247944311,88.51392744413342,83.1321525500625,-1,0.3013776300997826,0.18998191122608263,0.11139571887369995
2010-03-25,sh.600458,24.7000,25.19,24.52,24.66,2845132,70402291.0000,3,1.936155,1,-1.003600,58.132692,10.071192,3.579239,124.392518,0,24.366000000000003,23.840999999999998,23.746500000000005,1,1,1,1,1,82.33527413876763,85.42081952827782,76.16418335974726,-1,0.3422939255862154,0.2204443140981092,0.12184961148810622
2010-03-26,sh.600458,24.6600,25.19,24.66,25.05,2817331,70415699.0000,3,1.917236,1,1.581500,59.052065,10.230468,3.635845,126.359796,0,24.578000000000003,24.049999999999997,23.808500000000002,1,1,1,1,1,89.11111111111114,86.05546257644068,95.22240818045208,1,0.40156117788372114,0.25666768685523156,0.14489349102848958
2010-03-29,sh.600458,25.0900,25.67,25.05,25.62,2915505,74249634.0000,3,1.984045,1,2.275400,60.395765,10.463258,3.718576,129.235049,0,24.830000000000005,24.342,23.9155,1,1,1,1,1,91.68482490272375,87.71040338420089,99.63366793976948,1,0.4888895245226941,0.3031120543887241,0.18577747013397
2010-03-30,sh.600458,25.6200,25.85,25.42,25.77,2654544,68139644.0000,3,1.806457,1,0.585500,60.749370,10.524518,3.740348,129.991694,0,25.202000000000005,24.613999999999997,23.997500000000002,1,1,1,1,1,96.44451482520434,92.41348361301311,104.50657724958677,1,0.5637035906982675,0.35523036165063276,0.2084732290476347
2010-03-31,sh.600458,25.9300,26.5,25.7,26.43,2720720,71278272.0000,3,1.851491,1,2.561100,62.305233,10.794063,3.836143,133.320934,0,25.506000000000007,24.857,24.106500000000004,1,1,1,1,1,97.27784815853765,95.13572929548862,101.5620858846357,1,0.6685441999161874,0.41789312930374367,0.25065107061244374
2010-04-01,sh.600458,26.4300,26.89,25.81,25.97,4178222,109757194.0000,3,2.843343,1,-1.740400,61.220843,10.606198,3.769377,131.000555,0,25.768000000000008,25.067,24.192500000000003,1,1,1,1,1,88.31298145853073,94.01178148075762,76.91538141407696,-1,0.7063703843471387,0.4755885803124227,0.23078180403471604
2010-04-02,sh.600458,25.9000,26.25,25.61,25.96,2502628,64591394.0000,3,1.703076,1,-0.038500,61.197270,10.602114,3.767925,130.950112,0,25.950000000000006,25.264,24.3065,1,1,1,1,1,79.83542319749216,88.47541760485355,62.55543438276939,-1,0.7271587580825312,0.5259026158664444,0.2012561422160868
2010-04-06,sh.600458,26.0300,26.28,25.56,26.0,1603544,41444607.0000,3,1.091236,1,0.154100,61.291565,10.618450,3.773731,131.151884,0,26.026000000000003,25.427999999999997,24.433,-1,1,1,1,1,71.33961606960956,79.82934024187752,54.36016772507364,-1,0.7383501191791204,0.5683921165289796,0.16995800265014083
2010-04-07,sh.600458,25.9900,26.26,25.64,26.09,1708253,44364961.0000,3,1.162492,1,0.346200,61.503728,10.655207,3.786794,131.605871,0,26.090000000000003,25.645999999999997,24.556999999999995,-1,1,1,1,1,69.70123311302495,73.62542412670894,61.852851085656994,-1,0.7458835203895049,0.6038903973010846,0.14199312308842027
2010-04-08,sh.600458,25.9900,26.55,25.7,26.18,2534954,66565105.0000,3,1.725074,1,0.345000,61.715891,10.691963,3.799857,132.059859,0,26.040000000000003,25.772999999999996,24.7065,1,1,1,1,1,68.80624644410909,69.94903187558124,66.5206755811648,-1,0.7504651478860822,0.6332053474180841,0.11725980046799811
2010-04-09,sh.600458,26.2000,27.8,26.0,27.69,3132745,85112275.0000,3,2.131880,1,5.767800,65.275516,11.308650,4.019023,139.676757,0,26.384000000000004,26.076,24.958499999999997,1,1,1,1,1,76.80205357199169,71.76984437637527,86.86647196322454,1,0.8659582731567745,0.6797559325658222,0.1862023405909523
2010-04-12,sh.600458,27.5600,28.5,27.38,28.22,2814528,78894157.0000,3,1.915329,1,1.914000,66.524921,11.525103,4.095949,142.350237,0,26.836000000000002,26.392999999999994,25.2215,1,1,1,1,1,85.02350862888979,76.87726954833022,101.31598679000894,1,0.9888550718941396,0.7415757604314857,0.24727931146265392
2010-04-13,sh.600458,27.9900,28.37,26.11,27.23,2394065,65578582.0000,3,1.629197,1,-3.508200,64.191127,11.120785,3.952257,137.356377,0,27.082,26.553999999999995,25.448,1,1,1,1,1,81.23727066584212,81.0209442889079,81.66992341971056,1,0.9948983749288907,0.7922402833309666,0.20265809159792403
2010-04-14,sh.600458,27.2300,28.24,26.8,27.69,2611492,72160287.0000,3,1.777159,1,1.689300,65.275516,11.308650,4.019023,139.676757,0,27.401999999999997,26.746,25.68,1,1,1,1,1,73.38693052978772,79.88256994150657,60.39565170635001,-1,1.0249904399854195,0.8387903146618572,0.18620012532356234
2010-04-15,sh.600458,27.4900,28.15,26.9,26.94,3257755,90040784.0000,3,2.216951,1,-2.708600,57.661307,10.597336,3.616343,190.979828,0,27.553999999999995,26.796999999999997,25.827000000000005,-1,1,1,1,1,58.73015873015881,71.11811997526293,33.954236239950575,-1,0.9770569816680492,0.8664436480630956,0.11061333360495362
2010-04-16,sh.600458,26.9600,27.62,26.5,27.5,2088777,56875179.0000,3,1.421444,1,2.078700,58.859908,10.817623,3.691516,194.949713,0,27.516,26.95,26.008500000000005,-1,1,1,1,1,61.791383219954724,64.63615749330046,56.101834673263255,-1,0.9730400900328675,0.88776293645705,0.08527715357581755
2010-04-19,sh.600458,27.8000,27.8,26.75,26.88,2901889,79413733.0000,3,1.974779,1,-2.254500,57.532885,10.573734,3.608289,190.554483,0,27.247999999999998,27.042,26.153000000000002,-1,-1,1,1,1,52.093937808223565,57.53849325277907,41.20482691911256,-1,0.9093454872983742,0.8920794466253148,0.01726604067305937
2010-04-20,sh.600458,26.8800,29.57,26.51,29.26,5783903,163461758.0000,3,3.936033,1,8.854200,62.626943,11.509950,3.927773,207.426494,0,27.653999999999996,27.368000000000002,26.398000000000003,1,1,1,1,1,67.11090066571798,60.33207389796545,80.66855420122305,1,1.0389369468391791,0.9214509466680877,0.11748600017109145
2010-04-21,sh.600458,28.9000,29.98,28.71,29.51,4073715,120378360.0000,3,2.772224,1,0.854400,63.162033,11.608292,3.961332,209.198765,0,28.017999999999994,27.71,26.678000000000004,1,1,1,1,1,74.51242073773338,64.572419737225,94.39242273875013,1,1.148571999791784,0.9668751572928269,0.18169684249895712
2010-04-22,sh.600458,29.4500,30.4,29.14,29.63,2826189,84414342.0000,3,1.923264,1,0.406600,63.418876,11.655497,3.977441,210.049454,0,28.555999999999994,28.055,26.914000000000005,1,1,1,1,1,87.4106336359463,76.34465167979926,109.5425975482404,1,1.2309519187741174,1.019690509589085,0.21126140918503244
2010-04-23,sh.600458,30.0000,30.58,29.65,30.2,3733314,112695486.0000,3,2.540576,1,1.923700,64.638881,11.879716,4.053956,214.090230,0,29.095999999999993,28.306,27.19100000000001,1,1,1,1,1,87.24703941897296,83.05669793088425,95.62772239515036,1,1.3269367337172646,1.0811397544147208,0.24579697930254385
2010-04-26,sh.600458,30.1000,30.5,27.89,28.05,6180509,177612216.0000,3,4.205929,1,-7.119200,60.037107,11.033975,3.765346,198.848707,0,29.329999999999995,28.288999999999998,27.341000000000008,-1,-1,1,1,1,70.5134531871603,81.72370874735991,48.09294206676108,-1,1.2155067541574276,1.108013154363262,0.1074935997941655
2010-04-27,sh.600458,28.0500,29.2,28.0,28.84,10407178,298014566.0000,3,7.082241,1,2.816400,61.727991,11.344736,3.871394,204.449081,0,29.24599999999999,28.45,27.50200000000001,-1,1,1,1,1,62.280672895556485,73.34705516722997,40.14790835220953,-1,1.1773720778167274,1.1218849390539551,0.055487138762772226
2010-04-28,sh.600458,28.2600,29.69,28.26,28.89,4051280,118000129.0000,3,2.756957,1,0.173400,61.835009,11.364404,3.878105,204.803535,0,29.121999999999993,28.57,27.65800000000001,-1,1,1,1,1,51.30718954248372,61.367105208400226,31.187358210650714,-1,1.1380657407655619,1.1251210993962766,0.012944641369285304
2010-04-29,sh.600458,28.9300,29.2,27.2,27.9,3442369,98236437.0000,3,2.342584,1,-3.426800,59.716053,10.974970,3.745211,197.785345,0,28.775999999999993,28.665999999999997,27.73150000000001,-1,-1,1,1,1,50.02790223378462,54.538588223941666,41.00653025347053,-1,1.0153264084233058,1.1031621612016824,-0.08783575277837663
