date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600460,14.1900,14.25,13.9,14.13,8929332,125266908.0000,3,2.209793,1,0.141700,74.514136,7.037651,5.948387,186.583165,0,13.692000000000004,13.201000000000002,13.202999999999994,1,1,1,1,1,96.22416945190751,90.2661361054329,108.14023614485671,1,-0.2915254442203761,-0.6321120367689788,0.3405865925486027
2010-02-26,sh.600460,14.1000,14.1,13.85,13.9,6009519,83834804.0000,3,1.487210,1,-1.627700,73.301238,6.923097,5.851562,183.546071,0,13.858000000000004,13.268,13.172499999999994,1,1,1,1,1,91.72911914847397,93.34398559898705,88.49938624744783,-1,-0.23091241797354556,-0.5518721130098921,0.3209596950363466
2010-03-01,sh.600460,13.9000,14.1,13.75,13.99,7190651,100206590.0000,3,1.779512,1,0.647500,73.775851,6.967922,5.889450,184.734499,0,14.000000000000004,13.396,13.176499999999994,-1,1,1,1,1,87.32563732563733,91.7596419753396,78.45762802623278,-1,-0.1736126120197774,-0.4762202128118692,0.3026076007920918
2010-03-02,sh.600460,13.9800,14.58,13.98,14.38,11759091,168924077.0000,3,2.910090,1,2.787700,75.832504,7.162168,6.053630,189.884353,0,14.102000000000004,13.593,13.238499999999993,1,1,1,1,1,86.18628168391201,88.41367938600776,81.73148627972054,-1,-0.09562999924095905,-0.40010217009768717,0.3044721708567281
2010-03-03,sh.600460,14.5000,15.5,14.5,15.4,18637191,282132606.0000,3,4.612253,1,7.093200,81.211444,7.670193,6.483026,203.353201,0,14.360000000000005,13.863,13.354999999999993,1,1,1,1,1,90.9784275651668,88.16344885823871,96.60838497902299,1,0.04792481133208604,-0.3104967738117325,0.35842158514381856
2010-03-04,sh.600460,15.4000,15.4,14.04,14.19,18678133,275125566.0000,3,4.622385,1,-7.857100,74.830545,7.067535,5.973645,187.375450,0,14.372000000000005,14.032,13.410999999999992,-1,1,1,1,1,78.8806154673547,85.3484415721445,65.94496325777513,-1,0.06332616079721198,-0.23573218688994363,0.2990583476871556
2010-03-05,sh.600460,14.2500,14.45,13.78,13.93,6470139,90864491.0000,3,1.601202,1,-1.832300,73.459442,6.938039,5.864191,183.942214,0,14.378000000000005,14.118,13.434999999999993,-1,-1,1,1,1,61.02277018416823,76.96060440556323,29.147101741378236,-1,0.05393033874513442,-0.177799681762928,0.23173002050806243
2010-03-08,sh.600460,13.9100,14.39,13.9,14.12,5687095,80380641.0000,3,1.407418,1,1.364000,74.461402,7.032671,5.944177,186.451117,0,14.404000000000005,14.202000000000002,13.513499999999993,-1,-1,1,1,1,38.89055696284609,59.597980871456336,-2.5242908543743994,-1,0.061111044103247636,-0.1300175365896929,0.19112858069294053
2010-03-09,sh.600460,14.0800,14.08,13.72,13.94,6439206,89467822.0000,3,1.593547,1,-1.274800,73.512177,6.943019,5.868401,184.074261,0,14.316000000000006,14.209,13.574999999999994,-1,-1,1,1,1,26.536790676495517,42.15003927450327,-4.689706519519987,-1,0.051681556345608115,-0.09367771800263269,0.1453592743482408
2010-03-10,sh.600460,13.8100,14.08,13.39,13.52,6073027,82984643.0000,3,1.502927,1,-3.012900,71.297319,6.733832,5.691591,178.528265,0,13.940000000000007,14.15,13.615999999999994,-1,-1,-1,-1,1,16.274572768528724,27.233973469290103,-5.644228632994036,-1,0.01020054392756542,-0.07290206561659307,0.08310260954415849
