date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600467,9.3300,9.45,9.26,9.44,9642202,90206319.0000,3,1.521812,1,1.287600,94.778941,4.665012,13.021987,353.709579,0,9.214000000000004,9.083000000000002,9.265999999999998,1,1,1,1,-1,94.78147423352902,78.60628607391091,127.13185055276526,1,-0.25661252878434304,-0.367056424281322,0.11044389549697897
2010-02-26,sh.600467,9.4000,9.56,9.35,9.44,8302119,78608877.0000,3,1.310309,1,0.000000,94.778941,4.665012,13.021987,353.709579,0,9.310000000000004,9.142000000000003,9.237999999999998,1,1,1,1,1,92.32227459123078,89.56021395902091,97.84639585565051,1,-0.22116057794733734,-0.3378772550145251,0.11671667706718775
2010-03-01,sh.600467,9.4400,9.5,9.34,9.44,9919885,93332112.0000,3,1.565638,1,0.000000,94.778941,4.665012,13.021987,353.709579,0,9.386000000000003,9.187000000000003,9.210999999999999,1,1,1,1,1,88.2757733616309,91.79317406213023,81.24097196063221,-1,-0.19086448452293325,-0.3084747009162067,0.11761021639327346
2010-03-02,sh.600467,9.4500,9.47,9.29,9.41,9431093,88402063.0000,3,1.488493,1,-0.317800,94.477736,4.650186,12.980604,352.585502,0,9.410000000000002,9.232000000000003,9.2075,-1,1,1,1,1,81.69014084507033,87.42939626597735,70.21163000325629,-1,-0.16734629754343722,-0.2802490202416528,0.11290272269821561
2010-03-03,sh.600467,9.4100,10.13,9.38,10.09,33412144,328937154.0000,3,5.273381,1,7.226400,101.305033,4.986225,13.918629,378.064582,0,9.564000000000002,9.340000000000002,9.248,1,1,1,1,1,86.28227699530508,85.41606373400212,88.01470351791099,1,-0.09276827301484758,-0.24275287079629176,0.14998459778144418
2010-03-04,sh.600467,10.1200,10.38,9.52,9.58,23435972,232323347.0000,3,3.698859,1,-5.054500,96.184560,4.734196,13.215110,358.955272,0,9.592000000000002,9.403000000000002,9.2585,-1,1,1,1,1,73.77549024304552,80.58263602780698,60.16119867352262,-1,-0.07396476920452955,-0.20899525047793932,0.13503048127340977
2010-03-05,sh.600467,9.6100,9.91,9.61,9.7,14401219,140763807.0000,3,2.272920,1,1.252600,97.389378,4.793497,13.380644,363.451580,0,9.644000000000002,9.477000000000002,9.2685,1,1,1,1,1,63.64602659245509,74.56793127693523,41.80221722349481,-1,-0.04881712639924274,-0.1769596256622,0.12814249926295726
2010-03-08,sh.600467,9.7000,9.8,9.48,9.54,12503134,119409367.0000,3,1.973348,1,-1.649500,95.782955,4.714429,13.159932,357.456503,0,9.664000000000003,9.525000000000002,9.273,-1,1,1,1,1,41.7368735869906,59.71946347416374,5.771693812644315,-1,-0.04132176948456845,-0.1498320544266737,0.10851028494210524
2010-03-09,sh.600467,9.5100,9.59,9.38,9.47,6256975,59132081.0000,3,0.987528,1,-0.733800,95.080145,4.679837,13.063371,354.833656,0,9.676000000000002,9.543000000000003,9.285999999999998,-1,-1,1,1,1,32.79412982281829,46.059010000754654,6.264369466945567,-1,-0.04056248108151017,-0.127978139757641,0.08741565867613083
2010-03-10,sh.600467,9.4200,9.55,9.31,9.38,5230402,49196946.0000,3,0.825505,1,-0.950400,94.176532,4.635361,12.939221,351.461425,0,9.534000000000002,9.549000000000003,9.299499999999998,-1,-1,1,-1,1,19.38480723918386,31.30527021633091,-4.456118715110236,-1,-0.046684833687871574,-0.1117194785436871,0.06503464485581553
