date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600475,18.5000,18.7,18.4,18.53,5870721,108871946.0000,3,2.293250,1,0.162200,45.741076,4.818919,1.921413,32.969605,0,17.95199999999999,17.727000000000007,17.649500000000007,1,1,1,1,1,78.66455239802268,69.94263265946749,96.10839187513304,1,-0.11419090991097391,-0.3279821564811378,0.2137912465701639
2010-02-26,sh.600475,18.5200,19.33,18.47,19.1,7728189,147033536.0000,3,3.018824,1,3.076100,47.148114,4.967154,1.980518,33.983780,0,18.29199999999999,17.900000000000006,17.68850000000001,1,1,1,1,1,90.90185873335024,80.95014068368641,110.80529483267787,1,-0.004809011695204646,-0.2633475275239512,0.25853851582874654
2010-03-01,sh.600475,19.1000,19.56,18.79,18.91,6941793,133011011.0000,3,2.711638,1,-0.994800,46.679102,4.917742,1.960816,33.645722,0,18.52999999999999,18.050000000000004,17.729000000000006,1,1,1,1,1,83.36065765166241,84.30902292767844,81.46392709963035,-1,0.06578716510285076,-0.1975205889985908,0.2633077541014416
2010-03-02,sh.600475,19.0000,19.37,18.81,18.9,8472517,161813420.0000,3,3.309577,1,-0.052900,46.654417,4.915141,1.959779,33.627929,0,18.78799999999999,18.17000000000001,17.80100000000001,1,1,1,1,1,77.80208751505424,84.02153463335563,65.36319327845146,-1,0.11955012794915731,-0.13410644560904117,0.2536565735581985
2010-03-03,sh.600475,19.1100,20.27,19.11,19.73,12577883,247381478.0000,3,4.913236,1,4.391500,48.703262,5.130992,2.045844,35.104711,0,19.03399999999999,18.383000000000006,17.92650000000001,1,1,1,1,1,75.53608677513559,78.89961064728408,68.80903903083862,-1,0.22652053897746782,-0.06198104869173937,0.2885015876692072
2010-03-04,sh.600475,19.7100,19.71,18.6,18.61,8862832,169562340.0000,3,3.462044,1,-5.676600,45.938555,4.839724,1.929709,33.111945,0,19.04999999999999,18.501000000000005,17.97900000000001,-1,1,1,1,1,66.67315626013998,73.33711018344327,53.34524841353337,-1,0.21840310557825404,-0.005904217837740686,0.22430732341599474
2010-03-05,sh.600475,18.6800,19.0,18.5,18.74,3251838,61051481.0000,3,1.270249,1,0.698500,46.259459,4.873532,1.943189,33.343248,0,18.977999999999987,18.635000000000005,18.063500000000012,-1,1,1,1,1,59.36819172113287,67.19247825213615,43.7196186591263,-1,0.21992473917626754,0.039261573565060964,0.18066316561120657
2010-03-08,sh.600475,18.9200,19.51,18.83,19.2,4437805,85710062.0000,3,1.733518,1,2.454600,47.394963,4.993160,1.990887,34.161706,0,19.03599999999999,18.783000000000005,18.140000000000008,1,1,1,1,1,52.60279052519349,59.54804616882212,38.712279237936244,-1,0.2553057941128749,0.08247041767462376,0.17283537643825114
2010-03-09,sh.600475,19.2000,19.3,18.77,19.02,2973087,56372253.0000,3,1.161362,1,-0.937500,46.950635,4.946349,1.972222,33.841440,0,19.059999999999988,18.924000000000003,18.22750000000001,-1,1,1,1,1,48.40393926751872,53.458307171281696,38.29520345999278,-1,0.26575755175138127,0.11912784448997527,0.146629707261406
2010-03-10,sh.600475,18.8900,19.08,18.48,18.68,1520147,28469487.0000,3,0.593807,1,-1.787600,46.111350,4.857928,1.936967,33.236493,0,18.849999999999987,18.942000000000004,18.288000000000007,-1,-1,1,-1,1,35.62616148974098,45.54429709415107,15.789890280920801,-1,0.24379516754506625,0.14406130910099346,0.09973385844407279
2010-03-11,sh.600475,18.9900,18.99,18.53,18.93,2305943,43305023.0000,3,0.900759,1,1.338300,46.728472,4.922943,1.962890,33.681307,0,18.913999999999987,18.982000000000006,18.35450000000001,1,-1,1,-1,1,23.3204705616799,35.783523772979876,-1.6056358609200458,-1,0.24375289880741136,0.16399962704227705,0.0797532717651343
2010-03-12,sh.600475,18.7400,18.96,18.62,18.68,1669701,31331597.0000,3,0.652227,1,-1.320700,46.111350,4.857928,1.936967,33.236493,0,18.901999999999987,18.940000000000005,18.42000000000001,-1,-1,1,-1,1,15.993171942892596,24.979934664771168,-1.9803535008645454,-1,0.2209989515194195,0.17539949193770554,0.045599459581713964
2010-03-15,sh.600475,18.5100,18.87,18.44,18.63,1180088,21920925.0000,3,0.460972,1,-0.267700,45.987925,4.844925,1.931783,33.147530,0,18.787999999999986,18.912000000000006,18.481000000000005,-1,-1,1,-1,1,15.565120941071049,18.292921148547858,10.109520526117429,-1,0.19666467428216805,0.17965252840659804,0.01701214587557001
2010-03-16,sh.600475,18.6300,18.77,18.31,18.57,1171274,21644487.0000,3,0.457529,1,-0.322100,45.839816,4.829322,1.925561,33.040775,0,18.697999999999986,18.879000000000005,18.524500000000007,-1,-1,1,-1,1,13.37570886339085,14.978000582451509,10.171125425269533,-1,0.17057183970275602,0.17783639066582962,-0.007264550963073602
2010-03-17,sh.600475,18.6800,18.99,18.53,18.98,2808453,52767813.0000,3,1.097052,1,2.207900,46.851896,4.935946,1.968075,33.770270,0,18.757999999999985,18.804000000000006,18.593500000000006,1,1,1,-1,1,28.262425188654674,19.067751664372203,46.65177223721962,1,0.18089144976501004,0.1784474024856657,0.00244404727934433
2010-03-18,sh.600475,19.1900,19.5,18.9,18.99,3661048,70331766.0000,3,1.430097,1,0.052700,46.876581,4.938547,1.969112,33.788062,0,18.769999999999985,18.842000000000006,18.671500000000005,1,1,1,-1,1,43.690476190476154,28.442870080840567,74.18568840974734,1,0.1877128941184587,0.18030050081222432,0.007412393306234388
2010-03-19,sh.600475,19.0000,19.19,18.85,19.11,2009351,38170851.0000,3,0.784903,1,0.631900,47.172799,4.969754,1.981555,34.001573,0,18.855999999999987,18.87900000000001,18.75700000000001,1,1,1,-1,1,59.908963585434115,43.95395498818832,91.8189807799257,1,0.20049080186981172,0.1843385610237418,0.01615224084606992
2010-03-22,sh.600475,19.2900,19.35,18.98,19.17,2971378,57010891.0000,3,1.160695,1,0.314000,47.320909,4.985358,1.987776,34.108328,0,18.963999999999988,18.876000000000012,18.82950000000001,1,1,1,1,1,65.38748832866479,56.328976034858364,83.50451291627762,1,0.21300351247990434,0.1900715513149743,0.022931961164930043
2010-03-23,sh.600475,19.1600,19.2,18.65,18.68,2724941,51369158.0000,3,1.064430,1,-2.556100,46.111350,4.857928,1.936967,33.236493,0,18.98599999999999,18.84200000000001,18.88300000000001,-1,-1,-1,1,1,56.86274509803928,60.71973233737941,49.148770619359,-1,0.18129120868461968,0.18831548278890337,-0.00702427410428369
2010-03-24,sh.600475,18.7000,19.1,18.57,18.64,1793457,33577258.0000,3,0.700569,1,-0.214100,46.012610,4.847526,1.932819,33.165323,0,18.91799999999999,18.83800000000001,18.890000000000008,-1,-1,-1,1,1,43.69747899159674,55.31590413943362,20.460628695922978,-1,0.1511885067517369,0.18089008758147007,-0.029701580829733176
2010-03-25,sh.600475,18.6500,18.88,18.57,18.76,4379247,81945802.0000,3,1.710643,1,0.643800,46.308829,4.878733,1.945262,33.378834,0,18.871999999999993,18.82100000000001,18.90150000000001,-1,-1,-1,1,-1,32.21288515406173,44.2577030812326,8.123249299720001,-1,0.1354534723968932,0.1718027645445547,-0.0363492921476615
2010-03-26,sh.600475,18.7400,19.59,18.69,19.41,6703020,129568750.0000,3,2.618367,1,3.464800,47.913346,5.047772,2.012662,34.535350,0,18.93199999999999,18.89400000000001,18.91700000000001,1,1,1,1,1,50.494572829131755,42.13497899159676,67.21376050420174,1,0.17343367656450326,0.17212894694854441,0.001304729615958844
2010-03-29,sh.600475,19.2400,19.24,18.79,18.97,4760350,90229466.0000,3,1.859512,1,-2.266900,41.063889,4.826593,1.880529,30.457250,0,18.89199999999999,18.928000000000008,18.92000000000001,1,1,1,-1,-1,55.087353337561446,45.93160377358499,73.39885246551437,1,0.16611407952699508,0.17092597346423455,-0.004811893937239464
2010-03-30,sh.600475,18.9700,19.5,18.88,19.42,6750646,130089657.0000,3,2.636971,1,2.372200,42.037993,4.941088,1.925138,31.179747,0,19.03999999999999,19.013000000000012,18.946000000000012,1,1,1,1,1,70.2600890985325,58.61400508840859,93.55225711878035,1,0.19438375045741552,0.17561752886287074,0.018766221594544774
2010-03-31,sh.600475,19.9100,20.69,19.56,19.91,12083712,242412021.0000,3,4.720200,1,2.523200,43.098684,5.065760,1.973713,31.966466,0,19.29399999999999,19.106000000000012,18.955000000000013,1,1,1,1,1,62.68343815513625,62.67696019707676,62.69639407125523,1,0.253405472691135,0.1911751176285236,0.0622303550626114
2010-04-01,sh.600475,20.4500,21.9,20.41,21.9,19691045,424439876.0000,3,7.691814,1,9.995000,47.406387,5.572081,2.170985,35.161507,0,19.921999999999986,19.397000000000013,19.11950000000001,1,1,1,1,1,82.18029350104825,71.70794025157237,103.12500000000003,1,0.45550618985212665,0.24404133207324422,0.21146485777888244
2010-04-02,sh.600475,22.5300,23.45,22.15,22.54,28611829,648984636.0000,3,11.176496,1,2.922400,48.791779,5.734918,2.234429,36.189058,0,20.547999999999984,19.740000000000013,19.30950000000001,1,1,1,1,1,81.52000206206823,75.46124457275094,93.63751704070282,1,0.6597103848944741,0.3271751426374902,0.3325352422569839
2010-04-06,sh.600475,22.4000,22.41,21.8,22.05,12113694,266861551.0000,3,4.731912,1,-2.173900,47.731089,5.610246,2.185855,35.402339,0,21.163999999999984,20.028000000000013,19.452000000000012,1,1,1,1,1,84.22131147540983,82.6405356795088,87.3828630672119,1,0.7730930404416796,0.4163587221983281,0.3567343182433515
2010-04-07,sh.600475,21.8600,22.15,21.47,21.75,11672652,253531335.0000,3,4.559630,1,-1.360500,47.081686,5.533916,2.156115,34.920674,0,21.629999999999985,20.335000000000015,19.588500000000014,1,1,1,1,1,72.60928961748634,79.45020105165482,58.927466749149374,-1,0.8291838042984168,0.4989237386183458,0.33026006568007094
2010-04-08,sh.600475,21.9000,22.55,21.6,21.69,17169911,379430826.0000,3,6.706996,1,-0.275900,46.951805,5.518650,2.150167,34.824342,0,21.985999999999983,20.640000000000015,19.73900000000001,-1,1,1,1,1,66.50020664003307,74.4436025776431,50.613414764813,-1,0.8588938465873284,0.5709177602121424,0.287976086375186
2010-04-09,sh.600475,21.4000,21.9,21.2,21.75,10137070,218366437.0000,3,3.959793,1,0.276600,47.081686,5.533916,2.156115,34.920674,0,21.95599999999998,20.939000000000014,19.880000000000013,-1,1,1,1,1,63.90281927166139,67.6707718430603,56.366914128863584,-1,0.8771693059693817,0.6321680693635903,0.24500123660579143
