date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600490,9.9800,10.19,9.98,10.18,1560915,15780168.0000,3,1.182511,1,1.293500,-18.265259,6.943361,12.206623,68.854124,0,9.913999999999998,9.813000000000006,9.834000000000001,1,1,1,1,1,82.68712656309305,74.27406427897962,99.51325113131989,1,-0.3797565374551777,-0.5795411931165668,0.19978465566138914
2010-02-26,sh.600490,10.2100,10.53,10.18,10.36,2146894,22262141.0000,3,1.626435,1,1.768200,-18.588221,7.066132,12.422458,70.071584,0,10.027999999999999,9.905000000000005,9.801000000000002,1,1,1,1,1,90.3194267950138,82.05028546150169,106.85770946203803,1,-0.3133331893543083,-0.5262995923641152,0.21296640300980685
2010-03-01,sh.600490,10.2700,10.46,10.22,10.3,1446507,14898538.0000,3,1.095839,1,-0.579200,-18.480567,7.025208,12.350513,69.665764,0,10.133999999999997,9.941000000000006,9.776000000000002,1,1,1,1,1,85.01375968211782,86.00677101340824,83.02773701953697,-1,-0.2625076808495894,-0.47354121006121,0.2110335292116206
2010-03-02,sh.600490,10.3200,10.48,10.26,10.45,1857311,19285121.0000,3,1.407054,1,1.456300,-18.749702,7.127517,12.530375,70.680314,0,10.267999999999997,10.016000000000005,9.7985,1,1,1,1,1,82.42532855436083,85.9195050104975,75.4369756420875,-1,-0.20772977326498498,-0.42037892270196503,0.21264914943698005
2010-03-03,sh.600490,10.5300,10.54,10.37,10.45,1825308,19081195.0000,3,1.382809,1,0.000000,-18.749702,7.127517,12.530375,70.680314,0,10.347999999999999,10.084000000000007,9.842,1,1,1,1,1,85.22181522181525,84.22030115276465,87.22484335991646,1,-0.16244531833955556,-0.36879220182948314,0.20634688348992758
2010-03-04,sh.600490,10.4500,10.67,10.02,10.19,2274341,23498998.0000,3,1.722986,1,-2.488000,-18.283202,6.950182,12.218614,68.921760,0,10.349999999999998,10.132000000000005,9.873000000000001,-1,1,1,1,1,78.35571835571831,82.0009540439648,71.06524697922535,-1,-0.14585555657929383,-0.32420487277944526,0.17834931620015143
2010-03-05,sh.600490,10.1800,10.65,10.1,10.51,2293589,23859608.0000,3,1.737567,1,3.140300,-18.857355,7.168440,12.602320,71.086134,0,10.379999999999999,10.204000000000006,9.912,1,1,1,1,1,76.19047619047615,79.92266992266991,68.72608872608862,-1,-0.10566864287448396,-0.280497626798453,0.17482898392396906
2010-03-08,sh.600490,10.5300,11.3,10.53,10.9,6481791,71079421.0000,3,4.910448,1,3.710800,-19.557105,7.434443,13.069960,73.723963,0,10.499999999999998,10.317000000000007,9.982000000000001,1,1,1,1,1,71.15384615384612,75.23334690001354,62.99484466151125,-1,-0.04186785700462359,-0.23277167283968714,0.19090381583506355
2010-03-09,sh.600490,10.8000,10.8,10.58,10.64,2724186,28996614.0000,3,2.063777,1,-2.385300,-19.090605,7.257108,12.758200,71.965410,0,10.538,10.403000000000008,10.0535,1,1,1,1,1,69.87179487179486,72.4053724053724,64.80463980463978,-1,-0.012145100474052484,-0.1886463583665602,0.17650125789250773
2010-03-10,sh.600490,10.6400,10.64,10.28,10.33,2044637,21219866.0000,3,1.548967,1,-2.913500,-18.534394,7.045670,12.386485,69.868674,0,10.514,10.431000000000008,10.098,-1,-1,1,1,1,49.739583333333336,63.58840811965813,22.041933760683733,-1,-0.013448979540140016,-0.15360688260127617,0.14015790306113615
2010-03-11,sh.600490,10.3300,10.47,10.17,10.23,1434544,14718645.0000,3,1.086776,1,-0.968100,-18.354971,6.977464,12.266577,69.192307,0,10.522,10.436000000000009,10.124500000000001,-1,-1,1,1,1,30.208333333333353,49.939903846153875,-9.254807692307693,-1,-0.022294480466104716,-0.12734440217424187,0.10504992170813715
