date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600495,20.2500,20.39,20.0,20.38,6669201,134690723.0000,3,4.416397,1,0.493100,55.130731,2.589397,2.232464,7.331441,0,19.892000000000003,20.228,20.750999999999998,1,1,-1,-1,-1,35.0865823409828,19.788100006370694,65.68354701020701,1,-0.5255747876535146,-0.48537506459990276,-0.04019972305361186
2010-02-26,sh.600495,20.2700,20.5,20.13,20.31,4393979,89290532.0000,3,2.909727,1,-0.343500,54.941371,2.580503,2.224796,7.306259,0,20.002000000000002,20.185,20.705499999999997,1,1,-1,-1,-1,49.929394277220304,34.165240450782804,81.45770193009531,1,-0.49002103929327845,-0.4863042595385779,-0.0037167797547005277
2010-03-01,sh.600495,20.2700,20.92,20.21,20.75,5249495,108455204.0000,3,3.476257,1,2.166400,56.131632,2.636408,2.272995,7.464544,0,20.246000000000002,20.187,20.720999999999997,1,1,1,1,-1,60.51282051282045,48.50959904367454,84.51926345111227,1,-0.4214815379934542,-0.4733397152295532,0.05185817723609898
2010-03-02,sh.600495,20.7200,21.2,20.53,21.18,6210398,129790604.0000,3,4.112574,1,2.072300,57.294842,2.691042,2.320098,7.619230,0,20.580000000000002,20.209,20.77,1,1,1,1,-1,75.03373819163289,61.82531766055791,101.45057925378286,1,-0.3286772958013593,-0.4444072313439144,0.11572993554255512
2010-03-03,sh.600495,21.2000,21.45,20.94,21.42,7533429,159408259.0000,3,4.988695,1,1.133100,57.944075,2.721535,2.346388,7.705567,0,20.808,20.264,20.823,1,1,1,1,-1,90.63699798093926,75.39451889513089,121.12195615255598,1,-0.23307651008617114,-0.40214108709236573,0.1690645770061946
2010-03-04,sh.600495,21.3600,21.82,21.0,21.47,9816014,210955463.0000,3,6.500241,1,0.233400,58.079332,2.727888,2.351865,7.723554,0,21.026000000000003,20.458999999999996,20.833499999999997,1,1,1,1,1,94.55437689831814,86.74170435696345,110.17972198102751,1,-0.15153086304337648,-0.35201904228256786,0.20048817923919138
2010-03-05,sh.600495,21.5800,21.75,20.88,21.28,4580137,97624149.0000,3,3.033002,1,-0.885000,57.565356,2.703747,2.331052,7.655204,0,21.220000000000002,20.610999999999997,20.8305,1,1,1,1,1,87.76239694844345,90.98459060923363,81.3180096268631,-1,-0.10107167105208603,-0.3018295680364715,0.20075789698438545
2010-03-08,sh.600495,21.4000,21.45,21.02,21.31,2987271,63543845.0000,3,1.978194,1,0.141000,57.646510,2.707559,2.334338,7.665996,0,21.332,20.788999999999998,20.794,-1,1,1,1,1,80.9625559625559,87.75977660310583,67.36811468145603,-1,-0.05799313976486786,-0.2530622823821508,0.19506914261728292
2010-03-09,sh.600495,21.3300,21.4,20.53,20.75,6782218,141280914.0000,3,4.491238,1,-2.627900,56.131632,2.636408,2.272995,7.464544,0,21.246000000000002,20.913,20.738999999999997,-1,-1,1,1,1,65.99511599511595,78.2400229687051,41.50530204793765,-1,-0.06825362790434397,-0.2161005514865894,0.14784692358224544
2010-03-10,sh.600495,20.9900,20.99,19.75,19.94,7784171,156681487.0000,3,5.154739,1,-3.903600,53.940469,2.533493,2.184266,7.173157,0,20.950000000000003,20.878999999999998,20.6265,-1,-1,-1,1,1,42.86422112509066,63.27396436092085,2.044734653430268,-1,-0.14013003738222807,-0.20090644866571714,0.06077641128348907
2010-03-11,sh.600495,19.9700,20.0,19.32,19.61,5449760,106948593.0000,3,3.608874,1,-1.655000,90.552827,2.491564,2.180997,7.054443,0,20.578000000000003,20.802,20.515,-1,-1,-1,-1,1,20.66251172338126,43.173949614529306,-24.360364058914826,-1,-0.22117132643319692,-0.2049594242192131,-0.01621190221398383
2010-03-12,sh.600495,19.6100,19.86,19.4,19.63,3757909,73845523.0000,3,2.488517,1,0.102000,90.645181,2.494105,2.183221,7.061638,0,20.248,20.733999999999998,20.4595,-1,-1,-1,-1,-1,11.059581320450846,24.86210472297427,-16.545465484596,-1,-0.2805493013143483,-0.22007739963824013,-0.060471901676108164
2010-03-15,sh.600495,19.6300,20.28,19.55,20.24,5116394,101718869.0000,3,3.388116,1,3.107500,93.461969,2.571609,2.251065,7.281078,0,20.034,20.683,20.435,1,-1,-1,-1,-1,20.266666666666584,17.329586570166246,26.140826859667264,1,-0.275212395009671,-0.2311043987125263,-0.04410799629714468
2010-03-16,sh.600495,20.2500,20.37,19.65,20.03,4603460,92320589.0000,3,3.048447,1,-1.037500,92.492255,2.544928,2.227709,7.205533,0,19.89,20.567999999999998,20.3885,1,-1,-1,-1,-1,25.866666666666607,19.064304884594694,39.471390230810435,1,-0.28464687132356303,-0.24181289323473365,-0.04283397808882938
