date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600497,22.6500,22.98,22.4,22.95,7911761,179056209.0000,3,0.903737,1,1.909400,587.965789,9.516885,6.384014,100.079959,0,22.761999999999997,22.473000000000006,22.584000000000007,1,1,1,1,1,60.97211949705761,65.01597430898224,52.88440987320837,-1,-1.195385097905465,-1.7092793884613608,0.5138942905558959
2010-02-26,sh.600497,22.8800,22.88,22.4,22.52,7378474,166323153.0000,3,0.842821,1,-1.873600,576.949436,9.338573,6.264401,98.204822,0,22.645999999999994,22.585000000000004,22.475000000000005,-1,-1,1,1,1,61.4399931593239,61.2536700640165,61.81263934993869,1,-1.118938703604087,-1.5912112514899062,0.4722725478858192
2010-03-01,sh.600497,23.1000,23.56,22.9,23.22,11682857,270901178.0000,3,1.334498,1,3.108300,594.883033,9.628849,6.459120,101.257370,0,22.701999999999995,22.765000000000008,22.40500000000001,1,1,1,-1,1,69.4191411190166,63.94375125846602,80.36992084011774,1,-0.9904529108767512,-1.4710595833672753,0.480606672490524
2010-03-02,sh.600497,23.2000,23.2,22.6,22.65,7113711,161644256.0000,3,0.812578,1,-2.454800,580.279961,9.392481,6.300563,98.771724,0,22.772,22.800000000000004,22.359500000000004,-1,-1,1,-1,1,63.19298091558366,64.6840383979747,60.210865950801576,-1,-0.9239702765647166,-1.3616417220067636,0.43767144544204695
2010-03-03,sh.600497,22.7000,22.87,22.48,22.75,5062258,114932606.0000,3,0.578247,1,0.441500,582.841904,9.433949,6.328380,99.207802,0,22.817999999999998,22.774000000000008,22.353000000000005,-1,-1,1,1,1,66.02564102564104,66.21258768674709,65.65174770342892,-1,-0.8533759587810437,-1.2599885693616195,0.40661261058057585
2010-03-04,sh.600497,22.8500,22.93,22.0,22.08,7083973,158907259.0000,3,0.809181,1,-2.945100,565.676890,9.156114,6.142006,96.286078,0,22.644,22.70300000000001,22.343000000000004,-1,-1,-1,-1,1,47.75641025641025,58.991677399211625,25.285875970807496,-1,-0.8417892316424869,-1.176348701817793,0.3345594701753061
2010-03-05,sh.600497,22.0800,22.3,22.0,22.19,3583835,79406148.0000,3,0.409371,1,0.498200,568.495026,9.201729,6.172605,96.765764,0,22.577999999999996,22.61200000000001,22.347,-1,-1,-1,-1,1,40.491971620612425,51.42467430088788,18.626566260061523,-1,-0.8143433430679181,-1.103947630067818,0.2896042869998998
2010-03-08,sh.600497,22.3500,22.48,22.15,22.23,3121547,69502178.0000,3,0.356565,1,0.180300,569.519803,9.218316,6.183732,96.940196,0,22.38,22.541000000000007,22.406000000000002,-1,-1,-1,-1,-1,32.272218073188974,40.173533316737185,16.469587586092544,-1,-0.7803690048050171,-1.0392319050152579,0.2588629002102407
2010-03-09,sh.600497,22.2700,22.74,21.89,22.31,7276756,162383579.0000,3,0.831202,1,0.359900,571.569357,9.251491,6.205985,97.289058,0,22.312,22.54200000000001,22.469,-1,-1,-1,-1,-1,31.360579811251302,34.708256501684204,24.665226430385502,-1,-0.7384760730628024,-0.9790807386247667,0.24060466556196436
2010-03-10,sh.600497,22.3300,22.8,22.25,22.49,6123965,137811804.0000,3,0.699522,1,0.806800,576.180854,9.326133,6.256056,98.073999,0,22.259999999999998,22.53900000000001,22.464500000000005,1,-1,1,-1,-1,32.17157917175354,31.934792352064576,32.64515281113148,1,-0.6828793194406906,-0.9198404547879515,0.23696113534726093
2010-03-11,sh.600497,22.4500,22.45,22.0,22.14,4112537,91199769.0000,3,0.469763,1,-1.556200,567.214055,9.180995,6.158696,96.547725,0,22.272,22.45800000000001,22.465500000000002,-1,-1,-1,-1,-1,25.349301397205537,29.627153460070094,16.793597271476422,-1,-0.6594587367516809,-0.8677641111806974,0.20830537442901653
