date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600501,11.3500,11.75,11.3,11.64,7995014,92451991.0000,3,4.650746,1,2.645500,88.929982,3.721972,1.872758,-1735.138096,0,11.300000000000002,10.979000000000003,10.934500000000005,1,1,1,1,1,93.2125944190051,90.35230193208355,98.93317939284822,1,-0.21269891748699088,-0.4466565273694509,0.23395760988246
2010-02-26,sh.600501,11.5500,12.35,11.52,11.98,12754324,154457518.0000,3,7.419265,1,2.921000,91.527593,3.830690,1.927460,-1785.820824,0,11.454000000000002,11.149000000000003,10.965000000000005,1,1,1,1,1,92.73249401375502,92.05488310366788,94.08771583392931,1,-0.12842611773111656,-0.38301044544178403,0.25458432771066747
2010-03-01,sh.600501,11.9100,12.22,11.82,11.95,6681797,80286283.0000,3,3.886840,1,-0.250400,91.298392,3.821097,1.922634,-1781.348818,0,11.616000000000003,11.305000000000003,10.994500000000006,1,1,1,1,1,88.48039215686276,91.47516019654097,82.49085607750635,-1,-0.06333003680863847,-0.3190743637151549,0.25574432690651644
2010-03-02,sh.600501,11.9500,12.28,11.95,12.14,7190405,87301812.0000,3,4.182701,1,1.590000,92.749998,3.881851,1.953203,-1809.671519,0,11.810000000000002,11.453000000000003,11.050500000000005,1,1,1,1,1,87.62626262626264,89.61304959896016,83.65268868086761,-1,0.0035495711711792666,-0.2545495767378881,0.25809914790906735
2010-03-03,sh.600501,12.1100,12.5,11.93,12.3,9531255,116490962.0000,3,5.544387,1,1.318000,93.972403,3.933012,1.978945,-1833.522215,0,12.002,11.604000000000003,11.125500000000006,1,1,1,1,1,88.30596382991594,88.13753953768047,88.6428124143869,1,0.06867120624173495,-0.1899054201419635,0.25857662638369844
2010-03-04,sh.600501,12.3500,12.35,11.43,11.46,7427167,88192773.0000,3,4.320427,1,-6.829300,87.554776,3.664416,1.843798,-1708.306063,0,11.966000000000001,11.633000000000004,11.152000000000005,-1,-1,1,1,1,72.59798584648888,82.84340410088917,52.1071493376883,-1,0.05190130544240823,-0.14154407502508914,0.19344538046749737
2010-03-05,sh.600501,11.5700,11.83,11.51,11.62,4401905,51251747.0000,3,2.560614,1,1.396200,88.777181,3.715577,1.869540,-1732.156759,0,11.894000000000002,11.674000000000003,11.186500000000006,-1,-1,1,1,1,57.68463073852297,72.86286013830927,27.328171938950362,-1,0.05093455917008782,-0.10304834818605374,0.15398290735614156
2010-03-08,sh.600501,11.6200,11.85,11.53,11.74,3140410,36682631.0000,3,1.826795,1,1.032700,89.693985,3.753948,1.888847,-1750.044781,0,11.852000000000002,11.734000000000004,11.242000000000006,-1,1,1,1,1,44.44308661588389,58.24190106696526,16.84545771372116,-1,0.05916933563285376,-0.07060481142227223,0.129774147055126
2010-03-09,sh.600501,11.8000,11.8,11.44,11.58,2888880,33421019.0000,3,1.680478,1,-1.362900,88.471580,3.702787,1.863104,-1726.194085,0,11.740000000000002,11.775000000000002,11.296000000000006,-1,-1,1,-1,1,39.646014094260444,47.257910482889116,24.422221317003107,-1,0.05218325638706922,-0.04604719786040394,0.09823045424747316
2010-03-10,sh.600501,11.5800,11.75,11.44,11.61,4048072,47062208.0000,3,2.354787,1,0.259100,88.700781,3.712380,1.867931,-1730.666090,0,11.602,11.802000000000003,11.345500000000007,1,-1,1,-1,1,29.485027655922178,37.858042788688856,12.738997390388818,-1,0.048508313885248455,-0.02713609551127346,0.07564440939652192
2010-03-11,sh.600501,11.6100,11.65,11.11,11.24,4603525,52173439.0000,3,2.677897,1,-3.186900,85.873969,3.594070,1.808402,-1675.511357,0,11.558000000000002,11.762000000000002,11.370500000000007,-1,-1,-1,-1,1,16.502760408495632,28.544600719559437,-7.580920213631977,-1,0.015560614615898416,-0.018596753485839085,0.0341573681017375
2010-03-12,sh.600501,11.2500,11.35,11.0,11.11,3711389,41418457.0000,3,2.158937,1,-1.156600,84.880764,3.552501,1.787486,-1656.132667,0,11.456000000000001,11.675,11.412000000000006,-1,-1,-1,-1,1,11.169427075162298,19.05240504652672,-4.5965288675665406,-1,-0.020800809194742698,-0.019037564627619807,-0.001763244567122891
2010-03-15,sh.600501,11.0700,11.15,10.82,10.97,2160931,23628150.0000,3,1.257026,1,-1.260100,83.811160,3.507735,1.764962,-1635.263309,0,11.302000000000001,11.577000000000002,11.441000000000006,-1,-1,-1,-1,-1,8.538140915838776,12.07010946649892,1.4742038145184893,-1,-0.06022014911254203,-0.02727408152460425,-0.03294606758793778
2010-03-16,sh.600501,11.0100,11.15,10.95,11.1,1707933,18901115.0000,3,0.993515,1,1.185100,84.804364,3.549304,1.785877,-1654.641999,0,11.206000000000001,11.473,11.463000000000006,-1,-1,-1,-1,-1,11.520852785558658,10.409473592186595,13.743611172302781,1,-0.08004760746281114,-0.03782878671224563,-0.04221882075056552
2010-03-17,sh.600501,11.1500,11.44,11.12,11.43,3677831,41552779.0000,3,2.139416,1,2.973000,87.325575,3.654824,1.838971,-1703.834058,0,11.170000000000002,11.386000000000001,11.495000000000008,1,1,-1,-1,-1,28.817508664738813,16.29216745537877,53.8681910834589,1,-0.06834493115646367,-0.04393201560108924,-0.024412915555374434
2010-03-18,sh.600501,11.4600,11.6,11.32,11.4,3025577,34635144.0000,3,1.759996,1,-0.262500,87.096374,3.645231,1.834144,-1699.362053,0,11.202000000000002,11.38,11.506500000000008,1,1,-1,-1,-1,44.61154472576518,28.316635392020903,77.20136339325373,1,-0.06079047044742936,-0.04730370657035726,-0.013486763877072094
2010-03-19,sh.600501,11.4300,11.73,11.37,11.69,6804173,78607415.0000,3,3.958027,1,2.543900,89.311983,3.737960,1.880802,-1742.591438,0,11.318000000000001,11.387,11.530500000000007,1,1,1,-1,-1,68.10316359553528,47.17740566201311,109.95467946257962,1,-0.031045061396792306,-0.04405197753564427,0.013006916138851965
2010-03-22,sh.600501,11.6300,11.74,11.48,11.7,4394487,51026598.0000,3,2.556299,1,0.085500,89.388384,3.741158,1.882411,-1744.082107,0,11.464000000000002,11.383000000000001,11.558500000000006,1,1,1,1,-1,79.9032819099035,64.20599674373467,111.29785224224113,1,-0.006588743064847691,-0.036559330641484956,0.029970587576637266
2010-03-23,sh.600501,11.7000,11.8,11.55,11.75,6086116,71131810.0000,3,3.540329,1,0.427400,89.770385,3.757146,1.890456,-1751.535449,0,11.594000000000001,11.400000000000002,11.587500000000007,1,1,1,1,1,92.76570843391112,80.25738464644998,117.78235600883337,1,0.016635879480862314,-0.0259202886170155,0.042556168097877815
2010-03-24,sh.600501,11.6800,11.79,11.58,11.64,3852868,44936605.0000,3,2.241236,1,-0.936200,88.929982,3.721972,1.872758,-1735.138096,0,11.636000000000001,11.403000000000002,11.602500000000006,1,1,1,1,1,91.06502816180232,87.91133950187232,97.3724054816623,1,0.02586729737871707,-0.015562771417868985,0.041430068796586055
2010-03-25,sh.600501,11.6000,11.62,11.19,11.25,5253424,59465687.0000,3,3.055947,1,-3.350500,85.950369,3.597267,1.810011,-1677.002026,0,11.606000000000002,11.404000000000002,11.583000000000007,-1,-1,-1,1,1,74.14965986394554,85.993465486553,50.46204861873062,-1,0.0016939946220073665,-0.012111418209893716,0.013805412831901082
2010-03-26,sh.600501,11.3800,11.53,11.21,11.4,2757400,31355272.0000,3,1.603996,1,1.333300,78.471963,3.575766,1.694846,-21.742300,0,11.548000000000002,11.433000000000003,11.554000000000007,-1,-1,-1,1,-1,60.164065626250505,75.1262512173328,30.239694444085927,-1,-0.005298695510708384,-0.01074887367005665,0.0054501781593482655
2010-03-29,sh.600501,11.4200,11.58,11.1,11.3,8117888,91383609.0000,3,4.722223,1,-0.877200,77.783612,3.544400,1.679979,-21.551578,0,11.468,11.466000000000003,11.521500000000009,-1,-1,-1,1,-1,41.796718687475035,58.703481392557045,7.983193277311017,-1,-0.01869412287382488,-0.012337923510810296,-0.006356199363014585
2010-03-30,sh.600501,11.3300,11.47,11.1,11.35,6503694,73584307.0000,3,3.783237,1,0.442500,78.127787,3.560083,1.687412,-21.646939,0,11.388000000000002,11.491000000000003,11.48200000000001,-1,-1,-1,-1,-1,39.075630252100886,47.01213818860882,23.202614379085006,-1,-0.024987473396221205,-0.014867833487892477,-0.010119639908328728
2010-03-31,sh.600501,11.3000,11.56,11.22,11.51,6719594,76716888.0000,3,3.908827,1,1.409700,79.229148,3.610269,1.711199,-21.952094,0,11.362,11.499000000000002,11.442500000000008,1,1,1,-1,-1,40.95238095238096,40.60824329731898,41.64065626250493,1,-0.01686987083233049,-0.01526824095678008,-0.001601629875550412
2010-04-01,sh.600501,11.5000,11.72,11.42,11.7,8995607,104462488.0000,3,5.232797,1,1.650700,80.537014,3.669865,1.739447,-22.314466,0,11.452000000000002,11.529000000000002,11.454500000000007,1,1,1,-1,-1,59.999999999999915,46.67600373482727,86.6479925303452,1,0.004839018593306932,-0.011246789046762677,0.01608580764006961
2010-04-02,sh.600501,11.6900,11.79,11.62,11.74,6615674,77437479.0000,3,3.848376,1,0.341900,80.812355,3.682412,1.745394,-22.390755,0,11.520000000000001,11.534000000000002,11.460500000000007,1,1,1,-1,1,78.57142857142848,59.8412698412698,116.03174603174584,1,0.02498314542429725,-0.004000802152550692,0.02898394757684794
2010-04-06,sh.600501,11.7700,12.0,11.59,11.97,9402918,110329445.0000,3,5.469732,1,1.959100,82.395561,3.754554,1.779588,-22.829415,0,11.654000000000002,11.561000000000002,11.472000000000007,1,1,1,1,1,91.26984126984122,76.61375661375655,120.58201058201058,1,0.058828451113257074,0.008565048500610862,0.05026340261264621
2010-04-07,sh.600501,12.0600,12.59,11.88,12.56,26687179,326965900.0000,3,15.524088,1,4.929000,86.456829,3.939616,1.867304,-23.954674,0,11.896000000000003,11.642000000000001,11.521000000000006,1,1,1,1,1,95.36060509214876,88.40062497780616,109.28056532083394,1,0.13174054587112316,0.03320014797471332,0.09854039789640984
2010-04-08,sh.600501,12.4500,12.98,12.33,12.81,21270957,269310645.0000,3,12.373440,1,1.990400,88.177705,4.018032,1.904471,-24.431479,0,12.156000000000002,11.759000000000002,11.581000000000007,1,1,1,1,1,95.20356355212851,93.94466997137283,97.72135071363988,1,0.20730710961735888,0.06802154030324244,0.13928556931411645
2010-04-09,sh.600501,12.8200,13.48,12.71,13.18,21474807,280698875.0000,3,12.492021,1,2.888400,90.724602,4.134087,1.959479,-25.137150,0,12.452000000000002,11.952000000000002,11.678000000000006,1,1,1,1,1,92.11299399097068,94.22572087841598,87.88754021608008,-1,0.2936648776850106,0.11315020777959607,0.18051466990541454
2010-04-12,sh.600501,13.1800,13.57,13.02,13.47,16375116,217630934.0000,3,9.525501,1,2.200300,92.720819,4.225050,2.002594,-25.690244,0,12.798000000000002,12.159,11.796000000000005,1,1,1,1,1,91.43460726525085,92.91705493611668,88.46971192351916,-1,0.3811113925222287,0.1667424447281226,0.2143689477941061
2010-04-13,sh.600501,13.4300,13.63,12.81,13.23,15847473,209998972.0000,3,9.218568,1,-1.781700,91.068778,4.149771,1.966913,-25.232511,0,13.050000000000002,12.352,11.909000000000004,1,1,1,1,1,88.9162882045993,90.82129648694028,85.10627163991731,-1,0.426135170328914,0.21862098984828088,0.20751418048063314
2010-04-14,sh.600501,13.2300,13.88,13.16,13.49,16566754,222643420.0000,3,9.636978,1,1.965200,92.858489,4.231323,2.005567,-25.728388,0,13.236,12.566,12.028500000000005,1,1,1,1,1,87.83341603133975,89.39477050039665,84.71070709322595,-1,0.47729470940447705,0.2703557337595201,0.20693897564495695
2010-04-15,sh.600501,13.2700,13.46,13.02,13.32,8821054,116688663.0000,3,5.131259,1,-1.260200,91.688293,4.178000,1.980293,-25.404161,0,13.338,12.747,12.123000000000005,-1,1,1,1,1,81.03156087278496,85.92708836957468,71.24050587920556,-1,0.4983764598550806,0.3159598789786322,0.1824165808764484
2010-04-16,sh.600501,13.2800,13.43,12.95,13.4,9039173,119432371.0000,3,5.258140,1,0.600600,92.238974,4.203093,1.992187,-25.556739,0,13.382,12.916999999999998,12.223000000000004,1,1,1,1,1,79.57716476728085,82.81404722380186,73.1033998542388,-1,0.5155957633721613,0.35588705585733804,0.15970870751482324
2010-04-19,sh.600501,13.2900,13.47,12.51,12.61,9665846,126466603.0000,3,5.622679,1,-5.895500,86.801004,3.955299,1.874737,-24.050035,0,13.209999999999999,13.004,12.269000000000005,-1,-1,1,1,1,63.69505094614262,74.76792552873614,41.549301780955574,-1,0.46019099247104833,0.3767478431800801,0.08344314929096824
2010-04-20,sh.600501,12.5400,13.14,12.4,13.0,12237091,157556932.0000,3,7.118387,1,3.092800,89.485571,4.077628,1.932719,-24.793851,0,13.163999999999998,13.107,12.334000000000007,-1,-1,1,1,1,52.921702587218824,65.39797276688076,27.96916222789497,-1,0.44264946549757056,0.3899281676435782,0.05272129785399238
2010-04-21,sh.600501,12.9100,13.45,12.84,13.29,13300146,176380416.0000,3,7.736773,1,2.230800,91.481788,4.168590,1.975833,-25.346944,0,13.123999999999999,13.179999999999998,12.411000000000005,1,1,1,-1,1,46.62031386224928,54.41235579853691,31.03622998967404,-1,0.446995568689319,0.40134164785272636,0.04565392083659264
2010-04-22,sh.600501,13.2400,13.76,13.15,13.37,11361493,153276182.0000,3,6.609047,1,0.602000,92.032469,4.193684,1.987727,-25.499522,0,13.133999999999997,13.235999999999999,12.497500000000006,1,1,1,-1,1,56.300494042429456,51.94750349729918,65.00647513269001,1,0.45168843507955536,0.41141100529809216,0.0402774297814632
2010-04-23,sh.600501,13.3000,13.6,12.92,12.93,8763508,115641856.0000,3,5.097784,1,-3.290900,89.003726,4.055672,1.922312,-24.660346,0,13.039999999999997,13.210999999999999,12.581500000000005,-1,-1,1,-1,1,53.828828828828755,52.24987891116916,56.98672866414793,1,0.4151180205980669,0.4121524083580871,0.00296561223997982
