date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600505,10.3400,10.62,10.29,10.59,6023246,63095829.0000,3,1.777825,1,2.516900,24.170100,9.568202,10.266246,-709.952662,0,10.318000000000001,10.126000000000001,10.177000000000001,1,1,1,1,1,83.14727771249505,77.71575923749829,94.01031466248858,1,-0.13353566593143285,-0.2488128360555331,0.11527717012410024
2010-02-26,sh.600505,10.6300,10.67,10.48,10.56,3735080,39455876.0000,3,1.102448,1,-0.283300,24.101630,9.541096,10.237164,-707.941465,0,10.354000000000001,10.192000000000002,10.1495,1,1,1,1,1,91.39481096002838,82.80532084879907,108.57379118248699,1,-0.09757738295658314,-0.2185657454357431,0.12098836247915995
2010-03-01,sh.600505,10.6900,10.88,10.48,10.69,7027382,75346273.0000,3,2.074206,1,1.231100,24.398335,9.658553,10.363189,-716.656653,0,10.458,10.275000000000002,10.1495,1,1,1,1,1,88.39909679926564,87.64706182392969,89.90316674993753,1,-0.057922575691881306,-0.18643711148697073,0.12851453579508942
2010-03-02,sh.600505,10.7200,10.86,10.5,10.61,5399719,57425971.0000,3,1.593784,1,-0.748400,24.215747,9.586272,10.285635,-711.293461,0,10.556000000000001,10.345000000000002,10.1705,1,1,1,1,1,80.01236911047839,86.60209228992414,66.83292275158686,-1,-0.03257567455068333,-0.15566482409971324,0.12308914954902991
2010-03-03,sh.600505,10.6900,10.75,10.48,10.74,5141857,54863309.0000,3,1.517674,1,1.225300,24.512453,9.703729,10.411661,-720.008649,0,10.638000000000002,10.420000000000002,10.205000000000002,1,1,1,1,1,79.3595273286043,82.59033107944946,72.89791982691398,-1,-0.0019753881916173555,-0.12492693691809406,0.1229515487264767
2010-03-04,sh.600505,10.8000,10.82,10.13,10.2,6930611,72417000.0000,3,2.045643,1,-5.027900,23.279983,9.215832,9.888169,-683.807097,0,10.560000000000002,10.439000000000002,10.209,-1,-1,-1,1,1,61.13563478588936,73.50251040832403,36.40188354102003,-1,-0.021055216392445786,-0.1041525928129644,0.08309737642051862
2010-03-05,sh.600505,10.3000,10.36,10.11,10.2,4208188,42849225.0000,3,1.242091,1,0.000000,23.279983,9.215832,9.888169,-683.807097,0,10.488000000000003,10.421000000000003,10.2115,-1,-1,-1,1,1,46.23655913978487,62.24390708475951,14.221863249835593,-1,-0.03576385425471784,-0.0904748451013151,0.05471099084659725
2010-03-08,sh.600505,10.2300,10.3,10.15,10.21,3049931,31183197.0000,3,0.900219,1,0.098000,23.302807,9.224867,9.897864,-684.477496,0,10.392000000000003,10.425000000000002,10.2305,-1,-1,-1,-1,1,25.583982202447135,44.318725376040454,-11.8855041447395,-1,-0.04608242973935006,-0.08159636202892209,0.03551393228957203
2010-03-09,sh.600505,10.1500,10.23,10.02,10.15,3657054,36986052.0000,3,1.079418,1,-0.587700,23.165866,9.170656,9.839698,-680.455101,0,10.300000000000002,10.428000000000003,10.247499999999999,-1,-1,-1,-1,1,21.662168415667143,31.16090325263305,2.6646987417353287,-1,-0.058427952643386405,-0.07696268015181496,0.01853472750842855
2010-03-10,sh.600505,10.1800,10.18,9.88,10.0,4451527,44538989.0000,3,1.313915,1,-1.477800,22.823513,9.035129,9.694284,-670.399115,0,10.152000000000003,10.395000000000003,10.238,-1,-1,-1,-1,-1,16.70159493896462,21.31591518569297,7.472954445507931,-1,-0.0794003372246852,-0.07745021156638901,-0.0019501256582961923
2010-03-11,sh.600505,10.0100,10.06,9.9,9.91,3077973,30587542.0000,3,0.908496,1,-0.900000,22.618101,8.953813,9.607035,-664.365523,0,10.094000000000003,10.327000000000002,10.2265,-1,-1,-1,-1,-1,10.038759689922424,16.134174348184732,-2.1520696266021915,-1,-0.10210633269750247,-0.0823814357926117,-0.019724896904890765
2010-03-12,sh.600505,9.9500,10.02,9.85,9.88,2666870,26466513.0000,3,0.731516,1,-0.302700,22.549631,8.926708,9.577952,-662.354325,0,10.030000000000003,10.259000000000002,10.2255,-1,-1,-1,-1,-1,5.9900990099009475,10.910151212929334,-3.850005396155826,-1,-0.12112548775230181,-0.09013024618454972,-0.030995241567752088
2010-03-15,sh.600505,9.9400,9.94,9.72,9.77,2117536,20736732.0000,3,0.580835,1,-1.113400,22.298572,8.827321,9.471315,-654.979935,0,9.942000000000002,10.167000000000002,10.221,-1,-1,-1,-1,-1,3.505250525052457,6.511369741625278,-2.506987908093185,-1,-0.14342111649606437,-0.10078842024685265,-0.04263269624921172
2010-03-16,sh.600505,9.8000,9.94,9.79,9.93,1747814,17256265.0000,3,0.479421,1,1.637700,22.663748,8.971883,9.626424,-665.706321,0,9.898000000000001,10.099,10.222,1,-1,-1,-1,-1,8.868886888688817,6.121412141214075,14.363836383638299,1,-0.14649124025261884,-0.10992898424800589,-0.03656225600461295
2010-03-17,sh.600505,9.9500,10.14,9.92,10.1,3170408,31819697.0000,3,0.869635,1,1.712000,23.051748,9.125481,9.791227,-677.103106,0,9.918000000000003,10.035,10.2275,1,1,-1,-1,-1,27.670454545454444,13.348197319731907,56.31496899689951,1,-0.13366593846356345,-0.1146763750911174,-0.018989563372446047
2010-03-18,sh.600505,10.1200,10.15,9.96,10.08,2785742,27967186.0000,3,0.764122,1,-0.198000,23.006101,9.107410,9.771838,-675.762307,0,9.952000000000002,10.023,10.231,1,1,-1,-1,-1,46.84495820271672,27.794766545619996,84.94534151691016,1,-0.12368980813352337,-0.1164790616995986,-0.007210746433924775
2010-03-19,sh.600505,10.1200,10.15,10.06,10.09,2304910,23277011.0000,3,0.632231,1,0.099200,23.028924,9.116445,9.781532,-676.432707,0,9.994,10.012,10.2165,1,1,-1,-1,-1,64.66432837502805,46.39324704106641,101.20649104295133,1,-0.11366646034635686,-0.11591654142895025,0.0022500810825933915
2010-03-22,sh.600505,10.1200,10.2,10.1,10.18,3884722,39425613.0000,3,1.065570,1,0.892000,23.234336,9.197762,9.868781,-682.466299,0,10.076,10.009,10.217000000000002,1,1,-1,1,-1,76.81710615280588,62.775464243516886,104.90038997138386,1,-0.09733857862881834,-0.11220094886892387,0.014862370240105532
2010-03-23,sh.600505,10.1800,10.47,10.13,10.39,8714079,90289412.0000,3,2.390251,1,2.062900,23.713630,9.387499,10.072361,-696.544680,0,10.168000000000001,10.033,10.230500000000001,1,1,1,1,-1,85.90522875816988,75.79555442866793,106.12457741717381,1,-0.06668467040420722,-0.10309769317598054,0.036413022771773315
2010-03-24,sh.600505,10.2800,10.4,10.09,10.18,7063429,72101047.0000,3,1.937482,1,-2.021200,23.234336,9.197762,9.868781,-682.466299,0,10.184000000000001,10.050999999999998,10.223,-1,1,-1,1,-1,82.16666666666661,81.62966719254746,83.24066561490491,1,-0.05866027312960753,-0.09421020916670594,0.03554993603709841
2010-03-25,sh.600505,10.1700,10.17,9.78,9.8,6321230,62596055.0000,3,1.733898,1,-3.732800,22.367043,8.854427,9.500398,-656.991132,0,10.128,10.04,10.1835,-1,-1,-1,1,-1,53.77777777777769,73.94989106753806,13.433551198256964,-1,-0.08201824936028146,-0.09177181720542105,0.009753567845139588
2010-03-26,sh.600505,9.7900,9.99,9.68,9.9,3988933,39292062.0000,3,1.094155,1,1.020400,22.595278,8.944778,9.597341,-663.695123,0,10.09,10.042,10.150500000000001,-1,-1,-1,1,-1,33.282700421940866,56.40904828879505,-12.96999531176749,-1,-0.09140676920641866,-0.09169880760562057,0.000292038399201916
2010-03-29,sh.600505,9.9800,10.09,9.85,10.03,5495074,54845887.0000,3,1.507286,1,1.313100,22.891983,9.062235,9.723367,-672.410312,0,10.059999999999999,10.068000000000001,10.117500000000001,-1,-1,-1,-1,-1,27.606188466947902,38.22222222222214,6.374120956399423,-1,-0.0873504041946287,-0.0908291269234222,0.0034787227287935013
2010-03-30,sh.600505,10.0300,10.05,9.73,9.91,7454723,73520081.0000,3,2.044813,1,-1.196400,23.094455,8.922585,9.033256,3732.486381,0,9.963999999999999,10.065999999999999,10.0825,-1,-1,-1,-1,-1,33.755274261603326,31.548054383497355,38.169714017815274,1,-0.09274954380995482,-0.09121321030072872,-0.0015363335092260927
2010-03-31,sh.600505,9.8500,10.4,9.85,10.3,12963056,132456449.0000,3,3.555735,1,3.935400,24.003319,9.273726,9.388752,3879.375351,0,9.988,10.086,10.060500000000001,1,1,1,-1,-1,50.63291139240501,37.331458040318736,77.23581809657756,1,-0.06481155298082264,-0.08593287883674751,0.02112132585592487
2010-04-01,sh.600505,10.2900,10.74,10.2,10.47,14358059,151531059.0000,3,3.938382,1,1.650500,24.399490,9.426788,9.543712,3943.403876,0,10.122,10.125,10.074000000000002,1,1,1,-1,1,60.70774619855107,48.36531061751979,85.39261736061364,1,-0.028622966969614083,-0.07447089646332082,0.04584792949370674
2010-04-02,sh.600505,10.5000,10.7,10.4,10.51,8366662,88144359.0000,3,2.294956,1,0.382000,24.492707,9.462802,9.580173,3958.469411,0,10.244,10.167,10.089500000000001,1,1,1,1,1,77.1037337791577,62.81479712337125,105.68160709073058,1,0.0032469846570553074,-0.058927320239245594,0.0621743048963009
2010-04-06,sh.600505,10.5400,10.55,10.37,10.44,4499900,46936190.0000,3,1.234312,1,-0.666000,24.329577,9.399777,9.516366,3932.104724,0,10.325999999999999,10.193000000000001,10.101,1,1,1,1,1,74.84276729559743,70.88474909110205,82.75880370458819,1,0.022595271718895305,-0.04262280184761741,0.06521807356651271
2010-04-07,sh.600505,10.4100,10.44,10.16,10.33,5513000,56759386.0000,3,1.512203,1,-1.053600,24.073231,9.300737,9.416098,3890.674502,0,10.41,10.187000000000001,10.110000000000001,-1,1,1,1,1,70.44025157232697,74.12891754902735,63.0629196189262,-1,0.02872176133465132,-0.028353889211163663,0.05707565054581498
2010-04-08,sh.600505,10.2500,10.68,10.2,10.55,9531785,100003443.0000,3,2.614546,1,2.129700,24.585923,9.498817,9.616634,3973.534947,0,10.459999999999999,10.224,10.137500000000001,1,1,1,1,1,71.69811320754712,72.32704402515716,70.44025157232704,-1,0.050744261616687325,-0.012534259045593465,0.06327852066228079
2010-04-09,sh.600505,10.5300,10.74,10.45,10.54,6528903,69381855.0000,3,1.790863,1,-0.094800,24.562619,9.489813,9.607519,3969.768563,0,10.474,10.297999999999998,10.169,1,1,1,1,1,74.53141540569145,72.22326006185517,79.14772609336399,1,0.06662235429786278,0.0032970636230977846,0.063325290674765
2010-04-12,sh.600505,10.6500,10.78,10.52,10.77,7786885,82963043.0000,3,2.135924,1,2.182200,25.098616,9.696896,9.817171,4056.395391,0,10.526,10.384999999999998,10.213500000000002,1,1,1,1,1,87.10703684923743,77.77885515415865,105.763400239395,1,0.09665080464011844,0.021967811826501916,0.07468299281361652
2010-04-13,sh.600505,10.8800,10.88,10.3,10.79,10813777,115717276.0000,3,2.966193,1,0.185700,25.145224,9.714903,9.835402,4063.928159,0,10.596,10.460999999999999,10.264500000000002,1,1,1,1,1,90.16925825730966,83.93590350407949,102.63596776377003,1,0.12067137622291035,0.04170852470578361,0.07896285151712674
2010-04-14,sh.600505,10.7800,11.87,10.65,11.87,26095552,302994574.0000,3,7.157948,1,10.009300,27.662077,10.687294,10.819853,4470.697613,0,10.904,10.657,10.361500000000001,1,1,1,1,1,96.7699183233163,91.34873780995444,107.61227935004004,1,0.22426958613851156,0.0782207369923292,0.14604884914618235
