date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600511,28.3,28.3,28.3,28.3,0,0.0,3,,0,0.0,59.864587,13.620928,2.608486,442.600635,0,27.19600000000002,26.300999999999995,26.373,1,1,1,1,1,84.19802703690175,78.1707658600995,96.25254939050626,1,-0.09588656200648771,-0.5696448670922796,0.47375830508579186
2010-02-26,sh.600511,28.4,28.74,27.62,27.92,3030984,84474342.0,3,1.091682,1,-1.3428,59.060751,13.438032000000002,2.57346,436.657587,0,27.642000000000017,26.543999999999993,26.4255,1,1,1,1,1,83.46121057118502,83.74472081618842,82.89419008117824,-1,0.003654979609759579,-0.45498489775187173,0.4586398773616313
2010-03-01,sh.600511,27.92,28.45,27.61,28.26,1832485,51791317.0,3,0.660014,1,1.2178,59.779971999999994,13.601675,2.6047990000000003,441.975051,0,28.04800000000002,26.780999999999995,26.48,1,1,1,1,1,82.96904628548681,83.54276129785785,81.82161626074475,-1,0.1087242218491582,-0.34224307383166575,0.45096729568082394
2010-03-02,sh.600511,28.0,28.43,27.85,27.94,1704092,47967957.0,3,0.613770,1,-1.1323,59.103058,13.447657999999999,2.575304,436.970379,0,28.144000000000016,27.065999999999995,26.601500000000005,-1,1,1,1,1,79.66245807718526,82.03090497795235,74.92556427565111,-1,0.164277340733598,-0.24093899091861298,0.405216331652211
2010-03-03,sh.600511,28.1,28.4,27.25,27.93,2239486,61705231.0,3,0.806605,1,-0.0358,59.081905000000006,13.442845000000002,2.574382,436.813983,0,28.070000000000014,27.315999999999995,26.716,-1,1,1,1,1,79.33868623867134,80.6567302004478,76.70259831511842,-1,0.20513203683128012,-0.15172478536863437,0.3568568221999145
2010-03-04,sh.600511,27.98,28.35,27.01,27.05,2381999,65397713.0,3,0.857935,1,-3.1507,57.220391000000006,13.019297,2.49327,423.051137,0,27.820000000000014,27.508,26.7195,-1,-1,1,1,1,67.50256446686355,75.50123626090671,51.50522087877724,-1,0.16460358463622882,-0.08845911136766173,0.25306269600389053
2010-03-05,sh.600511,27.3,27.6,26.66,27.5,2421501,65857295.0,3,0.872162,1,1.6636,58.172301000000004,13.235884,2.534748,430.088956,0,27.73600000000001,27.689,26.744999999999997,-1,-1,1,1,1,55.422410434202895,67.4212203799126,31.424790542783484,-1,0.1668721353707454,-0.0373928620199803,0.2042649973907257
2010-03-08,sh.600511,27.5,28.05,27.24,27.29,1830154,50775921.0,3,0.659174,1,-0.7636,57.728077,13.13481,2.515392,426.804640,0,27.542000000000012,27.794999999999998,26.7435,-1,-1,1,-1,1,39.807705432705426,54.244226777923956,10.934662742268358,-1,0.14999567642632883,8.484566928152609e-05,0.1499108307570473
2010-03-09,sh.600511,27.3,27.6,26.88,27.19,2018699,54966109.0,3,0.727083,1,-0.3664,57.516541000000004,13.086679,2.506174,425.240681,0,27.392000000000014,27.768,26.793,-1,-1,1,-1,1,31.729325479325496,42.31981378207794,10.548348873820615,-1,0.1270868191174408,0.025485240358913384,0.1016015787585274
2010-03-10,sh.600511,27.1,27.4,26.38,26.4,1490835,39814117.0,3,0.536960,1,-2.9055,55.845409,12.706448,2.433358,412.885398,0,27.086000000000013,27.577999999999996,26.813,-1,-1,-1,-1,1,18.498297841518205,30.011776251183047,-4.528658977811482,-1,0.04467005832993465,0.02932220395311764,0.01534785437681701
