date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600520,12.6,12.93,12.47,12.67,2873336,36585902.0,3,2.541875,1,0.3167,-51.631403000000006,6.0450550000000005,9.043314,158.533450,0,12.400000000000002,12.205999999999998,12.279500000000002,1,1,1,1,1,83.6229004876287,75.70926895832078,99.45016354624454,1,-0.48907780290860003,-0.7517224491844227,0.2626446462758226
2010-02-26,sh.600520,12.67,13.62,12.53,13.27,5982424,78579073.0,3,5.292307,1,4.7356,-54.076457,6.331325,9.471569,166.040953,0,12.622,12.349999999999998,12.287500000000001,1,1,1,1,1,83.50662141786127,81.69623519298644,87.12739386761095,1,-0.3787092641931338,-0.6771198121861649,0.29841054799303113
2010-03-01,sh.600520,13.26,13.4,13.0,13.21,3187215,42049573.0,3,2.819546,1,-0.4521,-53.831952,6.302698,9.428744,165.290203,0,12.818000000000001,12.472999999999995,12.295000000000002,1,1,1,1,1,76.952049903721,81.36052393640364,68.13510183835575,-1,-0.29270873654776075,-0.6002375970584841,0.30752886051072337
2010-03-02,sh.600520,13.21,13.3,12.98,13.13,2112169,27605376.0,3,1.868515,1,-0.6056,-53.505945,6.264528,9.371642999999999,164.289202,0,12.982,12.582999999999995,12.3085,1,1,1,1,1,74.34912973526406,78.26926701894875,66.50885516789467,-1,-0.2283754600558261,-0.5258651696579525,0.2974897096021264
2010-03-03,sh.600520,13.1,13.37,13.01,13.35,2679594,35522309.0,3,2.370483,1,1.6756,-54.402465,6.369494,9.52867,167.041954,0,13.126,12.698999999999995,12.3575,1,1,1,1,1,75.47169811320761,75.59095925073086,75.23317583816112,-1,-0.15781946895752164,-0.4522560295178663,0.2944365605603447
2010-03-04,sh.600520,13.36,13.43,12.5,12.57,3266879,42304347.0,3,2.890020,1,-5.8427,-51.223894,5.997344,8.971939,157.282199,0,13.106,12.752999999999995,12.3865,-1,-1,1,1,1,61.774092323305176,70.53164005725893,44.25899685539767,-1,-0.16296426830833788,-0.39439767727596065,0.23143340896762277
2010-03-05,sh.600520,12.6,12.8,12.45,12.54,1310638,16473734.0,3,1.159446,1,-0.2387,-51.101641,5.98303,8.950526,156.906824,0,12.960000000000003,12.790999999999993,12.4165,-1,-1,1,1,1,48.046629010936165,61.76413981581629,20.611607401175917,-1,-0.16753111374492136,-0.3490243645697528,0.18149325082483142
2010-03-08,sh.600520,12.66,13.02,12.54,12.93,1821960,23328946.0,3,1.611783,1,3.11,-52.690927,6.169105,9.228892,161.786701,0,12.904000000000002,12.860999999999994,12.4875,1,1,1,1,1,37.509823270835184,49.11018153502548,14.309106742454588,-1,-0.13808882895882668,-0.30683725744756757,0.1687484284887409
2010-03-09,sh.600520,12.88,13.39,12.73,13.29,3108353,40485376.0,3,2.749781,1,2.7842,-54.157959,6.340867,9.485844,166.291203,0,12.936000000000002,12.958999999999993,12.559999999999999,1,1,1,-1,1,50.40110749969903,45.31918659382344,60.564949311450206,1,-0.08472990123229884,-0.26241578620451383,0.177685884972215
2010-03-10,sh.600520,13.41,13.74,13.16,13.26,3660604,49238023.0,3,3.238326,1,-0.2257,-54.035706999999995,6.326553,9.464432,165.915828,0,12.918000000000001,13.021999999999991,12.599999999999998,1,1,1,-1,1,61.998006724505224,49.96964583167979,86.0547285101561,1,-0.04435205299946432,-0.21880303956350394,0.17445098656403962
2010-03-11,sh.600520,13.3,13.3,12.81,12.85,2149640,27787022.0,3,1.901663,1,-3.092,-52.364919,6.130936,9.171791,160.785701,0,12.974,13.039999999999992,12.622999999999998,-1,-1,1,-1,1,55.19777380242493,55.86562934220971,53.862062722855384,-1,-0.04491810292531362,-0.18402605223586588,0.13910794931055226
2010-03-12,sh.600520,12.8,13.02,12.73,12.74,1414505,18220046.0,3,1.251331,1,-0.856,-51.916659,6.078453,9.093278,159.409325,0,13.014000000000001,12.986999999999991,12.668499999999998,-1,-1,1,1,1,38.75968992248061,51.98515681647024,12.308756134501351,-1,-0.05362463089655911,-0.15794576796800452,0.10432113707144541
2010-03-15,sh.600520,12.8,12.98,12.35,12.4,1292180,16299563.0,3,1.143117,1,-2.6688,-50.531128,5.916233999999999,8.8506,155.155073,0,12.908000000000001,12.905999999999992,12.689499999999999,-1,-1,-1,1,1,19.028498131727183,37.66198728554423,-18.238480175906908,-1,-0.08695738493788774,-0.14374809136198116,0.05679070642409342
2010-03-16,sh.600520,12.4,12.7,12.33,12.53,1146789,14348802.0,3,1.014498,1,1.0484,-51.06089,5.9782589999999995,8.943388,156.781699,0,12.756000000000002,12.845999999999993,12.714499999999997,-1,-1,-1,-1,1,13.42071320677252,23.736300420326756,-7.210461220335951,-1,-0.10171145280573235,-0.1353407636507314,0.03362931084499904
2010-03-17,sh.600520,12.6,12.91,12.55,12.91,1546450,19770478.0,3,1.368056,1,3.0327,-52.609425,6.1595629999999995,9.214616,161.536451,0,12.686000000000002,12.801999999999992,12.750499999999999,1,1,1,-1,-1,19.638757079442797,17.36265613931415,24.19095895970009,1,-0.08179841249927833,-0.12463229342044077,0.04283388092116244
2010-03-18,sh.600520,12.95,13.38,12.95,13.32,3757994,49656506.0,3,3.324482,1,3.1758,-54.280212,6.355180000000001,9.507257000000001,166.666578,0,12.780000000000001,12.876999999999992,12.814999999999998,1,1,1,-1,-1,41.843971631205626,24.967813972473635,75.59628694866961,1,-0.032558299296225,-0.10621749459559762,0.07365919529937262
2010-03-19,sh.600520,13.32,13.45,13.1,13.36,2369401,31441449.0,3,2.096073,1,0.3003,-54.44321600000001,6.374265,9.535808,167.167079,0,12.904000000000002,12.958999999999993,12.874999999999996,1,1,1,-1,1,61.46572104018909,40.9828165836125,102.43152995334226,1,0.0095820549146719,-0.08305758469354371,0.09263963960821561
2010-03-22,sh.600520,13.43,13.95,13.36,13.94,5614687,76993442.0,3,4.966991,1,4.3413,-56.806768000000005,6.650992,9.949786999999999,174.424332,0,13.212000000000003,13.059999999999992,12.9605,1,1,1,1,1,80.88170913230012,61.39713393456494,119.85085952777048,1,0.08875661100680254,-0.04869474555347446,0.13745135656027702
2010-03-23,sh.600520,13.85,14.64,13.79,14.34,8128080,115641134.0,3,7.190446,1,2.8694,-58.43680500000001,6.841838,10.235289999999999,179.429334,0,13.574000000000003,13.164999999999992,13.061999999999998,1,1,1,1,1,86.48178281748017,76.27640432998979,106.89253979246092,1,0.181685318930759,-0.0026187326566277577,0.18430405158738677
2010-03-24,sh.600520,14.35,14.6,14.28,14.33,4670330,67217153.0,3,4.131573,1,-0.0697,-58.39605400000001,6.837067,10.228153,179.304209,0,13.858000000000004,13.271999999999991,13.146999999999997,1,1,1,1,1,90.99192988081874,86.118473943533,100.73884175539021,1,0.25162450241612966,0.04822991435792373,0.20339458805820593
2010-03-25,sh.600520,14.33,14.48,14.0,14.37,4039978,57453814.0,3,3.573937,1,0.2791,-58.55905799999999,6.856152000000001,10.256703,179.804710,0,14.068000000000003,13.423999999999992,13.231999999999996,1,1,1,1,1,87.30158730158725,88.25843333329539,85.38789523817098,-1,0.30674352648681946,0.09993263678370287,0.2068108897031166
2010-03-26,sh.600520,14.34,14.58,14.25,14.43,3982198,57385623.0,3,3.522822,1,0.4175,-58.803563,6.884778999999999,10.299529,180.555460,0,14.282000000000005,13.592999999999993,13.289999999999996,1,1,1,1,1,88.60028860028855,88.96460192756484,87.87166194573598,-1,0.35121861911785146,0.1501898332505326,0.20102878586731887
2010-03-29,sh.600520,14.44,15.66,14.28,15.26,10141748,151767952.0,3,8.971822,1,5.7519,-62.185889,7.280785000000001,10.891948,190.940840,0,14.546000000000006,13.87899999999999,13.392499999999995,1,1,1,1,1,88.7863476287913,88.22940784355569,89.90022719926253,1,0.4482721119869755,0.20980628899782117,0.2384658229891543
2010-03-30,sh.600520,15.05,15.57,14.95,15.15,11648388,177042619.0,3,10.304660,1,-0.7208,-61.737629000000005,7.228302,10.813433999999999,189.564464,0,14.708000000000007,14.140999999999991,13.493499999999994,1,1,1,1,1,86.40938879426791,87.93200834111592,83.36414970057191,-1,0.5104277304800284,0.2699305772942626,0.2404971531857658
2010-03-31,sh.600520,15.0,15.28,14.85,14.93,7725119,116290280.0,3,6.833969,1,-1.4521,-60.841108999999996,7.123336999999999,10.656408,186.811713,0,14.828000000000008,14.342999999999993,13.572499999999994,1,1,1,1,1,79.93448349123763,85.04340663809894,69.71663719751498,-1,0.5357584545930454,0.32309615275401915,0.21266230183902624
2010-04-01,sh.600520,14.91,15.12,14.73,15.04,6045250,90566340.0,3,5.347886,1,0.7368,-61.28936899999999,7.175819000000001,10.734921,188.188089,0,14.962000000000009,14.514999999999992,13.695999999999994,1,1,1,1,1,75.23622168966253,80.52669799172268,64.65526908554222,-1,0.5582738828343796,0.3701316987700912,0.1881421840642884
2010-04-02,sh.600520,15.04,15.38,14.81,14.82,4375539,65695338.0,3,3.870788,1,-1.4628,-60.392849,7.070854,10.577894,185.435337,0,15.04000000000001,14.66099999999999,13.809999999999993,-1,1,1,1,1,66.53602238820429,73.90224252303481,51.80358211854323,-1,0.5520022225353163,0.40650580352313626,0.14549641901218002
2010-04-06,sh.600520,14.82,14.88,14.5,14.52,5076816,74390671.0,3,4.491168,1,-2.0243,-59.170320999999994,6.927719000000001,10.363767,181.681586,0,14.89200000000001,14.71899999999999,13.889499999999993,-1,-1,1,1,1,53.149664456477375,64.97396951144806,29.501054346535994,-1,0.5168662810185527,0.42857789902221954,0.08828838199633315
2010-04-07,sh.600520,14.56,14.99,14.52,14.75,4249291,62545008.0,3,3.759104,1,1.584,-60.107592000000004,7.037456,10.527931,184.559462,0,14.812000000000012,14.759999999999991,13.962499999999991,-1,-1,1,1,1,43.86207933337628,54.51592205935264,22.554393881423564,-1,0.5017954860294243,0.4432214164236605,0.05857406960576378
2010-04-08,sh.600520,14.8,15.15,14.62,15.05,5656685,84521485.0,3,5.004145,1,2.0339,-61.330118999999996,7.18059,10.742059,188.313214,0,14.836000000000013,14.83199999999999,14.051999999999992,1,1,1,1,1,44.41453758295594,47.14209379093652,38.95942516699476,-1,0.5082010399720804,0.45621734113334445,0.05198369883873599
2010-04-09,sh.600520,15.18,15.44,15.0,15.27,5014796,76726573.0,3,4.436302,1,1.4618,-62.226639,7.285556,10.899085000000001,191.065965,0,14.882000000000014,14.921999999999992,14.172999999999991,1,1,1,-1,1,57.8858139929437,48.72081030309196,76.2158213726472,1,0.5249780290727699,0.4699694787212295,0.0550085503515404
2010-04-12,sh.600520,15.27,15.62,15.05,15.1,4212153,64184115.0,3,3.726250,1,-1.1133,-61.533874,7.204446000000001,10.777747,188.938839,0,14.938000000000013,14.98899999999999,14.290999999999991,1,1,1,-1,1,60.68271588623114,54.32768915404358,73.39276935060627,1,0.5185784845895753,0.4796912798948987,0.03888720469467666
2010-04-13,sh.600520,15.1,15.2,14.0,14.47,4411718,64132037.0,3,3.902794,1,-4.1722,-58.966567000000005,6.903863,10.328078999999999,181.055960,0,14.928000000000015,14.909999999999991,14.394499999999994,-1,-1,1,1,1,51.44096822840785,56.66983270252755,40.98323928016843,-1,0.4573984598851961,0.4752327158929582,-0.01783425600776206
2010-04-14,sh.600520,14.38,15.14,14.21,15.07,3111232,45692603.0,3,2.752328,1,4.1465,-61.411621,7.190133,10.756333999999999,188.563464,0,14.992000000000013,14.90199999999999,14.521499999999994,1,1,1,1,1,49.5443856554968,53.88935659004525,40.854443786399884,-1,0.45211612189874195,0.4706093970941149,-0.01849327519537297
2010-04-15,sh.600520,15.05,16.58,14.82,16.58,13069345,209067519.0,3,11.561699,1,10.0199,-67.565009,7.910577,11.834108,207.457348,0,15.298000000000012,15.06699999999999,14.704999999999993,1,1,1,1,1,65.02057613168726,55.3353100051973,84.39110838466718,1,0.5632810579845842,0.4891437292722088,0.07413732871237538
2010-04-16,sh.600520,16.59,17.47,16.21,16.63,11884404,199627809.0,3,10.513450,1,0.3016,-67.768763,7.934433,11.869796000000001,208.082973,0,15.570000000000013,15.22599999999999,14.870499999999993,1,1,1,1,1,80.61396330688679,65.05964169802361,111.72260652461316,1,0.6479455400121292,0.5209040914201929,0.12704144859193633
2010-04-19,sh.600520,16.31,16.55,15.71,15.8,6363672,102803353.0,3,5.629575,1,-4.991,-64.386438,7.538427,11.277377,197.697593,0,15.710000000000013,15.323999999999993,14.992499999999993,1,1,1,1,1,75.88856868395776,73.84103604084395,79.98363397018537,1,0.6406832904324329,0.5448599312226409,0.09582335920979201
2010-04-20,sh.600520,15.78,17.38,15.37,17.38,8930561,148956949.0,3,7.900355,1,10.0,-70.82508100000001,8.29227,12.405114999999999,217.467352,0,16.292000000000012,15.60999999999999,15.164499999999993,1,1,1,1,1,75.02401536983672,77.17551578689375,70.72101453572265,-1,0.753732145714066,0.5866343741209259,0.1670977715931401
2010-04-21,sh.600520,17.38,17.6,17.0,17.2,9458015,163936395.0,3,8.366963,1,-1.0357,-70.091565,8.206389,12.276638,215.215101,0,16.718000000000014,15.85499999999999,15.307499999999994,1,1,1,1,1,79.38947593126268,76.76735332835239,84.63372113708328,1,0.8193546716958124,0.6331784336359032,0.18617623805990924
2010-04-22,sh.600520,17.22,17.7,16.84,16.9,8146948,140424660.0,3,7.207137,1,-1.7442,-68.869038,8.063253999999999,12.062511,211.461350,0,16.782000000000018,16.03999999999999,15.435999999999993,1,1,1,1,1,88.22453577496803,80.87934235868914,102.9149226075258,1,0.8374993325453772,0.674042613417798,0.1634567191275792
2010-04-23,sh.600520,16.7,17.32,16.44,16.8,4223849,71094319.0,3,3.736597,1,-0.5917,-68.461529,8.015543,11.991135,210.210099,0,16.816000000000017,16.19299999999999,15.557499999999994,-1,1,1,1,1,80.98098098098097,82.8649975624039,77.21294781813512,-1,0.8341938750053455,0.7060728657353075,0.128121009270038
2010-04-26,sh.600520,16.8,17.42,16.75,16.97,3355399,57365272.0,3,2.968329,1,1.0119,-69.154294,8.096652,12.112474,212.337225,0,17.05000000000002,16.37999999999999,15.684499999999991,-1,1,1,1,1,77.712382869976,82.30596654197501,68.52521552597796,-1,0.8356588997246313,0.7319900725331723,0.10366882719145898
2010-04-27,sh.600520,17.0,17.06,15.8,15.93,3478892,56535233.0,3,3.077576,1,-6.1285,-64.9162,7.600452000000001,11.370166000000001,199.324219,0,16.76000000000002,16.52599999999999,15.717999999999993,-1,-1,1,1,1,64.43347896607209,74.37561427234301,44.54920835353025,-1,0.7443205698069839,0.7344561719879346,0.009864397819049353
2010-04-28,sh.600520,15.99,16.18,15.8,15.91,2739472,43728603.0,3,2.423454,1,-0.1255,-64.834698,7.590910000000001,11.355891,199.073969,0,16.502000000000017,16.609999999999992,15.755999999999995,-1,-1,1,-1,1,46.93357562925888,63.02647915510232,14.747768577572003,-1,0.662681472922138,0.7201012321747753,-0.057419759252637315
2010-04-29,sh.600520,16.02,16.48,14.52,14.61,3763828,58638699.0,3,3.329643,1,-8.171,-32.212309999999995,7.966977,9.600418,31.167399,0,16.04400000000002,16.412999999999993,15.739999999999995,-1,-1,-1,-1,1,21.515940337049344,44.29433164412677,-24.04084227710551,-1,0.48746358820697644,0.6735737033812155,-0.18611011517423903
2010-04-30,sh.600520,14.78,14.78,13.98,14.46,2196124,31454315.0,3,1.942785,1,-1.0267,-31.881588,7.88518,9.501851,30.847405,0,15.576000000000022,16.195999999999994,15.710999999999993,-1,-1,-1,-1,-1,12.969793383644332,27.13976978331752,-15.370159415702041,-1,0.33266366612863685,0.6053916959306997,-0.2727280298020629
2010-05-04,sh.600520,14.3,14.83,14.04,14.48,1289051,18785103.0,3,1.140349,1,0.1383,-31.925684000000004,7.896086,9.514992999999999,30.890071,0,15.078000000000022,16.063999999999993,15.693999999999994,-1,-1,-1,-1,-1,9.72475823358356,14.736830651425743,-0.2993866021008067,-1,0.20918607856152072,0.5261505724568639,-0.3169644938953432
2010-05-05,sh.600520,14.48,15.2,14.31,15.19,2726162,40447403.0,3,2.411679,1,4.9033,-33.491101,8.283256,9.981542999999999,32.404709,0,14.930000000000025,15.844999999999994,15.727499999999996,1,-1,-1,-1,-1,19.623655913978496,14.106069177068795,30.658829387797898,1,0.16669866860367577,0.4542601916862263,-0.2875615230825505
2010-05-06,sh.600520,15.01,15.48,14.25,14.28,3102450,45685993.0,3,2.744559,1,-5.9908,-31.484721,7.787024000000001,9.383571,30.463413,0,14.604000000000024,15.552999999999994,15.703999999999994,-1,-1,-1,-1,-1,18.22955738934732,15.859323845636458,22.970024476769044,1,0.058918519279398396,0.3751918572048607,-0.3162733379254623
2010-05-07,sh.600520,13.99,14.6,13.75,14.15,1906735,27033243.0,3,1.686779,1,-0.9104,-31.198096000000003,7.716133999999999,9.298146000000001,30.186085,0,14.512000000000025,15.277999999999995,15.658999999999992,-1,-1,-1,-1,-1,17.382331504765364,18.411848269363727,15.323297975568643,-1,-0.036566424143092746,0.29284020093527,-0.32940662507836277
2010-05-10,sh.600520,14.36,14.43,13.48,13.66,1562860,21668255.0,3,1.382573,1,-3.4629,-30.117738,7.448932000000001,8.976161,29.140772,0,14.352000000000027,14.963999999999993,15.578499999999995,-1,-1,-1,-1,-1,8.216015251586619,14.609301381899767,-4.570557009039678,-1,-0.1500481727032419,0.20426252620756763,-0.3543106989108095
2010-05-11,sh.600520,14.03,14.12,13.0,13.1,1823154,24746126.0,3,1.612840,1,-4.0996,-28.883043,7.143559,8.608178,27.946128,0,14.076000000000025,14.576999999999993,15.478499999999993,-1,-1,-1,-1,-1,6.266892913530849,10.62174655662761,-2.4428143726626743,-1,-0.2819207885528954,0.10702586325547503,-0.3889466518083704
