date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600521,26.56,26.66,26.28,26.65,420207,11123337.0,3,0.140431,1,0.2634,51.500445,7.062786,9.498474,57.005967,0,25.99000000000002,25.514999999999997,25.871500000000008,1,1,1,1,1,87.12971169574206,72.45611895164753,116.47689718393113,1,-0.4045565138984486,-0.6916555187352036,0.287099004836755
2010-02-26,sh.600521,26.68,27.0,26.5,26.85,621892,16694797.0,3,0.207833,1,0.7505,51.88694,7.11579,9.569757000000001,57.433779,0,26.300000000000022,25.7,25.893500000000007,1,1,1,1,1,85.26359099596512,81.91666165346804,91.95744968095929,1,-0.3004996174488035,-0.6134243384779235,0.31292472102912006
2010-03-01,sh.600521,26.88,28.4,26.88,28.21,2144641,59515060.0,3,0.716729,1,5.0652,54.515105000000005,7.476217999999999,10.054482,60.342902,0,26.84600000000002,26.04,26.022500000000008,1,1,1,1,1,89.87180649937473,87.42170306369395,94.77201337073629,1,-0.1070590334218835,-0.5121512774667155,0.405092244044832
2010-03-02,sh.600521,28.49,28.49,27.7,27.78,1006725,28123147.0,3,0.336443,1,-1.5243,53.684141000000004,7.362259,9.901223,59.423106,0,27.21400000000002,26.316999999999997,26.13350000000001,1,1,1,1,1,89.26491636731033,88.13343795421672,91.52787319349758,1,0.011415031367548067,-0.4074380156998628,0.4188530470674109
2010-03-03,sh.600521,27.51,27.99,27.5,27.83,470740,13091088.0,3,0.157319,1,0.18,53.780765,7.37551,9.919044,59.530059,0,27.46400000000002,26.591999999999995,26.20900000000001,1,1,1,1,1,85.83896634128223,88.32522973598908,80.86643955186852,-1,0.10809511026106122,-0.304331390507678,0.4124265007687392
2010-03-04,sh.600521,27.7,27.99,26.79,27.17,1181324,32271223.0,3,0.394793,1,-2.3715,52.505331999999996,7.200597,9.683810000000001,58.118279,0,27.56800000000002,26.778999999999996,26.22200000000001,-1,1,1,1,1,74.5089208643894,83.20426785766064,57.11822687784692,-1,0.12996018506069618,-0.21747307539400315,0.34743326045469936
2010-03-05,sh.600521,27.21,27.4,26.67,26.78,553983,14918995.0,3,0.185138,1,-1.4354,51.751667,7.097239,9.544808,57.284045,0,27.55400000000002,26.927,26.22650000000001,-1,-1,1,1,1,63.71681415929208,74.68823378832123,41.77397490123377,-1,0.11449880280900615,-0.15107869975340127,0.2655775025624074
2010-03-08,sh.600521,27.01,28.0,26.8,27.95,1773796,48646064.0,3,0.592794,1,4.3689,54.012662,7.407311999999999,9.961814,59.786746,0,27.502000000000017,27.174,26.280000000000012,1,1,1,1,1,63.20259862493262,67.14277788287136,55.322240109055144,-1,0.19441368790743496,-0.08198022222123402,0.276393910128669
2010-03-09,sh.600521,27.8,28.8,27.55,28.41,2315384,65429761.0,3,0.773790,1,1.6458,54.9016,7.529222,10.125765,60.770714,0,27.628000000000014,27.421000000000003,26.374500000000012,1,1,1,1,1,71.02321949865082,65.98087742762517,81.10790364070212,1,0.291504681213528,-0.007283241534281615,0.29878792274780963
2010-03-10,sh.600521,28.45,28.88,27.68,28.16,1707515,48174469.0,3,0.570643,1,-0.88,54.418482,7.462967,10.036661,60.235949,0,27.694000000000017,27.579000000000008,26.491000000000014,1,1,1,1,1,77.75334517724083,70.65972110027475,91.940593331173,1,0.3443081126503422,0.06303502930264315,0.28127308334769907
2010-03-11,sh.600521,27.71,28.34,27.0,27.36,944349,25817959.0,3,0.315597,1,-2.8409,52.872502000000004,7.250951,9.751529,58.524700,0,27.732000000000017,27.650000000000006,26.582500000000017,-1,-1,1,1,1,61.83114271349566,70.20256912979578,45.08828988089542,-1,0.3179369194723414,0.1140154073365828,0.20392151213575857
2010-03-12,sh.600521,27.49,27.63,27.08,27.4,370700,10168408.0,3,0.123886,1,0.1462,52.949801,7.261551,9.765786,58.610263,0,27.856000000000016,27.705000000000005,26.702500000000015,-1,-1,1,1,1,44.667097608274055,61.41719516633685,11.166902492148466,-1,0.29684339866938103,0.15058100560314244,0.1462623930662386
2010-03-15,sh.600521,26.88,27.6,26.0,27.39,851218,22780804.0,3,0.284473,1,-0.0365,52.930476,7.258901,9.762221,58.588872,0,27.744000000000018,27.623000000000008,26.831500000000016,-1,-1,1,1,1,37.505760851349066,48.001333724372934,16.51461510530133,-1,0.2761365843802288,0.17569212135855972,0.1004444630216691
2010-03-16,sh.600521,26.51,27.37,26.51,27.24,264203,7118358.0,3,0.088295,1,-0.5476,52.64060500000001,7.219148,9.708758999999999,58.268013,0,27.51000000000002,27.569000000000006,26.94300000000002,-1,-1,1,-1,1,41.450372884196405,41.20774378127319,41.93563109004283,1,0.24480062920348544,0.18951382292754487,0.05528680627594057
2010-03-17,sh.600521,27.2,27.49,26.36,27.14,1588033,42482450.0,3,0.530713,1,-0.3671,52.447357999999994,7.192646000000001,9.673117999999999,58.054107,0,27.30600000000002,27.500000000000007,27.046000000000014,-1,-1,1,-1,1,43.634259259259295,40.8634643316016,49.17584911457469,1,0.2094827084330646,0.1935076000286488,0.015975108404415794
2010-03-18,sh.600521,26.9,27.09,26.18,26.33,2917215,77274410.0,3,0.974919,1,-2.9845,50.882053000000006,6.9779800000000005,9.384421000000001,56.321468,0,27.100000000000016,27.416000000000004,27.097500000000018,-1,-1,-1,-1,1,31.365740740740744,38.81679096139883,16.46364029942457,-1,0.11480932083876638,0.17776794419067232,-0.06295862335190594
2010-03-19,sh.600521,26.28,26.79,26.0,26.53,921605,24291339.0,3,0.307996,1,0.7596,51.268547999999996,7.030983999999999,9.455703999999999,56.749280,0,26.926000000000016,27.391000000000002,27.15900000000002,-1,-1,-1,-1,-1,23.14814814814818,32.716049382716086,4.01234567901237,-1,0.0552810619447861,0.15327056774149508,-0.09798950579670898
2010-03-22,sh.600521,26.53,26.53,26.53,26.53,0,0.0,3,,0,0.0,51.268547999999996,7.030983999999999,9.455703999999999,56.749280,0,26.75400000000002,27.249000000000002,27.21150000000002,-1,-1,-1,-1,-1,16.087962962963,23.533950617283992,1.1959876543210157,-1,0.008012129056968575,0.12421888000458978,-0.1162067509476212
2010-03-23,sh.600521,26.8,27.01,26.24,26.54,1663232,44097173.0,3,0.555844,1,0.0377,48.136396999999995,6.663196000000001,8.557917999999999,60.396409,0,26.614000000000022,27.062,27.241500000000013,-1,-1,-1,-1,-1,19.960826210826255,19.732312440645828,20.41785375118711,1,-0.02831552068769838,0.09371199986613214,-0.12202752055383052
2010-03-24,sh.600521,26.58,26.78,26.02,26.49,1371321,36059281.0,3,0.458289,1,-0.1884,48.045711,6.650643,8.541795,60.282625,0,26.48400000000002,26.895,27.237000000000013,1,-1,-1,-1,-1,23.847016849317466,19.965268674368925,31.610513199214544,1,-0.060443274525393775,0.06288094498782695,-0.12332421951322073
2010-03-25,sh.600521,26.5,26.5,25.9,26.0,1021260,26586097.0,3,0.341300,1,-1.8498,47.156983000000004,6.527623,8.383792999999999,59.167544,0,26.418000000000017,26.758999999999997,27.204500000000014,-1,-1,-1,-1,-1,19.673541903783704,21.16046165464249,16.699702402066137,-1,-0.1240140984777156,0.02550193629471844,-0.14951603477243405
2010-03-26,sh.600521,25.8,26.22,25.49,26.14,1655391,42669889.0,3,0.553224,1,0.5385,47.410905,6.562771000000001,8.428936,59.486139,0,26.34000000000002,26.633,27.16900000000001,-1,-1,-1,-1,-1,22.814567544809393,22.111708765970203,24.22028510248777,1,-0.16123894233235347,-0.011846239430695946,-0.14939270290165751
2010-03-29,sh.600521,26.28,26.79,25.7,26.17,2615566,68249394.0,3,0.874110,1,0.1148,47.465317,6.570303,8.43861,59.554409,0,26.26800000000002,26.511000000000003,27.067000000000007,-1,-1,-1,-1,-1,24.127450980392297,22.20518680966181,27.97197932185327,1,-0.18617306281866774,-0.046711604108290304,-0.13946145871037743
2010-03-30,sh.600521,26.09,26.51,25.6,26.02,2014876,52602180.0,3,0.673362,1,-0.5732,47.193257,6.532644,8.390242,59.213058,0,26.164000000000023,26.389,26.979000000000006,-1,-1,-1,-1,-1,33.208333333333464,26.716783952845066,46.191432094310265,1,-0.21555252402226088,-0.08047978809108441,-0.13507273593117647
