date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600523,25.03,26.87,25.03,26.42,2931853,76985442.0,3,2.086481,1,5.5955,91.506455,5.574306,4.632773,-870.947966,0,24.775999999999996,23.957000000000004,22.960500000000003,1,1,1,1,1,89.33126830771909,87.5665935937575,92.86061773564225,1,1.5583320195476453,1.3950276667120352,0.16330435283561018
2010-02-26,sh.600523,26.2,26.87,26.01,26.5,2519549,66534449.0,3,1.793061,1,0.3028,91.783537,5.591185,4.646801,-873.585205,0,25.323999999999995,24.273000000000003,23.1615,1,1,1,1,1,89.5120526014217,88.56515783315166,91.40584213796177,1,1.6463388169760265,1.4452898967648333,0.20104892021119314
2010-03-01,sh.600523,26.34,26.35,25.35,25.43,3997671,102571204.0,3,2.844981,1,-4.0377,88.07755999999999,5.3654269999999995,4.459176,-838.312142,0,25.655999999999995,24.528000000000006,23.323,-1,1,1,1,1,84.53622245085073,87.79318111999719,78.0223051125578,-1,1.6111721902663412,1.478466355465135,0.13270583480120623
2010-03-02,sh.600523,25.43,25.43,24.56,24.77,5507425,137172712.0,3,3.919412,1,-2.5954,85.79163100000001,5.226175,4.343444,-816.554925,0,25.627999999999997,24.803000000000004,23.5255,-1,-1,1,1,1,70.39219506853412,81.48015670693553,48.21627179173129,-1,1.5126094805619843,1.4852949804845048,0.027314500077479487
2010-03-03,sh.600523,24.8,25.38,24.8,24.97,4484754,112243531.0,3,3.191618,1,0.8074,86.484336,5.268373,4.378514,-823.148021,0,25.617999999999995,24.909000000000006,23.7385,-1,1,1,1,1,57.34306002347239,70.75715918095243,30.514861708512313,-1,1.434104685431084,1.4750569214738207,-0.04095223604273679
2010-03-04,sh.600523,24.97,25.55,24.3,24.64,4198530,105421039.0,3,2.987924,1,-1.3216,85.34137199999999,5.198747,4.320648,-812.269413,0,25.261999999999993,25.019000000000005,23.909,-1,-1,1,1,1,48.976248976248975,58.90383468941851,29.121077549909913,-1,1.3299302198962621,1.446031581158309,-0.11610136126204695
2010-03-05,sh.600523,24.7,25.46,24.6,24.71,2664844,66478849.0,3,1.896462,1,0.2841,85.58381899999999,5.213516,4.332923,-814.576997,0,24.903999999999996,25.114000000000008,24.077999999999996,-1,-1,1,-1,1,48.4848484848485,51.60138582818996,42.25177379816557,-1,1.2387401945354064,1.4045733038337285,-0.16583310929832207
2010-03-08,sh.600523,24.71,24.86,24.33,24.62,2859657,70036270.0,3,2.035102,1,-0.3642,85.272101,5.194527,4.317141,-811.610103,0,24.741999999999997,25.199000000000005,24.229999999999997,-1,-1,1,-1,1,34.86298466843217,44.10802737650989,16.372899252276724,-1,1.1459988334175222,1.3528584097504872,-0.20685957633296503
2010-03-09,sh.600523,24.63,24.69,24.37,24.54,1821330,44570356.0,3,1.296167,1,-0.3249,84.995019,5.1776480000000005,4.303113,-808.972865,0,24.695999999999998,25.162000000000006,24.27,-1,-1,1,-1,1,22.906210065743153,35.418014406341285,-2.117398615453112,-1,1.053896640707869,1.2930660559419636,-0.23916941523409463
2010-03-10,sh.600523,24.5,24.5,22.9,23.0,4381450,103059125.0,3,3.118101,1,-6.2755,79.661183,4.8527260000000005,4.033073,-758.206027,0,24.302,24.960000000000004,24.296,-1,-1,-1,-1,1,8.102924985379998,21.957373239851787,-19.605971523563582,-1,0.8468775821381094,1.2038283611811926,-0.35695077904308326
