date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600533,6.16,6.28,6.12,6.27,13326460,82883307.0,3,1.269187,1,2.2838,29.499453000000003,2.430215,2.989692,15.899176,0,6.094,6.0009999999999994,5.951,1,1,1,1,1,91.61401246507624,84.09019270721397,106.66165198080077,1,-0.08290607450274123,-0.17835796217943795,0.09545188767669671
2010-02-26,sh.600533,6.28,6.34,6.23,6.26,11417182,71839977.0,3,1.087351,1,-0.1595,29.452403999999998,2.426339,2.9849240000000004,15.873818,0,6.138000000000001,6.041999999999999,5.9595,1,1,1,1,1,93.0519209618083,89.04689363387735,101.06197561767021,1,-0.05825502740462962,-0.15433737522447627,0.09608234781984665
2010-03-01,sh.600533,6.23,6.35,6.22,6.3,9468361,59563086.0,3,0.901749,1,0.639,29.640597999999997,2.441843,3.003997,15.975248,0,6.202000000000001,6.083999999999998,5.973999999999999,1,1,1,1,1,90.58979974968707,91.75191105885722,88.26557713134679,-1,-0.0350867708188769,-0.1304872543433564,0.0954004835244795
2010-03-02,sh.600533,6.29,6.34,6.22,6.27,7913300,49592731.0,3,0.753648,1,-0.4762,29.499453000000003,2.430215,2.989692,15.899176,0,6.246,6.123999999999998,5.999499999999999,1,1,1,1,1,84.9498132586368,89.53051132337741,75.78841712915556,-1,-0.018928315991646905,-0.1081754666730145,0.0892471506813676
2010-03-03,sh.600533,6.31,6.33,6.22,6.29,9878366,61875782.0,3,0.940797,1,0.319,29.59355,2.437967,2.999228,15.949891,0,6.2780000000000005,6.157999999999998,6.024499999999999,1,1,1,1,1,85.4166666666667,86.98542655833019,82.27914688333973,-1,-0.004457409035935278,-0.08743185514559866,0.08297444610966338
2010-03-04,sh.600533,6.3,6.38,6.06,6.1,13347565,83538841.0,3,1.271197,1,-3.0207,28.699627000000003,2.3643240000000003,2.908632,15.468098,0,6.2440000000000015,6.168999999999998,6.0379999999999985,-1,-1,1,1,1,68.14814814814817,79.50487602448389,45.43469239547673,-1,-0.008225702343729324,-0.07159062458522479,0.06336492224149547
2010-03-05,sh.600533,6.1,6.1,6.1,6.1,0,0.0,3,,0,0.0,28.699627000000003,2.3643240000000003,2.908632,15.468098,0,6.2120000000000015,6.174999999999998,6.051499999999999,-1,-1,1,1,1,53.75661375661377,69.10714285714288,23.055555555555543,-1,-0.011084328697770651,-0.05948936540773396,0.04840503670996331
2010-03-08,sh.600533,6.19,6.31,6.11,6.23,8487979,52884605.0,3,0.808379,1,2.1311,29.311258000000002,2.414711,2.9706189999999997,15.797746,0,6.198000000000002,6.199999999999998,6.067999999999999,1,1,1,-1,1,46.32339656729903,56.076052824020316,26.818084053856452,-1,-0.0028273057136400936,-0.04815695346891519,0.04532964775527509
2010-03-09,sh.600533,6.24,6.51,6.22,6.38,22058286,140977840.0,3,2.100789,1,2.4077,30.016987,2.47285,3.042143,16.178109,0,6.2200000000000015,6.232999999999999,6.095999999999998,1,1,1,-1,1,57.43450767841017,52.50483933410766,67.2938443670152,1,0.015639903811973888,-0.03539758201273737,0.05103748582471126
2010-03-10,sh.600533,6.38,6.41,6.26,6.32,9348455,59105600.0,3,0.890329,1,-0.9404,29.734696000000003,2.449594,3.0135330000000002,16.025963,0,6.226000000000002,6.251999999999999,6.113999999999999,1,1,1,-1,1,64.1011743450769,55.953026196928704,80.39747064137327,1,0.025143957955267027,-0.02328927401913649,0.048433231974403516
2010-03-11,sh.600533,6.3,6.39,6.2,6.24,6198923,38865132.0,3,0.590374,1,-1.2658,29.358307,2.418587,2.975387,15.823103,0,6.254000000000002,6.248999999999999,6.124999999999998,-1,-1,1,1,1,56.2962962962964,59.277326106594494,50.33423667570021,-1,0.025921847008214094,-0.013447049813666373,0.03936889682188047
2010-03-12,sh.600533,6.22,6.26,6.13,6.15,5627847,34841936.0,3,0.535985,1,-1.4423,28.93487,2.3837029999999997,2.932473,15.594885,0,6.264000000000001,6.237999999999999,6.139999999999999,-1,-1,1,1,1,39.2592592592594,53.21890996687757,11.339957844023061,-1,0.01905641140003045,-0.006946357570927008,0.026002768970957456
2010-03-15,sh.600533,6.16,6.19,6.0,6.04,5401617,32721791.0,3,0.514440,1,-1.7886,28.417336,2.341068,2.8800220000000003,15.315952,0,6.226000000000001,6.211999999999999,6.148,-1,-1,-1,1,1,22.61437908496742,39.389978213507746,-10.936819172113232,-1,0.004685413001595862,-0.004620003456422434,0.009305416458018296
2010-03-16,sh.600533,6.05,6.1,6.01,6.09,3598109,21792590.0,3,0.342677,1,0.8278,28.652579,2.360448,2.9038630000000003,15.442740,0,6.168000000000001,6.194,6.159,-1,-1,-1,-1,1,15.16339869281051,25.679012345679116,-5.867828612926701,-1,-0.0026387072593037075,-0.004223744216998689,0.0015850369576949812
2010-03-17,sh.600533,6.12,6.22,6.08,6.21,5233786,32297280.0,3,0.498456,1,1.9704,29.217160999999997,2.406959,2.9610819999999998,15.747031,0,6.146000000000002,6.186,6.171999999999999,1,1,1,-1,-1,22.222222222222225,20.000000000000057,26.666666666666558,1,0.0012257421916643807,-0.0031338469352660747,0.004359589126930455
2010-03-18,sh.600533,6.22,6.39,6.22,6.32,12026908,76059019.0,3,1.145420,1,1.7713,29.734696000000003,2.449594,3.0135330000000002,16.025963,0,6.162000000000002,6.208,6.1884999999999994,1,1,1,-1,-1,40.52287581699349,25.969498910675412,69.62962962962965,1,0.013014404955907999,9.580344296874045e-05,0.012918601512939259
2010-03-19,sh.600533,6.32,6.42,6.3,6.35,10257142,65167909.0,3,0.976871,1,0.4747,29.875840999999998,2.4612220000000002,3.027838,16.102036,0,6.202000000000003,6.233,6.203999999999999,1,1,1,-1,-1,57.51633986928107,40.08714596949893,92.37472766884535,1,0.02449538683722885,0.004975720121820763,0.019519666715408085
2010-03-22,sh.600533,6.35,6.4,6.3,6.35,6058245,38328503.0,3,0.576976,1,0.0,29.875840999999998,2.4612220000000002,3.027838,16.102036,0,6.264000000000003,6.244999999999999,6.222499999999998,1,1,1,1,1,71.56862745098039,56.53594771241831,101.63398692810453,1,0.03321130840422093,0.010622837778300797,0.022588470625920135
2010-03-23,sh.600533,6.35,6.36,6.25,6.27,6114147,38460683.0,3,0.582300,1,-1.2598,29.499453000000003,2.430215,2.989692,15.899176,0,6.3000000000000025,6.233999999999999,6.233499999999998,-1,1,1,1,1,72.08216619981319,67.0557111733582,82.13507625272317,1,0.03327977905181623,0.015154226033003884,0.018125553018812343
2010-03-24,sh.600533,6.3,6.33,6.23,6.26,5991855,37535026.0,3,0.570653,1,-0.1595,29.452403999999998,2.426339,2.9849240000000004,15.873818,0,6.310000000000002,6.227999999999999,6.239999999999998,-1,1,1,1,1,69.84126984126978,71.16402116402111,67.19576719576713,-1,0.03215644660703365,0.018554670147809836,0.013601776459223815
2010-03-25,sh.600533,6.24,6.25,6.08,6.12,10449387,64123962.0,3,0.995180,1,-2.2364,28.793723999999997,2.372076,2.918168,15.518813,0,6.270000000000002,6.215999999999998,6.232499999999999,-1,-1,-1,1,1,51.58730158730156,64.5035792094615,25.75474634298166,-1,0.01974179643967311,0.018792095406182492,0.0009497010334906172
2010-03-26,sh.600533,6.12,6.22,6.09,6.2,4955803,30594281.0,3,0.471981,1,1.3072,29.170113,2.403083,2.956314,15.721673,0,6.240000000000003,6.220999999999998,6.229499999999999,-1,-1,-1,1,1,45.60588463027489,55.6781520196154,25.46134985159388,-1,0.016172007317784676,0.01826807778850293,-0.0020960704707182545
2010-03-29,sh.600533,6.23,6.38,6.21,6.32,14673170,92350222.0,3,1.397445,1,1.9355,29.734696000000003,2.449594,3.0135330000000002,16.025963,0,6.2340000000000035,6.248999999999999,6.230499999999999,1,1,1,-1,1,48.50037576006019,48.56452065921221,48.37208596175614,-1,0.02276351718162939,0.01916716566712822,0.0035963515145011685
2010-03-30,sh.600533,6.32,6.36,6.29,6.34,11453448,72427444.0,3,1.090805,1,0.3165,29.828793,2.457346,3.02307,16.076679,0,6.248000000000003,6.273999999999999,6.234,1,1,1,-1,1,64.46676231468201,52.857674235005696,87.68493847403467,1,0.029263833830720287,0.021186499299846635,0.008077334530873653
