date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600562,30.53,30.8,29.48,29.62,2696020,80770084.0,3,4.075631,1,-2.6938,-63.181415,8.81193,10.941732,51.451908,1,30.583999999999996,30.002000000000002,30.141500000000015,-1,-1,-1,1,1,69.53846153846165,83.5116557980719,41.59207301924113,-1,0.04506510784857909,-0.027297627660230955,0.07236273550881005
2010-02-26,sh.600562,29.63,29.86,28.85,29.3,2055920,60058719.0,3,3.107978,1,-1.0804,-62.498833999999995,8.71673,10.823523,50.896047,1,30.447999999999997,29.948000000000008,29.910500000000013,-1,-1,-1,1,1,47.589743589743684,68.49692927304876,5.77537222313353,-1,-0.03234354949879403,-0.02830681202794357,-0.004036737470850461
2010-03-01,sh.600562,29.32,29.57,28.94,29.32,1245501,36500969.0,3,1.882851,1,0.0683,-62.541495,8.72268,10.830911,50.930788,1,30.023999999999994,29.981000000000005,29.790000000000013,-1,-1,-1,1,1,31.368924607730666,49.49904324531198,-4.891312667431961,-1,-0.09102732890772103,-0.04085091540389906,-0.050176413503821966
2010-03-02,sh.600562,29.4,29.46,28.08,28.36,2328419,66715420.0,3,3.519921,1,-3.2742,-60.493752,8.437081,10.476283,49.263204,1,29.407999999999994,29.887000000000008,29.748500000000014,-1,-1,-1,-1,-1,19.95212635222272,32.970264849899,-6.0841506431298455,-1,-0.21254849706106782,-0.07519043173533281,-0.13735806532573502
2010-03-03,sh.600562,28.17,28.81,28.15,28.67,959054,27427078.0,3,1.449822,1,1.0931,-61.155002,8.529306,10.590798,49.801695,1,29.053999999999995,29.800000000000004,29.71550000000001,-1,-1,-1,-1,-1,14.84768240906911,22.056244456340817,0.4305583145256975,-1,-0.28060583966484387,-0.11627351332123503,-0.16433232634360884
2010-03-04,sh.600562,28.68,29.28,28.5,29.07,1267238,36646367.0,3,1.915711,1,1.3952,-62.00822900000001,8.648306,10.738560000000001,50.496521,1,28.943999999999996,29.764000000000003,29.69400000000001,1,-1,-1,-1,-1,18.18181818181827,17.66054231437002,19.224369916714764,1,-0.2988205002271762,-0.15278291070242328,-0.14603758952475293
2010-03-05,sh.600562,28.88,29.1,28.08,28.43,743003,21226453.0,3,1.123214,1,-2.2016,-60.643067,8.457906,10.502142,49.384799,1,28.769999999999992,29.609,29.594000000000012,-1,-1,-1,-1,-1,18.916992505702268,17.3154976988632,22.119982119380403,1,-0.36074001491017427,-0.1943743315439735,-0.16636568336620078
2010-03-08,sh.600562,28.28,28.55,28.18,28.48,695974,19702774.0,3,1.052119,1,0.1759,-60.749719999999996,8.472781,10.520612,49.471652,1,28.601999999999993,29.313000000000006,29.50750000000001,-1,-1,-1,-1,-1,17.395926078122574,18.164912255214357,15.857953723939012,-1,-0.4011528538793634,-0.23573003601105147,-0.16542281786831192
2010-03-09,sh.600562,28.3,28.62,28.25,28.5,458211,13049036.0,3,0.692687,1,0.0702,-60.792381000000006,8.478731,10.528,49.506393,1,28.629999999999995,29.019000000000005,29.48300000000001,-1,-1,-1,-1,-1,12.865565546813274,16.39282804354602,5.81104055334778,-1,-0.4266483504634344,-0.27391369890152806,-0.15273465156190635
2010-03-10,sh.600562,28.33,28.86,28.2,28.54,674484,19295007.0,3,1.019632,1,0.1404,-60.877704,8.490631,10.542776,49.575876,1,28.603999999999996,28.829000000000008,29.42300000000001,-1,-1,-1,-1,-1,18.00757553432888,16.089689053088225,21.843348496810187,1,-0.43857048196988657,-0.30684505551519975,-0.13172542645468682
2010-03-11,sh.600562,28.41,28.66,27.5,27.54,1273176,35496844.0,3,1.924687,1,-3.5039,-58.744638,8.193132,10.173373,47.838810,1,28.297999999999995,28.62100000000001,29.311500000000006,-1,-1,-1,-1,-1,14.40541341652009,15.092851499220734,13.030537251118805,-1,-0.5226853088542036,-0.3500131061830005,-0.1726722026712031
2010-03-12,sh.600562,27.5,27.75,27.01,27.07,836339,22858760.0,3,1.264312,1,-1.7066,-57.742096999999994,8.053307,9.999753,47.022388,1,28.025999999999993,28.398000000000007,29.17300000000001,-1,-1,-1,-1,-1,10.07468112360289,14.162556691483937,1.8989299878407948,-1,-0.6201235885059724,-0.4040352026475949,-0.21608838585837747
2010-03-15,sh.600562,26.84,26.9,25.88,25.95,1209480,31724997.0,3,1.828397,1,-4.1374,-55.353063,7.720108,9.586021,45.076874,1,27.519999999999992,28.061000000000007,29.021000000000008,-1,-1,-1,-1,-1,2.1467234236689747,8.875605987930635,-11.311041704854347,-1,-0.7787419148598538,-0.47897654509004667,-0.2997653697698071
2010-03-16,sh.600562,25.93,26.2,25.8,26.1,687282,17871568.0,3,1.038979,1,0.578,-55.673023,7.7647330000000006,9.641430999999999,45.337434,1,27.039999999999992,27.835000000000008,28.86100000000001,-1,-1,-1,-1,-1,4.376164258806981,5.532522935359599,2.0634469057017473,-1,-0.8821751686714734,-0.5596162698063321,-0.32255889886514133
2010-03-17,sh.600562,26.15,27.41,26.12,27.41,932864,25215863.0,3,1.410231,1,5.0192,-58.467339,8.154457,10.12535,47.612991,1,26.813999999999993,27.70900000000001,28.754500000000014,1,-1,-1,-1,-1,19.822463990821007,8.781783891098971,41.90382419026508,1,-0.8486579154620983,-0.6174245989374854,-0.231233316524613
2010-03-18,sh.600562,27.41,27.41,27.41,27.41,0,0.0,3,,0,0.0,-58.467339,8.154457,10.12535,47.612991,1,26.787999999999993,27.543000000000013,28.653500000000015,1,-1,-1,-1,-1,36.67431584267286,20.290981364100265,69.44098479981807,1,-0.8127266439680021,-0.6564850079435887,-0.15624163602441343
2010-03-19,sh.600562,27.9,28.0,26.94,27.18,721720,19755154.0,3,1.091040,1,-0.8391,-57.97673399999999,8.086032000000001,10.040386999999999,47.213466,1,26.809999999999995,27.418000000000013,28.51350000000001,1,-1,-1,-1,-1,48.83343236284414,35.11007073211265,76.28015562430711,1,-0.7936610991339634,-0.6839202261816636,-0.10974087295229984
2010-03-22,sh.600562,27.31,28.54,27.31,28.54,1257434,35557471.0,3,1.900890,1,5.0037,-60.877704,8.490631,10.542776,49.575876,1,27.327999999999996,27.424000000000014,28.368500000000004,1,1,1,-1,-1,62.41830065359479,49.30868295303725,88.63753605470987,1,-0.6611891070373908,-0.679374002352809,0.018184895315418226
2010-03-23,sh.600562,28.69,29.85,28.69,29.42,2055657,60530573.0,3,3.107581,1,3.0834,-62.754802000000005,8.75243,10.867851,51.104495,1,27.991999999999997,27.516000000000012,28.267500000000002,1,1,1,1,-1,74.6744129750666,61.975381997168505,100.07247493086278,1,-0.47966616044278254,-0.6394324339708037,0.1597662735280212
