date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600573,11.24,11.56,11.2,11.38,10175906,115922127.0,3,8.047806,1,-1.2153,37.021091999999996,2.583588,2.597175,17.584158,0,11.322000000000003,11.054000000000006,10.944500000000001,1,1,1,1,1,84.97823757652283,87.57159814768768,79.79151643419314,-1,-0.008589749120279322,-0.15993587391082087,0.15134612479054155
2010-02-26,sh.600573,11.38,11.79,11.3,11.72,8989725,104543816.0,3,7.109692,1,2.9877,38.127171000000004,2.660778,2.674771,18.109520,0,11.474000000000002,11.164000000000005,10.977500000000001,1,1,1,1,1,83.93935107917747,86.04617722192428,79.72569879368385,-1,0.03924354647204353,-0.120099989834248,0.15934353630629153
2010-03-01,sh.600573,11.74,12.18,11.65,12.14,9795591,117032790.0,3,7.747026,1,3.5836,39.493503000000004,2.7561299999999997,2.770624,18.758496,0,11.652000000000003,11.305000000000005,11.0345,1,1,1,1,1,87.61751199871772,85.51170021813931,91.82913555987454,1,0.10977682881392425,-0.07412462610461354,0.1839014549185378
2010-03-02,sh.600573,12.15,12.2,11.82,12.0,5963403,71441806.0,3,4.716269,1,-1.1532,39.038059000000004,2.7243459999999997,2.738673,18.542171,0,11.752000000000002,11.429000000000006,11.104,1,1,1,1,1,92.07634988475918,87.8777376542181,100.47357434584137,1,0.15261883829757572,-0.02877593322417568,0.1813947715217514
2010-03-03,sh.600573,11.92,12.08,11.88,11.95,3958648,47312573.0,3,3.130771,1,-0.4167,38.8754,2.7129950000000003,2.727262,18.464912,0,11.838000000000003,11.532000000000005,11.170499999999999,1,1,1,1,1,87.88642991936871,89.1934306009485,85.27242855620912,-1,0.18045666523436665,0.013070586467532785,0.16738607876683387
2010-03-04,sh.600573,11.88,12.05,11.48,11.49,6516963,76422977.0,3,5.154062,1,-3.8494,37.378941,2.608562,2.6222790000000002,17.754128,0,11.860000000000003,11.591000000000005,11.2075,-1,-1,1,1,1,69.7199486438774,83.22757614933506,42.70469363296209,-1,0.1635152855952775,0.04315952629308173,0.12035575930219578
2010-03-05,sh.600573,11.52,11.81,11.42,11.67,4067731,47160347.0,3,3.217041,1,1.5666,37.964512,2.649427,2.663359,18.032261,0,11.850000000000003,11.662000000000004,11.251499999999998,-1,1,1,1,1,59.84913464663671,72.48517106996091,34.577061799988314,-1,0.1627376772102913,0.06707515647652365,0.09566252073376766
2010-03-08,sh.600573,11.67,11.88,11.59,11.69,2696162,31636915.0,3,2.132310,1,0.1714,38.029576,2.6539669999999997,2.667924,18.063165,0,11.760000000000002,11.706000000000005,11.290499999999998,-1,-1,1,1,1,49.06804011927354,59.54570780326253,28.112704751295553,-1,0.1618693210430191,0.08603398938982273,0.07583533165319636
2010-03-09,sh.600573,11.62,11.7,11.45,11.52,1805124,20873680.0,3,1.427616,1,-1.4542,37.476535999999996,2.6153720000000003,2.629126,17.800484,0,11.664000000000001,11.708000000000004,11.3255,-1,-1,1,-1,1,45.48739495798322,51.46818990796447,33.52580505802072,-1,0.14578306682600584,0.09798380487705935,0.047799261948946487
2010-03-10,sh.600573,11.5,11.58,11.08,11.21,3933942,44386356.0,3,3.111232,1,-2.691,36.468053000000005,2.544994,2.558377,17.321478,0,11.516000000000002,11.677000000000003,11.3435,-1,-1,-1,-1,1,30.869047619047663,41.80816089876812,8.990821059606745,-1,0.10678918597990084,0.09974488109762765,0.007044304882273186
2010-03-11,sh.600573,11.2,11.36,11.17,11.3,1991536,22423320.0,3,1.575044,1,0.8029,36.760839000000004,2.565426,2.5789169999999997,17.460544,0,11.478,11.669000000000004,11.361500000000001,-1,-1,-1,-1,1,21.083333333333396,32.47992530345474,-1.7098506069092991,-1,0.08220094103232789,0.0962360930845677,-0.014035152052239805
2010-03-12,sh.600573,11.31,11.42,11.22,11.33,2438342,27619280.0,3,1.928408,1,0.2655,36.858434,2.572237,2.5857639999999997,17.506899,0,11.41,11.630000000000004,11.397000000000002,-1,-1,-1,-1,1,17.857142857142914,23.269841269841308,7.031746031746124,-1,0.06439304609012808,0.08986748368567977,-0.025474437595551694
2010-03-15,sh.600573,11.32,11.84,11.28,11.81,7636670,88907027.0,3,6.039603,1,4.2365,38.419956,2.6812110000000002,2.6953110000000002,18.248586,0,11.434000000000001,11.597000000000005,11.451000000000002,1,1,1,-1,-1,38.32142857142862,25.753968253968292,63.45634920634928,1,0.08799776605176568,0.08949354015889696,-0.0014957741071312813
2010-03-16,sh.600573,11.89,12.24,11.81,12.09,10974550,131733832.0,3,8.679428,1,2.3709,39.330844,2.7447790000000003,2.759213,18.681237,0,11.548000000000002,11.606000000000005,11.517500000000002,1,1,1,-1,1,60.79679802955667,38.991789819376045,104.40681444991792,1,0.12782485130886734,0.09715980238889103,0.030665048919976304
