date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600585,40.89,41.5,40.65,40.9,5544289,227201711.0,3,0.542239,1,0.3681,25.580323,2.6675419999999996,2.864583,-37.636113,0,40.589999999999996,39.98099999999998,40.266,1,1,1,1,1,85.25655309409684,83.44160872882215,88.88644182464625,1,-1.396745312567937,-2.0864891324402186,0.6897438198722816
2010-02-26,sh.600585,41.08,41.37,40.71,40.86,3240103,132778741.0,3,0.316887,1,-0.0978,25.555305,2.664933,2.861781,-37.599306,0,40.64,40.18399999999998,40.208999999999996,1,1,1,1,1,84.43727598566309,84.36737631529708,84.57707532639512,1,-1.2561613511100163,-1.9204235761741781,0.6642622250641619
2010-03-01,sh.600585,40.89,42.06,40.89,41.91,6784133,283683359.0,3,0.663498,1,2.5698,26.212013,2.733415,2.935322,-38.565514,0,40.967999999999996,40.48899999999999,40.218999999999994,1,1,1,1,1,84.89881444720147,84.86421450898713,84.96801432363017,1,-1.047941308929481,-1.7459271227252386,0.6979858137957577
2010-03-02,sh.600585,42.15,43.03,41.5,41.68,7308942,308955231.0,3,0.714825,1,-0.5488,26.068163000000002,2.718414,2.919213,-38.353868,0,41.21999999999999,40.77999999999999,40.294999999999995,1,1,1,1,1,77.75526118728529,82.36378387338328,68.5382158150893,-1,-0.8912111754953926,-1.5749839332792694,0.6837727577838768
2010-03-03,sh.600585,41.69,41.98,41.1,41.58,5743314,237256288.0,3,0.561704,1,-0.2399,26.005619,2.7118919999999997,2.912209,-38.261848,0,41.38599999999999,40.94799999999999,40.370999999999995,1,1,1,1,1,69.52245695448103,77.39217752965594,53.783015804131225,-1,-0.7662378666738618,-1.4132347199581878,0.646996853284326
2010-03-04,sh.600585,41.55,42.22,40.4,40.7,6983326,287312973.0,3,0.682979,1,-2.1164,25.455235000000002,2.654497,2.850575,-37.452074,0,41.34599999999999,40.96799999999999,40.406,-1,-1,1,1,1,46.40483383685798,64.56085065954144,10.092800191491051,-1,-0.7297916803701128,-1.2765461120405728,0.54675443167046
2010-03-05,sh.600585,40.62,41.66,40.61,41.45,4632622,191027869.0,3,0.453077,1,1.8428,25.924312,2.7034130000000003,2.903104,-38.142223,0,41.463999999999984,41.051999999999985,40.45100000000001,-1,1,1,1,1,43.28042328042327,53.069238023920775,23.70279379342827,-1,-0.6330912018658026,-1.1478551300056188,0.5147639281398162
2010-03-08,sh.600585,41.48,41.79,41.12,41.56,3610836,150029403.0,3,0.353145,1,0.2654,25.99311,2.710587,2.910809,-38.243444,0,41.39399999999999,41.18099999999999,40.517500000000005,1,1,1,1,1,42.12602212602216,43.93709308110115,38.50388021586417,-1,-0.5413390753810532,-1.0265519190807058,0.48521284369965256
2010-03-09,sh.600585,41.57,42.3,41.57,42.2,6979216,293702961.0,3,0.682577,1,1.5399,26.393389000000003,2.752329,2.955633,-38.832371,0,41.49799999999999,41.35899999999999,40.62600000000001,1,1,1,1,1,56.26246166170127,47.22296902271558,74.34144693967265,1,-0.4122302688715678,-0.9036875890388781,0.49145732016731036
2010-03-10,sh.600585,42.29,43.07,42.16,42.3,7161868,305523252.0,3,0.700441,1,0.237,26.455933,2.758851,2.962637,-38.924391,0,41.641999999999996,41.51399999999999,40.73250000000001,1,1,1,1,1,63.36905461099081,53.9191794662381,82.26880490049622,1,-0.2984016567188803,-0.7826304025748786,0.4842287458559983
2010-03-11,sh.600585,42.33,42.8,41.88,42.48,4111302,174064466.0,3,0.402091,1,0.4255,26.568510999999997,2.770591,2.975244,-39.090027,0,41.998,41.67199999999999,40.82650000000001,1,1,1,1,1,72.50157835025608,64.04436487431609,89.41600530213609,1,-0.19146013259105388,-0.6643963485781137,0.4729362159870598
