date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600593,13.9,14.4,13.85,14.34,3704793,52294775.0,3,4.026949,1,2.5018,188.957593,4.705419999999999,10.978313,46.757591,0,13.982000000000005,13.847999999999995,13.343499999999992,1,1,1,1,1,61.85582130288006,61.30001217654594,62.967439555548296,1,-0.0019793585431493455,-0.23174593162043758,0.22976657307728823
2010-02-26,sh.600593,14.15,14.15,13.81,14.07,5058867,70546495.0,3,5.498768,1,-1.8828,185.399814,4.616823999999999,10.771608,45.877218,0,13.922000000000006,13.936999999999994,13.376999999999992,1,1,1,-1,1,64.1716943187531,61.16990789331073,70.17526716963782,1,0.027430978714281906,-0.17991054955349367,0.20734152826777558
2010-03-01,sh.600593,14.16,14.95,14.01,14.79,7738589,111529154.0,3,8.411510,1,5.1173,194.887225,4.853079,11.322821000000001,48.224880,0,14.146000000000004,14.028999999999993,13.440999999999994,1,1,1,1,1,73.47449908925314,66.50067157029542,87.4221541271686,1,0.10759655942920077,-0.12240912775695478,0.23000568718615555
2010-03-02,sh.600593,14.71,14.71,14.31,14.46,4258224,61626162.0,3,4.628504,1,-2.2312,190.538828,4.744796,11.070182,47.148868,0,14.330000000000004,14.108999999999995,13.531499999999994,1,1,1,1,1,73.67616445485298,70.4407859542864,80.14692145598613,1,0.14285339264539942,-0.06935662367648393,0.21221001632188335
2010-03-03,sh.600593,14.41,14.7,14.36,14.64,3001570,43576608.0,3,3.262576,1,1.2448,192.910681,4.803858999999999,11.207985,47.735784,0,14.460000000000003,14.221999999999994,13.645499999999993,1,1,1,1,1,82.5136612021858,76.55477491543063,94.43143377569615,1,0.18320728314076362,-0.018843842313034417,0.20205112545379805
2010-03-04,sh.600593,14.67,14.69,13.75,13.84,3193518,45229694.0,3,3.471215,1,-5.4645,182.369114,4.541353,10.595527,45.127271,0,14.360000000000003,14.170999999999996,13.708499999999992,-1,-1,1,1,1,65.20947176684884,73.79976580796252,48.02888368462149,-1,0.14891808300874843,0.014708542751322155,0.13420954025742626
2010-03-05,sh.600593,13.81,14.47,13.6,14.35,2744991,38163207.0,3,2.983686,1,3.685,189.089363,4.7087010000000005,10.985969,46.790198,0,14.416000000000002,14.168999999999993,13.791999999999993,-1,1,1,1,1,63.20582877959927,70.30965391621127,48.99817850637527,-1,0.16104001358328013,0.04397483691771375,0.11706517666556637
2010-03-08,sh.600593,14.28,14.28,13.97,14.17,2030595,28700993.0,3,2.207168,1,-1.2544,186.71751,4.649637,10.848166,46.203282,0,14.292000000000002,14.218999999999994,13.853999999999994,-1,-1,1,1,1,50.9214245336348,59.77890836002761,33.20645688084919,-1,0.15434306444841717,0.06604848242385443,0.08829458202456274
2010-03-09,sh.600593,14.2,14.21,13.96,14.05,1564241,22004440.0,3,1.700262,1,-0.8469,185.136275,4.610261,10.756297,45.812006,0,14.210000000000003,14.269999999999996,13.926499999999994,-1,-1,1,-1,1,48.91778154638527,54.348344953206414,38.056654732742984,-1,0.1377646220840827,0.08039171035590008,0.05737291172818261
2010-03-10,sh.600593,14.11,14.16,13.6,13.67,2034879,28098842.0,3,2.211825,1,-2.7046,180.129031,4.485571,10.465378999999999,44.572962,0,14.016000000000002,14.237999999999994,13.975999999999994,-1,-1,-1,-1,1,28.241805023414212,42.69367036781139,-0.6619256653801529,-1,0.09289245644725064,0.0828918595741702,0.010000596873080442
2010-03-11,sh.600593,13.66,13.75,13.37,13.56,1292111,17510146.0,3,1.404468,1,-0.8047,178.679565,4.449476,10.381166,44.214291,0,13.960000000000003,14.159999999999993,14.003999999999994,-1,-1,-1,-1,-1,16.84794499140492,31.33584385373477,-12.127852733254777,-1,0.04790266905147256,0.07589402146963067,-0.027991352418158116
2010-03-12,sh.600593,13.5,13.64,13.25,13.29,987038,13260642.0,3,1.072867,1,-1.9912,175.12178600000001,4.360881,10.174462,43.333918,0,13.748000000000001,14.081999999999994,14.009499999999994,-1,-1,-1,-1,-1,6.65007588942618,17.2466086347484,-14.542989601218263,-1,-0.009430100777713335,0.05882919702016187,-0.0682592977978752
2010-03-15,sh.600593,13.26,13.35,13.1,13.28,867309,11447292.0,3,0.942727,1,-0.0752,174.990017,4.357599,10.166806,43.301312,0,13.570000000000002,13.930999999999994,13.979999999999993,-1,-1,-1,-1,-1,8.671680827697772,10.723233902842923,4.568574677407472,-1,-0.05503919280026537,0.03605551905607642,-0.0910947118563418
2010-03-16,sh.600593,13.28,13.4,13.18,13.34,656211,8721687.0,3,0.713273,1,0.4518,175.78063400000002,4.377287,10.21274,43.496950,0,13.428000000000003,13.818999999999994,13.96399999999999,-1,-1,-1,-1,-1,9.694688550012854,8.338815089045568,12.406435471947425,1,-0.08535925985154869,0.011772563274551399,-0.09713182312610008
2010-03-17,sh.600593,13.38,13.78,13.34,13.76,1530185,20761162.0,3,1.663245,1,3.1484,181.314957,4.515103,10.534281,44.866420,0,13.446000000000003,13.730999999999995,13.97649999999999,1,1,-1,-1,-1,24.839840701464386,14.402070026391636,45.71538205160989,1,-0.07463726953729477,-0.005509403287817835,-0.06912786624947694
2010-03-18,sh.600593,13.66,13.89,13.66,13.76,1126783,15504455.0,3,1.224764,1,0.0,181.314957,4.515103,10.534281,44.866420,0,13.486000000000004,13.722999999999994,13.946999999999989,1,1,-1,-1,-1,39.73390849807457,24.756145916517237,69.68943366118924,1,-0.0653862826011995,-0.017484779150494168,-0.04790150345070533
2010-03-19,sh.600593,13.69,14.06,13.69,14.02,1382210,19293649.0,3,1.502402,1,1.8895,184.740966,4.600417,10.73333,45.714186,0,13.632000000000005,13.689999999999994,13.929499999999987,1,1,1,-1,-1,62.33008958482166,42.30127959478684,102.3877095648913,1,-0.036652474801112334,-0.021318318280617803,-0.015334156520494531
2010-03-22,sh.600593,13.98,14.58,13.98,14.48,4324580,62251442.0,3,4.700630,1,3.281,190.802367,4.751358,11.085493,47.214081,0,13.872000000000005,13.720999999999995,13.969999999999988,1,1,1,1,-1,77.35277650531883,59.805591529404985,112.4471464571465,1,0.022972616492985765,-0.012460131325897088,0.03543274781888285
2010-03-23,sh.600593,14.52,14.52,14.18,14.21,1393072,19879798.0,3,1.514209,1,-1.8646,187.244588,4.662762,10.878789,46.333708,0,14.046000000000003,13.736999999999995,14.003499999999985,1,1,1,1,1,83.70870870870867,74.46385826628303,102.19840959355994,1,0.04788717387163288,-0.0003906702863910941,0.048277844158023976
