date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600598,13.95,14.08,13.84,14.05,18402409,257189376.0,3,1.073351,1,0.6447,42.869764,4.785406,4.1612480000000005,-344.076901,0,13.802000000000003,13.570000000000004,13.820999999999994,1,1,1,1,-1,87.27938727938742,73.36043614090927,115.1172895563437,1,-0.309553167408394,-0.45403608327834927,0.14448291586995526
2010-02-26,sh.600598,14.0,14.1,13.91,14.0,14987019,209947523.0,3,0.874143,1,-0.3559,42.717203000000005,4.768376,4.146439,-342.852428,0,13.904000000000002,13.632000000000005,13.802999999999994,1,1,1,1,1,90.14970536709677,84.48630158625689,101.47651292877654,1,-0.26960925265046676,-0.41715071715277274,0.14754146450230599
2010-03-01,sh.600598,14.01,14.27,14.01,14.14,25576023,361832022.0,3,1.491764,1,1.0,43.144375,4.81606,4.1879029999999995,-346.280953,0,13.990000000000004,13.718000000000007,13.793999999999993,1,1,1,1,1,90.93607496080581,89.45505586909665,93.89811314422414,1,-0.22407360145664335,-0.37853529401354685,0.1544616925569035
2010-03-02,sh.600598,14.19,14.19,13.91,14.04,17448603,244452656.0,3,1.017719,1,-0.7072,42.839252,4.782,4.158286,-343.832007,0,14.038000000000006,13.789000000000007,13.805999999999994,1,1,1,1,1,85.36763728227636,88.81780587005962,78.46730010670987,-1,-0.19382118412294602,-0.3415924720354267,0.14777128791248068
2010-03-03,sh.600598,14.0,14.87,13.86,14.74,54568490,790806012.0,3,3.182798,1,4.9858,44.975112,5.020419,4.365608,-360.974628,0,14.194000000000006,13.920000000000007,13.844499999999993,1,1,1,1,1,86.42672312397092,87.57681178901767,84.1265457938774,-1,-0.11206990348687995,-0.29568795832571737,0.18361805483883742
2010-03-04,sh.600598,14.66,14.66,13.72,13.87,39826863,565699085.0,3,2.322968,1,-5.9023,42.320543,4.724098000000001,4.1079360000000005,-339.668799,0,14.158000000000007,13.980000000000008,13.828999999999994,-1,-1,1,1,1,65.89245437059796,79.22893825894839,39.2194865938971,-1,-0.11614431434481176,-0.25977922952953625,0.1436349151847245
2010-03-05,sh.600598,13.88,13.97,13.6,13.7,19679904,270629719.0,3,1.107056,1,-1.2257,43.342706,4.8381989999999995,4.207155,-347.872779,0,14.098000000000008,14.001000000000008,13.79049999999999,-1,-1,-1,1,1,44.24962292609356,65.52293347355412,1.703001831172429,-1,-0.13157418821533184,-0.23413822126669537,0.10256403305136352
2010-03-08,sh.600598,13.75,13.92,13.68,13.81,10878891,150273037.0,3,0.611971,1,0.8029,43.690713,4.877046,4.2409349999999995,-350.665918,0,14.032000000000007,14.011000000000006,13.767499999999993,-1,-1,1,1,1,18.99220318048484,43.04476015905877,-29.112910776663014,-1,-0.13338877101171853,-0.2139883312157,0.08059956020398146
2010-03-09,sh.600598,13.75,13.75,13.45,13.63,14081055,191288806.0,3,0.792103,1,-1.3034,43.121247,4.813478,4.185658,-346.095326,0,13.950000000000008,13.994000000000009,13.748499999999993,-1,-1,-1,-1,1,14.394025881396237,25.878617329324857,-8.575157014461006,-1,-0.14764932709422496,-0.20072053039140497,0.053071203297180014
2010-03-10,sh.600598,13.6,13.75,13.52,13.59,10345552,140984946.0,3,0.581969,1,-0.2935,42.994699,4.799352,4.173375,-345.079639,0,13.720000000000008,13.957000000000008,13.742999999999991,-1,-1,-1,-1,-1,13.023548112824043,15.469925724901687,8.130792888668754,-1,-0.16033039722046993,-0.19264250375721798,0.03231210653674804
