date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600611,13.47,13.6,13.36,13.55,27333343,368616706.0,3,3.822677,1,0.8185,51.867616999999996,4.864778,5.6176379999999995,293.181551,0,13.328000000000003,13.109,12.913499999999996,1,1,1,1,1,94.46074201898189,91.46975057119091,100.44272491456385,1,0.08789191308908073,-0.03770005063302998,0.1255919637221107
2010-02-26,sh.600611,13.55,13.7,13.4,13.41,19869741,269049310.0,3,2.778862,1,-1.0332,51.331715,4.814514,5.559596,290.152369,0,13.380000000000004,13.178999999999998,12.890499999999998,1,1,1,1,1,86.90929451287798,90.60160589831492,79.5246717420041,-1,0.10414030527936013,-0.009331979450551958,0.1134722847299121
2010-03-01,sh.600611,13.37,13.56,13.31,13.42,19268779,258559555.0,3,2.694815,1,0.0746,51.369994,4.818105,5.5637419999999995,290.368739,0,13.434000000000003,13.230999999999998,12.906999999999996,-1,1,1,1,1,78.032848077641,86.46762820316695,61.16328782658911,-1,0.11648146377283553,0.015830709194125537,0.10065075457870999
2010-03-02,sh.600611,13.43,13.54,13.09,13.19,19334000,256973275.0,3,2.703937,1,-1.7139,50.489584,4.735529,5.468387,285.392226,0,13.402000000000005,13.248,12.940999999999997,-1,-1,1,1,1,61.70212765957453,75.5480900833645,34.01020281199459,-1,0.10647546015635179,0.03395965938657079,0.072515800769781
2010-03-03,sh.600611,13.2,13.75,13.14,13.7,31698656,428103988.0,3,4.433183,1,3.8666,52.441796999999994,4.9186309999999995,5.679826,296.427104,0,13.454000000000004,13.315999999999999,13.010499999999997,1,1,1,1,1,70.23142963792462,69.98880179171339,70.71668533034708,1,0.1381063637598885,0.05478900026123433,0.08331736349865417
2010-03-04,sh.600611,13.65,13.73,13.03,13.09,23941702,320564382.0,3,3.348342,1,-4.4526,50.106797,4.6996269999999996,5.426929,283.228525,0,13.362000000000005,13.344999999999999,13.037499999999994,-1,-1,1,1,1,49.60495209655346,60.5128364646842,27.789183360291986,-1,0.11265358038647832,0.06636191628628313,0.046291664100195196
2010-03-05,sh.600611,13.19,13.85,13.14,13.63,35926512,486147823.0,3,5.024466,1,4.1253,52.173846000000005,4.8935,5.650805,294.912513,0,13.406000000000006,13.392999999999997,13.092499999999996,1,1,1,1,1,58.74696904863793,59.527783594372,57.185339957169774,-1,0.13450506258239336,0.07999054554550518,0.054514517036888185
2010-03-08,sh.600611,13.7,13.97,13.61,13.69,31238434,430248526.0,3,4.368819,1,0.4402,52.403518,4.915041,5.675680000000001,296.210733,0,13.460000000000004,13.446999999999997,13.143499999999998,1,1,1,1,1,50.57227699936581,52.974732714852394,45.76736556839265,-1,0.1548786732762597,0.09496817109165609,0.059910502184603615
2010-03-09,sh.600611,13.69,13.89,13.6,13.72,23386611,321393201.0,3,3.270711,1,0.2191,52.518354,4.9258120000000005,5.688118,296.859844,0,13.566000000000006,13.483999999999998,13.217499999999998,1,1,1,1,1,72.262584327971,60.527276791991575,95.73319939992983,1,0.1714690671443737,0.11026835030219961,0.0612007168421741
2010-03-10,sh.600611,13.72,13.72,13.26,13.39,20424209,274054491.0,3,2.856407,1,-2.4052,51.255158,4.807334,5.551304,289.719629,0,13.504000000000005,13.478999999999996,13.261999999999997,-1,-1,1,1,1,60.638297872340466,61.157719733225754,59.59945415056988,-1,0.15618838921034062,0.11945235808382781,0.0367360311265128
