date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600619,9.05,9.13,8.93,9.12,2575632,23348831.0,3,0.889335,1,0.4405,-1441.4323060000002,3.299629,1.2986799999999998,-81.957679,0,8.828000000000003,8.665,8.621500000000001,1,1,1,1,1,88.235294117647,88.75816993464048,87.18954248366003,-1,-0.07574933247269833,-0.20899017389757646,0.13324084142487813
2010-02-26,sh.600619,9.03,9.19,9.03,9.1,1863261,16978966.0,3,0.643362,1,-0.2193,-1438.27127,3.292393,1.2958319999999999,-81.777947,0,8.928000000000003,8.725999999999999,8.5995,1,1,1,1,1,81.90618019359634,86.1255894762968,73.46736162819542,-1,-0.04086378746566588,-0.17536489661119434,0.13450110914552846
2010-03-01,sh.600619,9.04,9.2,9.04,9.18,2031867,18624474.0,3,0.701580,1,0.8791,-1450.9154130000002,3.321337,1.307224,-82.496874,0,9.044000000000002,8.795999999999998,8.592,1,1,1,1,1,85.61926036237269,85.25357822453869,86.35062463804067,1,-0.006684357189891799,-0.14162878872693382,0.13494443153704203
2010-03-02,sh.600619,9.2,9.29,9.0,9.07,2491433,22803972.0,3,0.860262,1,-1.1983,-1433.529716,3.281539,1.29156,-81.508349,0,9.110000000000003,8.851999999999999,8.6205,-1,1,1,1,1,81.66380163567219,83.06308073054709,78.86524344592237,-1,0.011395644959959483,-0.11102390198955517,0.12241954694951465
2010-03-03,sh.600619,9.03,9.4,9.01,9.31,3500073,32482601.0,3,1.208534,1,2.6461,-1471.462145,3.368372,1.325736,-83.665130,0,9.156000000000002,8.928999999999998,8.67,1,1,1,1,1,84.73204599450546,84.00503599751679,86.1860659884828,1,0.044576323055027345,-0.07990385698063866,0.12448018003566601
2010-03-04,sh.600619,9.35,9.41,8.92,8.99,3214091,29475237.0,3,1.109788,1,-3.4372,-1420.885573,3.252595,1.280168,-80.789422,0,9.130000000000004,8.979,8.695500000000001,-1,1,1,1,1,72.63186905153555,79.67590556057108,58.543796033464474,-1,0.04453752300922531,-0.05501558098266587,0.09955310399189118
2010-03-05,sh.600619,8.95,9.2,8.88,9.18,3041753,27646856.0,3,1.050281,1,2.1135,-1450.9154130000002,3.321337,1.307224,-82.496874,0,9.146000000000004,9.037,8.7315,1,1,1,1,1,73.441639395356,76.93518481379901,66.45454855847001,-1,0.05915626914987371,-0.032181210956157946,0.09133748010603165
2010-03-08,sh.600619,9.29,9.5,9.21,9.39,3955621,37064226.0,3,1.365829,1,2.2876,-1484.1062880000002,3.3973160000000004,1.337128,-84.384057,0,9.188000000000004,9.116000000000001,8.793000000000001,1,1,1,1,1,72.23096424512626,72.76815756400595,71.1565776073669,-1,0.08668769397061205,-0.008407429970803945,0.09509512394141599
2010-03-09,sh.600619,9.37,9.42,9.26,9.34,2722279,25441373.0,3,0.939971,1,-0.5325,-1476.203699,3.379226,1.330008,-83.934728,0,9.242000000000004,9.176000000000002,8.8575,1,1,1,1,1,78.68257714835205,74.78506026294478,86.47761091916661,1,0.10328140066525648,0.013930336156408141,0.08935106450884835
2010-03-10,sh.600619,9.36,9.47,9.0,9.17,2321371,21360794.0,3,0.801542,1,-1.8201,-1449.334895,3.3177190000000003,1.3058,-82.407008,0,9.214000000000004,9.185000000000002,8.904,-1,-1,1,1,1,69.1843692630474,73.36597021884192,60.82116735145834,-1,0.10154391843837907,0.03145305261280233,0.07009086582557673
2010-03-11,sh.600619,9.18,9.18,8.9,9.05,1335768,12058530.0,3,0.461225,1,-1.3086,-1430.36868,3.2743029999999997,1.288712,-81.328617,0,9.226000000000004,9.178,8.9215,-1,-1,1,1,1,49.46236559139776,65.77643733426576,16.834222105661752,-1,0.08945279796503414,0.043053001683248694,0.04639979628178544
2010-03-12,sh.600619,9.0,9.1,8.8,8.83,1845169,16506699.0,3,0.637115,1,-2.4309,-1395.5972869999998,3.194707,1.257384,-79.351568,0,9.156000000000004,9.151000000000002,8.938500000000001,-1,-1,-1,1,1,26.159754224270248,48.268829692905165,-18.05839671299958,-1,0.061410435224207305,0.046724488391440416,0.014685946832766889
