date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600628,18.18,18.87,17.88,18.63,27176815,499050029.0,3,6.387222,1,2.9282,57.691329,5.766394999999999,3.619249,506.104736,0,18.138,17.539999999999996,16.936,1,1,1,1,1,85.97943574948363,85.0446873587589,87.84893253093307,1,0.4439367431959198,0.18733094684117269,0.2566057963547471
2010-02-26,sh.600628,18.4,18.58,18.22,18.24,13962169,256499190.0,3,3.281454,1,-2.0934,56.483619999999995,5.645681,3.543483,495.509951,0,18.192,17.675999999999995,16.9675,1,1,1,1,1,81.38903112021386,83.91834515276383,76.33040305511389,-1,0.4687686406173732,0.2436184855964128,0.22515015502096042
2010-03-01,sh.600628,18.24,18.64,18.03,18.22,16312697,298956360.0,3,3.833886,1,-0.1096,56.421686,5.6394910000000005,3.5395980000000002,494.966629,0,18.25,17.808999999999994,17.056,-1,1,1,1,1,76.65130568356365,81.33992418442038,67.2740686818502,-1,0.4812862965388298,0.29115204778489623,0.1901342487539336
2010-03-02,sh.600628,18.23,18.33,17.94,18.08,12359268,223297296.0,3,2.904733,1,-0.7684,55.98815,5.596158,3.5124,491.163373,0,18.253999999999998,17.912999999999993,17.176,-1,1,1,1,1,68.20276497695842,75.4143672602453,53.779560410384676,-1,0.47444074153098015,0.327809786534113,0.14663095499686712
2010-03-03,sh.600628,18.0,18.28,17.87,18.19,12416032,224669140.0,3,2.918074,1,0.6084,56.328784999999996,5.630205,3.5337699999999996,494.151645,0,18.272,18.018999999999995,17.301499999999997,-1,1,1,1,1,67.33754867288245,70.7305397778015,60.55156646304434,-1,0.47244561163558885,0.3567369515544082,0.11570866008118064
2010-03-04,sh.600628,18.1,18.11,17.29,17.3,16222146,287136835.0,3,3.812605,1,-4.8928,53.572731999999995,5.354731,3.36087,469.973802,0,18.005999999999997,18.071999999999996,17.366999999999997,-1,-1,-1,-1,1,44.19982482058126,59.913379490140706,12.772715481462384,-1,0.39450132910631197,0.36428982706478896,0.03021150204152301
2010-03-05,sh.600628,17.4,17.62,17.0,17.48,12234568,212172868.0,3,2.875426,1,1.0405,54.130136,5.410444999999999,3.395838,474.863703,0,17.854,18.022999999999993,17.415,-1,-1,1,-1,1,31.557817871173977,47.698397121545895,-0.7233406295698614,-1,0.3432971040009676,0.3600912824520247,-0.01679417845105713
2010-03-08,sh.600628,17.52,17.95,17.52,17.66,8340536,148247720.0,3,1.960232,1,1.0297,54.687540000000006,5.466158999999999,3.430807,479.753604,0,17.741999999999997,17.99599999999999,17.468,-1,-1,1,-1,1,20.531826079108296,32.096489590287845,-2.5975009432508074,-1,0.31362659026885,0.3507983440153898,-0.037171753746539804
2010-03-09,sh.600628,17.62,17.88,17.61,17.69,8108076,143782900.0,3,1.905598,1,0.1699,54.780441,5.475444,3.436635,480.568587,0,17.663999999999998,17.958999999999993,17.5605,1,-1,1,-1,1,32.62032085561497,28.236654935299082,41.38765269624674,1,0.28919953147281774,0.3384785815068754,-0.049279050034057637
2010-03-10,sh.600628,17.62,17.67,16.93,17.06,12481991,214701672.0,3,2.933576,1,-3.5613,52.829526,5.2804459999999995,3.3142449999999997,463.453935,0,17.438,17.854999999999993,17.603500000000004,-1,-1,-1,-1,-1,26.59828418342347,26.583477039382245,26.627898471505915,1,0.21650939103178857,0.314084743411858,-0.09757535238006942
2010-03-11,sh.600628,17.03,17.15,16.55,16.8,11184613,188155347.0,3,2.628660,1,-1.524,52.024387,5.1999699999999995,3.263735,456.390744,0,17.338,17.671999999999993,17.606,-1,-1,-1,-1,-1,18.82081913041662,26.013141389818355,4.436174611613147,-1,0.13635034207050722,0.27853786314358786,-0.14218752107308064
2010-03-12,sh.600628,16.8,16.97,16.66,16.7,8508323,142907958.0,3,1.999666,1,-0.5952,51.714718,5.169018,3.244308,453.674133,0,17.182,17.517999999999994,17.597,-1,-1,-1,-1,-1,9.330342653819814,18.2498153225533,-8.508602683647155,-1,0.06401661035360107,0.2356336125855905,-0.17161700223198945
2010-03-15,sh.600628,16.7,17.11,16.68,16.98,10239855,172972297.0,3,2.406619,1,1.6766,52.581791,5.255684,3.2987029999999997,461.280645,0,17.046,17.39399999999999,17.601500000000005,-1,-1,-1,-1,-1,15.081393369884234,14.410851718040222,16.42247667357226,1,0.028951531540030828,0.19429719637647858,-0.16534566483644775
2010-03-16,sh.600628,16.95,17.0,16.61,16.88,7338049,123250649.0,3,1.724623,1,-0.5889,52.272121999999996,5.224732,3.2792760000000003,458.564034,0,16.884,17.27399999999999,17.593500000000002,-1,-1,-1,-1,-1,18.145434591820162,14.185723538508071,26.064856698444345,1,-0.006828248516644209,0.154072107397854,-0.16090035591449822
2010-03-17,sh.600628,16.93,17.17,16.8,17.16,9377814,159828230.0,3,2.204018,1,1.6588,53.139194999999994,5.3113980000000005,3.333672,466.170546,0,16.904,17.17099999999999,17.595000000000006,1,-1,-1,-1,-1,29.860255351584765,21.02902777109639,47.52271051256151,1,-0.01244684259504325,0.12076831739927456,-0.13321515999431782
2010-03-18,sh.600628,17.19,18.0,17.09,17.59,18059327,317576721.0,3,4.244388,1,2.5058,54.470772,5.444491999999999,3.417208,477.851976,0,17.062,17.19999999999999,17.636000000000003,1,1,-1,-1,-1,45.483137552102995,31.162942498502645,74.1235276593037,1,0.01759496366940283,0.10013364665330021,-0.08253868298389738
2010-03-19,sh.600628,17.6,17.64,17.32,17.53,7569126,132266800.0,3,1.778931,1,-0.3411,54.284969999999994,5.425921,3.4055519999999997,476.222009,0,17.228,17.20499999999999,17.614000000000004,1,1,-1,1,-1,60.960591133004904,45.43466134556422,92.01245070788627,1,0.03614515417665487,0.08733594815797115,-0.05119079398131628
2010-03-22,sh.600628,17.53,17.99,17.34,17.8,12718798,224841568.0,3,2.989232,1,1.5402,55.121076,5.509492,3.4580050000000004,483.556860,0,17.392,17.21899999999999,17.607500000000005,1,1,1,1,-1,75.17241379310344,60.53871415940378,104.43981306050279,1,0.0718053301674999,0.0842298245598769,-0.012424494392377
