date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600637,7.08,7.13,7.0,7.07,15637491,110252299.0,3,2.205991,1,0.2837,-4.29427,5.003387,1.877836,-37.789150,0,6.956,6.752000000000001,6.622,1,1,1,1,1,78.521584861029,72.91450239607148,89.73574979094403,1,0.006163388593925845,-0.12126923557110539,0.12743262416503123
2010-02-26,sh.600637,7.07,7.12,6.98,7.02,14284472,100566264.0,3,2.015120,1,-0.7072,-4.2639,4.968001999999999,1.864556,-37.521900,0,6.996,6.814000000000002,6.6365,1,1,1,1,1,77.22127526350575,76.15680182788633,79.3502221347446,1,0.023901625349673772,-0.09223506338694956,0.11613668873662333
2010-03-01,sh.600637,7.02,7.25,6.94,7.21,32018065,227107591.0,3,4.516810,1,2.7066,-4.3793050000000004,5.102464,1.9150209999999999,-38.537450,0,7.0760000000000005,6.888000000000001,6.664,1,1,1,1,1,82.67019167217448,79.47101726556973,89.06854048538398,1,0.052683416251189996,-0.06325136745932165,0.11593478371051165
2010-03-02,sh.600637,7.13,7.27,7.09,7.13,19409021,138687984.0,3,2.738044,1,-1.1096,-4.330712999999999,5.045849,1.893772,-38.109850,0,7.096000000000001,6.956,6.702500000000001,1,1,1,1,1,82.93028322440087,80.94058338669367,86.90968289981527,1,0.0682511052338457,-0.03695087292068819,0.10520197815453389
2010-03-03,sh.600637,7.13,7.25,7.08,7.2,20605257,147578111.0,3,2.906797,1,0.9818,-4.373231,5.0953870000000006,1.912365,-38.484000,0,7.126,7.017,6.7445,1,1,1,1,1,88.56824855546087,84.72290781734539,96.25893003169185,1,0.08525426776744904,-0.01250984478306074,0.09776411255050979
2010-03-04,sh.600637,7.21,7.28,6.85,6.9,17870546,126234014.0,3,2.521010,1,-4.1667,-4.191013,4.883079,1.8326830000000003,-36.880500,0,7.0920000000000005,7.024000000000001,6.767500000000001,-1,-1,1,1,1,69.02576489533018,80.17476555839728,46.727763569195986,-1,0.07367265131636991,0.004726654436825392,0.06894599687954452
2010-03-05,sh.600637,6.9,7.15,6.87,7.03,14238486,99829472.0,3,2.008633,1,1.8841,-4.2699739999999995,4.975079,1.8672119999999999,-37.575350,0,7.093999999999999,7.045,6.794500000000001,-1,-1,1,1,1,61.38295259150092,72.9923220140973,38.16421374630815,-1,0.0741295312898389,0.018607229807428093,0.05552230148241081
2010-03-08,sh.600637,7.08,7.28,7.04,7.27,23924633,172899171.0,3,3.375064,1,3.4139,-4.415748000000001,5.144926,1.930957,-38.858150,0,7.106,7.090999999999999,6.8370000000000015,1,1,1,1,1,63.989401305128524,64.79937293065318,62.36945805407922,-1,0.09278800384694641,0.03344338461533176,0.05934461923161465
2010-03-09,sh.600637,7.36,7.38,7.2,7.23,17855578,129741351.0,3,2.518898,1,-0.5502,-4.391453,5.116618,1.920333,-38.644350,0,7.126,7.111,6.877500000000002,1,1,1,1,1,75.6665501520887,67.01296801623936,92.97371442378741,1,0.10315816891195162,0.04738634147465573,0.05577182743729589
2010-03-10,sh.600637,7.23,7.34,6.98,7.08,16348087,116621708.0,3,2.306236,1,-2.0747,-4.300344,5.010464,1.8804919999999998,-37.842600,0,7.102000000000001,7.114,6.907000000000002,-1,-1,1,-1,1,70.92291940909757,70.19295695543823,72.38284431641625,1,0.09814153847670593,0.05753738087506577,0.040604157601640156
2010-03-11,sh.600637,7.08,7.13,6.86,6.95,10913095,75974875.0,3,1.539518,1,-1.8362,-4.221383,4.918464,1.845963,-37.147750,0,7.112000000000002,7.101999999999999,6.927000000000001,-1,-1,1,1,1,44.65408805031456,63.747852537166914,6.466559076609869,-1,0.08272233755476943,0.06257437221100651,0.020147965343762925
2010-03-12,sh.600637,6.92,6.99,6.8,6.83,7381632,50772241.0,3,1.041332,1,-1.7266,-4.148495,4.833541,1.814091,-36.506350,0,7.072000000000001,7.083,6.948500000000001,-1,-1,-1,-1,1,22.478854912166636,46.01862079052622,-24.600676844552538,-1,0.06012641275775721,0.06208478032035665,-0.0019583675625994418
