date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600638,15.38,15.75,15.3,15.7,13062601,203382062.0,3,2.327769,1,2.3468,47.550342,3.3841940000000004,19.566477,365.177135,0,15.668000000000001,15.733,15.508999999999995,1,-1,1,-1,1,34.25266606492156,43.853913568179074,15.050171058406548,-1,-0.3440478651786343,-0.4982446860741854,0.1541968208955511
2010-02-26,sh.600638,15.58,15.79,15.58,15.6,10428456,163392527.0,3,1.858362,1,-0.6369,47.247473,3.362639,19.44185,362.851166,0,15.540000000000001,15.739,15.481999999999996,1,-1,1,-1,1,40.5442449771002,38.03440147793993,45.56393197542074,1,-0.3180888169181575,-0.4622135122429798,0.1441246953248223
2010-03-01,sh.600638,15.62,16.07,15.43,16.07,17715664,279892608.0,3,3.156950,1,3.0128,48.670955,3.463949,20.027598,373.783220,0,15.586000000000002,15.763,15.491499999999997,1,1,1,-1,1,53.846153846153804,42.88102162939185,75.7764182796777,1,-0.25663270996857435,-0.4210973517880987,0.16446464181952436
2010-03-02,sh.600638,15.98,16.07,15.72,15.88,13478458,214100292.0,3,2.401875,1,-1.1823,48.095504999999996,3.422994,19.790806,369.363879,0,15.718,15.773,15.529999999999996,1,1,1,-1,1,57.39644970414199,50.59561617579866,70.99811676082867,1,-0.22071544429618406,-0.38102097028971577,0.1603055259935317
2010-03-03,sh.600638,15.9,16.29,15.85,16.24,18292675,294448597.0,3,3.259774,1,2.267,49.185831,3.500593,20.239464,377.737368,0,15.898,15.793000000000001,15.603499999999997,1,1,1,1,1,70.01972386587768,60.420775805391166,89.21761998685072,1,-0.16134191199677694,-0.337085158631128,0.17574324663435104
2010-03-04,sh.600638,16.24,16.3,15.71,15.77,18949368,304661268.0,3,3.376797,1,-2.8941,47.762349,3.399283,19.653716,366.805313,0,15.911999999999997,15.790000000000001,15.642999999999995,-1,-1,1,1,1,64.10256410256406,63.83957922419458,64.62853385930302,1,-0.1504784104858814,-0.29976380900207866,0.14928539851619727
2010-03-05,sh.600638,15.99,16.69,15.8,16.41,35446275,579432092.0,3,6.316563,1,4.0583,49.700707,3.537238,20.45133,381.691515,0,16.073999999999998,15.806999999999999,15.709499999999997,1,1,1,1,1,72.5554938049625,68.89259392446809,79.8812935659513,1,-0.08919813539345967,-0.2576506742803549,0.1684525388868952
2010-03-08,sh.600638,16.42,16.79,16.16,16.54,23424648,386771092.0,3,4.174296,1,0.7922,50.094436,3.56526,20.613346,384.715275,0,16.167999999999996,15.876999999999999,15.773499999999999,1,1,1,1,1,74.58408280625626,70.41404690459429,82.9241546095802,1,-0.029799650515995424,-0.212080469527483,0.18228081901148757
2010-03-09,sh.600638,16.48,16.7,16.31,16.58,19549778,323615757.0,3,3.483791,1,0.2418,50.215584,3.573882,20.663197,385.645662,0,16.307999999999996,16.012999999999998,15.863999999999999,1,1,1,1,1,85.66518893124469,77.6015885141545,101.79238976542504,1,0.02026810430841053,-0.1656107547603043,0.18587885906871482
2010-03-10,sh.600638,16.62,16.7,15.89,16.02,16438747,266641761.0,3,2.929402,1,-3.3776,48.51952,3.453172,19.965284,372.620236,0,16.263999999999996,16.081,15.892,-1,-1,1,1,1,71.94917766485969,77.39948313412022,61.048566726338635,-1,0.014591637526297774,-0.12957027630298387,0.14416191382928165
2010-03-11,sh.600638,16.08,16.16,15.65,15.94,12049171,191690262.0,3,2.147175,1,-0.4994,48.277226,3.4359269999999995,19.865582,370.759461,0,16.297999999999995,16.105,15.919,-1,-1,1,1,1,55.59613106987761,71.07016588866067,24.648061432311493,-1,0.0035962104175020215,-0.10293697895888669,0.10653318937638871
2010-03-12,sh.600638,15.96,16.05,15.41,15.42,11509543,180328790.0,3,2.051012,1,-3.2622,46.70231,3.323839,19.217520999999998,358.664422,0,16.099999999999998,16.087,15.913,-1,-1,-1,1,1,27.20233020744531,51.58254631406087,-21.558102005785813,-1,-0.04654090438759262,-0.09165776404462787,0.045116859657035255
2010-03-15,sh.600638,15.24,15.64,15.23,15.51,7700876,119094767.0,3,1.372304,1,0.5837,46.974892,3.343239,19.329685,360.757794,0,15.893999999999997,16.031,15.897,-1,-1,-1,-1,-1,18.724451876625793,33.84097105131624,-11.508586472755098,-1,-0.07811225183446169,-0.08894866160259464,0.010836409768132951
2010-03-16,sh.600638,15.58,15.72,15.41,15.7,6853730,106672303.0,3,1.221342,1,1.225,47.550342,3.3841940000000004,19.566477,365.177135,0,15.717999999999998,16.012999999999998,15.893,-1,-1,-1,-1,-1,16.26718691936082,20.731323001143977,7.338914755794505,-1,-0.08680077474201475,-0.08851908423047866,0.0017183094884639094
2010-03-17,sh.600638,15.73,15.96,15.6,15.95,9383012,148226248.0,3,1.672062,1,1.5924,48.307513,3.4380830000000002,19.878045,370.992057,0,15.703999999999999,15.983999999999998,15.888499999999999,1,-1,1,-1,-1,31.41025641025639,22.13396506874767,49.96283909327383,1,-0.0726758194730941,-0.08535043127900174,0.012674611805907648
2010-03-18,sh.600638,15.95,16.35,15.9,16.05,13143402,211943515.0,3,2.342168,1,0.627,48.610381,3.4596379999999995,20.002672,373.318026,0,15.725999999999999,16.011999999999997,15.901,1,1,1,-1,-1,42.948717948717956,30.208720426111725,68.42871299393042,1,-0.05280383663307653,-0.0788411123498167,0.026037275716740166
2010-03-19,sh.600638,16.05,16.25,15.91,16.16,8986117,144731043.0,3,1.601335,1,0.6854,48.943536,3.4833489999999996,20.139762,375.876592,0,15.873999999999999,15.986999999999998,15.897,1,1,1,-1,-1,53.9944182801326,42.78446421303565,76.4143264143265,1,-0.027857937409326183,-0.0686444773617186,0.04078653995239241
2010-03-22,sh.600638,16.2,16.25,16.0,16.15,9752445,156982087.0,3,1.737896,1,-0.0619,48.913249,3.4811940000000003,20.127299,375.643996,0,16.002,15.947999999999999,15.9125,1,1,1,1,1,59.47148090005235,52.1382057096343,74.13803128088846,1,-0.008793680896024725,-0.056674318068579824,0.0478806371725551
2010-03-23,sh.600638,16.16,16.19,15.7,15.73,10255259,162823991.0,3,1.827498,1,-2.6006,47.641202,3.390661,19.603865,365.874926,0,16.008,15.862999999999996,15.937999999999999,-1,-1,-1,1,1,56.83106575963718,56.765654979940706,56.961887319030126,1,-0.02726135820445208,-0.050791726095754275,0.023530367891302195
2010-03-24,sh.600638,15.74,16.16,15.61,16.04,10733127,170336647.0,3,1.912654,1,1.9708,48.580094,3.4574830000000003,19.99021,373.085430,0,16.026,15.864999999999995,15.973000000000003,1,1,1,1,1,59.849773242630306,58.71743996743994,62.114439793011044,1,-0.01669032067453813,-0.04397144501151105,0.02728112433697292
2010-03-25,sh.600638,16.01,16.54,15.8,16.27,18811385,304395296.0,3,3.352208,1,1.4339,49.276692,3.50706,20.276851999999998,378.435158,0,16.07,15.897999999999996,16.0015,1,1,1,1,1,65.45119956379493,60.710679522020804,74.93223964734317,1,0.010129612668551502,-0.03315123347549854,0.04328084614405004
2010-03-26,sh.600638,16.08,16.68,16.03,16.65,21235510,348195000.0,3,3.784190,1,2.3356,50.427592,3.5889699999999998,20.750435999999997,387.273841,0,16.168,16.020999999999997,16.054,1,1,1,1,1,83.11617894137272,69.47238391593265,110.40376899225288,1,0.06134033408928019,-0.014252919962542791,0.07559325405182299
2010-03-29,sh.600638,16.88,17.15,16.5,16.57,34552082,580846910.0,3,6.157217,1,-0.4805,58.231964000000005,3.483643,17.497733,8.221658,0,16.252,16.127,16.079,1,1,1,1,1,79.86925113799339,76.14554321438702,87.31666698520613,1,0.09438189264866281,0.007474042559698333,0.08690785008896448
