date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600642,10.62,10.74,10.59,10.73,16159147,172516700.0,3,0.559211,1,1.131,19.370048999999998,2.027351,2.013978,-17.114886,0,10.557999999999998,10.490999999999998,10.482499999999998,1,1,1,1,1,81.61616161616152,74.6630143240312,95.52245620042217,1,-0.22671986661370802,-0.3519611412727524,0.1252412746590444
2010-02-26,sh.600642,10.69,10.78,10.66,10.68,13127168,140824308.0,3,0.454285,1,-0.466,19.279788,2.017904,2.004594,-17.035133,0,10.584,10.532,10.4705,1,1,1,1,1,90.7614607614607,81.66510827527766,108.95416573382678,1,-0.19793755037512284,-0.3211564230932265,0.12321887271810367
2010-03-01,sh.600642,10.7,10.82,10.68,10.79,12146875,130564270.0,3,0.420361,1,1.03,19.478363,2.038688,2.02524,-17.210589,0,10.648,10.579999999999998,10.474,1,1,1,1,1,91.060606060606,87.81274281274273,97.55633255633256,1,-0.16435667525514752,-0.2897964735256107,0.1254397982704632
2010-03-02,sh.600642,10.79,10.85,10.75,10.85,13214376,142871097.0,3,0.457303,1,0.5561,19.586676,2.050024,2.036502,-17.306292,0,10.732,10.612999999999998,10.498,1,1,1,1,1,91.66666666666659,91.16291116291109,92.6741776741776,1,-0.13138753748017962,-0.2581146863165245,0.1267271488363449
2010-03-03,sh.600642,10.85,11.13,10.8,11.07,27293322,300921612.0,3,0.944526,1,2.0276,19.983825,2.091591,2.077795,-17.657203,0,10.824,10.661999999999997,10.532499999999999,1,1,1,1,1,95.6672845227061,92.7981857499929,101.4054820681325,1,-0.0865098650071392,-0.22379372205464745,0.13728385704750826
2010-03-04,sh.600642,11.13,11.22,10.61,10.68,24400266,266287403.0,3,0.844407,1,-3.523,19.279788,2.017904,2.004594,-17.035133,0,10.814,10.685999999999998,10.547,-1,-1,1,1,1,78.02514405447872,88.45303174795045,57.16936866753525,-1,-0.08147453910937763,-0.1953298854655935,0.11385534635621586
2010-03-05,sh.600642,10.68,10.83,10.65,10.78,11540176,124133096.0,3,0.399365,1,0.9363,19.46031,2.036798,2.0233630000000002,-17.194638,0,10.834,10.709,10.5685,-1,1,1,1,1,62.083115068971416,78.59184788205206,29.065649442810127,-1,-0.06862379045318967,-0.16998866646311273,0.10136487600992306
2010-03-08,sh.600642,10.79,10.95,10.7,10.88,12035261,130319819.0,3,0.416498,1,0.9276,19.640832999999997,2.0556919999999996,2.042133,-17.354143,0,10.852,10.749999999999998,10.597,1,1,1,1,1,52.17391304347816,64.09405738897608,28.333624352482303,-1,-0.0497962946062831,-0.1459501920917468,0.09615389748546371
2010-03-09,sh.600642,10.88,10.88,10.73,10.79,11586809,125079941.0,3,0.400979,1,-0.8272,19.478363,2.038688,2.02524,-17.210589,0,10.84,10.785999999999998,10.622,-1,1,1,1,1,48.98780768345974,54.414945265303096,38.13353251977303,-1,-0.041657415585413915,-0.12509163679048024,0.08343422120506633
2010-03-10,sh.600642,10.78,10.8,10.58,10.64,11046047,117927427.0,3,0.382265,1,-1.3902,19.207579,2.0103459999999997,1.9970860000000001,-16.971331,0,10.754000000000001,10.788999999999998,10.629,-1,-1,1,-1,1,34.72150333563373,45.29440802085721,13.575693965186758,-1,-0.04677188455099568,-0.10942768634258333,0.06265580179158765
