date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600653,4.6,4.63,4.57,4.61,24261895,111494129.0,3,1.389268,1,0.2174,517.793783,4.666158,2.882206,30.866958,0,4.526000000000002,4.445999999999999,4.403999999999999,1,1,1,1,1,95.28503293209178,92.0029937474156,101.84911130144414,1,0.022558947526100326,-0.021518159335400452,0.04407710686150078
2010-02-26,sh.600653,4.6,4.61,4.54,4.55,18423597,84205279.0,3,1.054959,1,-1.3015,511.054601,4.605427,2.844693,30.465219,0,4.554000000000002,4.471999999999999,4.400499999999999,-1,1,1,1,1,86.71360436066318,91.06128282598867,78.01824743001222,-1,0.027394711660774007,-0.01173558513616556,0.039130296796939565
2010-03-01,sh.600653,4.55,4.66,4.54,4.63,24426234,112790942.0,3,1.398678,1,1.7582,520.040177,4.686401999999999,2.89471,31.000871,0,4.596000000000002,4.497999999999999,4.4064999999999985,1,1,1,1,1,85.2895997108521,89.09607900120233,77.67664113015167,-1,0.03725299169038099,-0.0019378697708562504,0.039190861461237236
2010-03-02,sh.600653,4.65,4.7,4.6,4.63,24706802,114886817.0,3,1.414743,1,0.0,520.040177,4.686401999999999,2.89471,31.000871,0,4.604000000000001,4.520999999999999,4.422999999999998,1,1,1,1,1,80.58371735791087,84.19564047647536,73.35987112078189,-1,0.04455217984246218,0.007360140151807436,0.037192039690654745
2010-03-03,sh.600653,4.63,4.84,4.61,4.78,62686233,298765713.0,3,3.589495,1,3.2397,536.8881309999999,4.838229,2.988491,32.005219,0,4.640000000000002,4.558,4.446999999999998,1,1,1,1,1,86.0258942286592,83.96640376580736,90.1448751543629,1,0.06172901181526047,0.018233914484498043,0.04349509733076243
2010-03-04,sh.600653,4.77,4.87,4.58,4.62,49905906,236803607.0,3,2.857677,1,-3.3473,518.91698,4.67628,2.888458,30.933914,0,4.642000000000002,4.584,4.4609999999999985,-1,1,1,1,1,72.24489795918369,79.61816984858456,57.498354180381966,-1,0.061719646417136786,0.026931060871025793,0.034788585546110994
2010-03-05,sh.600653,4.68,5.08,4.68,5.08,291260493,1470727622.0,3,16.677953,1,9.9567,570.584038,5.141883999999999,3.176053,34.013915,0,4.748000000000002,4.650999999999999,4.497499999999999,1,1,1,1,1,78.91156462585037,79.06078560456439,78.61312266842236,-1,0.09770410775573346,0.04108567024796733,0.05661843750776613
2010-03-08,sh.600653,5.11,5.18,4.98,5.16,256522643,1307844696.0,3,14.688819,1,1.5748,579.569614,5.2228580000000004,3.22607,34.549567,0,4.854000000000002,4.724999999999999,4.541999999999999,1,1,1,1,1,81.96755625327057,77.70800627943485,90.48665620094201,1,0.13116539105228942,0.05910161440883175,0.07206377664345767
2010-03-09,sh.600653,5.15,5.15,5.0,5.03,106472405,537630638.0,3,6.096748,1,-2.5194,564.968054,5.091275,3.144793,33.679132,0,4.934000000000003,4.768999999999998,4.580499999999999,1,1,1,1,1,91.16185897435902,84.01365995115997,105.45825702075715,1,0.14551636353759978,0.07638456423458535,0.06913179930301443
2010-03-10,sh.600653,5.03,5.1,4.83,5.03,102570895,507828855.0,3,5.873342,1,0.0,564.968054,5.091275,3.144793,33.679132,0,4.984000000000003,4.8119999999999985,4.615999999999998,1,1,1,1,1,83.34935897435905,85.49292473399619,79.06222745508475,-1,0.15510169681198693,0.09212799075006567,0.06297370606192126
2010-03-11,sh.600653,4.98,5.03,4.9,4.94,42064957,208563278.0,3,2.408694,1,-1.7893,554.859281,5.000178,3.088524,33.076523,0,5.048000000000003,4.844999999999998,4.645499999999998,-1,1,1,1,1,71.87500000000007,82.12873931623936,51.367521367521505,-1,0.15366454542511576,0.10443530168507568,0.04922924374004008
2010-03-12,sh.600653,4.93,4.96,4.82,4.83,40871378,199587741.0,3,2.340348,1,-2.2267,542.5041150000001,4.888838,3.019751,32.340001,0,4.998000000000002,4.872999999999998,4.672499999999998,-1,-1,1,1,1,60.24305555555562,71.82247150997156,37.08422364672373,-1,0.1420124804305578,0.11195073743417211,0.0300617429963857
