date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600661,9.75,9.84,9.65,9.78,4772555,46563846.0,3,2.747952,1,0.6173,-39.340222999999995,5.228224,4.1520589999999995,-155.411334,0,9.584,9.456,9.205500000000002,1,1,1,1,1,88.12167005715399,84.49075244774174,95.38350527597848,1,0.022418338698338758,-0.11710449748917856,0.13952283618751732
2010-02-26,sh.600661,9.75,9.83,9.63,9.69,3791203,36828394.0,3,2.182907,1,-0.9202,-38.978196000000004,5.180112,4.11385,-153.981168,0,9.654,9.504999999999999,9.218500000000002,1,1,1,1,1,87.21257914806306,86.42677169558895,88.78419405301125,1,0.04307118102231655,-0.08506936178687954,0.1281405428091961
2010-03-01,sh.600661,9.69,9.83,9.69,9.79,4385591,42906763.0,3,2.525145,1,1.032,-39.380448,5.233569999999999,4.156305000000001,-155.570241,0,9.712,9.538999999999998,9.256000000000002,1,1,1,1,1,87.19628719628714,87.51017880050138,86.56850398785869,-1,0.06673855115053584,-0.05470777919939647,0.12144633034993231
2010-03-02,sh.600661,9.77,10.02,9.75,9.91,5448763,53860631.0,3,3.137300,1,1.2257,-39.86315,5.29772,4.20725,-157.477129,0,9.778,9.590999999999998,9.313,1,1,1,1,1,85.53391053391054,86.64759229275357,83.30654701622447,-1,0.09409345878773756,-0.024947531601969664,0.11904099038970722
2010-03-03,sh.600661,9.91,10.28,9.85,10.13,9183687,92873637.0,3,5.287802,1,2.22,-40.748104,5.415328,4.30065,-160.973089,0,9.860000000000001,9.666999999999998,9.380500000000001,1,1,1,1,1,88.30197580197587,87.0107245107245,90.88447838447863,1,0.13200293390192464,0.006442561498809195,0.12556037240311543
2010-03-04,sh.600661,10.1,10.16,9.52,9.65,6447026,63638760.0,3,3.712082,1,-4.7384,-38.817296,5.158728,4.096868,-153.345539,0,9.834,9.708999999999998,9.415000000000001,-1,-1,1,1,1,68.95222832722845,80.9293715543716,44.997941872942164,-1,0.12190918438851739,0.029535886076750832,0.09237329831176655
2010-03-05,sh.600661,9.74,9.95,9.56,9.8,5012755,49060340.0,3,2.886254,1,1.5544,-39.420673,5.238916000000001,4.16055,-155.729148,0,9.856,9.754999999999997,9.455000000000002,-1,1,1,1,1,56.65064102564116,71.30161505161514,27.348692973693176,-1,0.1245775095915338,0.04854421077970743,0.07603329881182637
2010-03-08,sh.600661,9.84,10.78,9.82,10.78,15488799,163761068.0,3,8.918173,1,10.0,-43.362741,5.762808000000001,4.576605000000001,-171.302063,0,10.054,9.882999999999997,9.5555,1,1,1,1,1,61.45833333333342,62.35373422873432,59.66753154253162,-1,0.20342502922818184,0.07952037446940231,0.12390465475877953
2010-03-09,sh.600661,10.8,10.88,10.3,10.45,18378774,195165668.0,3,10.582168,1,-3.0612,-42.035309999999996,5.5863949999999996,4.436505,-166.058123,0,10.162,9.969999999999997,9.645,1,1,1,1,1,72.79411764705888,63.634364002011125,91.11362493715438,1,0.23655713117452137,0.11092772581042612,0.12562940536409525
2010-03-10,sh.600661,10.35,10.43,9.94,10.2,9517476,96768699.0,3,5.479992,1,-2.3923,-41.02968,5.452749,4.330368,-162.085440,0,10.175999999999998,10.017999999999997,9.705499999999999,1,1,1,1,1,72.79411764705883,69.01552287581701,80.35130718954244,1,0.23987650299943652,0.1367174812482282,0.10315902175120834
