date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600662,9.22,9.4,9.12,9.32,17501486,162084108.0,3,3.187634,1,1.0846,67.134163,4.970883000000001,5.7957529999999995,462.227706,0,9.133999999999999,8.999999999999996,8.773,1,1,1,1,1,95.7336592747803,93.28216284820523,100.63665212793043,1,0.036886352150919066,-0.08727580983650264,0.12416216198742171
2010-02-26,sh.600662,9.27,9.38,9.16,9.18,14463259,133941837.0,3,2.634266,1,-1.5021,66.12571,4.8962129999999995,5.708692,455.284372,0,9.169999999999998,9.031999999999996,8.777000000000001,1,1,1,1,1,85.10563995110876,91.64196059218808,72.03299866895011,-1,0.05152029832924754,-0.05951658820335261,0.11103688653260015
2010-03-01,sh.600662,9.15,9.28,9.12,9.18,12792817,117650961.0,3,2.330020,1,0.0,66.12571,4.8962129999999995,5.708692,455.284372,0,9.213999999999999,9.059999999999997,8.795000000000002,-1,1,1,1,1,74.72293265132133,85.1874106257368,53.79397670249037,-1,0.06239851486976988,-0.03513356758872811,0.097532082458498
2010-03-02,sh.600662,9.17,9.24,9.01,9.07,12940389,117762712.0,3,2.356898,1,-1.1983,65.333354,4.837544,5.640288,449.828894,0,9.193999999999999,9.077999999999998,8.833000000000002,-1,-1,1,1,1,62.41119636260294,74.07992298834436,39.07374311112008,-1,0.06143531113519529,-0.01581979184394343,0.07725510297913872
2010-03-03,sh.600662,9.08,9.36,9.02,9.31,16047604,147807249.0,3,2.922831,1,2.6461,67.06213000000001,4.965549,5.789535,461.731754,0,9.212,9.115999999999996,8.883000000000001,1,1,1,1,1,68.62745098039211,68.58719333143881,68.70796627829873,1,0.07912584597408667,0.0031693357196625922,0.07595651025442408
2010-03-04,sh.600662,9.31,9.34,8.9,8.92,14383759,130958885.0,3,2.619786,1,-4.189,64.252868,4.7575400000000005,5.547008,442.389607,0,9.132,9.132999999999997,8.9045,-1,-1,1,-1,1,47.41176470588232,59.48347068295914,23.268352751728685,-1,0.06097312146354206,0.014730092868438486,0.04624302859510357
2010-03-05,sh.600662,8.94,9.14,8.8,9.02,10598482,95436784.0,3,1.930355,1,1.1211,64.973192,4.810876,5.609195,447.349132,0,9.1,9.134999999999996,8.9295,-1,-1,1,-1,1,42.47712418300646,52.838779956426976,21.753812636165435,-1,0.054033258995582756,0.02259072609386734,0.03144253290171542
2010-03-08,sh.600662,9.05,9.36,9.03,9.23,17424777,161005922.0,3,3.173662,1,2.3282,66.485872,4.922880999999999,5.7397860000000005,457.764134,0,9.11,9.161999999999995,8.9695,1,1,1,-1,1,37.44444444444436,42.44444444444439,27.444444444444287,-1,0.06473241792814477,0.031019064460722827,0.03371335346742194
2010-03-09,sh.600662,9.23,9.37,9.16,9.28,15998106,148720325.0,3,2.913815,1,0.5417,66.84603299999999,4.949548,5.770879,460.243896,0,9.152,9.172999999999996,9.016499999999999,1,1,1,-1,1,62.77777777777766,47.56644880174284,93.2004357298473,1,0.07636586247156707,0.040088424062891675,0.036277438408675394
2010-03-10,sh.600662,9.26,9.27,8.96,9.06,13422224,121803156.0,3,2.444657,1,-2.3707,65.261321,4.83221,5.634069,449.332942,0,9.102,9.156999999999996,9.0485,-1,-1,1,-1,1,65.49808429118765,55.24010217113656,86.01404853128984,1,0.067060260760897,0.04548279140249274,0.021577469358404253
2010-03-11,sh.600662,9.05,9.09,8.8,8.89,8899398,79377838.0,3,1.620892,1,-1.8764,64.036771,4.7415389999999995,5.528353,440.901750,0,9.096,9.113999999999997,9.056999999999999,-1,-1,-1,-1,1,46.87235329703562,58.38273845533366,23.851582980439545,-1,0.045444074112811705,0.045475047944556535,-3.097383174482937e-05
2010-03-12,sh.600662,8.89,8.94,8.72,8.74,7534195,66351129.0,3,1.372241,1,-1.6873,62.956286,4.661536,5.435073,433.462463,0,9.04,9.069999999999997,9.050999999999998,-1,-1,-1,-1,-1,21.23132765601002,44.53392174807778,-25.373860528125505,-1,0.01602462219066325,0.03958496279377788,-0.023560340603114627
2010-03-15,sh.600662,8.76,9.02,8.75,8.86,7018745,62221463.0,3,1.278359,1,1.373,63.820674,4.725539,5.509697,439.413892,0,8.966,9.037999999999998,9.048999999999998,-1,-1,-1,-1,-1,13.468286099864983,27.19065568430356,-13.976453069012173,-1,0.002365226842078627,0.03214101560343803,-0.029775788761359404
2010-03-16,sh.600662,8.9,8.94,8.75,8.93,4902745,43448340.0,3,0.892962,1,0.7901,64.324901,4.762874,5.553227,442.885560,0,8.895999999999999,9.023999999999997,9.050999999999998,1,-1,-1,-1,-1,18.974358974358882,17.891324243411315,21.14042843625402,1,-0.002779487198461439,0.025156915043058135,-0.027936402241519574
2010-03-17,sh.600662,8.95,9.2,8.86,9.12,11337765,102587226.0,3,2.065004,1,2.1277,65.693516,4.864211,5.671380999999999,452.308657,0,8.907999999999998,9.004999999999999,9.0605,1,1,1,-1,-1,38.46153846153836,23.634727845254094,68.1151596941069,1,0.008378124162351952,0.021801156866916898,-0.013423032704564946
2010-03-18,sh.600662,9.1,9.36,9.08,9.3,19823679,183359103.0,3,3.610586,1,1.9737,66.990098,4.960216,5.783316,461.235801,0,8.989999999999998,9.042999999999997,9.088,1,1,1,-1,-1,61.02564102564103,39.487179487179446,104.1025641025642,1,0.03138333962552586,0.023717593418638692,0.007665746206887172
2010-03-19,sh.600662,9.26,9.37,9.18,9.29,12282445,113933559.0,3,2.237063,1,-0.1075,66.91806600000001,4.954882,5.777097,460.739849,0,9.099999999999998,9.069999999999999,9.1025,1,1,1,1,-1,79.4871794871795,59.65811965811965,119.1452991452992,1,0.04825200314082778,0.02862447536307651,0.019627527777751272
2010-03-22,sh.600662,9.31,9.38,9.22,9.34,13165814,122639394.0,3,2.397956,1,0.5382,58.26265600000001,4.907666000000001,5.842569,180.689837,0,9.195999999999998,9.081,9.1215,1,1,1,1,1,90.28749028749029,76.93343693343695,116.99559699559694,1,0.06490691611559818,0.035880963513580846,0.029025952602017333
2010-03-23,sh.600662,9.34,9.37,9.06,9.13,15309641,140792797.0,3,2.788422,1,-2.2484,56.952681999999996,4.7973230000000004,5.7112050000000005,176.627218,0,9.235999999999999,9.065999999999999,9.119499999999999,-1,1,1,1,1,81.25097125097118,83.67521367521367,76.40248640248618,-1,0.060463820399357715,0.04079753489073622,0.019666285508621498
2010-03-24,sh.600662,9.15,9.24,9.05,9.09,10144526,92455245.0,3,1.847673,1,-0.4381,56.703163,4.776305000000001,5.686184,175.853386,0,9.229999999999999,9.068999999999999,9.113,-1,1,-1,1,1,70.7070707070706,80.7485107485107,50.62419062419039,-1,0.05310283292481799,0.04325859449755257,0.009844238427265416
2010-03-25,sh.600662,9.1,9.11,8.9,8.95,10371313,93130347.0,3,1.888979,1,-1.5402,55.829846999999994,4.702742,5.5986080000000005,173.144973,0,9.16,9.075,9.0945,-1,-1,-1,1,1,49.97594997594987,67.3113306446639,15.305188638521798,-1,0.03556242583878344,0.04171936076579875,-0.006156934927015308
2010-03-26,sh.600662,8.96,9.85,8.95,9.85,52333545,504352785.0,3,9.531772,1,10.0559,61.444022,5.175644,6.161596,190.556199,0,9.272,9.185999999999998,9.127999999999998,1,1,1,1,1,62.60221260221249,61.095077761744335,65.6164822831488,1,0.093209543639313,0.0520173973405016,0.0411921462988114
2010-03-29,sh.600662,10.18,10.25,9.69,9.91,91910916,917484249.0,3,16.740197,1,0.6091,61.8183,5.20717,6.199129,191.716947,0,9.386,9.290999999999999,9.164499999999999,1,1,1,1,1,69.09520003045178,60.55778753620473,86.17002501894586,1,0.14209877218799782,0.07003367231000085,0.07206509987799697
2010-03-30,sh.600662,9.8,10.89,9.75,10.46,75626888,794242456.0,3,13.774305,1,5.5499,65.249185,5.4961660000000006,6.543177,202.357141,0,9.651999999999997,9.443999999999999,9.233999999999998,1,1,1,1,1,84.6438427147729,72.11375178247907,109.70402457936055,1,0.22265758347613485,0.10055845454322765,0.1220991289329072
