date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600667,7.88,8.13,7.8,8.05,10932485,87046626.0,3,2.964200,1,2.1574,117.073875,4.171345,6.484829,12.071123,0,7.792,7.641999999999998,7.660999999999997,1,1,1,1,1,90.45338441890165,84.7607160825551,101.83872109159475,1,-0.1938017442104325,-0.33729975377119104,0.14349800956075853
2010-02-26,sh.600667,8.03,8.1,7.91,7.92,8458725,67463870.0,3,2.293472,1,-1.6149,115.183241,4.103982,6.380105,11.876186,0,7.85,7.692999999999998,7.654499999999996,1,1,1,1,1,87.07243203794928,87.9912093015541,85.23487751073966,-1,-0.164148940927908,-0.30266959120253445,0.13852065027462646
2010-03-01,sh.600667,7.93,8.17,7.93,8.14,10756794,86836245.0,3,2.916564,1,2.7778,118.382776,4.217981,6.55733,12.206080,0,7.942,7.763999999999998,7.6569999999999965,1,1,1,1,1,86.30283126834854,87.94288257506646,83.0227286549127,-1,-0.12149618689256414,-0.2664349103405404,0.14493872344797626
2010-03-02,sh.600667,8.14,8.38,8.14,8.34,14610887,120627248.0,3,3.961551,1,2.457,121.29144299999999,4.321617,6.718444,12.505983,0,8.065999999999999,7.847999999999997,7.692999999999996,1,1,1,1,1,88.00742115027829,87.12756148552535,89.76714047978419,1,-0.07073979912250739,-0.2272958880969338,0.1565560889744264
2010-03-03,sh.600667,8.39,8.45,8.25,8.4,11754034,98377989.0,3,3.186952,1,0.7194,122.16404399999999,4.352708,6.7667779999999995,12.595954,0,8.169999999999998,7.927999999999999,7.730999999999997,1,1,1,1,1,95.7534528963101,90.02123510497894,107.21788847897241,1,-0.025380922104685233,-0.1869128948984841,0.16153197279379886
2010-03-04,sh.600667,8.4,8.4,7.89,7.9,14283901,115975432.0,3,3.872893,1,-5.9524,114.892374,4.093618,6.363993,11.846195,0,8.139999999999999,7.965999999999999,7.742499999999998,-1,-1,1,1,1,79.59183673469393,87.78423692709407,63.207036349893656,-1,-0.029440139004058175,-0.1554183437195989,0.12597820471554072
2010-03-05,sh.600667,7.93,7.98,7.77,7.88,6697249,52839755.0,3,1.815871,1,-0.2532,114.60150800000001,4.083254,6.347882,11.816205,0,8.132,7.991,7.753499999999998,-1,-1,1,1,1,62.85714285714295,79.4008108293823,29.76980691266425,-1,-0.03388037858044424,-0.13111075069176797,0.09723037211132374
2010-03-08,sh.600667,7.96,8.32,7.91,8.14,11667464,95026587.0,3,3.163480,1,3.2995,118.382776,4.217981,6.55733,12.206080,0,8.132,8.036999999999999,7.792499999999999,1,1,1,1,1,51.99464524765739,64.81454161316474,26.354852516642694,-1,-0.016232356840228945,-0.10813507192146017,0.09190271508123123
2010-03-09,sh.600667,8.1,8.19,7.96,8.07,5836404,47084453.0,3,1.582464,1,-0.86,117.36474199999999,4.181709,6.50094,12.101113,0,8.078,8.072,7.825999999999998,-1,-1,1,1,1,50.82751172758271,55.22643327746099,42.029668627826155,-1,-0.007804620641025828,-0.0880689816653733,0.08026436102434747
2010-03-10,sh.600667,8.12,8.22,7.85,7.97,7386006,59234479.0,3,2.002619,1,-1.2392,115.910408,4.129891000000001,6.420383,11.951162,0,7.991999999999999,8.081,7.843999999999997,-1,-1,1,-1,1,45.39333805811494,49.40516501111833,37.369684152108164,-1,-0.009089959850869356,-0.07227317730247251,0.06318321745160316
2010-03-11,sh.600667,7.95,8.05,7.72,7.8,5829344,45770840.0,3,1.580550,1,-2.133,113.438041,4.0418,6.283436,11.696243,0,7.971999999999999,8.056000000000001,7.848999999999998,-1,-1,-1,-1,1,28.1627719580984,41.461207247932,1.5659013784311924,-1,-0.023554656270537322,-0.06252947309608547,0.03897481682554815
2010-03-12,sh.600667,7.99,8.58,7.98,8.58,47933171,409525943.0,3,12.996451,1,10.0,124.78184499999999,4.4459800000000005,6.91178,12.865868,0,8.111999999999998,8.122,7.907499999999999,1,1,1,-1,1,46.79022293849052,40.11544431823461,60.139780179002344,1,0.027603255722834064,-0.044502927332301566,0.07210618305513564
2010-03-15,sh.600667,8.63,9.09,8.43,8.48,75020062,656850779.0,3,20.340707,1,-1.1655,123.32751100000002,4.394162000000001,6.831223,12.715916,0,8.179999999999998,8.156,7.959999999999998,1,1,1,1,1,55.47778555477792,43.47692681712226,79.47950303008923,1,0.05939246590883407,-0.023723848684074435,0.0831163145929085
2010-03-16,sh.600667,8.24,8.34,7.95,8.19,35178899,286307769.0,3,9.538297,1,-3.4198,119.10994299999999,4.24389,6.597608,12.281056,0,8.203999999999997,8.141,7.994499999999998,-1,1,1,1,1,63.26034063260346,55.17611637529061,79.42878914722915,1,0.06048780191314762,-0.006881518564630023,0.06736932047777765
2010-03-17,sh.600667,8.17,9.01,8.07,9.01,42142459,362495460.0,3,11.426376,1,10.0122,131.03548,4.6687970000000005,7.258175,13.510661,0,8.411999999999997,8.202,8.064999999999998,1,1,1,1,1,61.31386861313874,60.01733160017335,63.90694263906951,1,0.12606975688048117,0.019708736524392215,0.10636102035608895
2010-03-18,sh.600667,9.27,9.68,9.01,9.27,73471381,684560081.0,3,19.920802,1,2.8857,134.816748,4.8035239999999995,7.467623,13.900535,0,8.705999999999998,8.338999999999999,8.152499999999998,1,1,1,1,1,69.18292864591096,64.58571263055103,78.37736067663081,1,0.19675567878502598,0.055118124976518974,0.141637553808507
2010-03-19,sh.600667,9.1,9.92,9.04,9.52,58215146,551246365.0,3,15.784274,1,2.6969,138.452583,4.933069000000001,7.669014999999999,14.275415,0,8.893999999999997,8.502999999999998,8.246999999999998,1,1,1,1,1,85.020132804283,71.83897668777753,111.38244503729393,1,0.2698371768152512,0.09806193534426542,0.17177524147098577
2010-03-22,sh.600667,9.44,9.77,9.34,9.45,37101293,353938900.0,3,10.059529,1,-0.7353,137.434549,4.896796,7.612625,14.170449,0,9.087999999999997,8.633999999999999,8.335499999999998,1,1,1,1,1,79.84539270253559,78.01615138424314,83.50387533912047,1,0.3184356476159671,0.14213667779860575,0.17629896981736135
2010-03-23,sh.600667,9.4,9.61,9.21,9.34,25956644,243777597.0,3,7.037804,1,-1.164,135.83478200000002,4.839797,7.524012,14.005502,0,9.317999999999998,8.761,8.416499999999997,1,1,1,1,1,78.03030303030306,80.96527617904052,72.16035673282815,-1,0.34410754755822737,0.18253085175053008,0.1615766958076973
2010-03-24,sh.600667,9.29,9.4,9.18,9.29,21770942,202502836.0,3,5.902906,1,-0.5353,135.10761499999998,4.8138879999999995,7.483733999999999,13.930526,0,9.373999999999999,8.892999999999997,8.486999999999998,-1,1,1,1,1,73.43101061375175,77.10223544886344,66.08856094352836,-1,0.35631080195676823,0.2172868417917777,0.13902396016499052
2010-03-25,sh.600667,9.16,9.58,9.03,9.06,30348948,283254966.0,3,8.228720,1,-2.4758,131.762647,4.694706,7.298453,13.585637,0,9.331999999999999,9.018999999999998,8.537499999999998,-1,1,1,1,1,66.00061528995542,72.48730964467005,53.02722658052616,-1,0.34346365595041917,0.242522204623506,0.10094145132691318
2010-03-26,sh.600667,9.07,9.29,9.02,9.25,19400584,178112116.0,3,5.260214,1,2.0971,134.525881,4.793159999999999,7.451511,13.870545,0,9.278,9.085999999999999,8.603999999999997,-1,1,1,1,1,63.451776649746215,67.6278008511511,55.09972824693645,-1,0.3446408075870355,0.2629459252162119,0.08169488237082362
2010-03-29,sh.600667,9.22,9.38,9.15,9.29,16415363,152100797.0,3,4.450811,1,0.4324,135.10761499999998,4.8138879999999995,7.483733999999999,13.930526,0,9.245999999999999,9.166999999999998,8.661499999999997,1,1,1,1,1,62.760323775552216,64.07090523841792,60.1391608498208,-1,0.34482643000789537,0.2793220261745486,0.06550440383334677
2010-03-30,sh.600667,9.32,9.34,9.09,9.2,17275828,158977338.0,3,4.684114,1,-0.9688,133.798715,4.767251,7.411233,13.795569,0,9.218,9.267999999999999,8.704499999999996,-1,-1,1,-1,1,50.93830484693427,59.05013509074421,34.71464435931439,-1,0.3338627275740045,0.2902301664544398,0.043632561119564706
2010-03-31,sh.600667,9.2,9.46,9.06,9.39,24141095,224189368.0,3,6.545542,1,2.0652,136.561949,4.865705,7.564291000000001,14.080478,0,9.238000000000001,9.306,8.753999999999996,1,1,1,-1,1,42.64539264539266,52.11467375595969,23.706830424258598,-1,0.33662492392837606,0.299509117949227,0.03711580597914904
2010-04-01,sh.600667,9.3,9.43,9.26,9.34,19878072,185746945.0,3,5.389679,1,-0.5325,135.83478200000002,4.839797,7.524012,14.005502,0,9.294,9.312999999999999,8.825999999999997,1,1,1,-1,1,34.88563288563293,42.823110125986595,19.0106784049256,-1,0.3309642524233585,0.3058001448440533,0.02516410757930515
2010-04-02,sh.600667,9.38,9.76,9.31,9.4,29314312,279497910.0,3,7.948192,1,0.6424,136.707382,4.870887000000001,7.5723460000000005,14.095473,0,9.324,9.301,8.901999999999997,1,1,1,1,1,45.043043043043134,40.85802285802288,53.413083413083655,1,0.32754390577500203,0.31014889703024306,0.017395008744758966
2010-04-06,sh.600667,9.48,9.58,9.24,9.44,18631905,174409938.0,3,5.051797,1,0.4255,137.28911599999998,4.891614,7.604569000000001,14.155454,0,9.354,9.3,8.966999999999995,1,1,1,1,1,50.25825825825831,43.39564472897809,63.983485316818744,1,0.32432233611289973,0.3129835848467744,0.011338751266125324
2010-04-07,sh.600667,9.41,9.42,9.24,9.29,10908555,101594719.0,3,2.957712,1,-1.589,135.10761499999998,4.8138879999999995,7.483733999999999,13.930526,0,9.371999999999998,9.294999999999998,9.027999999999995,-1,-1,1,1,1,48.19819819819821,47.83316649983319,48.92826159492826,1,0.30613652129372504,0.31161417213616455,-0.005477650842439508
2010-04-08,sh.600667,9.29,9.47,9.25,9.37,14043922,131479425.0,3,3.807825,1,0.8611,136.271082,4.855342,7.548178999999999,14.050487,0,9.367999999999999,9.303,9.097999999999995,1,1,1,1,1,46.84684684684681,48.434434434434415,43.671671671671604,-1,0.29478140687649557,0.30824761908423076,-0.013466212207735195
2010-04-09,sh.600667,9.29,9.61,9.26,9.6,23236009,220765224.0,3,6.300139,1,2.4546,139.61605,4.9745230000000005,7.733460000000001,14.395377,0,9.419999999999998,9.357,9.187999999999995,1,1,1,1,1,53.6422136422136,49.56241956241951,61.80180180180179,1,0.30087319578747973,0.30677273442488057,-0.005899538637400836
2010-04-12,sh.600667,9.64,9.65,9.4,9.56,19057587,181439102.0,3,5.167215,1,-0.4167,139.034316,4.953796,7.701237,14.335396,0,9.451999999999998,9.388,9.236999999999995,1,1,1,1,1,65.2895752895753,55.2595452595452,85.3496353496355,1,0.2990263273184528,0.305223453003595,-0.006197125685142191
2010-04-13,sh.600667,9.71,9.99,9.03,9.56,31510694,304285882.0,3,8.543712,1,0.0,139.034316,4.953796,7.701237,14.335396,0,9.475999999999999,9.415000000000001,9.290999999999995,1,1,1,1,1,67.92658730158735,62.286125411125376,79.20751108251129,1,0.29417164316387456,0.3030130910356509,-0.00884144787177632
2010-04-14,sh.600667,9.46,9.53,9.19,9.39,14060022,131620581.0,3,3.812191,1,-1.7782,136.561949,4.865705,7.564291000000001,14.080478,0,9.495999999999999,9.434000000000001,9.350999999999996,-1,-1,1,1,1,54.71230158730168,62.64282139282141,38.85126197626222,-1,0.27345447873320694,0.2971013685751621,-0.023646889841955177
2010-04-15,sh.600667,9.4,9.45,9.07,9.12,15478378,142632726.0,3,4.196759,1,-2.8754,132.635247,4.725797,7.346787,13.675608,0,9.446,9.407,9.356499999999997,-1,-1,-1,1,1,34.027777777777835,52.22222222222226,-2.3611111111110006,-1,0.2325683302050976,0.2841947609011492,-0.051626430696051606
2010-04-16,sh.600667,9.07,9.27,9.07,9.12,8433152,77256706.0,3,2.286539,1,0.0,132.635247,4.725797,7.346787,13.675608,0,9.349999999999998,9.385000000000002,9.348999999999997,-1,-1,-1,-1,1,18.75000000000003,35.830026455026484,-15.410052910052883,-1,0.19788467161236056,0.2669327430433915,-0.06904807143103092
2010-04-19,sh.600667,9.1,9.2,8.5,8.51,14868706,131589097.0,3,4.031455,1,-6.6886,123.763811,4.409708,6.855389999999999,12.760901,0,9.139999999999997,9.296000000000001,9.298499999999995,-1,-1,-1,-1,-1,6.473713646532431,19.750497141436735,-20.079853343276177,-1,0.11979480038885093,0.23750515451248339,-0.11771035412363245
2010-04-20,sh.600667,8.59,8.75,8.44,8.75,10708456,92101577.0,3,2.903458,1,2.8202,127.25421200000001,4.534071,7.048727,13.120786,0,8.977999999999998,9.227,9.263499999999997,-1,-1,-1,-1,-1,10.015380313199115,11.746364653243829,6.553411633109686,-1,0.07639339358537356,0.20528280232706142,-0.12888940874168786
