date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600678,7.29,7.4,7.12,7.29,7655658,56037715.0,3,2.748143,1,0.5517,-23.705425,7.807616,3.9704300000000003,-9.976876,1,7.235999999999997,7.096999999999999,7.034000000000001,1,1,1,1,1,71.64750957854405,80.01277139208169,54.916985951468774,-1,0.16165886901976556,0.14687667686925654,0.014782192150509021
2010-02-26,sh.600678,7.31,7.65,7.26,7.65,8034487,61190259.0,3,2.884130,1,4.9383,-24.876063000000002,8.193177,4.166501,-10.469561,1,7.369999999999997,7.1629999999999985,7.0745000000000005,1,1,1,1,1,71.64750957854405,76.11749680715194,62.70753512132828,-1,0.19133439374041572,0.15576822024348838,0.03556617349692734
2010-03-01,sh.600678,7.89,8.03,7.67,7.82,20852497,163755411.0,3,7.485396,1,2.2222,-25.428864,8.375247,4.2590900000000005,-10.702218,1,7.467999999999998,7.2529999999999974,7.1285,1,1,1,1,1,81.03448275862068,74.77650063856957,93.55044699872289,1,0.22596525335072037,0.16980762686493478,0.056157626485785594
2010-03-02,sh.600678,7.77,8.21,7.77,8.21,24350863,198711211.0,3,8.741201,1,4.9872,-26.697056,8.792939,4.4715,-11.235961,1,7.643999999999998,7.374999999999997,7.1915000000000004,1,1,1,1,1,94.44444444444441,82.37547892720302,118.58237547892722,1,0.281633701725168,0.1921728418369814,0.08946085988818658
2010-03-03,sh.600678,8.21,8.21,8.21,8.21,0,0.0,3,,0,0.0,-26.697056,8.792939,4.4715,-11.235961,1,7.8359999999999985,7.508999999999998,7.261500000000001,1,1,1,1,1,94.44444444444441,89.97445721583648,103.3844189016603,1,0.3220390820558592,0.21814608988075695,0.10389299217510223
2010-03-04,sh.600678,8.14,8.26,7.9,8.08,17858423,144569260.0,3,6.410617,1,-1.5834,-26.274325,8.653708,4.400697,-11.058046,1,7.993999999999998,7.6149999999999975,7.313500000000002,1,1,1,1,1,95.48872180451123,94.79253689779999,96.88109161793372,1,0.33965538764764425,0.24244794943413442,0.09720743821350983
2010-03-05,sh.600678,8.0,8.2,7.68,7.92,11085109,87954441.0,3,3.979208,1,-1.9802,-25.754041,8.482348,4.313554,-10.839075,1,8.047999999999998,7.708999999999998,7.350000000000001,-1,1,1,1,1,85.54720133667497,91.82678919521017,72.9880256196046,-1,0.33682308704123454,0.26132297695555445,0.07550011008568008
2010-03-08,sh.600678,7.9,8.12,7.8,7.97,6189746,49031345.0,3,2.221926,1,0.6313,-25.916629999999998,8.535898,4.3407860000000005,-10.907504,1,8.078,7.772999999999998,7.389500000000001,-1,1,1,1,1,77.06766917293228,86.03453077137279,59.13394597605128,-1,0.3347542123548317,0.2760092240354099,0.05874498831942182
2010-03-09,sh.600678,7.99,8.37,7.83,8.2,10729717,87142413.0,3,3.851634,1,2.8858,-26.664538,8.782229,4.466053,-11.222275,1,8.075999999999999,7.859999999999998,7.453,1,1,1,1,1,77.04561403508767,79.88682818156495,71.36318574213308,-1,0.3476660146677082,0.29034058216186953,0.05732543250583866
2010-03-10,sh.600678,8.16,8.25,7.95,8.01,6549215,52983255.0,3,2.350964,1,-2.3171,-26.046701000000002,8.578738000000001,4.362572,-10.962247,1,8.035999999999998,7.935999999999998,7.506,-1,1,1,1,1,76.17632369211313,76.76320230004434,75.0025664762507,-1,0.3386633980790199,0.3000051453452996,0.03865825273372031
