date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600679,10.24,10.37,10.07,10.31,4636498,47594626.0,3,2.547251,1,1.5764,-558.680042,6.080135,3.8026190000000004,34.620593,0,9.998000000000001,9.823,9.567499999999999,1,1,1,1,1,93.80763673890611,87.45633125795922,106.51024770079988,1,0.14990530295182403,0.026751028073165983,0.12315427487865804
2010-02-26,sh.600679,10.24,10.26,10.01,10.17,4402568,44655407.0,3,2.418732,1,-1.3579,-551.093698,5.997572,3.750983,34.150478,0,10.104000000000003,9.876000000000001,9.544999999999998,1,1,1,1,1,88.80697667289955,90.29250523354678,85.83591955160509,-1,0.16798604213189883,0.05499803088491255,0.11298801124698628
2010-03-01,sh.600679,10.12,10.24,10.03,10.2,3125683,31686563.0,3,1.717223,1,0.295,-552.719343,6.015264,3.7620480000000005,34.251217,0,10.188000000000002,9.929,9.558499999999997,1,1,1,1,1,85.82799456416235,89.48086932532267,78.52224504184173,-1,0.18263065496948805,0.08052455570182765,0.1021060992676604
2010-03-02,sh.600679,10.2,10.2,10.0,10.03,2547640,25684131.0,3,1.399651,1,-1.6667,-543.507354,5.91501,3.699347,33.680364,0,10.172000000000002,9.971,9.602499999999996,-1,1,1,1,1,76.56765676567659,83.73420933424616,62.234551628537446,-1,0.17846183989956899,0.10011201254137592,0.07834982735819307
2010-03-03,sh.600679,10.09,10.77,10.05,10.34,6289896,65515533.0,3,3.455613,1,3.0907,-560.305687,6.097827,3.813684,34.721332,0,10.210000000000003,10.039000000000001,9.661499999999997,1,1,1,1,1,73.00283219811344,78.46616117598411,62.076174242372105,-1,0.19789126581459549,0.11966786319601982,0.07822340261857566
2010-03-04,sh.600679,10.2,10.3,9.75,9.78,4178105,41900074.0,3,2.295414,1,-5.4159,-529.960311,5.767576999999999,3.6071400000000002,32.840873,0,10.104000000000003,10.051000000000002,9.695999999999996,-1,-1,1,1,1,55.20913793507012,68.25987563295338,29.10766253930359,-1,0.1661862147130968,0.12897153349943521,0.03721468121366159
2010-03-05,sh.600679,9.8,10.05,9.51,9.92,2533648,24983811.0,3,1.391964,1,1.4315,-537.546655,5.850140000000001,3.658776,33.310988,0,10.054000000000002,10.079000000000002,9.735499999999996,-1,-1,1,-1,1,43.943487560508856,57.38515256456413,17.06015755239831,-1,0.1506203061325717,0.1333012880260625,0.01731901810650921
2010-03-08,sh.600679,9.93,10.48,9.85,10.33,4737987,48674611.0,3,2.603008,1,4.1331,-559.7638049999999,6.0919300000000005,3.809996,34.687752,0,10.080000000000002,10.134000000000002,9.810999999999996,1,1,1,-1,1,42.46876055386696,47.20712868314863,32.99202429530361,-1,0.16941487569332558,0.1405240055595151,0.028890870133810476
2010-03-09,sh.600679,10.3,10.48,10.18,10.25,4089618,42260902.0,3,2.246800,1,-0.7744,-555.4287519999999,6.044751,3.7804900000000004,34.419115,0,10.124,10.148000000000001,9.884999999999996,1,1,1,-1,1,52.11640211640215,46.17621674359265,63.996772862021146,1,0.17582754556920754,0.14758471356145358,0.02824283200775396
2010-03-10,sh.600679,10.27,10.46,9.9,10.02,2480288,25057502.0,3,1.362648,1,-2.2439,-542.9654730000001,5.909113,3.6956589999999996,33.646784,0,10.059999999999999,10.135000000000002,9.934499999999996,-1,-1,1,-1,1,54.76190476190478,49.782355810724624,64.72100266426509,1,0.16050040606376648,0.15016785206191616,0.01033255400185032
2010-03-11,sh.600679,10.21,10.24,9.78,9.89,2090312,20708201.0,3,1.148399,1,-1.2974,-535.9210099999999,5.832448,3.647711,33.210249,0,10.081999999999999,10.093,9.957999999999998,-1,-1,-1,-1,1,43.12169312169315,50.00000000000002,29.36507936507941,-1,0.13629252860436303,0.14739278737040554,-0.011100258766042509
2010-03-12,sh.600679,9.85,9.9,9.61,9.71,1992464,19362772.0,3,1.094642,1,-1.82,-526.16714,5.726296,3.581322,32.605816,0,10.04,10.047,9.9615,-1,-1,-1,-1,1,28.83597883597888,42.23985890652559,2.0282186948854672,-1,0.10141407727742902,0.13819704535181024,-0.03678296807438122
2010-03-15,sh.600679,9.69,10.68,9.46,10.68,10245176,105796005.0,3,5.628610,1,9.9897,-578.7296650000001,6.298336,3.939086,35.863039,0,10.11,10.094999999999999,10.012,1,1,1,1,1,46.387172341370864,39.448281433014294,60.264954158083995,1,0.15031085669618527,0.14061980762068524,0.00969104907550003
2010-03-16,sh.600679,10.6,11.7,10.4,11.39,21505368,238698604.0,3,11.814860,1,6.6479,-617.203267,6.717045,4.200954,38.247193,0,10.338,10.230999999999998,10.100999999999999,1,1,1,1,1,65.0545003836989,46.75921718701621,101.64506677706426,1,0.24354553166305948,0.16120495242916008,0.0823405792338994
2010-03-17,sh.600679,11.21,11.6,11.0,11.43,13227286,148834207.0,3,7.266954,1,0.3512,-619.3707929999999,6.740635,4.215707,38.381511,0,10.620000000000001,10.339999999999998,10.189499999999999,1,1,1,1,1,89.07897128316976,66.84021466941317,133.55648451068294,1,0.3170080772164461,0.19236557738661728,0.1246424998298288
2010-03-18,sh.600679,11.28,12.57,11.15,12.57,20379617,246165692.0,3,11.196382,1,9.9738,-681.145308,7.412928999999999,4.636171,42.209588,0,11.156,10.618999999999996,10.334999999999999,1,1,1,1,1,91.36904761904763,81.83417309530542,110.43879666653206,1,0.46189174592959503,0.24627081109521282,0.21562093483438222
2010-03-19,sh.600679,12.38,12.77,12.13,12.62,17165959,214075710.0,3,9.430827,1,0.3978,-683.8547169999999,7.442415,4.6546129999999994,42.377487,0,11.738,10.888999999999998,10.484,1,1,1,1,1,94.47156883901596,91.6398625804111,100.13498135622567,1,0.5741294721757431,0.3118425433113189,0.2622869288644242
2010-03-22,sh.600679,12.41,12.99,12.22,12.55,12373909,155237325.0,3,6.798117,1,-0.5547,-680.061545,7.401134,4.628794999999999,42.142429,0,12.112,11.110999999999997,10.6225,1,1,1,1,1,94.33456290349729,93.39172645385361,96.22023580278466,1,0.6499381810902367,0.3794616708671025,0.27047651022313424
2010-03-23,sh.600679,12.42,12.51,12.05,12.22,9853535,120618332.0,3,5.413445,1,-2.6295,-662.179449,7.206523,4.5070809999999994,41.034302,0,12.278,11.307999999999996,10.728000000000002,-1,1,1,1,1,87.0635525163396,91.95656141961759,77.27753470978362,-1,0.6756009794581139,0.43868953258530474,0.23691144687280918
2010-03-24,sh.600679,12.23,12.35,12.1,12.19,6667204,81402134.0,3,3.662903,1,-0.2455,-660.553803,7.1888309999999995,4.496016,40.933563,0,12.43,11.524999999999997,10.830000000000002,-1,1,1,1,1,81.01983002832861,87.47264848272181,68.11419311954222,-1,0.6856148416613426,0.4880745944005123,0.19754024726083025
2010-03-25,sh.600679,12.06,12.24,11.82,11.95,6412742,76951499.0,3,3.523104,1,-1.9688,-647.548642,7.047295,4.407498,40.127652,0,12.306000000000001,11.730999999999998,10.912,-1,1,1,1,1,75.35410764872519,81.14583006446445,63.77066281724669,-1,0.6665018865024894,0.5237600528209078,0.14274183368158166
2010-03-26,sh.600679,11.93,12.45,11.85,12.19,10114052,123337167.0,3,5.556571,1,2.0084,-660.553803,7.1888309999999995,4.496016,40.933563,0,12.22,11.978999999999996,11.013000000000002,-1,1,1,1,1,72.32910773987258,76.23434847230878,64.51862627500017,-1,0.6630771850361246,0.5516234792639512,0.1114537057721734
2010-03-29,sh.600679,12.01,12.08,11.48,11.66,10424028,122191954.0,3,5.726869,1,-4.3478,-631.834073,6.876272999999999,4.300537,39.153843,0,12.041999999999998,12.076999999999995,11.086000000000002,-1,-1,1,-1,1,57.60534729458667,68.4295208943948,35.957000094970425,-1,0.610558376935284,0.5634104587982177,0.047147918137066314
2010-03-30,sh.600679,11.7,11.86,11.56,11.84,6606209,77533974.0,3,3.629393,1,1.5437,-641.587944,6.982425,4.366927,39.758276,0,11.966,12.121999999999996,11.1765,-1,-1,1,-1,1,46.59259941923256,58.84235148456391,22.09309528856987,-1,0.5768122067487536,0.5660908083883249,0.010721398360428624
2010-03-31,sh.600679,11.84,12.05,11.63,11.94,6599501,78189721.0,3,3.625708,1,0.8446,-647.006761,7.041397999999999,4.403809,40.094072,0,11.916,12.172999999999996,11.2565,1,-1,1,-1,1,33.70980176822299,45.96924949401404,9.190906316640877,-1,0.5517767491182966,0.5632279965343192,-0.011451247416022658
2010-04-01,sh.600679,11.9,12.09,11.78,11.91,5490727,65298870.0,3,3.016557,1,-0.2513,-645.381116,7.023706,4.392745,39.993333,0,11.907999999999998,12.106999999999996,11.363000000000001,1,-1,1,-1,1,32.14679911699776,37.483066768151076,21.47426381469114,-1,0.5234808578224293,0.5552785687919413,-0.031797710969512005
2010-04-02,sh.600679,11.87,12.0,11.72,11.94,4952191,58570290.0,3,2.720690,1,0.2519,-647.006761,7.041397999999999,4.403809,40.094072,0,11.857999999999999,12.038999999999996,11.464000000000002,1,-1,1,-1,1,34.53353050858351,33.46337713126806,36.67383726321441,1,0.49773928079207863,0.5437707111919687,-0.046031430399890105
2010-04-06,sh.600679,11.94,12.42,11.77,12.35,10121304,123228251.0,3,5.560555,1,3.4338,-669.223911,7.283188000000001,4.555029,41.470837,0,11.995999999999999,12.018999999999995,11.565000000000001,1,1,1,-1,1,54.27591233876492,40.318747321448704,82.19024237339734,1,0.5046056887507255,0.5359377067037201,-0.03133201795299456
2010-04-07,sh.600679,12.4,12.4,11.9,11.99,4919805,59414707.0,3,2.702898,1,-2.915,-649.716169,7.0708839999999995,4.422251,40.261970,0,12.026,11.995999999999995,11.652000000000001,-1,-1,1,1,1,62.30941180395689,50.37295155043508,86.18233231100051,1,0.4755169122083469,0.5238535478046454,-0.04833663559629853
2010-04-08,sh.600679,11.98,11.98,11.6,11.61,5019161,58840132.0,3,2.757483,1,-3.1693,-629.1246639999999,6.846786,4.282096,38.985944,0,11.96,11.937999999999995,11.7315,-1,-1,-1,1,1,51.89003436426115,56.15845283566096,43.35319742146153,-1,0.416994173752542,0.5024816729942247,-0.08548749924168275
2010-04-09,sh.600679,11.56,11.85,11.53,11.79,3363820,39446766.0,3,1.848053,1,1.5504,-638.8785349999999,6.9529380000000005,4.348485,39.590378,0,11.936,11.921999999999993,11.8265,-1,-1,-1,1,1,32.9860349491847,49.061827039134215,0.8344507692856666,-1,0.38074992939255203,0.4781353242738902,-0.09738539488133818
2010-04-12,sh.600679,11.8,11.88,11.4,11.42,5170836,59577440.0,3,2.840812,1,-3.1383,-618.8289120000001,6.734737,4.212019000000001,38.347932,0,11.832,11.844999999999995,11.911999999999999,-1,-1,-1,-1,-1,16.11385652455021,33.663308612665325,-18.98504765168002,-1,0.31849874159606273,0.4462080077383247,-0.12770926614226197
2010-04-13,sh.600679,11.42,11.58,11.01,11.16,4226799,47551631.0,3,2.322166,1,-2.2767,-604.739987,6.5814070000000005,4.116123,37.474861,0,11.594,11.794999999999995,11.935999999999998,-1,-1,-1,-1,-1,15.192601863440357,21.430831112391726,2.7161433655376186,-1,0.24535608743532578,0.4060376236777249,-0.16068153624239911
2010-04-14,sh.600679,11.2,11.47,11.03,11.38,3042439,34240859.0,3,1.671489,1,1.9713,-616.661385,6.711148,4.197266,38.213613,0,11.472,11.748999999999993,11.9355,-1,-1,-1,-1,-1,12.946738979279663,14.751065789090047,9.338085359658894,-1,0.2028043659426082,0.36539097213070154,-0.16258660618809334
2010-04-15,sh.600679,11.35,11.36,11.05,11.23,2090263,23431061.0,3,1.148372,1,-1.3181,-608.533159,6.622688,4.141941,37.709919,0,11.396,11.677999999999994,11.925499999999998,-1,-1,-1,-1,-1,17.494089834515403,15.211143559078444,22.05998238538932,1,0.1551891497766018,0.3233506076598816,-0.1681614578832798
