date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600698,6.76,6.79,6.59,6.67,8793067,58706584.0,3,2.089849,1,1.5221,-721.168758,17.831286,4.334392,201.895366,1,6.409999999999999,6.252000000000003,6.2195,1,1,1,1,1,87.09357160585755,84.25994870522051,92.76081740713161,1,-0.07590449012085543,-0.1955405892153307,0.11963609909447528
2010-02-26,sh.600698,6.65,7.0,6.58,6.86,10039561,69023542.0,3,2.386104,1,2.8486,-741.711796,18.339223999999998,4.457861,207.646509,1,6.5280000000000005,6.328000000000003,6.2425,1,1,1,1,1,90.27004219409287,87.879374534624,95.05137751303059,1,-0.02691808527195949,-0.16181608842665646,0.13489800315469697
2010-03-01,sh.600698,6.92,6.94,6.79,6.88,4856148,33347699.0,3,1.154161,1,0.2915,-743.874221,18.392691,4.470857,208.251892,1,6.648000000000001,6.410000000000002,6.269,1,1,1,1,1,86.22963815368882,87.86441731787976,82.96007982530696,-1,0.013363777048651215,-0.12678011533159492,0.14014389238024613
2010-03-02,sh.600698,6.91,6.93,6.76,6.82,5438354,37094058.0,3,1.292534,1,-0.8721,-737.386946,18.23229,4.431867,206.435742,1,6.760000000000001,6.485000000000002,6.308,1,1,1,1,1,84.77119016249456,87.09029017009209,80.1329901472995,-1,0.03998502214829003,-0.09342708783561793,0.13341210998390796
2010-03-03,sh.600698,6.74,6.92,6.74,6.84,4695778,32200845.0,3,1.116046,1,0.2933,-739.549371,18.285757,4.444864,207.041125,1,6.814000000000002,6.562000000000002,6.3515,1,1,1,1,1,83.37725076855514,84.79269302824618,80.54636624917308,-1,0.06198189483720018,-0.062345291301054304,0.12432718613825448
2010-03-04,sh.600698,6.84,6.89,6.5,6.54,9043774,60780200.0,3,2.149435,1,-4.386,-707.1129950000001,17.48375,4.2499139999999995,197.960374,1,6.788000000000001,6.599000000000002,6.373,-1,-1,1,1,1,69.99341238471676,79.38061777192216,51.21900161030598,-1,0.05457794158962592,-0.038960644722918256,0.09353858631254418
2010-03-05,sh.600698,6.56,6.77,6.53,6.67,5249279,34775408.0,3,1.247597,1,1.9878,-721.168758,17.831286,4.334392,201.895366,1,6.750000000000002,6.639000000000003,6.399500000000001,-1,1,1,1,1,64.01515151515154,72.46193822280782,47.121578099838985,-1,0.058525523044209216,-0.01946341116949276,0.07798893421370198
2010-03-08,sh.600698,6.8,7.0,6.76,7.0,16266579,113425260.0,3,3.866080,1,4.9475,-756.8487719999999,18.713494,4.548837000000001,211.884193,1,6.774000000000001,6.711000000000003,6.4385,1,1,1,1,1,70.0757575757576,68.02810715854197,74.17105841018886,1,0.08727618631438983,0.0018845083272837591,0.08539167798710606
2010-03-09,sh.600698,6.95,7.14,6.93,7.0,8390561,58907887.0,3,1.994186,1,0.0,-756.8487719999999,18.713494,4.548837000000001,211.884193,1,6.8100000000000005,6.785000000000002,6.4784999999999995,1,1,1,1,1,80.20833333333337,71.43308080808085,97.75883838383842,1,0.10880703433160388,0.023269013528147784,0.0855380208034561
2010-03-10,sh.600698,6.99,7.05,6.84,6.93,6828206,47423314.0,3,1.622861,1,-1.0,-749.2802839999999,18.526359,4.503349,209.765351,1,6.828,6.821000000000002,6.513,1,1,1,1,1,81.77083333333337,77.35164141414145,90.6092171717172,1,0.11885192056353411,0.04238559493522505,0.07646632562830906
