date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600699,7.83,8.2,7.8,8.2,3266662,26647717.0,3,1.758883,1,4.9936,-5.630803,-33.358561,5.911845,2723.446627,1,7.8180000000000005,7.604999999999999,7.357500000000002,1,1,1,1,1,91.77605946172741,91.07914943838121,93.16987950841983,1,0.20089269961005396,0.09424916014324955,0.10664353946680441
2010-02-26,sh.600699,8.5,8.61,8.19,8.43,12928905,108691575.0,3,6.961365,1,2.8049,-5.78874,-34.294228000000004,6.0776650000000005,2799.835983,1,8.012,7.715999999999999,7.4060000000000015,1,1,1,1,1,88.19093166559361,90.33947096929633,83.89385305818817,-1,0.25240107987995586,0.12587954409059082,0.12652153578936504
2010-03-01,sh.600699,8.43,8.85,8.41,8.7,6658306,58106799.0,3,3.585060,1,3.2028,-5.974145,-35.392619,6.272323,2889.510445,1,8.190000000000001,7.840000000000001,7.477000000000001,1,1,1,1,1,92.19404087663133,90.72034400131746,95.14143462725909,1,0.31141874442326944,0.16298738415712655,0.1484313602661429
2010-03-02,sh.600699,8.8,8.97,8.31,8.49,6747014,57920512.0,3,3.632823,1,-2.4138,-5.829941000000001,-34.538315000000004,6.120922,2819.763642,1,8.326,7.941,7.555500000000002,1,1,1,1,1,82.61320255327804,87.66605836516766,72.50749092949883,-1,0.3373565870777373,0.1978612247412487,0.1394953623364886
2010-03-03,sh.600699,8.48,8.78,8.3,8.51,6176739,52799380.0,3,3.325768,1,0.2356,-5.843675,-34.619677,6.135341,2826.406194,1,8.466,8.052,7.634500000000001,1,1,1,1,1,77.90042593210444,84.23588978733794,65.22949822163744,-1,0.35542918075770213,0.2293748159445394,0.12605436481316273
2010-03-04,sh.600699,8.47,8.73,8.41,8.5,6225027,53216782.0,3,3.351768,1,-0.1175,-5.836808,-34.578996000000004,6.128132,2823.084918,1,8.526,8.172,7.7120000000000015,-1,1,1,1,1,71.14746380622263,77.2203640972017,59.00166322426452,-1,0.3647404244584411,0.25644793764731977,0.10829248681112136
2010-03-05,sh.600699,8.51,8.69,8.3,8.51,4100304,34640448.0,3,2.207744,1,0.1176,-5.843675,-34.619677,6.135341,2826.406194,1,8.541999999999998,8.277000000000001,7.788000000000001,-1,1,1,1,1,69.28551605992418,72.77780193275042,62.300944314271675,-1,0.3686766931760186,0.27889368875305953,0.08978300442295906
2010-03-08,sh.600699,8.42,8.94,8.42,8.94,7980982,70048836.0,3,4.297234,1,5.0529,-6.138949,-36.368967,6.445353,2969.221078,1,8.589999999999998,8.39,7.884500000000001,1,1,1,1,1,77.83217669613704,72.75505218742795,87.98642571355524,1,0.40186121489861026,0.30348719398216967,0.0983740209164406
2010-03-09,sh.600699,8.94,9.22,8.88,9.09,7100170,64376661.0,3,3.822974,1,1.6779,-6.241951,-36.979185,6.553496,3019.040224,1,8.709999999999997,8.518,7.991000000000001,1,1,1,1,1,84.75930208114346,77.29233161240155,99.69324301862727,1,0.4352466810356983,0.32983909139287537,0.10540758964282293
2010-03-10,sh.600699,9.11,9.28,9.01,9.23,6102117,56003935.0,3,3.285589,1,1.5402,-6.338087000000001,-37.548721,6.6544300000000005,3065.538093,1,8.853999999999996,8.66,8.088000000000001,1,1,1,1,1,94.67303616302767,85.75483831343605,112.5094318622109,1,0.4676114003050902,0.35739355317531835,0.11021784712977184
2010-03-11,sh.600699,9.28,9.69,9.2,9.65,11679600,111539244.0,3,6.288696,1,4.5504,-6.626494,-39.257331,6.957232,3205.031701,1,9.083999999999996,8.805000000000001,8.205000000000002,1,1,1,1,1,94.46007220583526,91.29747015000214,100.78527631750148,1,0.5211437427491443,0.39014359109008356,0.13100015165906076
2010-03-12,sh.600699,9.65,9.7,9.17,9.23,10694774,99808739.0,3,5.758432,1,-4.3523,-6.338087000000001,-37.548721,6.6544300000000005,3065.538093,1,9.227999999999998,8.885000000000002,8.300500000000001,1,1,1,1,1,86.32123920784734,91.81811585890343,75.32748590573519,-1,0.5236418031511896,0.4168432335023048,0.10679856964888479
2010-03-15,sh.600699,9.22,9.4,8.79,9.08,6298837,57387751.0,3,3.391509,1,-1.6251,-6.235085,-36.938503999999995,6.546287,3015.718948,1,9.255999999999997,8.923,8.3815,-1,1,1,1,1,73.08838643371014,84.62323261579758,50.018694069535286,-1,0.5076657330599001,0.43500773341382387,0.07265799964607628
2010-03-16,sh.600699,9.07,9.22,8.99,9.18,3311804,30197111.0,3,1.783189,1,1.1013,-6.3037529999999995,-37.345315,6.618382,3048.931711,1,9.273999999999997,8.992,8.466500000000002,-1,1,1,1,1,61.66666666666661,73.69209743607469,37.61580512785045,-1,0.49734071252615664,0.44747432923629044,0.0498663832898662
2010-03-17,sh.600699,9.28,9.6,9.2,9.57,4940026,46428568.0,3,2.659879,1,4.2484,-6.571559,-38.931881,6.899555,3178.461490,1,9.341999999999997,9.098000000000003,8.575000000000001,1,1,1,1,1,69.7619047619047,68.17231928742713,72.94107571085985,1,0.5146947196575411,0.46091840732054057,0.05377631233700053
2010-03-18,sh.600699,9.57,9.78,9.48,9.52,4240823,40743688.0,3,2.283404,1,-0.5225,-6.537225,-38.728475,6.863508,3161.855108,1,9.315999999999997,9.200000000000001,8.686000000000002,1,1,1,1,1,78.15126050420162,69.85994397759096,94.73389355742293,1,0.5184370931119577,0.472422144478824,0.04601494863313371
2010-03-19,sh.600699,9.53,9.98,9.46,9.91,6500692,63739043.0,3,3.500195,1,4.0966,-6.805032000000001,-40.315041,7.144680999999999,3291.384887,1,9.451999999999995,9.34,8.8085,1,1,1,1,1,88.57142857142851,78.82819794584493,108.05788982259568,1,0.546572148176109,0.48725214521828103,0.059320002957827966
2010-03-22,sh.600699,9.85,10.39,9.75,10.27,8324956,83884326.0,3,4.482441,1,3.6327,-7.052238000000001,-41.779563,7.404225,3410.950836,1,9.689999999999994,9.473,8.931500000000002,1,1,1,1,1,89.16666666666657,85.2964519140989,96.90709617180192,1,0.591104488774219,0.5080226139294686,0.08308187484475038
2010-03-23,sh.600699,10.3,10.66,10.15,10.37,7048027,73170384.0,3,3.794899,1,0.9737,-7.120906,-42.186375,7.476321,3444.163600,1,9.927999999999994,9.601,9.059500000000002,1,1,1,1,1,90.36987522281629,89.36932348697046,92.37097869450795,1,0.6272354737012371,0.5318651858838223,0.09537028781741486
2010-03-24,sh.600699,10.38,10.46,10.05,10.2,5319568,54308492.0,3,2.864237,1,-1.6393,-7.004169999999999,-41.494795,7.353758,3387.701901,1,10.053999999999993,9.698,9.179,1,1,1,1,1,84.13101604278064,87.88918597742116,76.61467617349962,-1,0.6348339892571495,0.5524589465584877,0.0823750426986618
2010-03-25,sh.600699,9.98,10.4,9.69,10.2,6545608,65255238.0,3,3.524379,1,0.0,-7.004169999999999,-41.494795,7.353758,3387.701901,1,10.189999999999994,9.753,9.279,1,1,1,1,1,78.43137254901951,84.31075460487214,66.67260843731427,-1,0.6335526668094218,0.5686776906086746,0.06487497620074723
