date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600703,65.0,65.13,63.54,64.32,2109676,135725691.0,3,2.815057,1,0.3276,99.14285799999999,12.224439,37.977744,19.636292,0,61.00999999999999,59.13899999999999,60.005999999999986,1,1,1,1,1,81.89077552897741,63.864491157190095,117.94334427255204,1,-1.360875358277113,-2.6622401188687803,1.3013647605916674
2010-02-26,sh.600703,64.11,65.38,63.7,63.99,1649170,106000513.0,3,2.200579,1,-0.5131,98.634196,12.161721,37.782895,19.535546,0,62.15199999999999,59.277999999999984,60.11549999999998,1,1,1,1,1,90.78923626796605,78.6907590565206,114.98619069085694,1,-0.9721417262495606,-2.3242204403449365,1.3520787140953758
2010-03-01,sh.600703,64.01,64.39,62.51,63.13,1956623,123404914.0,3,2.610830,1,-1.344,97.308592,11.998272,37.275108,19.272996,0,63.19399999999998,59.95699999999998,60.128499999999995,-1,1,1,1,1,86.5013701089863,86.39379396864327,86.71652238967235,1,-0.7251037897464983,-2.004397110225249,1.2792933204787507
2010-03-02,sh.600703,63.13,63.13,63.13,63.13,0,0.0,3,,0,0.0,97.308592,11.998272,37.275108,19.272996,0,63.735999999999976,60.83399999999998,60.235,-1,1,1,1,1,81.49113694281256,86.2605811065883,71.95224861526108,-1,-0.5232922578452772,-1.7081761397492545,1.1848838819039773
2010-03-03,sh.600703,65.01,69.44,64.38,69.44,5438917,365407604.0,3,7.257448,1,9.9952,107.034827,13.197529000000001,41.000848,21.199380,0,64.80199999999998,62.07199999999998,60.657000000000004,1,1,1,1,1,85.56977544046514,84.52076083075468,87.66780465988603,1,0.1441474581211537,-1.337711420175173,1.4818588782963267
2010-03-04,sh.600703,69.5,69.5,64.21,65.24,3770285,249434144.0,3,5.030900,1,-6.0484,100.560946,12.399291,38.520958,19.917159,0,64.98599999999998,62.997999999999976,60.87050000000001,1,1,1,1,1,81.19042853330284,82.75044697219353,78.07039165552143,-1,0.3303848713926101,-1.0040921618616163,1.3344770332542264
2010-03-05,sh.600703,64.2,66.2,63.42,64.71,1827784,119006272.0,3,2.438913,1,-0.8124,99.744004,12.298561,38.208019,19.755355,0,65.12999999999997,63.640999999999984,61.00250000000001,-1,1,1,1,1,75.5327368265955,80.76431360012118,65.0695832795441,-1,0.43025310262931526,-0.71722310896343,1.1474762115927453
2010-03-08,sh.600703,64.41,67.2,64.41,65.89,1630382,107816300.0,3,2.175509,1,1.8235,101.56285600000001,12.522828,38.90475,20.115598,0,65.68199999999997,64.43799999999999,61.33250000000002,1,1,1,1,1,63.618545407453574,73.44723692245067,43.961162377459374,-1,0.5977253282121566,-0.45423342152831264,1.0519587497404692
2010-03-09,sh.600703,65.83,66.61,64.5,66.47,1608561,105651186.0,3,2.146392,1,0.8803,102.456868,12.633061,39.247211,20.292667,0,66.34999999999998,65.04299999999999,61.66750000000002,1,1,1,1,1,60.53842752201505,66.56323658535474,48.488809395335664,-1,0.7683918829769212,-0.2097083606272659,0.978100243604187
2010-03-10,sh.600703,67.57,67.61,65.0,65.43,1788388,118241630.0,3,2.386345,1,-1.5646,100.853812,12.435402,38.633143,19.975165,0,65.54799999999997,65.175,61.95050000000002,-1,1,1,1,1,54.227916353867165,59.461629761111965,43.76048953937757,-1,0.8103854300663897,-0.005689602488534756,0.8160750325549245
2010-03-11,sh.600703,65.79,65.79,63.0,65.18,2026174,130878273.0,3,2.703636,1,-0.3821,100.468462,12.387888,38.485531,19.898842,0,65.53599999999997,65.26100000000001,62.200000000000024,-1,-1,1,1,1,45.5412494039104,53.43586442659757,29.75201935853606,-1,0.8141081757340203,0.15826995315597628,0.655838222578044
2010-03-12,sh.600703,65.18,65.59,63.5,64.81,1581341,102011566.0,3,2.110071,1,-0.5677,99.89814399999999,12.317567,38.267064000000005,19.785884,0,65.55599999999998,65.343,62.310500000000026,-1,-1,1,1,1,35.93918051428788,45.23611542402185,17.345310694819943,-1,0.77823160124872,0.28226228277452503,0.495969318474195
2010-03-15,sh.600703,64.81,65.53,63.9,63.99,1710351,110722905.0,3,2.282216,1,-1.2652,98.634196,12.161721,37.782895,19.535546,0,65.17599999999999,65.429,62.693000000000026,-1,-1,1,-1,1,27.09144932320901,36.19062641380246,8.893095142022105,-1,0.6758413323357502,0.36097809268677006,0.3148632396489801
2010-03-16,sh.600703,31.8,32.31,30.0,30.69,3040558,94475539.0,3,2.028592,1,-4.0938,94.611142,11.665673,36.241821,18.738738,0,58.019999999999996,62.18500000000002,61.50950000000004,-1,-1,-1,-1,-1,14.94125283998701,25.990627559161336,-7.157496598361639,-1,-2.0684911157565864,-0.12491574900190128,-1.9435753667546851
2010-03-17,sh.600703,30.4,33.76,30.0,33.76,8435741,279374784.0,3,5.628138,1,10.0033,104.075339,12.83262,39.867184,20.613222,0,51.68599999999999,58.617000000000004,60.34450000000004,-1,-1,-1,-1,-1,8.991648602161542,17.008116921785888,-7.041288037087149,-1,-3.950136297415746,-0.8899598586846703,-3.0601764387310757
2010-03-18,sh.600703,35.0,36.45,34.0,34.16,15613906,548668270.0,3,10.417249,1,1.1848,105.30845900000001,12.984666,40.339544000000004,20.857454,0,45.481999999999985,55.509,59.253500000000045,-1,-1,-1,-1,-1,7.601688212467027,10.511529884871896,1.7820048676572888,-1,-5.347435100169605,-1.7814549069816574,-3.5659801931879476
