date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600715,8.45,8.74,8.41,8.71,4569595,39359099.0,3,2.037669,1,3.0769,1220.4534210000002,10.850530000000001,27.740872999999997,-8153.181506,1,8.666,8.577999999999998,8.7885,1,1,-1,1,-1,57.561853351327066,58.41334104492004,55.858877964141115,-1,0.18858067022325997,0.31047918877171377,-0.1218985185484538
2010-02-26,sh.600715,8.71,8.9,8.65,8.66,7313263,64108732.0,3,3.261123,1,-0.5741,1213.447374,10.788242,27.581625,-8106.377938,1,8.651999999999997,8.580999999999998,8.7645,1,1,-1,1,-1,62.39316239316239,58.720947668316114,69.73759184285495,1,0.1721535471626101,0.28281406044989305,-0.11066051328728294
2010-03-01,sh.600715,8.68,8.87,8.65,8.65,4085718,35697102.0,3,1.821899,1,-0.1155,1212.046165,10.775784,27.549776,-8097.017224,1,8.621999999999998,8.600999999999997,8.723,1,1,-1,1,-1,70.94017094017097,63.63172889488683,85.55705503073928,1,0.156523709469365,0.25755599025378745,-0.10103228078442245
2010-03-02,sh.600715,8.65,8.75,8.48,8.5,5341339,45963242.0,3,2.381804,1,-1.7341,1191.028023,10.588921000000001,27.072034000000002,-7956.606521,1,8.593999999999998,8.599999999999998,8.697500000000002,-1,-1,-1,-1,-1,56.837606837606806,63.3903133903134,43.73219373219361,-1,0.13052855219438086,0.23215050264190612,-0.10162195044752526
2010-03-03,sh.600715,8.53,8.93,8.52,8.92,10743630,95178772.0,3,4.790788,1,4.9412,1249.87882,11.112138,28.409710999999998,-8349.756490,1,8.687999999999999,8.654999999999998,8.7155,1,1,1,1,-1,66.56491656491654,64.78089811423145,70.13295346628675,1,0.1421787446177465,0.2141561510370742,-0.0719774064193277
2010-03-04,sh.600715,8.85,9.08,8.61,8.63,7235546,63977964.0,3,3.226467,1,-3.2511,1209.243746,10.750869,27.486077,-8078.295797,1,8.672,8.668999999999997,8.6975,-1,-1,-1,1,-1,58.01790801790799,60.47347714014379,53.1067697734364,-1,0.12655221452644838,0.19663536373494903,-0.07008314920850064
2010-03-05,sh.600715,8.63,8.75,8.37,8.48,5159562,43955021.0,3,2.300746,1,-1.7381,1188.225604,10.564006,27.008335,-7937.885094,1,8.636000000000001,8.643999999999997,8.663499999999999,-1,-1,-1,-1,-1,54.59910459910461,59.72730972730972,44.34269434269437,-1,0.1009012041754147,0.17748853182304217,-0.07658732764762746
2010-03-08,sh.600715,8.55,8.57,8.31,8.5,4795796,40339830.0,3,2.138536,1,0.2358,1191.028023,10.588921000000001,27.072034000000002,-7956.606521,1,8.606000000000002,8.613999999999997,8.6375,-1,-1,-1,-1,-1,30.341880341880312,47.652964319630975,-4.280287613621013,-1,0.08124982906648093,0.1582407912717299,-0.07699096220524898
2010-03-09,sh.600715,8.41,8.5,8.27,8.39,3151235,26356688.0,3,1.405195,1,-1.2941,1175.614719,10.451888,26.721690000000002,-7853.638672,1,8.584000000000001,8.588999999999997,8.619,-1,-1,-1,-1,-1,21.177587844254507,35.372857595079815,-7.212951657396104,-1,0.05615259980373821,0.13782315297813158,-0.08167055317439337
2010-03-10,sh.600715,8.35,8.44,8.33,8.4,2040820,17108028.0,3,0.910040,1,0.1192,1177.015929,10.464345,26.75354,-7862.999385,1,8.48,8.583999999999998,8.592,-1,-1,-1,-1,-1,18.835074390629973,23.451514192254937,9.60219478738005,-1,0.036647333574480356,0.11758798909740134,-0.08094065552292098
