date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600722,7.45,7.67,7.38,7.56,6563564,49608651.0,3,2.709248,1,1.4765,-2.572907,-2.0084619999999997,3.189778,38.794342,1,7.2799999999999985,7.072999999999999,7.015999999999994,1,1,1,1,1,90.24339418187878,81.28324351619305,108.16369551325025,1,0.27251364275682644,0.25175422635942624,0.0207594163974002
2010-02-26,sh.600722,7.54,7.72,7.45,7.62,4712714,35977925.0,3,1.945271,1,0.7937,-2.593327,-2.0244020000000003,3.2150939999999997,39.102234,1,7.423999999999998,7.152999999999999,7.054499999999995,1,1,1,1,1,86.84203363766112,87.28372815869845,85.95864459558643,-1,0.2897706833777729,0.25935751776309557,0.03041316561467733
2010-03-01,sh.600722,7.55,7.69,7.42,7.53,6984114,52576385.0,3,2.882838,1,-1.1811,-2.562697,-2.000492,3.17712,38.640396,1,7.515999999999998,7.207999999999998,7.086499999999996,1,1,1,1,1,86.1934020920196,87.75960997051983,83.06098633501912,-1,0.2928094396092522,0.2660479021323269,0.026761537476925334
2010-03-02,sh.600722,7.5,7.58,7.37,7.46,5717146,42489637.0,3,2.359871,1,-0.9296,-2.5388740000000003,-1.981895,3.147585,38.281190,1,7.523999999999998,7.275999999999998,7.114999999999997,-1,1,1,1,1,80.91619626574034,84.65054399847368,73.44750080027367,-1,0.28626932623380963,0.27009218695262344,0.016177139281186192
2010-03-03,sh.600722,7.46,7.6,7.41,7.5,3323492,24862550.0,3,1.371840,1,0.5362,-2.5524869999999997,-1.9925220000000001,3.164462,38.486451,1,7.533999999999997,7.340999999999998,7.147999999999996,-1,1,1,1,1,75.88843803601168,80.99934546459053,65.66662317885397,-1,0.2810738604697587,0.2722885216560505,0.008785338813708188
2010-03-04,sh.600722,7.48,7.53,7.28,7.35,4450383,32953397.0,3,1.836988,1,-2.0,-2.5014369999999997,-1.9526709999999998,3.1011729999999997,37.716722,1,7.491999999999997,7.3859999999999975,7.173499999999995,-1,-1,1,1,1,67.84121914845663,74.88195115006954,53.75975514523083,-1,0.26183440597690133,0.2701976985202207,-0.008363292543319356
2010-03-05,sh.600722,7.35,7.43,7.22,7.37,3258209,23864824.0,3,1.344894,1,0.2721,-2.508244,-1.9579849999999999,3.109612,37.819352,1,7.4419999999999975,7.432999999999997,7.196499999999996,-1,-1,1,1,1,60.39441063781836,68.04135594076222,45.10052003193064,-1,0.2453723330155242,0.2652326254192814,-0.019860292403757196
2010-03-08,sh.600722,7.35,7.48,7.3,7.38,2466469,18165020.0,3,1.018086,1,0.1357,-2.511647,-1.960641,3.1138310000000002,37.870667,1,7.411999999999997,7.463999999999996,7.209499999999996,-1,-1,1,-1,1,46.156862745098046,58.13083084379101,22.208926547712124,-1,0.23047615239888408,0.25828133081520194,-0.027805178416317855
2010-03-09,sh.600722,7.38,7.64,7.31,7.6,6111363,45911066.0,3,2.522592,1,2.981,-2.58652,-2.019089,3.206655,38.999603,1,7.439999999999998,7.481999999999995,7.238999999999995,1,1,1,-1,1,52.66666666666668,53.07264668319436,51.854706633611315,-1,0.2337287043100753,0.2533708055141766,-0.019642101204101314
2010-03-10,sh.600722,7.6,7.7,7.45,7.5,3957538,29937838.0,3,1.633556,1,-1.3158,-2.5524869999999997,-1.9925220000000001,3.164462,38.486451,1,7.439999999999998,7.486999999999995,7.256999999999996,1,1,1,-1,1,54.66666666666668,51.16339869281046,61.67320261437911,1,0.22563621701189174,0.24782388781371964,-0.022187670801827902
2010-03-11,sh.600722,7.5,7.52,7.39,7.45,5405569,40182624.0,3,2.231261,1,-0.6667,-2.53547,-1.979238,3.143366,38.229874,1,7.459999999999998,7.475999999999995,7.274499999999996,-1,-1,1,-1,1,59.972222222222236,55.768518518518526,68.37962962962966,1,0.21273599229665408,0.24080630871030653,-0.028070316413652457
2010-03-12,sh.600722,7.46,7.46,7.3,7.35,4339659,31927016.0,3,1.791285,1,-1.3423,-2.5014369999999997,-1.9526709999999998,3.1011729999999997,37.716722,1,7.455999999999998,7.448999999999994,7.300999999999997,-1,-1,1,1,1,43.66666666666668,52.768518518518526,25.462962962962976,-1,0.19222742886110744,0.2310905327404667,-0.03886310387935926
2010-03-15,sh.600722,7.35,7.4,6.98,7.11,7223168,51410195.0,3,2.981513,1,-3.2653,-2.4197580000000003,-1.8889099999999999,2.99991,36.485155,1,7.401999999999998,7.406999999999994,7.307499999999997,-1,-1,-1,-1,1,31.018518518518505,44.8858024691358,3.283950617283921,-1,0.15482354094025386,0.21583713438042412,-0.061013593440170266
2010-03-16,sh.600722,7.03,7.3,6.98,7.07,7667701,54291923.0,3,1.819491,1,-0.5626,-2.406144,-1.878284,2.9830330000000003,36.279894,1,7.295999999999998,7.367999999999995,7.321999999999997,-1,-1,-1,-1,-1,19.21296296296293,31.299382716049365,-4.959876543209944,-1,0.12056324651861416,0.19678235680806214,-0.07621911028944797
2010-03-17,sh.600722,7.04,7.15,6.99,7.04,10910896,76932358.0,3,2.589079,1,-0.4243,-2.395934,-1.870314,2.970375,36.125948,1,7.203999999999998,7.321999999999996,7.331499999999997,-1,-1,-1,-1,-1,12.962962962962926,21.06481481481478,-3.240740740740783,-1,0.08995403298007965,0.17541669204246563,-0.08546265906238598
2010-03-18,sh.600722,7.01,7.05,6.8,6.91,14202222,98196747.0,3,3.370087,1,-1.8466,-2.351691,-1.835777,2.915525,35.458850,1,7.095999999999998,7.277999999999996,7.331999999999996,-1,-1,-1,-1,-1,11.018518518518496,14.398148148148112,4.259259259259263,-1,0.054576967866069914,0.15124874720718648,-0.09667177934111656
2010-03-19,sh.600722,6.9,7.0,6.88,6.93,7824650,54242808.0,3,1.856734,1,0.2894,-2.358498,-1.8410900000000001,2.923963,35.561480,1,7.011999999999998,7.233999999999995,7.333499999999996,-1,-1,-1,-1,-1,11.666666666666643,11.882716049382685,11.23456790123456,-1,0.02783337590647772,0.12656567294704474,-0.09873229704056702
2010-03-22,sh.600722,6.89,6.95,6.79,6.91,12973011,89124326.0,3,3.078404,1,-0.2886,-2.351691,-1.835777,2.915525,35.458850,1,6.971999999999997,7.186999999999995,7.325499999999996,-1,-1,-1,-1,-1,13.28449328449328,11.989892823226135,15.873694207027569,1,0.004967788178517729,0.10224609599333934,-0.09727830781482161
2010-03-23,sh.600722,6.91,7.19,6.86,7.15,14965870,105822254.0,3,3.551296,1,3.4732,-2.4333709999999997,-1.8995369999999998,3.016788,36.690416,1,6.987999999999997,7.141999999999996,7.311999999999998,1,1,-1,-1,-1,25.64877537480278,16.86664510865423,43.213035907099886,1,0.006141840093324191,0.08302524481333631,-0.07688340472001212
2010-03-24,sh.600722,7.13,7.16,7.0,7.04,10635546,75209707.0,3,2.523740,1,-1.5385,-2.395934,-1.870314,2.970375,36.125948,1,6.987999999999997,7.0959999999999965,7.291499999999997,1,-1,-1,-1,-1,33.271771505261604,24.06834672151922,51.67862107274638,1,-0.0017832399175059521,0.06606354786716787,-0.06784678778467382
2010-03-25,sh.600722,7.04,7.26,7.04,7.07,9363685,66820131.0,3,2.221937,1,0.4261,-2.406144,-1.878284,2.9830330000000003,36.279894,1,7.019999999999996,7.057999999999995,7.266999999999998,1,1,-1,-1,-1,44.17671355774465,34.36575347926968,63.79863371469459,1,-0.005578863972514725,0.05173506549923135,-0.05731392947174607
2010-03-26,sh.600722,7.08,7.15,7.04,7.11,5945925,42117186.0,3,1.410926,1,0.5658,-2.4197580000000003,-1.8889099999999999,2.99991,36.485155,1,7.055999999999996,7.033999999999996,7.241499999999998,1,1,-1,1,-1,48.65339007309965,42.03395837870196,61.89225346189504,1,-0.005298183514502064,0.04032841569648467,-0.04562659921098673
