date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600725,20.02,20.77,20.02,20.48,3512866,71947928.0,3,2.456364,1,1.5369,-46.156177,4.628773000000001,1.836859,39.400796,0,19.915999999999993,19.450999999999997,19.6685,1,1,1,1,1,80.01962508629857,75.08213549381617,89.8946042712634,1,-0.88572197820978,-1.3626183792920652,0.47689640108228515
2010-02-26,sh.600725,20.48,20.67,20.2,20.3,2944375,59965616.0,3,2.058848,1,-0.8789,-45.750507,4.58809,1.820715,39.054500,0,19.987999999999992,19.565999999999995,19.624500000000005,1,1,1,1,1,88.7068775052868,81.02401931103178,104.07259389379684,1,-0.7767683550130613,-1.2454483744362643,0.46868001942320303
2010-03-01,sh.600725,20.57,20.57,20.2,20.4,3718742,75824728.0,3,2.600322,1,0.4926,-45.975879,4.610692,1.829684,39.246886,0,20.139999999999993,19.732999999999997,19.608500000000003,1,1,1,1,1,83.44792666027075,84.05814308395203,82.2274938129082,-1,-0.6745765607134935,-1.1312740116917102,0.4566974509782167
2010-03-02,sh.600725,20.33,20.6,19.9,20.0,4358900,87906789.0,3,3.047952,1,-1.9608,-45.074391,4.5202860000000005,1.793807,38.477339,0,20.269999999999992,19.883,19.608000000000004,-1,1,1,1,1,75.37967485959064,82.51149300838273,61.11603856200645,-1,-0.6187331143453001,-1.0287658322224282,0.41003271787712814
2010-03-03,sh.600725,20.05,20.91,19.81,20.86,5852522,119374851.0,3,4.092364,1,4.3,-47.01259,4.714658,1.870941,40.131865,0,20.407999999999994,20.07,19.661500000000004,1,1,1,1,1,81.27735219794592,80.03498457260243,83.76208744863291,1,-0.49932604822383553,-0.9228778754227097,0.4235518271988742
2010-03-04,sh.600725,20.7,21.37,19.86,20.01,5335616,110342993.0,3,3.730918,1,-4.0748,-45.096928000000005,4.522546,1.794704,38.496578,0,20.313999999999993,20.115,19.666000000000004,-1,-1,1,1,1,70.3667949791662,75.67460734556758,59.75117024636344,-1,-0.4678894460121583,-0.8318801895405994,0.3639907435284411
2010-03-05,sh.600725,20.16,20.22,19.8,19.83,3070958,61484028.0,3,2.147361,1,-0.8996,-44.691259,4.481864,1.77856,38.150282,0,20.21999999999999,20.103999999999996,19.663500000000003,-1,-1,1,1,1,63.588902555692165,71.74434991093476,47.278007845206986,-1,-0.45228653036469524,-0.7559614577054186,0.3036749273407233
2010-03-08,sh.600725,19.92,20.38,19.89,19.98,2631219,52738642.0,3,1.839874,1,0.7564,-45.029317,4.515766,1.792014,38.438862,0,20.135999999999992,20.137999999999998,19.708500000000004,-1,-1,1,-1,1,46.08817348015996,60.01462367167277,18.23527309713434,-1,-0.4229419493831834,-0.6893575560409715,0.2664156066577881
2010-03-09,sh.600725,20.05,20.17,19.41,19.8,4103075,80962224.0,3,2.869067,1,-0.9009,-44.623647,4.475083000000001,1.775869,38.092566,0,20.095999999999993,20.183,19.754500000000004,-1,-1,1,-1,1,36.11566048972393,48.59757884185868,11.15182378545444,-1,-0.40949030389187513,-0.6333841056111522,0.22389380171927709
2010-03-10,sh.600725,19.85,19.85,19.08,19.21,2840645,55044254.0,3,1.986315,1,-2.9798,-43.293953,4.341735,1.722952,36.957485,0,19.76599999999999,20.086999999999996,19.730000000000004,-1,-1,-1,-1,1,23.616801876683713,35.2735452821892,0.3033150656727486,-1,-0.44135023629735315,-0.5949773317483924,0.15362709545103925
2010-03-11,sh.600725,19.25,19.55,19.08,19.29,2819288,54224852.0,3,1.971381,1,0.4164,-43.47425,4.359816,1.730127,37.111394,0,19.621999999999993,19.967999999999996,19.709500000000006,-1,-1,-1,-1,-1,11.581706918575307,23.77138976166098,-12.79765876759604,-1,-0.4549003230959805,-0.5669619300179101,0.11206160692192957
2010-03-12,sh.600725,19.3,20.55,19.23,20.09,7430729,148946962.0,3,5.195922,1,4.1472,-45.277226,4.540627,1.80188,38.650488,0,19.673999999999992,19.946999999999996,19.756500000000006,1,1,1,-1,-1,19.650655021834073,18.283054605697696,22.38585585410683,1,-0.39651477488298426,-0.5328724989909249,0.13635772410794067
2010-03-15,sh.600725,20.08,21.2,20.08,20.75,11260402,233105754.0,3,7.873812,1,3.2852,-46.764681,4.689797,1.861075,39.920240,0,19.827999999999992,19.981999999999996,19.857500000000005,1,1,1,-1,-1,42.066957787481776,24.433106575963716,77.33466021051788,1,-0.29360285221031646,-0.4850185696348032,0.19141571742448676
2010-03-16,sh.600725,20.8,21.13,20.4,20.97,6862701,142859667.0,3,4.798729,1,1.0602,-47.260498999999996,4.73952,1.880807,40.343490,0,20.06199999999999,20.078999999999997,19.981000000000005,1,1,1,-1,1,66.52110625909746,42.7462396894711,114.0708393983502,1,-0.1920780939658009,-0.42643047450100274,0.23435238053520185
2010-03-17,sh.600725,21.1,21.32,20.48,21.25,13117064,274754792.0,3,9.172079,1,1.3352,-47.891541,4.802804,1.90592,40.882173,0,20.46999999999999,20.117999999999995,20.094000000000005,1,1,1,1,1,84.11117176128086,64.23307860262003,123.86735807860254,1,-0.08801079797405009,-0.3587465391956122,0.27073574122156213
2010-03-18,sh.600725,21.0,21.0,20.2,20.23,26559433,544616527.0,3,18.571627,1,-4.8,73.824821,2.843984,1.5858379999999999,36.252911,0,20.657999999999994,20.139999999999993,20.127500000000005,-1,1,1,1,1,76.91567893532954,75.84931898523594,79.04839883551674,1,-0.08684114102354457,-0.3043654595611987,0.21752431853765414
2010-03-19,sh.600725,20.01,20.13,19.62,19.93,13304421,264594148.0,3,9.303088,1,-1.4829,72.730039,2.801809,1.5623209999999998,35.715300,0,20.625999999999994,20.149999999999995,20.127000000000006,-1,-1,-1,1,1,62.05357142857141,74.36014070839393,37.440432868926365,-1,-0.10886672442672207,-0.26526571253430337,0.1563989881075813
2010-03-22,sh.600725,19.95,20.18,19.75,20.07,8338125,166509634.0,3,5.830416,1,0.7025,73.240937,2.821491,1.573295,35.966185,0,20.48999999999999,20.158999999999995,20.148500000000006,-1,-1,-1,1,1,44.49404761904762,61.15443266098285,11.173277535177164,-1,-0.11371449803973732,-0.23495546963539016,0.12124097159565284
