date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600732,10.05,10.43,10.04,10.12,9344520,95349366.0,3,3.768094,1,1.7085,44.711311,4.616837,16.827102,-79.423303,0,9.845999999999995,9.660000000000002,9.407,1,1,1,1,1,81.53777449259293,77.33012989552005,89.95306368673872,1,0.058122701224876394,-0.09250200067713503,0.15062470190201144
2010-02-26,sh.600732,10.08,10.39,9.96,10.13,6771776,68947057.0,3,2.730658,1,0.0988,44.755492,4.621398999999999,16.843729999999997,-79.501784,0,9.969999999999995,9.788000000000002,9.4085,1,1,1,1,1,79.41146538437334,80.11048219461061,78.01343176389881,-1,0.09216186570147578,-0.05556922740141287,0.14773109310288865
2010-03-01,sh.600732,10.13,10.88,10.05,10.59,14093003,147293118.0,3,5.682878,1,4.541,46.787825,4.8312550000000005,17.608598,-83.111934,0,10.137999999999996,9.873000000000003,9.462,1,1,1,1,1,78.72259677123465,79.89061221606698,76.38656588157,-1,0.15447560578198605,-0.01356026076473308,0.16803586654671912
2010-03-02,sh.600732,10.58,10.58,10.28,10.41,9291048,96723285.0,3,3.746532,1,-1.6997,45.992564,4.749137,17.309302,-81.699267,0,10.239999999999998,9.935000000000002,9.5335,1,1,1,1,1,75.47101449275364,77.86835888278722,70.67632571268649,-1,0.1871775319899971,0.02658729778621296,0.16059023420378413
2010-03-03,sh.600732,10.41,10.46,10.13,10.41,7991009,82320305.0,3,3.222303,1,0.0,45.992564,4.749137,17.309302,-81.699267,0,10.331999999999997,10.014000000000001,9.610000000000001,1,1,1,1,1,74.1239316239316,76.10584762930664,70.16009961318153,-1,0.21066562195935035,0.06340296262084044,0.1472626593385099
2010-03-04,sh.600732,10.37,10.57,9.82,9.91,7080360,72384476.0,3,2.855092,1,-4.8031,43.783507,4.521033,16.477923,-77.775191,0,10.289999999999997,10.068000000000001,9.6525,-1,-1,1,1,1,59.03270068711245,69.54254893459924,38.01300419213888,-1,0.18678118393580334,0.08807860688383302,0.09870257705197032
2010-03-05,sh.600732,9.91,10.9,9.8,10.9,18990897,203371065.0,3,7.657910,1,9.9899,48.15744,4.97268,18.124053,-85.544862,0,10.443999999999997,10.207,9.7475,1,1,1,1,1,68.82436735377912,67.32699988827439,71.81910228478861,1,0.24491410361609134,0.11944570623028469,0.12546839738580665
2010-03-08,sh.600732,10.91,11.55,10.71,11.25,29932623,335787983.0,3,12.070064,1,3.211,49.70378,5.132353,18.706018,-88.291715,0,10.575999999999997,10.357000000000001,9.864,1,1,1,1,1,73.40262152219722,67.08656318769626,86.03473819119915,1,0.31558902241271447,0.15867436946677066,0.1569146529459438
2010-03-09,sh.600732,11.06,11.4,10.9,11.0,14039276,155821818.0,3,5.661213,1,-2.2222,48.599251,5.018301,18.290328,-86.329677,0,10.693999999999997,10.467,9.969000000000001,1,1,1,1,1,84.05932864949257,75.42877250848964,101.32044093149844,1,0.3474216337500966,0.19642382232343586,0.15099781142666074
2010-03-10,sh.600732,10.88,11.09,10.43,10.61,11408744,122167252.0,3,4.600474,1,-3.5455,46.876187,4.840379,17.641853,-83.268897,0,10.733999999999998,10.533,10.0485,-1,1,1,1,1,66.15456674473063,74.53883897214014,49.38602228991161,-1,0.33729138184918384,0.22459733422858547,0.11269404762059837
2010-03-11,sh.600732,10.52,10.64,10.32,10.56,6691978,70164817.0,3,2.698481,1,-0.4713,46.655281,4.817569000000001,17.558715,-82.876490,0,10.863999999999999,10.577,10.118500000000001,-1,-1,1,1,1,52.761904761904724,67.65860005204264,22.968514181628876,-1,0.3215221943843751,0.2439823062597434,0.07753988812463172
2010-03-12,sh.600732,10.59,10.59,10.11,10.12,7323220,75530431.0,3,2.953023,1,-4.1667,44.711311,4.616837,16.827102,-79.423303,0,10.707999999999998,10.576,10.182000000000002,-1,-1,-1,1,1,35.99999999999994,51.63882383554511,4.722352328909608,-1,0.27040363218961794,0.24926657144571832,0.02113706074389962
2010-03-15,sh.600732,10.12,10.59,10.02,10.38,8051162,82515147.0,3,3.246559,1,2.5692,45.860021,4.735451,17.259419,-81.463822,0,10.533999999999999,10.555,10.214000000000002,-1,-1,1,-1,1,31.619047619047592,40.1269841269841,14.60317460317458,-1,0.2480126944907095,0.24901579605471655,-0.0010031015640070418
2010-03-16,sh.600732,10.28,10.98,10.11,10.79,11698764,123303310.0,3,4.717422,1,3.9499,47.671448,4.922497,17.941149,-84.681565,0,10.491999999999999,10.593,10.264000000000001,1,1,1,-1,1,35.99999999999995,34.5396825396825,38.92063492063485,1,0.26035013424808007,0.25128266369338925,0.009067470554690815
2010-03-17,sh.600732,10.65,11.09,10.49,10.93,12499027,134998998.0,3,5.040121,1,1.2975,48.289983,4.986366,18.173935,-85.780306,0,10.556,10.645000000000001,10.329500000000001,1,1,1,-1,1,51.42857142857139,39.68253968253965,74.92063492063487,1,0.27821735759931876,0.25666960247457515,0.021547755124743606
2010-03-18,sh.600732,10.85,11.45,10.75,11.08,14261055,158454143.0,3,5.750643,1,1.3724,48.952701,5.054798,18.423348999999998,-86.957529,0,10.659999999999998,10.762000000000002,10.415000000000003,1,1,1,-1,1,63.474634298163664,50.30106857557834,89.82176574333431,1,0.3010111382010088,0.2655379096198619,0.035473228581146876
2010-03-19,sh.600732,11.0,11.15,10.82,10.93,7903887,86682406.0,3,3.187172,1,-1.3538,48.289983,4.986366,18.173935,-85.780306,0,10.822,10.765,10.486000000000002,1,1,1,1,1,65.82961265314206,60.244272793292375,77.00029237284143,1,0.3034733749892151,0.2731250026937325,0.030348372295482595
2010-03-22,sh.600732,10.85,11.0,10.7,10.96,7050671,76654801.0,3,2.843120,1,0.2745,48.422527,5.000053,18.223817999999998,-86.015751,0,10.937999999999999,10.736,10.546500000000004,1,1,1,1,1,66.2172250407545,65.17382399735341,68.30402712755668,1,0.30433725423935876,0.27936745300285776,0.024969801236501
2010-03-23,sh.600732,10.83,10.96,10.6,10.75,6061339,65096768.0,3,2.444181,1,-1.9161,47.494723,4.904249,17.874639000000002,-84.367639,0,10.929999999999998,10.711000000000002,10.589000000000002,-1,1,1,1,1,60.13986013986021,64.06223261125227,52.295115197076086,-1,0.2847937151420137,0.28045270543068895,0.004341009711324728
2010-03-24,sh.600732,10.75,11.14,10.71,10.95,8593472,94293631.0,3,3.465241,1,1.8605,48.378346,4.99549,18.207191,-85.937269,0,10.933999999999997,10.745000000000001,10.639000000000003,1,1,1,1,1,60.60606060606066,62.321048595558466,57.17608462706505,-1,0.2821907290669774,0.28080031015794665,0.001390418909030744
2010-03-25,sh.600732,10.87,10.87,10.49,10.5,6773514,72197051.0,3,2.731359,1,-4.1096,46.390195,4.790196,17.45895,-82.405601,0,10.817999999999998,10.739,10.658000000000003,-1,-1,-1,1,1,49.88344988344992,56.876456876456935,35.8974358974359,-1,0.24103806785072912,0.27284786169650316,-0.03180979384577404
2010-03-26,sh.600732,10.42,11.0,10.42,10.78,6982900,75345023.0,3,2.815792,1,2.6667,47.627266,4.917935,17.924522,-84.603083,0,10.787999999999998,10.805000000000001,10.690500000000004,-1,-1,1,-1,1,49.53379953379956,53.341103341103384,41.9191919191919,-1,0.22838526413029925,0.2639553421832624,-0.03557007805296314
2010-03-29,sh.600732,10.73,10.9,10.68,10.79,5123653,55216250.0,3,2.066067,1,0.0928,47.671448,4.922497,17.941149,-84.681565,0,10.753999999999998,10.846,10.700500000000002,1,-1,1,-1,1,39.829587887840326,46.41561243502994,26.6575387934611,-1,0.21666713854728137,0.2544977014560662,-0.03783056290878484
2010-03-30,sh.600732,10.8,11.2,10.75,10.95,7201622,79399030.0,3,2.903990,1,1.4829,48.378346,4.99549,18.207191,-85.937269,0,10.793999999999997,10.862000000000002,10.727500000000003,1,1,1,-1,1,45.792880258899665,45.052089226846526,47.27446232300595,1,0.2177806625087655,0.24715429366660607,-0.029373631157840585
2010-03-31,sh.600732,10.97,11.5,10.96,11.24,11560903,130029306.0,3,4.661831,1,2.6484,49.659599,5.127791,18.68939,-88.213234,0,10.851999999999997,10.893000000000002,10.769000000000002,1,1,1,-1,1,54.43485556754165,46.685774571427224,69.9330175597705,1,0.2393051537890294,0.24558446569109074,-0.006279311902061352
2010-04-01,sh.600732,11.25,11.5,11.09,11.48,10003689,112885361.0,3,4.033898,1,2.1352,50.719946,5.237280999999999,19.088452,-90.096790,0,11.047999999999996,10.933000000000003,10.847500000000002,1,1,1,1,1,75.17679491789528,58.46817691477887,108.59403092412809,1,0.2725872463443473,0.25098502182174204,0.02160222452260524
2010-04-02,sh.600732,11.4,11.46,11.18,11.26,6503631,73368704.0,3,2.622531,1,-1.9164,49.747961,5.136915,18.722645,-88.370197,0,11.143999999999995,10.966000000000005,10.8655,1,1,1,1,1,83.95061728395065,71.18742258979587,109.47700667226022,1,0.2780066949692337,0.2563893564512404,0.0216173385179933
2010-04-06,sh.600732,11.24,11.73,11.04,11.62,13361963,151791386.0,3,5.388093,1,3.1972,51.338482,5.301151,19.321238,-91.195531,0,11.309999999999995,11.032000000000005,10.884000000000002,1,1,1,1,1,89.17632645368013,82.76791288517536,101.99315359068967,1,0.30780248298053436,0.26667198175709916,0.0411305012234352
2010-04-07,sh.600732,11.63,11.65,11.31,11.42,10450805,119734954.0,3,4.214194,1,-1.7212,50.454859,5.209909,18.988685999999998,-89.625901,0,11.403999999999996,11.099000000000006,10.905000000000001,1,1,1,1,1,81.9055696918292,85.01083780982002,75.69503345584755,-1,0.3116846247787848,0.2756745103614363,0.03601011441734847
2010-04-08,sh.600732,11.3,11.47,11.19,11.26,6410684,72489414.0,3,2.585051,1,-1.4011,49.747961,5.136915,18.722645,-88.370197,0,11.407999999999996,11.130000000000006,10.9375,-1,1,1,1,1,77.35368956742998,82.81186190431312,66.43734489366372,-1,0.29841069456625924,0.2802217472024009,0.018188947363858343
2010-04-09,sh.600732,11.25,11.48,11.23,11.32,5519620,62691703.0,3,2.225738,1,0.5329,50.013048,5.164288,18.822411,-88.841086,0,11.375999999999994,11.212000000000007,10.9755,-1,1,1,1,1,67.13679873985217,75.46535266637046,50.479690886815575,-1,0.2893965248035535,0.2820567027226314,0.007339822080922098
2010-04-12,sh.600732,11.34,11.6,11.12,11.17,8003666,90702335.0,3,3.227407,1,-1.3251,49.350331,5.0958559999999995,18.572997,-87.663863,0,11.357999999999995,11.251000000000007,11.027999999999999,-1,-1,1,1,1,55.97722040470131,66.82256957066117,34.286522072781594,-1,0.26707036302589593,0.2790594347832843,-0.011989071757388392
2010-04-13,sh.600732,11.11,11.25,10.6,10.85,7464932,81539830.0,3,3.010167,1,-2.8648,47.936534,4.94987,18.040915,-85.152454,0,11.203999999999997,11.257000000000005,11.051499999999999,-1,-1,-1,-1,1,41.97780587161118,55.03060833872157,15.872200937390403,-1,0.22100775350749302,0.26744909852812604,-0.04644134502063302
