date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600737,15.25,15.75,15.11,15.51,15069546,233808899.0,3,1.870589,1,1.7717,40.964014,5.152065,4.45456,280.795875,0,15.015999999999996,14.785000000000002,14.80049999999999,1,1,1,1,1,78.97344209781357,65.82200369997894,105.27631889348285,1,-0.47981426530272664,-0.7988815922020159,0.3190673268992893
2010-02-26,sh.600737,15.56,15.75,15.32,15.46,12669427,196822876.0,3,1.572661,1,-0.3224,40.831957,5.135457,4.4402,279.890666,0,15.247999999999996,14.819000000000003,14.833999999999989,1,1,1,1,1,81.81298965744158,76.31601344924559,92.80694207383357,1,-0.39972921615312274,-0.7190511169922373,0.3193219008391146
2010-03-01,sh.600737,15.51,15.67,15.45,15.56,12492074,194146947.0,3,1.550647,1,0.6468,41.096070000000005,5.168674,4.468921,281.701085,0,15.395999999999995,14.916000000000002,14.86099999999999,1,1,1,1,1,85.96491228070177,82.25044801198563,93.39384081813407,1,-0.32445199284613224,-0.6401312921630163,0.3156792993168841
2010-03-02,sh.600737,15.58,15.69,15.2,15.43,12458922,191121050.0,3,1.546531,1,-0.8355,40.752722999999996,5.125491,4.431584,279.347541,0,15.439999999999994,15.022000000000002,14.90349999999999,-1,1,1,1,1,84.40545808966863,84.06112000927065,85.09413425046458,1,-0.27214702310024386,-0.5665344383504618,0.29438741525021794
2010-03-03,sh.600737,15.46,16.18,15.23,16.15,31396518,496807432.0,3,3.897263,1,4.6662,42.654340000000005,5.364659,4.638372,292.382552,0,15.621999999999995,15.185000000000002,14.96299999999999,1,1,1,1,1,89.55847953216373,86.64294996751137,95.38953866146844,1,-0.17063005793636954,-0.48735356226764337,0.31672350433127383
2010-03-04,sh.600737,16.26,16.26,14.9,15.19,23694846,369976951.0,3,2.941251,1,-5.9443,40.11885,5.045769,4.362655,275.002537,0,15.557999999999996,15.287000000000003,14.970999999999993,-1,-1,1,1,1,74.9715849452691,82.97850752236717,58.95773979107295,-1,-0.16573066861497132,-0.42302898353710894,0.2572983149221376
2010-03-05,sh.600737,15.25,15.37,14.98,15.19,8381070,127316643.0,3,1.040346,1,0.0,40.11885,5.045769,4.362655,275.002537,0,15.503999999999996,15.376000000000001,14.971499999999992,-1,-1,1,1,1,57.589092658629006,74.03971904535395,24.68783988517913,-1,-0.16000344713962988,-0.37042387625761314,0.21042042911798325
2010-03-08,sh.600737,15.22,15.46,15.15,15.34,5955236,91148997.0,3,0.739226,1,0.9875,40.515021000000004,5.095594999999999,4.405735,277.718164,0,15.459999999999997,15.428000000000003,15.01049999999999,-1,-1,1,1,1,37.08452644858334,56.548401350827156,-1.8432233559042999,-1,-0.14172709473428213,-0.32468451995294695,0.18295742521866482
2010-03-09,sh.600737,15.29,15.29,14.9,15.09,6288278,94739588.0,3,0.780567,1,-1.6297,39.854737,5.012551,4.333933999999999,273.192119,0,15.391999999999996,15.416000000000002,15.040499999999989,-1,-1,1,-1,1,26.698654150946343,40.457424419386236,-0.818886385933439,-1,-0.14573591157072485,-0.28889479827650255,0.1431588867057777
2010-03-10,sh.600737,15.0,15.08,14.75,14.77,8695633,129305413.0,3,1.079393,1,-2.1206,39.009572999999996,4.906254,4.2420279999999995,267.398780,0,15.115999999999996,15.369000000000003,15.047499999999989,-1,-1,-1,-1,1,17.427130972138407,27.0701038572227,-1.8588147980301812,-1,-0.17274297990046605,-0.26566443460129524,0.09292145470082919
2010-03-11,sh.600737,14.77,14.82,14.38,14.5,8100629,117869698.0,3,1.005535,1,-1.828,38.296467,4.816567,4.164483000000001,262.510651,0,14.977999999999998,15.268000000000004,15.026499999999988,-1,-1,-1,-1,-1,7.226023423318832,17.117269515467864,-12.556468760979232,-1,-0.2134722444904309,-0.25522599657912237,0.041753752088691476
2010-03-12,sh.600737,14.6,14.77,14.38,14.51,8260487,120755478.0,3,1.025378,1,0.069,38.322878,4.819888,4.167355000000001,262.691693,0,14.841999999999999,15.173000000000002,14.995999999999986,-1,-1,-1,-1,-1,4.874125217227882,9.842426537561709,-5.06247742343977,-1,-0.24215218404677863,-0.2526112340726536,0.010459050025874994
2010-03-15,sh.600737,14.51,14.63,14.03,14.16,7855697,112052562.0,3,0.975131,1,-2.4121,37.398481,4.703627,4.066833,256.355229,0,14.605999999999998,15.033000000000001,14.974499999999988,-1,-1,-1,-1,-1,6.375822917660494,6.158657186069071,6.81015438084334,1,-0.28978288103198935,-0.2600455634645208,-0.029737317567468557
2010-03-16,sh.600737,14.16,14.16,13.8,14.1,8235750,115263405.0,3,1.022307,1,-0.4237,52.967525,4.740342,4.924148000000001,-127.301126,0,14.407999999999996,14.9,14.96099999999999,-1,-1,-1,-1,-1,8.313203993598911,6.521050709495764,11.897510561805205,1,-0.32858433444168966,-0.2737533176599546,-0.054831016781735076
2010-03-17,sh.600737,14.11,14.38,14.08,14.38,8381440,119219484.0,3,1.040392,1,1.9858,54.019362,4.834477,5.021933,-129.829092,0,14.329999999999995,14.722999999999999,14.95399999999999,1,-1,-1,-1,-1,17.654825799973363,10.78128423707759,31.401908925764904,1,-0.3329036003958219,-0.28558337420712804,-0.04732022618869386
