date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600738,9.08,10.05,9.08,9.7,25518394,244907738.0,3,11.543263,1,6.1269,89.395911,6.463587,3.65921,24.385117,0,9.018000000000004,8.610000000000001,8.5195,1,1,1,1,1,85.55928433977219,83.43462485202024,89.80860331527609,1,-0.04065770456214857,-0.2888162036135484,0.2481584990513998
2010-02-26,sh.600738,9.62,9.95,9.55,9.91,21629288,211794881.0,3,9.784023,1,2.1649,91.331287,6.60352,3.73843,24.913042,0,9.342000000000004,8.794,8.5765,1,1,1,1,1,87.43015521064301,86.87872573238432,88.53301416716036,1,0.052816426944580996,-0.2204896775019225,0.2733061044465035
2010-03-01,sh.600738,9.96,10.15,9.7,10.13,20706481,207837672.0,3,9.366591,1,2.22,93.358823,6.7501169999999995,3.821422,25.466106,0,9.570000000000004,8.995,8.645,1,1,1,1,1,91.63720028063226,88.2088799436825,98.49384095453175,1,0.14299910630803403,-0.1477919207399312,0.2907910270479652
2010-03-02,sh.600738,10.05,10.23,9.95,10.18,11700803,118026088.0,3,5.292866,1,0.4936,93.819626,6.783434,3.8402839999999996,25.591803,0,9.812000000000005,9.182999999999998,8.74,1,1,1,1,1,96.50723912880399,91.85819820669309,105.8053209730258,1,0.2160140362217593,-0.0750307293475931,0.2910447655693524
2010-03-03,sh.600738,10.1,11.05,10.1,10.75,19689342,209657540.0,3,8.906487,1,5.5992,99.072788,7.163253,4.0553099999999995,27.024743,0,10.134000000000004,9.427999999999999,8.8625,1,1,1,1,1,95.33180053231278,94.49207998058301,97.01124163577231,1,0.31622785269294873,0.003220987060515268,0.31300686563243346
2010-03-04,sh.600738,10.7,11.03,10.55,10.71,11096953,119083426.0,3,5.019714,1,-0.3721,98.704145,7.136599,4.040221,26.924186,0,10.336000000000006,9.676999999999998,8.989500000000001,1,1,1,1,1,91.54899788656597,94.46267918256092,85.72163529457606,-1,0.3879483316639032,0.08016645598119286,0.3077818756827103
2010-03-05,sh.600738,10.56,10.76,10.41,10.6,6841934,72469893.0,3,3.094954,1,-1.0271,97.690377,7.063300999999999,3.9987239999999997,26.647653,0,10.474000000000006,9.907999999999998,9.0945,1,1,1,1,1,85.90449870758403,90.9284323754876,75.85663137177687,-1,0.4309435977332967,0.15032188433161364,0.28062171340168307
2010-03-08,sh.600738,10.57,10.78,10.35,10.61,6912363,72819948.0,3,3.126812,1,0.0943,97.782538,7.069964,4.002497,26.672793,0,10.570000000000004,10.069999999999999,9.211500000000001,1,1,1,1,1,82.25879909269312,86.57076522894772,73.63486682018393,-1,0.46051603014967846,0.21236071349522662,0.24815531665445184
2010-03-09,sh.600738,10.58,10.58,9.97,10.05,13098727,133388873.0,3,5.925218,1,-5.278,92.621537,6.696809,3.791243,25.264992,0,10.544000000000006,10.177999999999999,9.296000000000001,-1,-1,1,1,1,69.4595374406396,79.20761174697226,49.963388827974256,-1,0.4337649042063916,0.2566415516374596,0.17712335256893197
2010-03-10,sh.600738,10.05,10.32,10.05,10.25,10424796,106023475.0,3,4.715664,1,1.99,94.464752,6.830079,3.8666910000000003,25.767778,0,10.444000000000006,10.288999999999998,9.386000000000001,-1,-1,1,1,1,58.147276904241124,69.9552044791913,34.53142175434078,-1,0.4238172710120054,0.29007669551236875,0.13374057549963664
