date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600740,8.43,8.55,8.38,8.52,9943876,84304746.0,3,2.176699,1,0.8284,-6.304318,3.349254,1.929557,-236.977818,0,8.378000000000004,8.252,8.297999999999998,1,1,1,1,1,70.37768994290725,65.83556338647143,79.4619430557789,1,-0.385482644200728,-0.5720180289504729,0.18653538474974496
2010-02-26,sh.600740,8.48,8.53,8.38,8.41,6100270,51484215.0,3,1.335340,1,-1.2911,-6.222925,3.3060120000000004,1.9046450000000001,-233.918246,0,8.384000000000004,8.294,8.272499999999997,1,1,1,1,1,79.35653385428495,71.17356166565732,95.72247823154021,1,-0.3506931146472603,-0.5277530460898304,0.17705993144257015
2010-03-01,sh.600740,8.4,8.57,8.35,8.53,8121948,69097611.0,3,1.777882,1,1.4269,-6.311718,3.353185,1.9318220000000002,-237.255961,0,8.420000000000003,8.34,8.253499999999999,1,1,1,1,1,82.27366503228569,77.33596294315929,92.1490692105385,1,-0.309867208419929,-0.48417587855585015,0.17430867013592116
2010-03-02,sh.600740,8.53,8.6,8.38,8.44,7588076,64181615.0,3,1.661018,1,-1.0551,-6.245123,3.3178050000000003,1.9114389999999999,-234.752675,0,8.470000000000002,8.372,8.250999999999998,-1,1,1,1,1,75.74612548587821,79.12544145748295,68.98749354266872,-1,-0.28152933649344725,-0.44364657014336956,0.1621172336499223
2010-03-03,sh.600740,8.45,8.97,8.32,8.76,16292088,140824715.0,3,3.566313,1,3.7915,-6.481905,3.443599,1.983911,-243.653250,0,8.532000000000004,8.422,8.277499999999998,1,1,1,1,1,78.3131752943073,78.77765527082373,77.38421534127443,-1,-0.23059192302975262,-0.4010356407206462,0.17044371769089356
2010-03-04,sh.600740,8.69,8.69,8.34,8.37,11036806,94200374.0,3,2.415940,1,-4.4521,-6.193327,3.290288,1.895586,-232.805674,0,8.502000000000002,8.440000000000001,8.284499999999998,-1,-1,1,1,1,59.937106918238904,71.33213589947479,37.14704895576713,-1,-0.21916697603649204,-0.36466190778381535,0.1454949317473233
2010-03-05,sh.600740,8.34,8.53,8.34,8.38,5055465,42499033.0,3,1.106634,1,0.1195,-6.200726,3.2942190000000005,1.8978509999999997,-233.083817,0,8.496000000000002,8.440000000000001,8.295499999999999,-1,-1,1,1,1,48.148148148148096,62.13281012023142,20.17882420398145,-1,-0.20692045658551628,-0.3331136175441555,0.12619316095863925
2010-03-08,sh.600740,8.44,8.55,8.41,8.49,5141922,43603532.0,3,1.125559,1,1.3126,-6.28212,3.3374610000000002,1.922763,-236.143390,0,8.488000000000003,8.454,8.326999999999998,1,1,1,1,1,38.14814814814812,48.74446773817835,16.955508968087642,-1,-0.18619260850756447,-0.3037294157368373,0.11753680722927284
2010-03-09,sh.600740,8.46,9.0,8.36,8.74,22871233,200273064.0,3,5.006478,1,2.9446,-6.467105999999999,3.435737,1.979381,-243.096964,0,8.548000000000004,8.509,8.366999999999999,1,1,1,1,1,47.6252723311547,44.64052287581695,53.5947712418302,1,-0.14788796846350039,-0.27256112628216994,0.12467315781866956
2010-03-10,sh.600740,8.65,8.69,8.5,8.54,9979762,85530990.0,3,2.184555,1,-2.2883,-6.319116999999999,3.3571160000000004,1.934086,-237.534104,0,8.504000000000003,8.518,8.373,1,1,1,-1,1,46.92810457516335,44.23384168482204,52.31663035584597,1,-0.1321462935746922,-0.24447815974067438,0.11233186616598217
2010-03-11,sh.600740,8.55,8.62,8.4,8.47,6139189,52100419.0,3,1.343859,1,-0.8197,-6.267321,3.329599,1.918233,-235.587104,0,8.524000000000004,8.513000000000002,8.382499999999999,-1,-1,1,1,1,38.72549019607841,44.42628903413214,27.323892519970954,-1,-0.12389117742448796,-0.2203607632774371,0.09646958585294912
2010-03-12,sh.600740,8.52,8.63,8.36,8.37,6311387,53369440.0,3,1.381553,1,-1.1806,-6.193327,3.290288,1.895586,-232.805674,0,8.522000000000002,8.509000000000002,8.401499999999999,-1,-1,-1,1,1,20.58823529411757,35.41394335511976,-9.06318082788681,-1,-0.1239888365384374,-0.20108637792963716,0.07709754139119976
2010-03-15,sh.600740,8.4,8.4,8.12,8.16,5499918,45169645.0,3,1.203924,1,-2.509,-6.037939,3.207736,1.848026,-226.964671,0,8.456000000000003,8.472000000000001,8.405999999999999,-1,-1,-1,-1,1,11.319073083778974,23.544266191324976,-13.131313131313028,-1,-0.13940450864721932,-0.1887500040731536,0.04934549542593428
2010-03-16,sh.600740,8.16,8.23,8.08,8.19,3281779,26747939.0,3,0.718376,1,0.3676,-6.060137,3.219529,1.8548209999999998,-227.799100,0,8.346000000000002,8.447000000000001,8.409499999999998,-1,-1,-1,-1,-1,7.951639153685157,13.286315843860557,-2.7177142266656418,-1,-0.14750049666809062,-0.180500102592141,0.03299960592405038
2010-03-17,sh.600740,8.23,8.38,8.2,8.37,5127801,42564125.0,3,1.122468,1,2.1978,-6.193327,3.290288,1.895586,-232.805674,0,8.312000000000001,8.408000000000001,8.415,1,-1,-1,-1,-1,16.007905138339908,11.759539125268,24.50463716448372,1,-0.13780361552583287,-0.17196080517887938,0.03415718965304651
2010-03-18,sh.600740,8.37,8.6,8.33,8.44,8809583,74445596.0,3,1.928404,1,0.8363,-6.245123,3.3178050000000003,1.9114389999999999,-234.752675,0,8.306000000000001,8.415000000000001,8.427499999999998,1,1,1,-1,-1,27.5362318840579,17.165258725360975,48.27817820145176,1,-0.12305188681864188,-0.1621790215068319,0.03912713468819001
2010-03-19,sh.600740,8.41,8.58,8.38,8.51,7724249,65708149.0,3,1.690826,1,0.8294,-6.296919,3.3453230000000005,1.9272919999999998,-236.699675,0,8.334000000000001,8.428,8.434,1,1,1,-1,-1,39.13043478260864,27.5581906016688,62.27492314448832,1,-0.1045079183236215,-0.1506448008701898,0.04613688254656831
2010-03-22,sh.600740,8.51,8.56,8.45,8.51,5454203,46407047.0,3,1.193917,1,0.0,-6.296919,3.3453230000000005,1.9272919999999998,-236.699675,0,8.404,8.430000000000003,8.441999999999998,1,1,1,-1,-1,52.12045616535992,39.595707610675476,77.16995327472881,1,-0.08878819465004462,-0.13827347962616077,0.04948528497611615
2010-03-23,sh.600740,8.52,8.65,8.46,8.47,8491501,72561175.0,3,1.858777,1,-0.47,-6.267321,3.329599,1.918233,-235.587104,0,8.46,8.403000000000002,8.456,1,1,1,1,1,61.88399544835005,51.044962132106185,83.56206208083778,1,-0.0786512237416872,-0.12634902844926604,0.04769780470757884
2010-03-24,sh.600740,8.55,8.57,8.36,8.4,6015773,50899893.0,3,1.316844,1,-0.8264,-6.215525,3.302081,1.90238,-233.640103,0,8.466000000000001,8.389000000000005,8.4535,-1,1,-1,1,1,65.0177355958202,59.67406240317671,75.70508198110717,1,-0.07539688785916532,-0.11615860033124589,0.040761712472080575
2010-03-25,sh.600740,8.33,8.36,8.15,8.2,5966712,49104087.0,3,1.306104,1,-2.381,-6.067537000000001,3.2234599999999998,1.8570849999999999,-228.077243,0,8.418000000000001,8.362000000000005,8.437499999999998,-1,-1,-1,1,-1,48.53801169590642,58.47991424669221,28.654206594334838,-1,-0.0879423866650626,-0.11051535759800923,0.022572970932946634
2010-03-26,sh.600740,8.16,8.31,8.16,8.28,4268183,35237336.0,3,0.934299,1,0.9756,-6.126732,3.254909,1.875203,-230.302387,0,8.372000000000002,8.353000000000005,8.431,-1,-1,-1,1,-1,37.42690058479524,50.32754929217395,11.62560317003782,-1,-0.09038752234871339,-0.10648979054815007,0.01610226819943668
2010-03-29,sh.600740,8.26,8.6,8.24,8.51,12435124,105763820.0,3,2.722030,1,2.7778,-6.296919,3.3453230000000005,1.9272919999999998,-236.699675,0,8.372000000000002,8.388000000000005,8.429999999999998,1,1,1,-1,-1,42.71345029239753,42.89278752436639,42.35477582845981,-1,-0.07292559136184629,-0.09977695071088931,0.026851359349043022
2010-03-30,sh.600740,8.51,8.51,8.51,8.51,0,0.0,3,,0,0.0,-6.458575,4.30189,1.6617819999999999,21.084495,0,8.38,8.420000000000005,8.433499999999999,1,1,1,-1,-1,59.695906432748416,46.61208576998039,85.86354775828447,1,-0.058413530430687644,-0.09150426665484898,0.03309073622416134
2010-03-31,sh.600740,8.08,8.08,8.08,8.08,5212500,42117000.0,3,1.141008,1,-5.0529,-6.132231,4.084521,1.577814,20.019121,1,8.316,8.391000000000005,8.3995,-1,-1,-1,-1,-1,47.99999999999992,50.13645224171528,43.72709551656921,-1,-0.08067999516632618,-0.08933941235714442,0.008659417190818239
2010-04-01,sh.600740,7.68,8.27,7.68,8.15,76534238,601764678.0,3,16.753229,1,0.8663,-6.185357,4.119905999999999,1.591483,20.192554,1,8.306000000000001,8.362000000000005,8.388499999999999,-1,-1,-1,-1,-1,40.151202749140865,49.282369727296384,21.888868792829825,-1,-0.09162175534192407,-0.08979588095410035,-0.0018258743878237227
2010-04-02,sh.600740,7.81,7.93,7.78,7.82,49062114,385001478.0,3,10.739623,1,-4.0491,-5.934907,3.9530879999999997,1.527043,19.374941,1,8.214000000000002,8.293000000000006,8.360499999999998,-1,-1,-1,-1,-1,20.9621993127148,36.37113402061851,-9.85567010309262,-1,-0.1254750232248938,-0.09693170940825904,-0.028543313816634747
2010-04-06,sh.600740,7.85,7.98,7.83,7.95,25921366,204648298.0,3,5.674148,1,1.6624,-6.033569,4.018804,1.5524280000000001,19.697031,1,8.102000000000002,8.237000000000005,8.333499999999997,-1,-1,-1,-1,-1,30.74480800836699,30.61940335674087,30.995617311619235,1,-0.14019795363776133,-0.1055849582541595,-0.034612995383601824
2010-04-07,sh.600740,7.98,7.98,7.87,7.91,14628678,115581794.0,3,3.202195,1,-0.5031,-6.003212,3.9985839999999997,1.544617,19.597927,1,7.982000000000002,8.181000000000006,8.291999999999998,-1,-1,-1,-1,-1,22.926938592559438,24.87798197121373,19.024851835250857,-1,-0.15332619879157328,-0.11513320636164226,-0.038192992429931016
2010-04-08,sh.600740,7.92,7.94,7.83,7.85,14128829,110990479.0,3,3.092779,1,-0.7585,-5.957675,3.968253,1.532901,19.449270,1,7.936000000000003,8.126000000000005,8.257499999999997,-1,-1,-1,-1,-1,24.27536231884061,25.98236963992233,20.861347676677177,-1,-0.16665087862670802,-0.12543674081465542,-0.041214137812052604
2010-04-09,sh.600740,7.85,8.0,7.84,7.95,21882311,173449855.0,3,4.790005,1,1.2739,-6.033569,4.018804,1.5524280000000001,19.697031,1,7.8960000000000035,8.101000000000004,8.231499999999997,1,-1,-1,-1,-1,24.27536231884061,23.825887743413535,25.174311469694764,1,-0.16721407931090937,-0.13379220851390622,-0.03342187079700315
2010-04-12,sh.600740,7.97,7.97,7.83,7.88,16416192,129211694.0,3,3.593480,1,-0.8805,-5.980443,3.983419,1.538759,19.523598,1,7.908000000000004,8.061000000000003,8.206999999999997,-1,-1,-1,-1,-1,23.9741574995635,24.17496071241489,23.572551073860716,-1,-0.1713338054388629,-0.14130052789889755,-0.030033277539965347
