date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600743,9.37,9.66,9.37,9.62,4456146,42433518.0,3,2.531326,1,2.6681,21.738762,4.334582,6.454276,4.196347,0,9.275999999999998,9.182000000000006,9.174000000000001,1,1,1,1,1,70.43258673693441,58.468745425267066,94.3602693602691,1,-0.1817048856699195,-0.3137928536820286,0.1320879680121091
2010-02-26,sh.600743,9.65,9.65,9.44,9.49,3430847,32747697.0,3,1.948902,1,-1.3514,21.444995000000002,4.276007,6.367057,4.139640,0,9.323999999999998,9.230000000000004,9.159500000000001,1,1,1,1,1,87.33719413472808,71.07550739932297,119.86056760553831,1,-0.14816931348092055,-0.280668145641807,0.13249883216088643
2010-03-01,sh.600743,9.46,9.77,9.41,9.69,3794417,36432720.0,3,2.155429,1,2.1075,21.896944,4.366123,6.501241,4.226882,0,9.447999999999997,9.296000000000003,9.164000000000001,1,1,1,1,1,86.14671794425198,81.30549960530482,95.82915462214629,1,-0.10425204964645296,-0.24538492644273618,0.14113287679628322
2010-03-02,sh.600743,9.85,10.05,9.76,10.01,7803131,77152843.0,3,4.432590,1,3.3024,22.620063000000002,4.510308,6.715936,4.366470,0,9.635999999999997,9.391000000000004,9.220000000000002,1,1,1,1,1,86.80924382416917,86.76438530104974,86.89896087040802,1,-0.04312881388273482,-0.2049337039307359,0.16180489004800108
2010-03-03,sh.600743,10.01,10.07,9.85,10.0,4568989,45362425.0,3,2.595427,1,-0.0999,22.597465,4.505802,6.709227,4.362108,0,9.761999999999997,9.472000000000005,9.279500000000002,1,1,1,1,1,93.08626990869978,88.68074389237364,101.89732194135206,1,0.004453536802602187,-0.1630562557840683,0.16750979258667048
2010-03-04,sh.600743,9.99,10.15,9.8,9.92,5258592,52625295.0,3,2.987157,1,-0.8,22.416686,4.469755999999999,6.655553,4.327211,0,9.822,9.549000000000003,9.3325,1,1,1,1,1,89.7648126049416,89.88677544593685,89.52088692295109,-1,0.03530063734749511,-0.12338487715775562,0.15868551450525073
2010-03-05,sh.600743,9.89,10.09,9.8,9.93,4862164,48341244.0,3,2.761965,1,0.1008,22.439283,4.474262,6.662263,4.331573,0,9.909999999999998,9.617000000000004,9.3885,1,1,1,1,1,84.24453041799275,89.03187097721137,74.66984929955552,-1,0.05986402794708212,-0.08673509613678806,0.14659912408387019
2010-03-08,sh.600743,7.8,7.92,7.72,7.82,2259769,17717073.0,3,1.026934,1,-0.5089,22.089022,4.404422,6.558269999999999,4.263960,0,9.535999999999998,9.492000000000004,9.314499999999999,-1,-1,-1,1,1,54.463624555397736,76.15765585944402,11.075561947305175,-1,-0.08989244982186939,-0.08736656687380433,-0.002525882948065064
2010-03-09,sh.600743,7.82,8.03,7.59,7.88,8255303,64842615.0,3,3.751558,1,0.7673,22.258503,4.4382150000000005,6.608589,4.296676,0,9.11,9.373000000000005,9.256499999999999,-1,-1,-1,-1,-1,31.690993655692733,56.799716209694395,-18.526451452310596,-1,-0.20141228340356143,-0.11017571017975575,-0.09123657322380568
2010-03-10,sh.600743,7.92,7.92,7.66,7.69,3783253,29416832.0,3,1.719270,1,-2.4112,21.721814000000002,4.3312029999999995,6.4492449999999995,4.193076,0,8.648,9.205000000000004,9.1765,-1,-1,-1,-1,-1,6.44986711248288,30.868161774524438,-42.38672221160024,-1,-0.30164677087179825,-0.14846992231816425,-0.153176848553634
2010-03-11,sh.600743,7.7,7.79,7.62,7.7,2510120,19334512.0,3,1.140704,1,0.13,21.750061,4.336835,6.457631,4.198528,0,8.203999999999999,9.013000000000003,9.0975,-1,-1,-1,-1,-1,6.51041666666669,14.883759144947424,-10.236268289894777,-1,-0.3759427736361225,-0.1939644925817559,-0.1819782810543666
2010-03-12,sh.600743,7.72,7.74,7.5,7.54,2591945,19759333.0,3,1.177889,1,-2.0779,21.298111,4.246719000000001,6.323447,4.111286,0,7.725999999999999,8.818000000000005,9.024,-1,-1,-1,-1,-1,3.2375196540880746,5.399267811079205,-1.085976659894186,-1,-0.4426311772419478,-0.2436978295137943,-0.1989333477281535
2010-03-15,sh.600743,7.56,7.6,7.35,7.38,2173215,16098565.0,3,0.987601,1,-2.122,20.846162,4.156603,6.189262,4.024044,0,7.638,8.587000000000005,8.9415,-1,-1,-1,-1,-1,2.292579177897595,4.013505166217443,-1.1492727987421016,-1,-0.5025992293292258,-0.2954781094768806,-0.20712111985234527
2010-03-16,sh.600743,7.4,7.54,7.4,7.49,1705728,12747973.0,3,0.775155,1,1.4905,21.156876999999998,4.218558,6.281514,4.084023,0,7.56,8.335000000000004,8.863,-1,-1,-1,-1,-1,2.526954177897597,2.6856843366277445,2.209493860437302,-1,-0.5350801906018301,-0.34339852570187046,-0.19168166489995964
2010-03-17,sh.600743,7.51,7.66,7.47,7.62,3098464,23517197.0,3,1.408073,1,1.7356,21.524085999999997,4.291777,6.3905389999999995,4.154907,0,7.545999999999999,8.097000000000005,8.7845,1,-1,-1,-1,-1,5.308481056656267,3.3760048041504747,9.173433561667853,1,-0.5440600868626824,-0.38353083793403286,-0.1605292489286495
2010-03-18,sh.600743,7.64,7.77,7.62,7.73,3055114,23602072.0,3,1.388373,1,1.4436,21.834801000000002,4.353732,6.482791000000001,4.214886,0,7.552,7.8780000000000046,8.7135,1,-1,-1,-1,-1,23.578789179905613,10.471408138153146,49.79355126341055,1,-0.5361205743962536,-0.41404878522647703,-0.12207178916977657
2010-03-19,sh.600743,7.74,7.87,7.71,7.77,4483539,34854235.0,3,2.037509,1,0.5175,21.947788,4.376261,6.516337,4.236697,0,7.597999999999999,7.662000000000004,8.6395,1,1,-1,-1,-1,42.50035780735659,23.79587601463948,79.90932139279082,1,-0.5205996392798635,-0.43535895603715435,-0.08524068324270917
2010-03-22,sh.600743,7.79,7.81,7.65,7.71,2621024,20247969.0,3,1.191104,1,-0.7722,21.778307,4.342467,6.466018,4.203981,0,7.663999999999999,7.651000000000003,8.5715,1,1,-1,1,-1,60.268317853457255,42.11582161357314,96.57331033322548,1,-0.5072929278436051,-0.4497457503984445,-0.057547177445160635
2010-03-23,sh.600743,7.7,7.7,7.59,7.62,2821086,21515068.0,3,1.282020,1,-1.1673,21.524085999999997,4.291777,6.3905389999999995,4.154907,0,7.689999999999998,7.625000000000004,8.499,-1,-1,-1,1,-1,58.94855918075737,53.90574494719039,69.03418764789133,1,-0.49826581286826244,-0.4594497628924081,-0.03881604997585436
2010-03-24,sh.600743,7.62,7.9,7.6,7.84,6355206,49405571.0,3,2.888074,1,2.8871,22.145516,4.415686,6.575042999999999,4.274865,0,7.733999999999997,7.640000000000005,8.422500000000001,1,1,-1,1,-1,68.0572935836094,62.42472353927466,79.32243367227885,1,-0.4679651864588825,-0.46115284760570296,-0.006812338853179556
2010-03-25,sh.600743,7.85,8.19,7.74,8.04,13856168,110255505.0,3,6.296827,1,2.551,22.710453,4.528332,6.742773,4.383918,0,7.795999999999998,7.674000000000004,8.3435,1,1,-1,1,-1,74.38561438561437,67.1304890499937,88.89586505685574,1,-0.42293802689074766,-0.4535098834627119,0.030571856571964262
2010-03-26,sh.600743,7.96,7.97,7.83,7.93,6645554,52553060.0,3,3.020020,1,-1.3682,22.399738,4.466377,6.650521,4.323939,0,7.827999999999998,7.713000000000003,8.2655,1,1,-1,1,-1,79.4407912762343,73.96123308181934,90.3999076650642,1,-0.3916154599710886,-0.44113099876438727,0.049515538793298675
2010-03-29,sh.600743,7.9,7.95,7.81,7.95,5991692,47267796.0,3,2.722878,1,0.2522,22.456231,4.477641,6.667294,4.334844,0,7.875999999999998,7.770000000000003,8.1785,1,1,-1,1,-1,71.96604380148688,75.26414982111184,65.36983176223694,-1,-0.3610166914731119,-0.42510813730613217,0.06409144583302029
2010-03-30,sh.600743,7.95,7.96,7.85,7.9,3215678,25344764.0,3,1.461340,1,-0.6289,22.314997,4.44948,6.625362,4.307581,0,7.931999999999998,7.811000000000004,8.073,-1,1,-1,1,-1,61.80731364275676,71.07138290682597,43.27917511461834,-1,-0.3369177510091905,-0.40747006004674385,0.07055230903755333
2010-03-31,sh.600743,7.9,7.96,7.83,7.83,3383531,26657593.0,3,1.537619,1,-0.8861,22.117269,4.410054,6.566656,4.269413,0,7.929999999999998,7.832000000000003,7.964500000000001,-1,-1,-1,1,-1,52.777777777777885,62.183711740673836,33.965909851985984,-1,-0.31978134180231077,-0.38993231639785725,0.07015097459554648
2010-04-01,sh.600743,7.83,8.0,7.82,7.95,5004697,39698058.0,3,2.274345,1,1.5326,22.456231,4.477641,6.667294,4.334844,0,7.911999999999999,7.854000000000004,7.866000000000001,1,1,1,1,1,50.55555555555566,55.046882325363434,41.5729020159401,-1,-0.29313849878492704,-0.3705735528752712,0.07743505409034418
2010-04-02,sh.600743,8.0,8.09,7.98,8.06,5809099,46638452.0,3,2.639900,1,1.3836,22.766946,4.5395959999999995,6.759546,4.394823,0,7.938,7.8830000000000044,7.772500000000001,1,1,1,1,1,59.444444444444564,54.25925925925937,69.81481481481494,1,-0.26014893803016825,-0.3484886299062506,0.08833969187608237
2010-04-06,sh.600743,8.1,8.14,7.83,7.91,5487658,43623080.0,3,2.493823,1,-1.861,22.343244,4.455112000000001,6.633748,4.313034,0,7.93,7.903000000000004,7.777000000000001,-1,1,1,1,1,63.62523540489655,57.87507846829893,75.12554927809178,1,-0.24330356777467177,-0.32745161747993484,0.08414804970526307
2010-04-07,sh.600743,7.87,7.87,7.76,7.81,3671299,28630200.0,3,1.668393,1,-1.2642,22.060776,4.39879,6.549883,4.258507,0,7.912000000000001,7.922000000000004,7.773500000000001,-1,-1,1,-1,1,48.81042059008167,57.29336681314093,31.84452814396316,-1,-0.2353101458619653,-0.30902332315634096,0.07371317729437565
2010-04-08,sh.600743,7.8,7.88,7.65,7.84,4386844,34063854.0,3,1.993567,1,0.3841,22.145516,4.415686,6.575042999999999,4.274865,0,7.9140000000000015,7.922000000000004,7.7810000000000015,-1,-1,1,-1,1,35.624479546997684,49.35337851399197,8.166681613009104,-1,-0.22397273386925232,-0.2920132052989232,0.0680404714296709
2010-04-09,sh.600743,7.82,8.11,7.78,8.1,8098808,64602229.0,3,3.680440,1,3.3163,21.6091,4.562125,6.2937970000000005,4.416634,0,7.944000000000001,7.928000000000003,7.801000000000002,1,1,1,1,1,48.72260015117146,44.38583342941694,57.39613359468051,1,-0.191797009557364,-0.27196996615061136,0.08017295659324736
2010-04-12,sh.600743,8.07,8.29,7.95,8.26,18753693,151925091.0,3,8.522469,1,1.9753,22.035946,4.652241,6.418119,4.503876,0,7.984,7.961000000000003,7.8370000000000015,1,1,1,1,1,75.30824829931967,53.218442665829606,119.4878595662998,1,-0.15163885507303565,-0.24790374393509623,0.09626488886206058
2010-04-13,sh.600743,8.1,8.39,7.97,8.14,16081385,130957826.0,3,7.308060,1,-1.4528,21.715811,4.5846540000000005,6.324877,4.438444,0,8.030000000000001,7.980000000000002,7.875000000000003,1,1,1,1,1,84.45515030336458,69.4953329179519,114.37478507418993,1,-0.12802048497764495,-0.22392709214360598,0.09590660716596103
2010-04-14,sh.600743,8.16,8.16,7.98,8.04,4644348,37240162.0,3,2.110588,1,-1.2285,21.449032,4.528332,6.2471760000000005,4.383918,0,8.076,7.994000000000002,7.902500000000002,-1,1,1,1,1,71.41047297297297,77.05795719188573,60.11550453514744,-1,-0.1160343490342175,-0.2023485435217283,0.08631419448751079
2010-04-15,sh.600743,7.97,8.19,7.7,7.94,7302650,57464940.0,3,3.318632,1,-1.2438,21.182253,4.472009,6.169475,4.329392,0,8.096,8.005000000000003,7.918500000000002,-1,-1,1,1,1,52.70270270270267,69.52277532634675,19.06255745541452,-1,-0.11329838099837808,-0.18453851101705826,0.07124013001868018
2010-04-16,sh.600743,7.8,8.66,7.8,8.39,22422232,186799540.0,3,10.189608,1,5.6675,22.382759,4.72546,6.5191300000000005,4.574760,0,8.154,8.049000000000003,7.951500000000001,1,1,1,1,1,55.053072874855026,59.72208285017689,45.71505292421131,-1,-0.07396623075949194,-0.162424054965545,0.08845782420605305
2010-04-19,sh.600743,8.21,8.57,7.8,8.01,26741468,221933230.0,3,12.152451,1,-4.5292,21.368999,4.511435,6.223866,4.367560,0,8.104000000000001,8.044000000000002,7.963500000000001,-1,-1,1,1,1,49.36669342609938,52.37415633455236,43.35176760919343,-1,-0.07262091384002822,-0.14446342674044163,0.07184251290041341
2010-04-20,sh.600743,7.97,8.18,7.36,8.13,16283728,125625341.0,3,7.400013,1,1.4981,21.689132999999998,4.579022,6.317107,4.432992,0,8.102,8.066000000000003,7.9845,1,1,1,1,1,56.04722010662608,53.48899546919349,61.16366938149126,1,-0.06116665227816753,-0.1278040718479868,0.06663741956981928
2010-04-21,sh.600743,8.0,8.88,7.81,8.79,22998127,193234490.0,3,10.451319,1,8.1181,23.449875,4.95075,6.829935000000001,4.792866,0,8.252,8.164000000000001,8.043,1,1,1,1,1,62.98442698520862,56.132780172644686,76.6877206103365,1,0.0011541127891376846,-0.10201243492056192,0.1031665477096996
2010-04-22,sh.600743,8.65,9.1,8.46,8.56,27313370,234910087.0,3,12.412347,1,-2.6166,22.836282999999998,4.821209,6.651223,4.667455,0,8.376000000000001,8.236,8.078999999999999,1,1,1,1,1,74.0917446135232,64.37446390178597,93.52630603699768,1,0.03162019239697855,-0.07528590945705382,0.10690610185403238
2010-04-23,sh.600743,8.4,8.66,8.19,8.21,10853073,90870513.0,3,4.932094,1,-4.0888,21.902557,4.62408,6.379268,4.476613,0,8.340000000000002,8.247000000000003,8.0875,-1,-1,1,1,1,70.63167977414803,69.23595045762663,73.4231384071908,1,0.027209055994038778,-0.0547869163668353,0.08199597236087408
2010-04-26,sh.600743,8.11,8.36,8.01,8.29,8004351,65707980.0,3,3.637515,1,0.9744,22.11598,4.669137999999999,6.441429,4.520234,0,8.396000000000003,8.250000000000004,8.1055,-1,1,1,1,1,57.08812260536401,67.2705156643451,36.72333648740184,-1,0.029824729114311666,-0.037864587270605904,0.06768931638491757
2010-04-27,sh.600743,8.21,8.48,7.8,7.98,14291137,117145778.0,3,6.494495,1,-3.7394,21.288963,4.465102,6.200556,3.721512,0,8.366000000000003,8.234000000000004,8.107,-1,-1,-1,1,1,45.977011494252885,57.89893795792165,22.133158566915355,-1,0.006804817979318756,-0.028930706220620973,0.03573552419993973
2010-04-28,sh.600743,7.8,7.95,7.58,7.72,8305962,64136753.0,3,3.774579,1,-3.2581,20.595337,4.319622,5.998532,3.600260,0,8.152000000000003,8.202000000000004,8.097999999999999,-1,-1,-1,-1,1,36.59003831417623,46.55172413793105,16.666666666666586,-1,-0.03204901345669242,-0.029554367667835264,-0.002494645788857157
2010-04-29,sh.600743,7.73,8.18,7.65,7.92,8292793,65313165.0,3,3.768595,1,2.5907,21.128895,4.431529,6.153935,3.693531,0,8.024000000000003,8.200000000000005,8.102499999999997,-1,-1,-1,-1,-1,29.50191570881226,37.35632183908047,13.79310344827583,-1,-0.04617040260505867,-0.03287757465527995,-0.013292827949778721
