date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600748,12.8,13.49,12.71,13.41,17260412,227438884.0,3,1.981806,1,4.7656,59.419247,5.753127,6.392523000000001,40.868933,0,12.923999999999998,12.939000000000012,13.016499999999999,1,1,1,-1,-1,53.333042618756934,44.80963948969904,70.37984887687273,1,-0.1202101362345207,-0.1590137342027889,0.03880359796826818
2010-02-26,sh.600748,13.3,13.38,13.12,13.17,11225384,148689605.0,3,1.288876,1,-1.7897,58.355815,5.650163,6.278116000000001,40.137498,0,12.943999999999997,12.98500000000001,12.943000000000001,1,1,1,-1,1,71.59718588290016,54.10443557764987,106.58268649340074,1,-0.0968491802392073,-0.14658082341007256,0.04973164317086526
2010-03-01,sh.600748,13.08,13.4,13.08,13.26,10545835,139555199.0,3,1.210852,1,0.6834,58.754602,5.6887739999999996,6.321019000000001,40.411786,0,13.039999999999997,13.00400000000001,12.9175,1,1,1,1,1,82.05128205128203,68.99383685097972,108.16617245188664,1,-0.07026325539684919,-0.1313173098074279,0.061054054410578706
2010-03-02,sh.600748,13.32,13.58,13.19,13.56,15236174,203850780.0,3,1.749387,1,2.2624,60.083892000000006,5.817480000000001,6.464028,41.326080,0,13.239999999999998,13.06100000000001,12.951500000000001,1,1,1,1,1,83.80138380138379,79.149950578522,93.10425024710739,1,-0.024701482310707235,-0.10999414430808377,0.08529266199737653
2010-03-03,sh.600748,13.73,13.73,13.26,13.39,14145307,189956706.0,3,1.624136,1,-1.2537,59.330628000000004,5.744547,6.382989,40.807980,0,13.357999999999999,13.099000000000009,12.982500000000002,1,1,1,1,1,84.88036785909127,83.57767790391904,87.4857477694357,1,-0.002284691632837621,-0.08845225377303453,0.08616756214019691
2010-03-04,sh.600748,13.35,13.55,12.73,12.81,16253716,213779290.0,3,1.866219,1,-4.3316,56.760668,5.495716000000001,6.106504,39.040346,0,13.238,13.081000000000008,12.976000000000003,-1,-1,-1,1,1,69.68366542834629,79.45513902960711,50.140718225824656,-1,-0.030963448889403722,-0.07695449279630837,0.045991043906904644
2010-03-05,sh.600748,12.83,12.97,12.53,12.89,11972844,152563273.0,3,1.374698,1,0.6245,57.115145,5.530037999999999,6.14464,39.284157,0,13.181999999999999,13.063000000000011,12.985000000000003,-1,-1,-1,1,1,50.354609929078016,68.30621440550519,14.451400976223681,-1,-0.0466979345019336,-0.07090318113743341,0.024205246635499805
2010-03-08,sh.600748,12.88,13.38,12.71,13.15,10935524,143572059.0,3,1.255595,1,2.0171,58.267196,5.641582,6.268582,40.076545,0,13.16,13.100000000000012,13.006500000000003,-1,1,1,1,1,44.680851063829785,54.90637547375136,24.22980224398664,-1,-0.03775261201030489,-0.0642730673120077,0.026520455301702814
2010-03-09,sh.600748,13.19,13.59,12.89,13.44,18195056,243067503.0,3,2.089120,1,2.2053,59.552176,5.765998000000001,6.406823999999999,40.960363,0,13.136,13.188000000000011,13.060000000000002,1,1,1,-1,1,58.374704491725744,51.136721828211186,72.85066981875487,1,-0.007180036132130141,-0.052854461076032186,0.045674424943902045
2010-03-10,sh.600748,13.35,13.46,13.0,13.17,9204637,121512159.0,3,1.056858,1,-2.0089,58.355815,5.650163,6.278116000000001,40.137498,0,13.091999999999999,13.225000000000012,13.073500000000001,1,-1,1,-1,1,62.67730496453898,55.24428684003151,77.54334121355392,1,-0.0046838010579790534,-0.04322032907242156,0.0385365280144425
2010-03-11,sh.600748,13.11,13.25,12.9,13.01,6643451,86699471.0,3,0.762788,1,-1.2149,57.646861,5.581519999999999,6.201844,39.649875,0,13.132,13.185000000000011,13.062000000000001,-1,-1,-1,-1,1,56.38888888888886,59.14696611505121,50.87273443656416,-1,-0.015438217440820523,-0.03766390674610135,0.022225689305280828
2010-03-12,sh.600748,13.05,13.05,12.72,12.76,6683565,86090313.0,3,0.767394,1,-1.9216,56.53912,5.474265,6.082669999999999,38.887963,0,13.106,13.14400000000001,13.0645,-1,-1,-1,-1,1,37.49999999999999,52.188731284475956,8.122537431048059,-1,-0.04363112808331948,-0.038857351013544976,-0.0047737770697745055
