date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600760,8.17,8.26,8.07,8.18,11708943,95324021.0,3,5.726641,1,-0.9685,55.688175,4.697906,1.55825,21.463652,0,7.848000000000002,7.6440000000000055,7.657000000000001,1,1,1,1,1,86.19047619047615,77.34012529193251,103.89117798756342,1,-0.16700555353044422,-0.34108240592749656,0.17407685239705234
2010-02-26,sh.600760,8.17,8.3,8.1,8.12,6745938,55329254.0,3,3.299321,1,-0.7335,55.279704,4.663447,1.54682,21.306217,0,7.964000000000001,7.7080000000000055,7.650000000000001,1,1,1,1,1,88.66291783817547,84.61309811328438,96.76255728795766,1,-0.12588865977732588,-0.2980436566974624,0.17215499692013653
2010-03-01,sh.600760,8.12,8.36,8.07,8.35,9299132,76578982.0,3,4.548044,1,2.8325,56.845507999999995,4.795539,1.590634,21.909718,0,8.116000000000001,7.8060000000000045,7.652000000000001,1,1,1,1,1,89.4268067270644,88.09340025190535,92.09361967738252,1,-0.07389236228098195,-0.2532133978141663,0.17932103553318435
2010-03-02,sh.600760,8.35,8.35,8.16,8.26,5799684,47777748.0,3,2.658950,1,-1.0778,56.233771999999995,4.743933,1.573516,21.673939,0,8.234,7.892000000000005,7.6745,1,1,1,1,1,89.99498854524626,89.36157103682872,91.26182356208133,1,-0.03949193133904938,-0.2104691045191429,0.17097717318009353
2010-03-03,sh.600760,8.28,8.6,8.28,8.53,11909001,101003004.0,3,5.459855,1,3.2688,58.071922,4.899001,1.624951,22.382410,0,8.288,7.9950000000000045,7.728,1,1,1,1,1,94.23611111111113,91.21930212780728,100.26972907771881,1,0.009448485283138908,-0.16648558655868656,0.17593407184182547
2010-03-04,sh.600760,8.6,8.65,8.07,8.15,8238350,68712174.0,3,3.776991,1,-4.4549,55.484896,4.680757,1.552562,21.385303,0,8.282,8.065000000000005,7.7605,-1,1,1,1,1,81.25,88.49369988545249,66.76260022909503,-1,0.01737105118048632,-0.12971425901085198,0.1470853101913383
2010-03-05,sh.600760,8.18,8.32,8.11,8.19,4536300,37250147.0,3,2.079733,1,0.4908,55.757215,4.70373,1.560181,21.490262,0,8.296000000000001,8.130000000000004,7.7924999999999995,-1,1,1,1,1,72.45555555555552,82.64722222222224,52.07222222222208,-1,0.02657111219771835,-0.09845718476913792,0.12502829696685627
2010-03-08,sh.600760,8.21,8.4,8.16,8.34,4309955,35704266.0,3,1.975962,1,1.8315,56.778408999999996,4.789879,1.588756,21.883856,0,8.294,8.205000000000004,7.839499999999999,1,1,1,1,1,64.91987767584094,72.87514441046551,49.00934420659178,-1,0.04544214447962247,-0.06967731891938585,0.11511946339900832
2010-03-09,sh.600760,8.38,8.49,8.31,8.34,5551332,46587906.0,3,2.545089,1,0.0,56.778408999999996,4.789879,1.588756,21.883856,0,8.309999999999999,8.272000000000004,7.889999999999999,1,1,1,1,1,60.437119055151264,65.93751742884926,49.43632230775526,-1,0.059709282085334436,-0.04379999871844179,0.10350928080377622
2010-03-10,sh.600760,8.34,8.55,8.26,8.37,6574862,55245869.0,3,3.014341,1,0.3597,56.982648,4.807108,1.594471,21.962575,0,8.277999999999999,8.283000000000005,7.9375,1,1,1,-1,1,56.611831698829384,60.656276143273885,48.52294280994039,-1,0.07259995363299687,-0.02052000824815406,0.09311996188115093
2010-03-11,sh.600760,8.36,8.45,8.1,8.18,4604038,37917196.0,3,2.110788,1,-2.27,55.689135,4.697987,1.558276,21.464022,0,8.283999999999999,8.283000000000005,7.963500000000001,-1,-1,1,1,1,39.08045977011482,52.043136841365175,13.155105627614105,-1,0.06671543756768372,-0.003072919084986501,0.06978835665267022
2010-03-12,sh.600760,8.2,8.25,8.0,8.06,3288821,26713688.0,3,1.507808,1,-1.467,54.87218000000001,4.629067,1.535417,21.149147,0,8.258,8.277000000000005,7.9925000000000015,-1,-1,1,-1,1,26.6401414677276,40.77747764555729,-1.6345308879317884,-1,0.05177212227357586,0.007896089186725972,0.04387603308684989
