date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600764,8.6000,8.7,8.53,8.62,5637002,48546192.0000,3,1.709597,1,0.466200,157.929208,5.173317,2.128192,30.574688,0,8.426,8.208999999999998,8.207500000000005,1,1,1,1,1,94.46680980497405,87.31037029423298,108.77968882645618,1,-0.0919769533734307,-0.2281275838780393,0.1361506305046086
2010-02-26,sh.600764,8.6000,8.77,8.47,8.74,7834452,67350480.0000,3,2.376042,1,1.392100,160.127759,5.245336,2.157819,31.000322,0,8.532,8.299999999999997,8.207000000000004,1,1,1,1,1,94.25892723741221,92.17220982896386,98.43236205430892,1,-0.05129240245199007,-0.19276054759282946,0.14146814514083939
2010-03-01,sh.600764,8.7000,8.99,8.67,8.89,9054289,80323687.0000,3,2.745996,1,1.716200,162.875947,5.335359,2.194852,31.532364,0,8.666,8.393999999999997,8.219500000000005,1,1,1,1,1,92.80254758410166,93.84276154216263,90.72211966797971,-1,-0.006866701274770293,-0.15558177832921763,0.14871507705444734
2010-03-02,sh.600764,8.9100,8.99,8.77,8.92,6252217,55510325.0000,3,1.896180,1,0.337500,163.425584,5.353363,2.202259,31.638773,0,8.750000000000002,8.494999999999997,8.251500000000004,1,1,1,1,1,93.2956000269524,93.45235828282209,92.98208351521302,-1,0.03041117516065661,-0.11838318763124278,0.1487943627918994
2010-03-03,sh.600764,8.9300,9.19,8.75,9.13,9614077,86712268.0000,3,2.915769,1,2.354300,167.273048,5.479395,2.254106,32.383632,0,8.860000000000003,8.591999999999997,8.304500000000004,1,1,1,1,1,92.57214189709168,92.89009650271525,91.93623268584454,-1,0.07602305926065434,-0.07950193825286336,0.1555249975135177
2010-03-04,sh.600764,9.0700,9.25,8.65,8.68,9388945,83746637.0000,3,2.847491,1,-4.928800,159.028483,5.209326,2.143006,30.787505,0,8.872000000000003,8.648999999999997,8.323500000000005,-1,1,1,1,1,79.46080540847322,88.4428491108391,61.49671800374145,-1,0.07499507034457764,-0.048602536533375165,0.1235976068779528
2010-03-05,sh.600764,8.6200,8.96,8.61,8.8,6894867,60936000.0000,3,2.091084,1,1.382500,161.227034,5.281345,2.172632,31.213139,0,8.884000000000004,8.707999999999997,8.348500000000005,-1,1,1,1,1,68.93526920750158,80.32273883768882,46.16032994712711,-1,0.0829076708195089,-0.022300495062798353,0.10520816588230725
2010-03-08,sh.600764,8.7800,9.05,8.72,9.01,5755452,51457231.0000,3,1.745520,1,2.386400,165.074497,5.407377,2.224479,31.957998,0,8.908000000000003,8.786999999999997,8.410500000000003,1,1,1,1,1,61.598746081504736,69.99827356582651,44.79969111286118,-1,0.10491432166659642,0.003142468283080603,0.10177185338351583
2010-03-09,sh.600764,8.9700,9.07,8.81,8.92,4204421,37402792.0000,3,1.275122,1,-0.998900,163.425584,5.353363,2.202259,31.638773,0,8.908000000000003,8.828999999999997,8.465000000000002,1,1,1,1,1,63.87549232376821,64.80316920425817,62.020138562788304,-1,0.113780907695892,0.025270156165642883,0.08851075153024912
2010-03-10,sh.600764,9.1100,9.81,9.11,9.81,11270212,109941617.0000,3,3.418044,1,9.977600,179.731500,5.887499,2.421991,34.795556,0,9.044000000000002,8.951999999999998,8.5545,1,1,1,1,1,76.8065268065268,67.42692173726658,95.56573694504726,1,0.19042816560834908,0.058301758054184125,0.13212640755416494
2010-03-11,sh.600764,9.5700,9.85,9.25,9.36,26474666,252738243.0000,3,8.029269,1,-4.587200,171.486936,5.617430,2.310891,33.199430,0,9.180000000000003,9.025999999999998,8.617500000000001,1,1,1,1,1,72.7253928866832,71.1358040056594,75.90457064873078,1,0.2124118786097533,0.08912378216529795,0.12328809644445535
2010-03-12,sh.600764,9.2000,9.26,8.82,8.84,12246340,110714791.0000,3,3.714085,1,-5.555600,161.959884,5.305351,2.182508,31.355017,0,9.188000000000002,9.035999999999998,8.668000000000001,-1,-1,1,1,1,59.677419354838726,69.73644634934956,39.55936536581706,-1,0.18573345570646893,0.10844571687353215,0.07728773883293678
2010-03-15,sh.600764,8.8700,8.97,8.78,8.84,6253816,55359817.0000,3,1.896665,1,0.000000,161.959884,5.305351,2.182508,31.355017,0,9.154000000000002,9.030999999999999,8.712500000000002,-1,-1,1,1,1,32.52688172043014,54.976564653984006,-12.372484146677593,-1,0.16271493684256733,0.11929956086733919,0.04341537597522814
2010-03-16,sh.600764,8.7700,9.13,8.77,9.07,7880717,70844734.0000,3,2.390073,1,2.601800,166.173772,5.443386,2.239293,32.170815,0,9.184000000000001,9.045999999999998,8.770500000000002,-1,1,1,1,1,24.73118279569898,38.97849462365593,-3.763440860214928,-1,0.16117376181423992,0.12767440105671934,0.03349936075752058
