date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600773,9.2800,9.37,9.21,9.24,5795006,53902648.0000,3,3.480826,1,0.108300,68.836888,7.763488,12.106430,3.819110,1,9.100000000000005,8.905,8.577499999999999,1,1,1,1,1,81.92680462853087,81.76881656319027,82.24278075921208,1,0.01231742585817841,-0.17580027478389385,0.18811770064207226
2010-02-26,sh.600773,9.2600,9.32,9.17,9.22,4979192,45962568.0000,3,2.990799,1,-0.216500,68.687890,7.746684,12.080226,3.810843,1,9.164000000000005,8.965,8.604,1,1,1,1,1,84.8672603991754,82.68551237695861,89.23075644360895,1,0.04077017883888878,-0.13248618405933732,0.1732563628982261
2010-03-01,sh.600773,9.2800,9.6,9.24,9.53,11687314,110881539.0000,3,7.020097,1,3.362300,70.997353,8.007148,12.486394,3.938974,1,9.252000000000004,9.049,8.652999999999999,1,1,1,1,1,86.56323109514607,84.4524320409508,90.78482920353659,1,0.08732694907917349,-0.08852355743163515,0.17585050651080864
2010-03-02,sh.600773,9.5700,9.6,9.4,9.55,9049531,86031063.0000,3,5.435687,1,0.209900,71.146350,8.023952,12.512598,3.947240,1,9.354000000000005,9.142,8.7205,1,1,1,1,1,89.50649350649358,86.97899500027171,94.56149051893732,1,0.12440331380783931,-0.04593818318374025,0.17034149699157958
2010-03-03,sh.600773,9.5500,9.55,9.55,9.55,0,0.0000,3,,0,0.000000,71.146350,8.023952,12.512598,3.947240,1,9.418000000000003,9.225999999999997,8.7935,1,1,1,1,1,94.14814814814821,90.07262424992932,102.29919594458599,1,0.15203404613020766,-0.006343737320950664,0.15837778345115833
2010-03-04,sh.600773,9.5800,9.64,9.07,9.07,7751726,72462527.0000,3,4.656148,1,-5.026200,67.570408,7.620654,11.883693,3.748845,1,9.384000000000004,9.241999999999999,8.852,-1,-1,1,1,1,73.5899152164213,85.74818562368773,49.27337440188845,-1,0.13365887577160507,0.021656785297560485,0.11200209047404458
2010-03-05,sh.600773,9.0000,9.17,8.85,9.04,4878619,43850759.0000,3,2.930389,1,-0.330800,67.346912,7.595447,11.844386,3.736445,1,9.348000000000003,9.255999999999997,8.899999999999999,-1,-1,1,1,1,49.94012618688538,72.55939651715165,4.7015855263528294,-1,0.11534603431376489,0.040394635100801365,0.07495139921296352
2010-03-08,sh.600773,9.0500,9.15,9.0,9.11,3914149,35608411.0000,3,2.351071,1,0.774300,67.868403,7.654262,11.936101,3.765378,1,9.264000000000003,9.257999999999997,8.960999999999999,-1,-1,1,1,1,29.42910884042493,50.98638341457723,-13.685440307879674,-1,0.10526792736743751,0.053369293554128595,0.05189863381330891
2010-03-09,sh.600773,9.1100,9.11,8.94,8.99,2990449,26963168.0000,3,1.796242,1,-1.317200,66.974418,7.553437,11.778875,3.715779,1,9.152000000000003,9.252999999999997,9.0125,-1,-1,-1,-1,1,24.894514767932453,34.754583265080946,5.17437777363547,-1,0.08659969055914551,0.06001537295513198,0.026584317604013537
2010-03-10,sh.600773,8.9600,9.2,8.96,9.03,4423894,40250302.0000,3,2.294583,1,0.444900,67.272413,7.587045,11.831284,3.732312,1,9.048000000000002,9.232999999999995,9.046,-1,-1,-1,-1,1,24.47257383966242,26.26539914933996,20.886923220307345,-1,0.07417757123003987,0.06284781261011356,0.011329758619926314
2010-03-11,sh.600773,9.0600,9.1,8.76,9.0,4375066,39163830.0000,3,2.269257,1,-0.332200,67.048916,7.561839,11.791977,3.719912,1,9.034000000000002,9.208999999999996,9.056999999999999,-1,-1,-1,-1,-1,22.59301879555044,23.98670246771513,19.80565145122106,-1,0.06120665071600939,0.06251958023129273,-0.0013129295152833342
2010-03-12,sh.600773,9.0000,9.04,8.88,8.93,2786592,25017757.0000,3,1.445348,1,-0.777800,66.527425,7.503025,11.700262,3.690980,1,9.012000000000002,9.179999999999996,9.0725,-1,-1,-1,-1,-1,23.125239739163764,23.39694412479223,22.581830967906832,-1,0.04476269133076194,0.05896820245118657,-0.014205511120424633
2010-03-15,sh.600773,8.9300,8.93,8.93,8.93,0,0.0000,3,,0,0.000000,66.527425,7.503025,11.700262,3.690980,1,8.976000000000003,9.119999999999996,9.0845,-1,-1,-1,-1,-1,21.969696969696958,22.562651834803745,20.783787239483388,-1,0.03136913122743934,0.053448388206437124,-0.022079256978997784
2010-03-16,sh.600773,9.1900,9.82,9.18,9.82,46572678,453043515.0000,3,24.156288,1,9.966400,73.157818,8.250807,12.866357,4.058838,0,9.142000000000001,9.146999999999997,9.144499999999999,1,1,1,-1,-1,46.2121212121212,30.435685973660668,77.76499168904226,1,0.09151526925215947,0.061061764415581594,0.030453504836577876
2010-03-17,sh.600773,9.9900,10.79,9.82,10.28,64210059,661978300.0000,3,33.304434,1,4.684300,76.584762,8.637301,13.469058,4.248966,0,9.392000000000001,9.219999999999997,9.222999999999999,1,1,1,1,1,64.7316763696074,44.30449818380854,105.58603274120513,1,0.1742905595079698,0.08370752343405924,0.09058303607391055
2010-03-18,sh.600773,9.9900,10.48,9.83,10.3,35049702,354641629.0000,3,18.179558,1,0.194600,76.733760,8.654105,13.495263,4.257233,0,9.652000000000001,9.342999999999996,9.2925,1,1,1,1,1,83.57963875205257,64.84114544459375,121.05662536697022,1,0.23875221928664558,0.1147164626045765,0.12403575668206908
2010-03-19,sh.600773,10.1800,11.33,10.12,11.33,37459842,411423246.0000,3,19.429648,1,10.000000,84.407136,9.519515,14.844789,4.682956,0,10.132000000000001,9.571999999999996,9.414,1,1,1,1,1,83.57963875205257,77.29698462457088,96.14494700701596,1,0.36870078783932314,0.16551332765152582,0.20318746018779732
2010-03-22,sh.600773,11.6400,12.46,11.3,12.46,63649118,756188754.0000,3,33.013485,1,9.973500,92.825500,10.468946,16.325337,5.150012,0,10.838000000000001,9.906999999999996,9.5825,1,1,1,1,1,91.95402298850577,86.37110016420367,103.11986863710999,1,0.5564530761602029,0.24370127735326125,0.31275179880694165
2010-03-23,sh.600773,12.2500,12.72,12.03,12.25,44446013,549564719.0000,3,23.053230,1,-1.685400,91.261025,10.292504,16.050191,5.063214,0,11.324000000000002,10.232999999999997,9.743,1,1,1,1,1,96.04377104377103,90.52581092810982,107.07969127509347,1,0.6804589650023729,0.3310528148830836,0.3494061501192893
2010-03-24,sh.600773,12.1500,12.34,11.88,12.06,33607428,405615402.0000,3,17.431480,1,-1.551000,89.845548,10.132865,15.801249,4.984682,0,11.680000000000001,10.535999999999998,9.884500000000001,1,1,1,1,1,90.31460437710437,92.77079946979376,85.40221419172559,-1,0.7547033626422213,0.4157829244349111,0.33892043820731016
2010-03-25,sh.600773,11.9800,12.17,11.55,11.59,34088984,401634912.0000,3,17.681253,1,-3.897200,86.344105,9.737969,15.185446,4.790420,0,11.938000000000002,10.794999999999998,10.002,-1,1,1,1,1,80.37616990041131,88.91151510709561,63.30547948704273,-1,0.766778564637633,0.4859820524754555,0.28079651216217755
2010-03-26,sh.600773,11.5000,11.73,11.36,11.47,26795722,308072191.0000,3,13.898388,1,-1.035400,85.450119,9.637144,15.028220,4.740821,0,11.966000000000003,11.048999999999998,10.114500000000001,-1,1,1,1,1,72.562154035548,81.08430943768793,55.51784323126813,-1,0.7579283261481393,0.5403713072099923,0.21755701893814705
2010-03-29,sh.600773,11.5400,11.7,11.35,11.6,26329923,303848515.0000,3,13.656788,1,1.133400,86.418603,9.746371,15.198548,4.794554,0,11.794000000000002,11.315999999999997,10.218,-1,1,1,1,1,65.41775748382385,72.7853604732611,50.68255150494937,-1,0.752727389141862,0.5828425235963662,0.16988486554549576
2010-03-30,sh.600773,11.5900,11.73,11.3,11.7,26088586,300803841.0000,3,13.531612,1,0.862100,87.163591,9.830391,15.329570,4.835886,0,11.684000000000003,11.503999999999998,10.3255,1,1,1,1,1,63.59148607816396,67.19046586584531,56.39352650280125,-1,0.748051699018518,0.6158843586807966,0.13216734033772137
