date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600775,8.9900,9.14,8.87,9.02,2392070,21510749.0000,3,0.579173,1,0.894900,-125.041869,4.187118,6.924942,-26.592376,0,8.826000000000002,8.658,8.773,1,1,1,1,1,87.94555446373329,78.42171027889995,106.99324283339996,1,-0.23950563342342868,-0.3753114518539004,0.13580581843047174
2010-02-26,sh.600775,9.0400,9.13,8.91,9.1,2449039,22083748.0000,3,0.592966,1,0.886900,-126.150888,4.224254,6.986361,-26.828228,0,8.930000000000003,8.724,8.754000000000001,1,1,1,1,1,87.80361757105936,84.99787701228905,93.41509868859998,1,-0.19739320915066116,-0.3397278033132526,0.14233459416259142
2010-03-01,sh.600775,9.1000,9.21,9.05,9.15,2698999,24638988.0000,3,0.653487,1,0.549500,-126.844025,4.247464,7.024748,-26.975636,0,9.026000000000002,8.804,8.748000000000001,1,1,1,1,1,91.50516795865626,89.08477999781631,96.34594388033614,1,-0.15816104529990938,-0.30341445171058395,0.14525340641067458
2010-03-02,sh.600775,9.4100,9.75,9.19,9.2,7235871,68418411.0000,3,1.751963,1,0.546400,-127.537162,4.270674,7.063134,-27.123044,0,9.082000000000003,8.867,8.759,1,1,1,1,1,81.51391686504296,86.94090079825287,70.65994899862312,-1,-0.12163258592624437,-0.26705807855371605,0.14542549262747168
2010-03-03,sh.600775,9.1000,9.19,8.97,9.14,4033620,36691865.0000,3,0.976628,1,-0.652200,-126.705397,4.242822,7.017070,-26.946154,0,9.122000000000003,8.922,8.775,1,1,1,1,1,66.9267383243761,79.98194104935845,40.81633287441139,-1,-0.0964136210502815,-0.23292918705302915,0.13651556600274764
2010-03-04,sh.600775,9.1500,9.27,8.84,8.88,3008837,27283571.0000,3,0.728506,1,-2.844600,-123.101086,4.122129,6.817460,-26.179634,0,9.094000000000005,8.959999999999999,8.7775,-1,-1,1,1,1,44.64041353805135,64.36035624249014,5.200528129173762,-1,-0.09629718280216082,-0.2056027862028555,0.10930560340069467
2010-03-05,sh.600775,8.8400,9.01,8.8,8.88,1599248,14226366.0000,3,0.387213,1,0.000000,-123.101086,4.122129,6.817460,-26.179634,0,9.050000000000004,8.989999999999998,8.7785,-1,-1,1,1,1,33.85871777176132,48.47528987806294,4.625573559158084,-1,-0.09510855246186978,-0.18350393945465834,0.08839538699278857
2010-03-08,sh.600775,8.9100,9.2,8.91,9.0,1952287,17684319.0000,3,0.472692,1,1.351400,-124.764615,4.177834,6.909588,-26.533412,0,9.020000000000005,9.023,8.802499999999998,-1,-1,1,-1,1,24.223088033038803,34.240739780950506,4.187784537215393,-1,-0.08352078165438392,-0.16350730789460347,0.07998652624021954
2010-03-09,sh.600775,9.0500,9.12,8.9,9.09,1310514,11848028.0000,3,0.317304,1,1.000000,-126.012261,4.219612,6.978684,-26.798747,0,8.998000000000005,9.04,8.8295,1,1,1,-1,1,25.851518082521437,27.977774629107202,21.599004989349908,-1,-0.06631075288322741,-0.14406799689232824,0.07775724400910083
2010-03-10,sh.600775,9.1500,9.16,8.91,8.98,1432181,12904180.0000,3,0.346762,1,-1.210100,-124.487360,4.168550,6.894233,-26.474449,0,8.966000000000005,9.044,8.840499999999999,1,-1,1,-1,1,24.051365527220103,24.70865721426013,22.736782153140055,-1,-0.060846362787497554,-0.1274236700713621,0.06657730728386455
