date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600776,6.3600,6.43,6.31,6.38,11646334,74135375.0000,3,1.218236,1,0.630900,82.374730,3.290917,1.627241,-186.358982,0,6.249999999999998,6.157000000000002,6.126499999999999,1,1,1,1,1,94.11841780737454,91.20396061988735,99.9473321823489,1,-0.1370935353193552,-0.24747621972249867,0.11038268440314347
2010-02-26,sh.600776,6.4400,6.58,6.39,6.39,14916685,96704662.0000,3,1.560323,1,0.156700,82.503844,3.296075,1.629792,-186.651080,0,6.297999999999999,6.201000000000001,6.127999999999999,1,1,1,1,1,86.30591780737454,90.3838199325852,78.15011355695322,-1,-0.11125732732921989,-0.22023244124384292,0.10897511391462303
2010-03-01,sh.600776,6.3500,6.5,6.34,6.48,12544625,80561207.0000,3,1.312199,1,1.408500,83.665870,3.342498,1.652746,-189.279969,0,6.3759999999999994,6.242000000000002,6.137,1,1,1,1,1,81.75117924528303,87.39183828667736,70.46986116249437,-1,-0.08256790708248474,-0.19269953441157128,0.11013162732908655
2010-03-02,sh.600776,6.5000,6.63,6.45,6.56,16415969,107387754.0000,3,1.717151,1,1.234600,84.698782,3.383764,1.673151,-191.616759,0,6.43,6.2890000000000015,6.1635,1,1,1,1,1,81.51419082125602,83.19042929130451,78.16171388115905,-1,-0.05276772988538436,-0.1647131735063339,0.11194544362094955
2010-03-03,sh.600776,6.5100,6.65,6.47,6.62,13955079,91608392.0000,3,1.459736,1,0.914600,85.473466,3.414713,1.688454,-193.369351,0,6.486,6.339000000000001,6.1915,1,1,1,1,1,90.001573450364,84.42231450563433,101.16009133982337,1,-0.02403234627072859,-0.13657700805921286,0.11254466178848427
2010-03-04,sh.600776,6.5800,6.64,6.23,6.29,14561475,93909153.0000,3,1.523167,1,-4.984900,81.212704,3.244493,1.604286,-183.730093,0,6.468000000000001,6.359000000000001,6.199,-1,-1,1,1,1,78.30849833299308,83.27475420153768,68.3759865959039,-1,-0.027569782512571805,-0.11477556294988464,0.08720578043731284
2010-03-05,sh.600776,6.2900,6.44,6.25,6.37,7933476,50455815.0000,3,0.829861,1,1.271900,82.245616,3.285759,1.624691,-186.066883,0,6.464,6.381000000000001,6.21,-1,-1,1,1,1,68.5446009389671,78.95155757410804,47.73068766868519,-1,-0.023645326206180428,-0.0965495156011438,0.07290418939496338
2010-03-08,sh.600776,6.3800,6.55,6.35,6.5,8409755,54366927.0000,3,0.879681,1,2.040800,83.924098,3.352815,1.657848,-189.864166,0,6.468000000000001,6.4220000000000015,6.242,1,1,1,1,1,59.083486425801134,68.64552856592042,39.959402145562564,-1,-0.009930776949535591,-0.07922576787082217,0.06929499092128658
2010-03-09,sh.600776,6.5200,6.62,6.37,6.58,15709841,102858668.0000,3,1.643289,1,1.230800,83.861679,3.485801,2.240480,-84.612513,0,6.472000000000001,6.451000000000002,6.274,1,1,1,1,1,70.4293393209498,66.01914222857265,79.24973350570409,1,0.007309177903386477,-0.061918778715980435,0.06922795661936691
2010-03-10,sh.600776,6.6100,6.66,6.38,6.44,10547398,68517804.0000,3,1.103284,1,-2.127700,82.077388,3.411635,2.192810,-82.812247,0,6.436000000000002,6.461000000000001,6.293,1,-1,1,-1,1,66.52061566116163,65.34448046930417,68.87288604487654,1,0.00956487839609288,-0.04762204729356577,0.05718692568965865
