date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600778,11.7900,12.6,11.68,12.31,18744254,230491736.0000,3,6.089927,1,4.410500,90.915954,4.413514,2.060453,17.995242,0,11.616,11.368000000000006,10.851499999999996,1,1,1,1,1,79.46082214333485,73.2720427870645,91.83838085587556,1,0.27687016264172826,0.06422669894027047,0.21264346370145779
2010-02-26,sh.600778,12.2000,12.4,12.05,12.2,10578221,129010369.0000,3,3.436818,1,-0.893600,90.103545,4.374076,2.042041,17.834440,0,11.872,11.443000000000005,10.944499999999994,1,1,1,1,1,83.18876369810154,79.39496090304381,90.77636928821701,1,0.33067997728251797,0.11751735460871998,0.21316262267379799
2010-03-01,sh.600778,12.2300,12.35,12.02,12.09,10677101,129781265.0000,3,3.468944,1,-0.901600,89.291136,4.334638,2.023629,17.673637,0,11.996,11.532000000000005,11.046499999999995,1,1,1,1,1,80.86124401913877,81.1702766201917,80.24317881703288,-1,0.3602953024024238,0.16607294416746074,0.19422235823496306
2010-03-02,sh.600778,12.2100,12.25,11.74,11.96,9456276,112862549.0000,3,3.072303,1,-1.075300,88.331017,4.288029,2.001870,17.483598,0,12.07,11.607000000000005,11.145999999999995,-1,1,1,1,1,75.27910685805422,79.77637152509816,66.28457752396636,-1,0.3690218927111548,0.20666273387619954,0.16235915883495528
2010-03-03,sh.600778,11.9600,12.05,11.75,12.0,7305742,87330442.0000,3,2.373604,1,0.334400,88.626438,4.302370,2.008565,17.542072,0,12.112,11.709000000000005,11.246999999999996,-1,1,1,1,1,71.60844092872658,75.9162639353065,62.99279491556675,-1,0.37484447038652924,0.24029908117826548,0.13454538920826375
2010-03-04,sh.600778,12.0000,12.15,11.46,11.5,9581149,112837039.0000,3,3.112874,1,-4.166700,84.933670,4.123104,1.924875,16.811152,0,11.95,11.783000000000005,11.304999999999996,-1,-1,1,1,1,58.909078887259284,68.59887555801333,39.529485545751186,-1,0.3352485472502966,0.25928897439267173,0.07595957285762489
2010-03-05,sh.600778,11.5600,11.65,11.19,11.41,4980960,56886132.0000,3,1.618292,1,-0.782600,84.268972,4.090837,1.909811,16.679586,0,11.791999999999998,11.832000000000004,11.369999999999994,-1,-1,1,-1,1,44.3247487437186,58.280756186568134,16.412733858019536,-1,0.29322611690423983,0.26607640289498535,0.027149714009254478
2010-03-08,sh.600778,11.5000,11.68,11.41,11.48,3946512,45584862.0000,3,1.282205,1,0.613500,84.785959,4.115934,1.921527,16.781915,0,11.669999999999998,11.833000000000004,11.437499999999995,-1,-1,1,-1,1,27.89745862884163,43.71042875327314,-3.728481620021398,-1,0.2625449977795036,0.265370121871889,-0.002825124092385445
2010-03-09,sh.600778,11.4800,11.53,11.21,11.29,4424964,50055747.0000,3,1.437652,1,-1.655100,83.382707,4.047813,1.889725,16.504166,0,11.535999999999998,11.803000000000003,11.491499999999993,-1,-1,-1,-1,1,17.76152482269504,29.994577398418397,-6.704580328751668,-1,0.22035842299198016,0.25636778209590727,-0.03600935910392711
2010-03-10,sh.600778,11.3200,11.37,10.68,10.82,9731553,107072042.0000,3,3.161739,1,-4.163000,79.911505,3.879303,1.811056,15.817101,0,11.299999999999999,11.706000000000003,11.479999999999993,-1,-1,-1,-1,-1,11.933036450602025,19.197339967379538,-2.595570582953002,-1,0.1473021786656652,0.23455466140985887,-0.08725248274419367
2010-03-11,sh.600778,10.7400,11.05,10.74,10.94,6145336,66879767.0000,3,1.996593,1,1.109100,80.797769,3.922327,1.831142,15.992522,0,11.187999999999999,11.569000000000003,11.468499999999993,-1,-1,-1,-1,-1,10.266865246910092,13.32047550673569,4.159644727258893,-1,0.09795837267022556,0.20723540366193222,-0.10927703099170666
2010-03-12,sh.600778,10.9700,11.33,10.95,10.97,8280243,92277597.0000,3,2.690215,1,0.274200,81.019335,3.933083,1.836163,16.036377,0,11.099999999999998,11.446000000000002,11.444499999999994,-1,-1,-1,-1,-1,14.05991157959597,12.086604425702667,18.00652588738258,1,0.06057552327015081,0.17790342758357594,-0.11732790431342513
2010-03-15,sh.600778,11.0000,11.0,10.51,10.7,3653166,38953942.0000,3,1.186898,1,-2.461300,79.025241,3.836280,1.790970,15.641681,0,10.943999999999997,11.307000000000002,11.419499999999994,-1,-1,-1,-1,-1,15.208521902908485,13.17843290980482,19.268699889115812,1,0.009058185155900844,0.14413437909804092,-0.13507619394214007
2010-03-16,sh.600778,10.6600,10.78,10.5,10.74,3473435,36926482.0000,3,1.128504,1,0.373800,79.320662,3.850621,1.797666,15.700154,0,10.833999999999998,11.185,11.395999999999994,-1,-1,-1,-1,-1,14.867385992910306,14.711939825138225,15.178278328454464,1,-0.028216745676129307,0.10966415414320688,-0.13788089981933618
2010-03-17,sh.600778,10.7800,11.14,10.65,10.98,8215028,89500688.0000,3,2.669027,1,2.234600,81.093191,3.936668,1.837837,16.050996,0,10.865999999999996,11.083000000000002,11.395999999999994,1,-1,-1,-1,-1,22.26959550026933,17.448501132029346,31.91178423674929,1,-0.037953893813176265,0.08014054455193025,-0.11809443836510651
2010-03-18,sh.600778,10.9800,11.1,10.78,11.09,8184602,89272384.0000,3,2.659142,1,1.001800,81.905600,3.976107,1.856249,16.211798,0,10.895999999999997,11.042000000000002,11.412499999999994,1,1,-1,-1,-1,35.07447354904983,24.070485014076457,57.08245061899657,1,-0.03637526179732298,0.0568373832820796,-0.09321264507940258
