date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600782,8.2200,8.45,8.22,8.4,5777412,48290918.0000,3,1.804080,1,1.326900,72.530413,1.439746,0.537786,36.347190,0,8.287999999999995,8.183000000000003,8.100999999999997,1,1,1,1,1,74.78516508367261,73.60480772729876,77.1458797964203,1,-0.18596725740372477,-0.32713643747284454,0.14116918006911977
2010-02-26,sh.600782,8.3900,8.48,8.3,8.42,4621054,38848922.0000,3,1.442991,1,0.238100,72.703105,1.443174,0.539066,36.433731,0,8.307999999999996,8.236000000000004,8.106499999999997,1,1,1,1,1,86.76207706058453,77.69094766006761,104.90433586161836,1,-0.15485713181701044,-0.2926805763416777,0.13782344452466727
2010-03-01,sh.600782,8.4000,8.54,8.37,8.53,5455379,46304198.0000,3,1.703521,1,1.306400,73.652908,1.462028,0.546109,36.909706,0,8.355999999999996,8.297000000000004,8.130499999999996,1,1,1,1,1,93.72055068572486,85.08926427666069,110.98312350385322,1,-0.11994341938506103,-0.2581331449503544,0.13818972556529335
2010-03-02,sh.600782,8.5300,8.54,8.35,8.4,5230862,44082139.0000,3,1.633412,1,-1.524000,72.530413,1.439746,0.537786,36.347190,0,8.407999999999996,8.331000000000005,8.153499999999998,-1,1,1,1,1,87.56613756613763,89.34958843748235,83.99923582344817,-1,-0.10159286497957432,-0.22682508895619838,0.12523222397662406
2010-03-03,sh.600782,8.4000,8.53,8.3,8.49,4179598,35188035.0000,3,1.305140,1,1.071400,73.307525,1.455172,0.543548,36.736624,0,8.447999999999997,8.362000000000005,8.177999999999997,1,1,1,1,1,87.65432098765446,89.647003079839,83.6689568032854,-1,-0.07887840936297152,-0.197235753037553,0.11835734367458148
2010-03-04,sh.600782,8.4900,8.6,8.15,8.23,4714437,39525514.0000,3,1.472151,1,-3.062400,71.062536,1.410609,0.526902,35.611592,0,8.413999999999996,8.351000000000004,8.184499999999996,-1,-1,1,1,1,67.71604938271621,80.97883597883612,41.190476190476375,-1,-0.08092402494126816,-0.17397340741829603,0.09304938247702788
2010-03-05,sh.600782,8.2500,8.33,8.15,8.2,3761244,30935524.0000,3,1.174503,1,-0.364500,70.803498,1.405467,0.524981,35.481780,0,8.369999999999996,8.339000000000006,8.193999999999997,-1,-1,1,1,1,54.13580246913586,69.83539094650219,22.736625514403215,-1,-0.08399766649188578,-0.15597825923301398,0.0719805927411282
2010-03-08,sh.600782,8.2100,8.32,8.2,8.27,3226943,26689148.0000,3,1.007659,1,0.853700,71.407919,1.417465,0.529463,35.784674,0,8.317999999999994,8.337000000000005,8.217499999999998,-1,-1,1,-1,1,38.88888888888888,53.58024691358033,9.506172839505965,-1,-0.07986450626525432,-0.14075550863946204,0.06089100237420772
2010-03-09,sh.600782,8.2500,8.39,8.1,8.3,4722494,39021254.0000,3,1.474667,1,0.362800,71.666956,1.422607,0.531384,35.914485,0,8.297999999999996,8.353000000000005,8.241499999999998,1,-1,1,-1,1,39.44444444444447,44.15637860082308,30.02057613168725,-1,-0.07332297610176575,-0.12726900213192277,0.053946026030157024
2010-03-10,sh.600782,8.2800,8.45,8.19,8.34,7181361,59698866.0000,3,2.242483,1,0.481900,72.012339,1.429463,0.533945,36.087567,0,8.267999999999995,8.358000000000004,8.253999999999998,1,-1,1,-1,1,44.33333333333341,40.888888888888935,51.222222222222356,1,-0.06417137296966757,-0.11464947629947173,0.05047810332980415
2010-03-11,sh.600782,8.3400,8.57,8.28,8.54,9973070,83982036.0000,3,3.114235,1,2.398100,73.739253,1.463742,0.546749,36.952976,0,8.329999999999995,8.372000000000003,8.277499999999998,1,1,1,-1,1,58.66666666666672,47.481481481481545,81.03703703703708,1,-0.040315599883610886,-0.09978270101629956,0.059467101132688674
2010-03-12,sh.600782,8.5500,8.55,8.2,8.21,5506145,46158708.0000,3,1.719373,1,-3.864200,70.889844,1.407181,0.525622,35.525051,0,8.331999999999995,8.351000000000003,8.293499999999998,-1,-1,-1,-1,1,52.66666666666672,51.888888888888964,54.22222222222224,1,-0.04749052866366732,-0.0893242665457731,0.04183373788210579
2010-03-15,sh.600782,8.1800,8.25,7.92,7.98,3952952,31764871.0000,3,1.234366,1,-2.801500,68.903892,1.367759,0.510897,34.529830,0,8.273999999999996,8.296000000000003,8.296499999999998,-1,-1,-1,-1,-1,39.60784313725497,50.313725490196155,18.196078431372584,-1,-0.07091828735273076,-0.08564307070716463,0.014724783354433876
2010-03-16,sh.600782,7.9800,8.07,7.82,7.92,4642313,36707978.0000,3,1.449629,1,-0.751900,68.385818,1.357475,0.507055,34.270207,0,8.197999999999997,8.248000000000001,8.289499999999999,-1,-1,-1,-1,-1,14.548014077425933,35.607507960449226,-27.570973688620654,-1,-0.09325150812219363,-0.08716475819017043,-0.006086749932023197
