date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600789,6.4100,6.49,6.37,6.45,15342622,98675646.0000,3,3.771316,1,0.624000,232.931391,2.501307,2.087357,42.470478,0,6.3000000000000025,6.220000000000001,6.1819999999999995,1,1,1,1,1,88.49206349206355,87.37798149562865,90.72022748493336,1,-0.11395383297778583,-0.2141243089323943,0.10017047595460848
2010-02-26,sh.600789,6.4300,6.53,6.4,6.46,10066475,65146535.0000,3,2.474405,1,0.155000,233.292525,2.505185,2.090594,42.536324,0,6.3480000000000025,6.258000000000001,6.1884999999999994,1,1,1,1,1,86.80555555555554,86.97921087626975,86.45824491412714,-1,-0.08860649637998819,-0.18902074642191308,0.10041425004192489
2010-03-01,sh.600789,6.4500,6.59,6.44,6.52,9543376,62195535.0000,3,2.345824,1,0.928800,235.459329,2.528453,2.110011,42.931398,0,6.4140000000000015,6.298,6.201999999999999,1,1,1,1,1,87.78759820426485,87.69507241729464,87.9726497782053,1,-0.06295138655117327,-0.16380687444776512,0.10085548789659185
2010-03-02,sh.600789,6.5200,6.58,6.41,6.49,8922936,57892096.0000,3,2.193316,1,-0.460100,234.375927,2.516819,2.100302,42.733861,0,6.466000000000001,6.3340000000000005,6.223499999999999,1,1,1,1,1,84.64506172839508,86.41273849607182,81.10970819304157,-1,-0.044526996952515496,-0.1399508989487152,0.09542390199619971
2010-03-03,sh.600789,6.4500,6.87,6.41,6.75,22235199,148238474.0000,3,5.465557,1,4.006200,243.765409,2.617647,2.184444,44.445850,0,6.534000000000001,6.392,6.262499999999998,1,1,1,1,1,84.62812405901839,85.6869279972261,82.51051618260297,-1,-0.008843762971202374,-0.11372947175321264,0.10488570878201027
2010-03-04,sh.600789,6.6800,6.76,6.4,6.48,14603188,96063394.0000,3,3.589559,1,-4.000000,234.014793,2.512941,2.097066,42.668016,0,6.540000000000001,6.42,6.283999999999999,-1,1,1,1,1,73.09545317675405,80.78954632138918,57.70726688748377,-1,-0.0023244911856021844,-0.09144847563969055,0.08912398445408837
2010-03-05,sh.600789,6.5200,6.62,6.41,6.55,9609789,62667867.0000,3,2.362149,1,1.080200,236.542730,2.540087,2.119720,43.128935,0,6.558,6.453,6.304999999999999,-1,1,1,1,1,66.26016260162605,74.66124661246617,49.45799457994579,-1,0.00839373589639969,-0.0714800333324725,0.0798737692288722
2010-03-08,sh.600789,6.5500,6.59,6.5,6.58,6521136,42811835.0000,3,1.602938,1,0.458000,237.626132,2.551721,2.129428,43.326473,0,6.57,6.492,6.326999999999999,1,1,1,1,1,57.523187907935444,65.62626789543852,41.31702793292931,-1,0.01908871454017458,-0.053366283757943084,0.07245499829811766
2010-03-09,sh.600789,6.5800,6.68,6.53,6.58,8047717,53027115.0000,3,1.978181,1,0.000000,237.626132,2.551721,2.129428,43.326473,0,6.587999999999999,6.526999999999999,6.349999999999999,-1,1,1,1,1,54.04351311118746,59.27562120691633,43.57929691972973,-1,0.027250436103927633,-0.03724293978556894,0.06449337588949658
2010-03-10,sh.600789,6.5800,6.6,6.38,6.45,7312733,47323278.0000,3,1.797517,1,-1.975700,232.931391,2.501307,2.087357,42.470478,0,6.5280000000000005,6.531000000000001,6.364499999999999,-1,-1,1,-1,1,38.48021462105972,50.01563854672755,15.409366769724059,-1,0.022964030649843536,-0.02520154569848644,0.04816557634832998
2010-03-11,sh.600789,6.4500,6.51,6.33,6.37,4995640,31949982.0000,3,1.227961,1,-1.240300,230.042320,2.470283,2.061468,41.943713,0,6.506,6.523000000000001,6.371499999999999,-1,-1,-1,-1,1,21.231040564373934,37.91825609887371,-12.143390504625621,-1,0.012962271041659257,-0.0175687823504573,0.030531053392116557
2010-03-12,sh.600789,6.3700,6.42,6.31,6.34,5234875,33281073.0000,3,1.286766,1,-0.471000,228.958918,2.458649,2.051759,41.746176,0,6.464,6.511,6.384499999999999,-1,-1,-1,-1,1,9.016754850088235,22.909336678507305,-18.768408806749903,-1,0.0025852540148294523,-0.013537975077399948,0.0161232290922294
2010-03-15,sh.600789,6.3300,6.34,6.14,6.21,5788557,36086331.0000,3,1.422865,1,-2.050500,224.264176,2.408235,2.009688,40.890182,0,6.390000000000001,6.4799999999999995,6.3889999999999985,-1,-1,-1,-1,1,7.451197120146939,12.56633084486971,-2.779070329298605,-1,-0.015944719484992653,-0.01401932395891849,-0.0019253955260741633
2010-03-16,sh.600789,6.2000,6.29,6.18,6.28,3006124,18737057.0000,3,0.738925,1,1.127200,226.792114,2.435381,2.032342,41.351101,0,6.330000000000001,6.458999999999999,6.396499999999999,-1,-1,-1,-1,-1,12.508943038107939,9.658965002781045,18.208899108761727,1,-0.02469675320154785,-0.01615480980744436,-0.00854194339410349
2010-03-17,sh.600789,6.2800,6.42,6.26,6.41,6010687,38251667.0000,3,1.477466,1,2.070100,231.486855,2.485795,2.074413,42.207096,0,6.322000000000001,6.424999999999999,6.408499999999999,1,-1,1,-1,-1,27.389895419060338,15.783345192438412,50.60299587230419,1,-0.02090194482333274,-0.017104236810622037,-0.0037977080127107044
2010-03-18,sh.600789,6.4200,6.54,6.39,6.51,9052189,58576245.0000,3,2.225087,1,1.560100,235.098195,2.524575,2.106775,42.865553,0,6.350000000000001,6.427999999999999,6.4239999999999995,1,1,1,-1,-1,47.03305455993637,28.977297672368223,83.14456833507265,1,-0.009713397577456817,-0.015626068963988993,0.005912671386532176
2010-03-19,sh.600789,6.5000,6.52,6.44,6.49,5720965,37082845.0000,3,1.406250,1,-0.307200,234.375927,2.516819,2.100302,42.733861,0,6.380000000000001,6.421999999999999,6.4375,1,1,1,-1,-1,61.1111111111112,45.178020363369306,92.97729260659499,1,-0.0024321893639926984,-0.012987293043989734,0.010555103679997036
2010-03-22,sh.600789,6.5500,6.63,6.48,6.62,10264482,67314369.0000,3,2.523076,1,2.003100,239.070668,2.567233,2.142373,43.589855,0,6.462000000000001,6.425999999999999,6.4590000000000005,1,1,1,1,1,77.09750566893432,61.747223779993966,107.798069446815,1,0.013670548573780472,-0.007655724720435693,0.021326273294216165
2010-03-23,sh.600789,6.6000,6.65,6.54,6.61,9864652,65079640.0000,3,2.424796,1,-0.151100,238.709534,2.563355,2.139137,43.524010,0,6.5280000000000005,6.428999999999999,6.478,1,1,1,1,1,84.97695374446083,74.39519017483546,106.14048088371155,1,0.025333143270624525,-0.0010579511222236493,0.026391094392848174
2010-03-24,sh.600789,6.5900,6.67,6.49,6.65,15329077,101224395.0000,3,3.767987,1,0.605100,240.154070,2.578867,2.152082,43.787392,0,6.5760000000000005,6.449,6.49,1,1,1,1,1,95.4474871709691,85.84064886145477,114.66116378999774,1,0.0373726901895699,0.006628177140135061,0.03074451304943484
