date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600790,10.4900,10.66,10.39,10.54,19003311,199841758.0000,3,4.156661,1,0.764800,106.108679,5.401363,12.138782,-29.206935,0,10.386000000000001,10.101999999999999,9.895500000000002,1,1,1,1,1,89.35039370078738,87.68716827063281,92.67684456109652,1,0.09809029984382,-0.04011899158581341,0.13820929142963342
2010-02-26,sh.600790,10.5500,10.64,10.28,10.37,16330140,170656119.0000,3,3.571949,1,-1.612900,104.397249,5.314244,11.942995,-28.735855,0,10.394000000000002,10.2,9.918500000000003,-1,1,1,1,1,87.03057388096754,88.11587808280717,84.85996547728826,-1,0.10892143545996369,-0.010310906176657988,0.11923234163662168
2010-03-01,sh.600790,10.3700,10.49,10.21,10.39,15593118,161518071.0000,3,3.410738,1,0.192900,104.598594,5.324493,11.966029,-28.791277,0,10.406000000000002,10.268999999999998,9.942000000000004,-1,1,1,1,1,77.16607523598107,84.51568093924529,62.46686382945265,-1,0.11776153959842617,0.015303582978358841,0.10245795662006732
2010-03-02,sh.600790,10.4500,10.75,10.36,10.68,31470826,333493099.0000,3,6.883725,1,2.791100,107.518093,5.473107,12.300018,-29.594883,0,10.488000000000001,10.346999999999998,10.002500000000005,1,1,1,1,1,77.36209503730338,80.51958138475062,71.04712234240887,-1,0.14647943840094158,0.04153875406287539,0.10494068433806619
2010-03-03,sh.600790,10.6400,10.8,10.53,10.63,17145738,182197271.0000,3,3.750348,1,-0.468200,107.014731,5.447484,12.242434,-29.456330,0,10.522000000000002,10.407999999999998,10.062000000000005,1,1,1,1,1,79.32477199998038,77.9509807577549,82.07235448443134,1,0.16332133132711846,0.065895269515724,0.09742606181139446
2010-03-04,sh.600790,10.7100,10.88,10.24,10.47,22886060,242027231.0000,3,5.005949,1,-1.505200,105.403973,5.365490,12.058164,-29.012961,0,10.508000000000001,10.446999999999997,10.108500000000005,-1,1,1,1,1,75.4453092923098,77.37739210986449,71.58114365720044,-1,0.16189180206612086,0.08509457602580336,0.0767972260403175
2010-03-05,sh.600790,10.5100,10.59,10.22,10.31,12459825,129437879.0000,3,2.725382,1,-1.528200,103.793215,5.283496,11.873894,-28.569592,0,10.496000000000002,10.444999999999997,10.144500000000004,-1,-1,1,1,1,57.74672187715663,70.83893438981556,31.562296851838767,-1,0.14616334692356148,0.09730833020535498,0.048855016718206495
2010-03-08,sh.600790,10.3900,10.44,10.26,10.31,12117810,125375079.0000,3,2.650571,1,0.000000,103.793215,5.283496,11.873894,-28.569592,0,10.480000000000002,10.442999999999998,10.184500000000005,-1,-1,1,1,1,39.49275362318841,57.5615949308849,3.355071007795445,-1,0.13217480404066073,0.10428162497241614,0.027893179068244595
2010-03-09,sh.600790,10.3200,10.42,10.19,10.34,18436369,189779855.0000,3,4.032652,1,0.291000,104.095232,5.298870,11.908445,-28.652724,0,10.412000000000003,10.45,10.218000000000007,-1,-1,1,-1,1,28.26086956521741,41.833448355187436,1.1157119852773576,-1,0.12210201626584549,0.10784570323110201,0.014256313034743479
2010-03-10,sh.600790,10.4800,10.48,10.15,10.27,15990105,165187525.0000,3,3.497572,1,-0.677000,103.390525,5.262997,11.827826,-28.458750,0,10.340000000000003,10.431,10.234000000000007,-1,-1,1,-1,1,21.05916219972205,29.60426179604258,3.968963007080987,-1,0.10723470941929847,0.10772350446874131,-0.0004887950494428389
