date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600792,11.9600,12.05,11.88,11.99,1069677,12805204.0000,3,0.847437,1,0.502900,-5.394454,-6.239685,1.211679,23.471623,1,11.878,11.547999999999998,11.417000000000003,1,1,1,1,1,90.37931765204492,88.6754827663919,93.78698742335098,1,-0.10884855088426271,-0.3227506057569774,0.2139020548727147
2010-02-26,sh.600792,12.0000,12.28,11.88,12.19,1234294,14886432.0000,3,0.977852,1,1.668100,-5.484437,-6.343767,1.231891,23.863143,1,11.98,11.672999999999998,11.431000000000003,1,1,1,1,1,92.64038991311719,90.71759889941711,96.48597194051735,1,-0.05712717201774531,-0.26962591900913097,0.21249874699138566
2010-03-01,sh.600792,12.2100,12.55,12.19,12.41,1411502,17501758.0000,3,1.118243,1,1.804800,-5.583418,-6.458257,1.254123,24.293815,1,12.081999999999999,11.815,11.467500000000003,1,1,1,1,1,92.75533244185283,91.92501333567166,94.41597065421516,1,0.0015961552653411815,-0.21538150415423654,0.21697765941957772
2010-03-02,sh.600792,12.4300,12.49,12.14,12.23,1145500,14002499.0000,3,0.907506,1,-1.450400,-5.502433,-6.364583,1.235933,23.941447,1,12.15,11.931,11.510500000000002,1,1,1,1,1,86.47857889237201,90.62476708244736,78.18620251222131,-1,0.033227295954192826,-0.16565974413255066,0.1988870400867435
2010-03-03,sh.600792,12.2200,12.29,12.12,12.18,1286034,15675866.0000,3,1.018843,1,-0.408800,-5.479938,-6.338563,1.230880,23.843567,1,12.2,12.016,11.572500000000002,-1,1,1,1,1,76.11856853236162,85.11749328886218,58.12071901936051,-1,0.05364226605566813,-0.12179934209490689,0.17544160815057502
2010-03-04,sh.600792,12.2100,12.23,11.73,11.85,1663902,20008838.0000,3,1.318203,1,-2.709400,-5.331467,-6.166828,1.197531,23.197559,1,12.172,12.024999999999999,11.620500000000003,-1,-1,1,1,1,55.76793576793573,72.78836106422314,21.727085175360912,-1,0.042700806550490356,-0.08889931236582743,0.1316001189163178
2010-03-05,sh.600792,11.8800,11.99,11.67,11.85,666001,7872754.0000,3,0.527630,1,0.000000,-5.331467,-6.166828,1.197531,23.197559,1,12.104000000000001,12.041999999999998,11.657000000000002,-1,-1,1,1,1,37.45791245791241,56.44813891940328,-0.5225404650693406,-1,0.033641819114233584,-0.06439108606981522,0.09803290518404881
2010-03-08,sh.600792,11.8500,12.05,11.82,12.02,619147,7412487.0000,3,0.490511,1,1.434600,-5.407952,-6.255298,1.214711,23.530351,1,12.026,12.053999999999998,11.701000000000004,-1,-1,1,-1,1,29.840067340067293,41.02197185530517,7.476258309591543,-1,0.03972219284236189,-0.0435684302873798,0.0832906231297417
2010-03-09,sh.600792,11.9000,12.32,11.9,12.21,1370323,16710277.0000,3,1.085619,1,1.580700,-5.493435,-6.354175,1.233912,23.902295,1,12.021999999999998,12.085999999999999,11.751500000000004,1,1,1,-1,1,40.53030303030303,35.942760942760934,49.705387205387225,1,0.05919003900722153,-0.02301673642845953,0.08220677543568106
2010-03-10,sh.600792,12.1900,12.28,11.9,12.07,1385407,16753454.0000,3,1.097569,1,-1.146600,-5.430447,-6.281318,1.219764,23.628231,1,11.999999999999998,12.099999999999998,11.789500000000004,1,-1,1,-1,1,48.863636363636374,39.74466891133559,67.10157126823795,1,0.06260000350667383,-0.005893388441432858,0.06849339194810669
2010-03-11,sh.600792,12.2300,12.38,11.82,12.26,1258762,15149352.0000,3,0.997237,1,1.574200,-5.515931,-6.380195,1.238965,24.000175,1,12.081999999999997,12.126999999999999,11.837500000000002,1,1,1,-1,1,57.95454545454547,49.11616161616164,75.63131313131312,1,0.07971493291784881,0.011228275830423476,0.06848665708742534
2010-03-12,sh.600792,12.2300,12.32,12.0,12.01,1254908,15246576.0000,3,0.994183,1,-2.039200,-5.403453,-6.250094,1.213700,23.510775,1,12.113999999999997,12.108999999999998,11.891000000000002,-1,-1,1,1,1,51.3211382113821,52.713106676521335,48.53720128110362,-1,0.07227261342041835,0.02343714334842245,0.0488354700719959
2010-03-15,sh.600792,11.9500,12.0,11.58,11.59,794931,9330862.0000,3,0.629773,1,-3.497100,-5.214489,-6.031522,1.171256,22.688583,1,12.027999999999997,12.027,11.921000000000003,-1,-1,-1,1,1,36.5862897265336,48.62065779748708,12.51755358462664,-1,0.03211384329086009,0.025172483336909978,0.006941359953950111
2010-03-16,sh.600792,11.5800,11.69,11.5,11.66,698908,8105348.0000,3,0.553700,1,0.604000,-5.245983,-6.067951,1.178330,22.825615,1,11.917999999999997,11.969999999999999,11.950500000000002,-1,-1,-1,-1,-1,20.29841093865484,36.06861295885687,-11.241993101749216,-1,0.005868495260113349,0.021311685721550653,-0.015443190461437304
2010-03-17,sh.600792,11.6500,11.83,11.65,11.77,985600,11564829.0000,3,0.780828,1,0.943400,-5.295474,-6.125196,1.189447,23.040951,1,11.857999999999999,11.928999999999998,11.972500000000002,-1,-1,-1,-1,-1,16.70454545454544,24.529748706577987,1.0541389504803433,-1,-0.0059860480148046236,0.015852138974279596,-0.02183818698908422
2010-03-18,sh.600792,11.7800,11.8,11.68,11.76,892307,10473956.0000,3,0.706918,1,-0.085000,-5.290974,-6.119992,1.188436,23.021375,1,11.758,11.919999999999998,11.972500000000002,1,-1,-1,-1,-1,26.136363636363615,21.04644000985466,36.31621088938153,1,-0.01600329932119493,0.009481051315184692,-0.025484350636379622
2010-03-19,sh.600792,11.7700,11.81,11.7,11.78,672910,7906053.0000,3,0.533104,1,0.170100,-5.299973,-6.130400,1.190457,23.060527,1,11.712,11.913,11.977500000000003,1,-1,-1,-1,-1,30.681818181818127,24.507575757575754,43.03030303030287,1,-0.02207375775986442,0.0031700895001748695,-0.02524384726003929
