date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600811,7.9900,8.15,7.88,8.06,63368978,508505278.0000,3,5.105994,1,1.002500,30.781957,2.749199,10.449995,-55.944685,0,7.818,7.694999999999998,7.406499999999994,1,1,1,1,1,90.1249538796335,79.21454872731684,111.9457641842668,1,0.24780066914040777,0.1806332338050479,0.06716743533535988
2010-02-26,sh.600811,8.0200,8.08,7.91,7.92,33892876,270632549.0000,3,2.730939,1,-1.737000,30.247283,2.701446,10.268481,-54.972941,0,7.874,7.754999999999997,7.457499999999993,1,1,1,1,1,85.14272218098388,84.97228505646946,85.48359643001274,1,0.2522012649768852,0.19494684003941537,0.05725442493746985
2010-03-01,sh.600811,7.8900,7.97,7.71,7.79,59867195,470212755.0000,3,4.823836,1,-1.641400,29.750800,2.657104,10.099933,-54.070607,0,7.911999999999999,7.753999999999998,7.498999999999993,-1,1,1,1,1,68.45648604269293,81.24138736777009,42.88668339253863,-1,0.24240456638749475,0.20443838530903125,0.0379661810784635
2010-03-02,sh.600811,7.7900,7.88,7.67,7.84,45983422,357641787.0000,3,3.705143,1,0.641800,29.941755,2.674159,10.164759,-54.417659,0,7.917999999999999,7.775999999999998,7.554499999999993,-1,1,1,1,1,57.14285714285711,70.24735512217796,30.933861184215402,-1,0.23595524907230292,0.21074175806168557,0.025213491010617345
2010-03-03,sh.600811,7.8100,8.08,7.8,8.02,55920663,443849772.0000,3,4.505842,1,2.295900,30.629193,2.735555,10.398134,-55.667044,0,7.925999999999999,7.8169999999999975,7.612999999999994,1,1,1,1,1,61.90476190476185,62.50136836343729,60.71154898741098,-1,0.2425723907874966,0.21710788460684777,0.025464506180648827
2010-03-04,sh.600811,8.0400,8.13,7.62,7.63,61658016,485918022.0000,3,4.968133,1,-4.862800,29.139744,2.602530,9.892489,-52.960043,0,7.839999999999999,7.828999999999996,7.647499999999994,-1,-1,-1,1,1,51.09062980030715,56.71274961597536,39.84639016897073,-1,0.21388129223629537,0.2164625661327373,-0.0025812738964419157
2010-03-05,sh.600811,7.6500,7.77,7.58,7.73,32591733,250463961.0000,3,2.626099,1,1.310600,29.521654,2.636639,10.022141,-53.654146,0,7.801999999999998,7.8379999999999965,7.672499999999994,-1,-1,1,-1,1,43.27188940092162,52.089093701996866,25.637480798771136,-1,0.19694232565360092,0.21255851803691,-0.01561619238330908
2010-03-08,sh.600811,7.7100,7.89,7.62,7.85,25354362,196576847.0000,3,2.042943,1,1.552400,29.979946,2.677570,10.177724,-54.487069,0,7.813999999999998,7.862999999999997,7.700999999999993,1,-1,1,-1,1,31.918505942275015,42.093675047834594,11.568167731155853,-1,0.19099934812409902,0.20824668405434782,-0.017247335930248797
2010-03-09,sh.600811,7.8200,7.83,7.68,7.75,17114430,132787629.0000,3,1.379006,1,-1.273900,29.598036,2.643461,10.048072,-53.792966,0,7.795999999999998,7.856999999999997,7.721499999999994,-1,-1,1,-1,1,36.48368232408978,37.22469255576214,35.001661860745045,-1,0.1761893304229325,0.20183521332806476,-0.025645882905132256
2010-03-10,sh.600811,7.7300,7.75,7.5,7.52,25597268,194438187.0000,3,2.062516,1,-2.967700,28.719643,2.565010,9.749871,-52.196530,0,7.695999999999998,7.8109999999999955,7.726499999999994,-1,-1,-1,-1,-1,26.789195210247794,31.730461158870863,16.90666331300165,-1,0.14423060623628636,0.19031429190970908,-0.04608368567342272
