date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600820,13.0200,13.2,13.0,13.15,8108554,106008855.0000,3,1.105428,1,1.309700,24.754431,2.521084,0.680978,7.373919,0,12.935999999999993,12.780000000000003,13.136000000000001,1,1,1,1,-1,80.03941441441442,66.99337868796628,106.13148586731072,1,-0.38368885668323927,-0.4836494906624053,0.09996063397916605
2010-02-26,sh.600820,13.1100,13.21,13.02,13.06,6836538,89778782.0000,3,0.932016,1,-0.684400,24.585009,2.503830,0.676317,7.323451,0,12.969999999999994,12.833000000000002,13.074000000000002,1,1,-1,1,-1,91.08108108108111,79.54517661991889,114.15289000340556,1,-0.3512914824339042,-0.4571778890167051,0.10588640658280091
2010-03-01,sh.600820,13.1000,13.28,13.01,13.17,5950628,78385993.0000,3,0.811241,1,0.842300,24.792081,2.524919,0.682014,7.385134,0,13.029999999999992,12.895000000000001,13.0305,1,1,1,1,-1,86.38022638022643,85.833573958574,87.47353122353132,1,-0.3131306737492814,-0.4283684459632203,0.11523777221393894
2010-03-02,sh.600820,13.1900,13.27,13.03,13.09,6138134,80537334.0000,3,0.836804,1,-0.607400,24.641483,2.509581,0.677871,7.340273,0,13.089999999999993,12.942000000000002,12.999500000000001,1,1,1,1,1,80.51282051282054,85.99137599137605,69.55570955570951,-1,-0.28604592992230593,-0.39990394275503743,0.1138580128327315
2010-03-03,sh.600820,13.0700,13.34,13.07,13.33,7580456,100244643.0000,3,1.033434,1,1.833500,25.093275,2.555593,0.690300,7.474854,0,13.159999999999991,13.003000000000004,12.986,1,1,1,1,1,86.78266178266183,84.55856955856962,91.23084623084628,1,-0.24242060720975012,-0.36840727564597997,0.12598666843622985
2010-03-04,sh.600820,13.3400,13.36,12.77,12.84,9032855,118627068.0000,3,1.231437,1,-3.675900,24.170867,2.461652,0.664925,7.200085,0,13.09799999999999,13.017000000000001,12.9425,-1,-1,-1,1,1,71.3284777238266,79.54132000643635,54.90279315860707,-1,-0.24456691440407496,-0.34363920339759896,0.099072288993524
2010-03-05,sh.600820,12.8300,12.95,12.72,12.84,6748030,86706748.0000,3,0.919950,1,0.000000,24.170867,2.461652,0.664925,7.200085,0,13.053999999999991,13.012,12.906,-1,-1,-1,1,1,59.29309708379477,72.46807886342775,32.943133524528804,-1,-0.24346140677109318,-0.3236036440722978,0.08014223730120462
2010-03-08,sh.600820,12.8400,13.11,12.84,13.01,5662514,73625830.0000,3,0.771963,1,1.324000,24.490886,2.494244,0.673728,7.295413,0,13.021999999999991,13.026,12.9035,-1,-1,1,-1,1,44.13436692506462,58.251980577562016,15.899139620069818,-1,-0.22625952578489716,-0.30413482041481765,0.07787529462992049
2010-03-09,sh.600820,13.0100,13.25,12.87,13.04,7847612,102831946.0000,3,1.069855,1,0.230600,24.547360,2.499995,0.675282,7.312236,0,13.01199999999999,13.050999999999998,12.9155,1,-1,1,-1,1,47.62273901808783,50.350067675649086,42.16808170296531,-1,-0.20781065007451538,-0.2848699863467572,0.07705933627224182
2010-03-10,sh.600820,13.0800,13.15,12.8,12.86,4617272,59843017.0000,3,0.629467,1,-1.380400,24.208516,2.465486,0.665960,7.211300,0,12.917999999999989,13.038999999999998,12.909,-1,-1,-1,-1,1,41.73611111111103,44.497739018087834,36.21285529715742,-1,-0.2053471645455911,-0.26896542198652396,0.06361825744093286
2010-03-11,sh.600820,12.9100,12.97,12.61,12.73,4938563,62902270.0000,3,0.673268,1,-1.010900,23.963796,2.440563,0.659228,7.138402,0,12.89599999999999,12.996999999999996,12.888500000000002,-1,-1,-1,-1,1,29.29166666666661,39.5501722652885,8.774655469422825,-1,-0.21144731503380498,-0.2574618005959802,0.04601448556217519
