date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600822,15.2500,15.49,15.01,15.32,6379855,97130061.0000,3,3.426892,1,0.723200,69.955833,6.152858,0.126539,-38.785763,0,14.959999999999997,14.675,14.271000000000006,1,1,1,1,1,92.39190093708167,89.18111229983106,98.81347821158289,1,0.29526560257301426,0.14404701999661343,0.15121858257640083
2010-02-26,sh.600822,15.3200,15.32,15.32,15.32,0,0.0000,3,,0,0.000000,69.955833,6.152858,0.126539,-38.785763,0,15.103999999999996,14.809000000000001,14.238000000000005,1,1,1,1,1,91.87298840753085,91.45979599653297,92.69937322952663,1,0.32825783998249136,0.180889183993789,0.14736865598870236
2010-03-01,sh.600822,15.1800,15.4,15.0,15.2,4821111,73344314.0000,3,2.589624,1,-0.783300,69.407876,6.104664,0.125548,-38.481958,0,15.197999999999997,14.86,14.265500000000007,1,1,1,1,1,85.71164088980032,89.99217674480427,77.15056917979243,-1,0.34079297937758035,0.21286994307054727,0.12792303630703308
2010-03-02,sh.600822,15.2000,15.32,14.73,14.85,4297960,64214651.0000,3,2.308617,1,-2.302600,67.809668,5.964096,0.122657,-37.595860,0,15.179999999999996,14.876,14.325500000000009,-1,-1,1,1,1,73.99527186761226,83.85996705498111,54.26588149287457,-1,0.3188100489392305,0.2340579642442839,0.08475208469494658
2010-03-03,sh.600822,14.8400,15.1,14.75,14.98,3384125,50616723.0000,3,1.817758,1,0.875400,68.403288,6.016307,0.123731,-37.924982,0,15.133999999999995,14.923999999999998,14.412500000000009,-1,1,1,1,1,65.69534381745295,75.13408552495515,46.81786040244853,-1,0.3083241627104467,0.24891120393751648,0.059412958772930236
2010-03-04,sh.600822,14.8500,15.2,14.45,14.53,3737795,55589545.0000,3,2.007729,1,-3.004000,66.348450,5.835577,0.120014,-36.785714,0,14.975999999999994,14.967999999999998,14.464500000000006,-1,-1,1,1,1,44.23255170883146,61.30772246463221,10.082210197229955,-1,0.26069762321256285,0.25126848779252575,0.009429135420037094
2010-03-05,sh.600822,14.5100,15.47,14.4,15.31,7308067,110491965.0000,3,3.925474,1,5.368200,69.910170,6.148842,0.126457,-38.760446,0,14.973999999999993,15.038999999999998,14.545000000000007,1,1,1,-1,1,54.05284083621908,54.660245454167814,52.83803160032163,-1,0.28263469200239655,0.2575417286344999,0.025092963367896626
2010-03-08,sh.600822,15.3100,15.96,15.2,15.26,7062785,109772586.0000,3,3.793723,1,-0.326600,69.681854,6.128761,0.126044,-38.633860,0,14.985999999999994,15.091999999999999,14.651000000000007,1,1,1,-1,1,51.41441645866425,49.89993633457158,54.44337670684959,1,0.292612342000103,0.26455585130762055,0.02805649069248245
2010-03-09,sh.600822,15.0900,15.73,15.09,15.42,5273061,81358209.0000,3,2.832386,1,1.048500,70.412464,6.193021,0.127365,-39.038934,0,15.09999999999999,15.139999999999997,14.767000000000007,1,1,1,-1,1,68.19453899099916,57.88726542862747,88.80908611574256,1,0.30985850832878903,0.27361638271185423,0.036242125616934795
2010-03-10,sh.600822,15.3000,15.61,14.83,14.95,3738447,56614971.0000,3,2.008079,1,-3.048000,68.266299,6.004258,0.123483,-37.849031,0,15.09399999999999,15.113999999999995,14.840500000000006,-1,-1,1,-1,1,51.923076923076884,57.17734412424674,41.414542520737186,-1,0.28234643342016597,0.2753623928535166,0.006984040566649363
2010-03-11,sh.600822,14.8800,15.1,14.55,14.81,2352166,34876019.0000,3,1.263449,1,-0.936500,67.627016,5.948031,0.122327,-37.494592,0,15.149999999999991,15.062999999999997,14.869000000000005,-1,-1,-1,1,1,42.307692307692285,54.141769407256085,18.63953810856468,-1,0.24640567463511687,0.26957104920983666,-0.023165374574719788
2010-03-12,sh.600822,14.7500,14.98,14.54,14.55,2005420,29479071.0000,3,1.077197,1,-1.755600,66.439776,5.843609,0.120179,-36.836348,0,14.99799999999999,14.985999999999999,14.897500000000004,-1,-1,-1,1,1,23.71794871794872,39.31623931623927,-7.4786324786323775,-1,0.1946981778703627,0.2545964749419419,-0.059898297071579176
2010-03-15,sh.600822,14.5500,14.93,14.5,14.77,1814565,26704184.0000,3,0.974680,1,1.512000,67.444364,5.931966,0.121996,-37.393324,0,14.899999999999991,14.943000000000001,14.901500000000004,-1,-1,-1,-1,-1,19.87179487179488,28.632478632478605,2.350427350427431,-1,0.16951768122708977,0.23758071619897145,-0.06806303497188168
2010-03-16,sh.600822,14.7000,15.6,14.57,15.39,4361848,66134227.0000,3,2.342934,1,4.197700,70.275474,6.180972,0.127117,-38.962982,0,14.893999999999991,14.997000000000003,14.936500000000004,1,1,1,-1,-1,32.264957264957275,25.28490028490027,46.22507122507128,1,0.19731623592279135,0.22952782014373543,-0.032211584220944084
2010-03-17,sh.600822,15.2900,15.69,15.26,15.68,7173008,111473801.0000,3,3.852928,1,1.884300,71.599704,6.297443,0.129513,-39.697178,0,15.039999999999992,15.067000000000004,14.995500000000003,1,1,1,-1,1,56.41025641025639,36.182336182336165,96.86609686609684,1,0.2399810154032096,0.23161845919563026,0.008362556207579336
2010-03-18,sh.600822,15.7900,16.19,15.46,15.88,7286603,115390384.0000,3,3.913945,1,1.275500,72.512965,6.377767,0.131165,-40.203519,0,15.25399999999999,15.202000000000004,15.085000000000004,1,1,1,1,1,75.7232084155161,54.79947403024323,117.57067718606183,1,0.2866274265015072,0.24262025265680565,0.04400717384470154
2010-03-19,sh.600822,15.7800,15.87,15.58,15.8,3318760,52164422.0000,3,1.782647,1,-0.503800,72.147661,6.345637,0.130504,-40.000983,0,15.50399999999999,15.251000000000005,15.145000000000005,1,1,1,1,1,80.21038790269559,70.78128424282266,99.06859522244145,1,0.3135255841824929,0.2568013189619431,0.0567242652205498
2010-03-22,sh.600822,15.7000,15.82,15.44,15.64,3239177,50559005.0000,3,1.739900,1,-1.012700,71.417051,6.281378,0.129182,-39.595909,0,15.677999999999992,15.289000000000005,15.190500000000004,-1,1,1,1,1,75.34516765285997,77.09292132369053,71.84966031119885,-1,0.31826316545184064,0.2690936882599226,0.049169477191918054
2010-03-23,sh.600822,15.6600,16.18,15.4,16.14,5230969,82621968.0000,3,2.809776,1,3.196900,73.700205,6.482189,0.133312,-40.861763,0,15.827999999999992,15.361000000000008,15.250500000000002,1,1,1,1,1,80.4733727810651,78.6763094455402,84.06749945211487,1,0.3582340548742433,0.2869217615827867,0.07131229329145661
2010-03-24,sh.600822,16.0100,16.14,15.7,15.74,4496274,71585056.0000,3,2.415140,1,-2.478300,71.873682,6.321540,0.130008,-39.849080,0,15.839999999999993,15.440000000000008,15.277000000000005,-1,1,1,1,1,79.28994082840235,78.36949375410912,81.13083497698884,1,0.3535590075000652,0.3002492107662424,0.0533097967338228
2010-03-25,sh.600822,15.6000,15.96,15.5,15.56,2907478,45566755.0000,3,1.561730,1,-1.143600,71.051747,6.249248,0.128521,-39.393373,0,15.775999999999991,15.51500000000001,15.289000000000005,-1,1,1,1,1,77.71203155818539,79.1584483892176,74.81919789612095,-1,0.33150808425818745,0.3065009854646314,0.02500709879355606
2010-03-26,sh.600822,15.5600,16.37,15.5,16.09,6483820,104022141.0000,3,3.482736,1,3.406200,73.471890,6.462108,0.132899,-40.735178,0,15.833999999999993,15.669000000000008,15.327500000000004,1,1,1,1,1,73.5130396668858,76.83833735115782,66.86244429834179,-1,0.3527330522680181,0.3157473988253087,0.036985653442709376
2010-03-29,sh.600822,16.1700,16.17,15.78,15.96,3925249,62441926.0000,3,2.108418,1,-0.808000,72.878270,6.409897,0.131825,-40.406056,0,15.89799999999999,15.788000000000007,15.365500000000003,1,1,1,1,1,70.07646699954394,73.76717940820502,62.69504218222178,-1,0.3549721804550021,0.3235923551512474,0.031379825303754716
2010-03-30,sh.600822,16.2400,17.56,16.18,16.69,14065911,239664884.0000,3,7.555400,1,4.573900,77.106378,3.614866,0.120493,14.454715,0,16.00799999999999,15.918000000000006,15.457500000000001,1,1,1,1,1,69.07657657657663,70.88869441433543,65.45234090105902,-1,0.4109148343854887,0.3410568509980957,0.06985798338739302
2010-03-31,sh.600822,16.2600,16.97,16.26,16.85,8143852,134893156.0000,3,4.374410,1,0.958700,77.845565,3.649520,0.121648,14.593286,0,16.22999999999999,16.035000000000004,15.551000000000002,1,1,1,1,1,63.30497163830507,67.48600507147518,54.94290477196486,-1,0.4628252916314768,0.3654105391247719,0.0974147525067049
2010-04-01,sh.600822,16.7000,16.96,16.65,16.81,4641496,78138492.0000,3,2.493145,1,-0.237400,77.660768,3.640856,0.121359,14.558643,0,16.47999999999999,16.128000000000007,15.665000000000003,1,1,1,1,1,64.0432098765433,65.4749193638083,61.17979090201331,-1,0.49503063230418576,0.3913345577606547,0.10369607454353108
2010-04-02,sh.600822,16.7700,16.78,16.5,16.63,3860289,64163975.0000,3,2.073526,1,-1.070800,76.829183,3.601870,0.120060,14.402750,0,16.587999999999987,16.211000000000006,15.731000000000003,1,1,1,1,1,63.11728395061734,63.48848848848854,62.37487487487493,-1,0.500262387733752,0.4131201237552741,0.08714226397847785
2010-04-06,sh.600822,16.6300,17.04,16.53,16.9,4059258,68389929.0000,3,2.180400,1,1.623600,78.076560,3.660349,0.122009,14.636589,0,16.77599999999999,16.337000000000003,15.813000000000002,1,1,1,1,1,63.39446242358864,63.51831875024973,63.14674977026647,-1,0.5201988070847374,0.43453586042116676,0.08566294666357066
2010-04-07,sh.600822,16.8900,16.89,16.61,16.77,2443512,40825007.0000,3,1.312514,1,-0.769200,77.475972,3.632193,0.121070,14.524000,0,16.791999999999987,16.400000000000002,15.880500000000001,-1,1,1,1,1,62.185364976627135,62.89903711694435,60.7580206959927,-1,0.5195199469513536,0.4515326777272041,0.0679872692241495
2010-04-08,sh.600822,16.7000,17.06,16.56,16.76,3336234,56200629.0000,3,1.792033,1,-0.059600,77.429772,3.630027,0.120998,14.515340,0,16.773999999999987,16.502000000000002,15.971,-1,1,1,1,1,63.5922330097088,63.05735346997483,64.66199208917675,1,0.5122699004428473,0.46368012227033273,0.04858977817251453
2010-04-09,sh.600822,16.7200,17.33,16.63,17.14,4828595,82688621.0000,3,2.593644,1,2.267300,79.185340,3.712331,0.123742,14.844446,0,16.839999999999986,16.660000000000004,16.0875,1,1,1,1,1,66.40667612086844,64.06142470240142,71.09717895780247,1,0.5310652212644698,0.47715714206916016,0.0539080791953096
2010-04-12,sh.600822,17.2000,17.54,17.06,17.47,4413215,76727759.0000,3,2.370526,1,1.925300,80.709912,3.783805,0.126124,15.130250,0,17.00799999999999,16.798000000000002,16.2335,1,1,1,1,1,77.01593459842577,69.00494790966764,93.03790797594206,1,0.566063660982099,0.49493844585174795,0.07112521513035108
2010-04-13,sh.600822,17.5000,17.52,16.31,16.71,5271418,88771791.0000,3,2.831503,1,-4.350300,77.198777,3.619197,0.120637,14.472036,0,16.969999999999988,16.873,16.330499999999997,-1,-1,1,1,1,68.34633508386263,70.58964860105225,63.85970804948337,-1,0.5264064424020987,0.5012320451618181,0.025174397240280588
2010-04-14,sh.600822,16.7100,16.9,16.6,16.68,2596253,43362681.0000,3,1.394558,1,-0.179500,77.060179,3.612700,0.120421,14.446054,0,16.951999999999988,16.872000000000003,16.395,-1,-1,1,1,1,52.905270560857836,66.08918008104871,26.537451520476083,-1,0.48694387579495313,0.49837441128844506,-0.011430535493491933
