date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600824,10.5300,11.28,10.42,11.06,49300556,535689698.0000,3,6.735387,1,5.133100,72.948152,6.362647,5.582264,103.620428,0,10.464,10.338,10.1765,1,1,1,1,1,81.30430720358775,77.5870803581049,88.73876089455345,1,0.11294875380350966,0.016233009994515355,0.09671574380899431
2010-02-26,sh.600824,10.9000,11.09,10.77,10.79,26013859,283865952.0000,3,3.553984,1,-2.441200,71.167320,6.207320,5.445989,101.090815,0,10.574,10.381,10.186000000000002,1,1,1,1,1,81.45846958796592,80.43229545338198,83.51081785713382,1,0.14071584765215484,0.04112957752604325,0.09958627012611158
2010-03-01,sh.600824,10.8300,11.25,10.8,10.95,30742679,339355199.0000,3,4.200030,1,1.482900,72.222628,6.299366,5.526745,102.589845,0,10.724,10.442,10.227,1,1,1,1,1,75.0599520383693,79.27424294330767,66.63137022849256,-1,0.1736306266201577,0.06762978734486615,0.10600083927529157
2010-03-02,sh.600824,10.9200,11.03,10.77,10.84,16950084,184238536.0000,3,2.315702,1,-1.004600,71.497104,6.236085,5.471225,101.559262,0,10.832000000000003,10.5,10.281500000000001,1,1,1,1,1,69.78417266187047,75.43419809606856,58.484121793474316,-1,0.1886649334854571,0.09183681657298434,0.09682811691247276
2010-03-03,sh.600824,10.8200,10.98,10.71,10.9,15957037,173133473.0000,3,2.180033,1,0.553500,71.892844,6.270602,5.501508,102.121398,0,10.908000000000003,10.57,10.3445,-1,1,1,1,1,72.35602822090155,72.40005097371377,72.2679827152771,-1,0.20308024589006024,0.11408550243639952,0.08899474345366072
2010-03-04,sh.600824,10.8500,11.05,10.35,10.42,20267660,217073013.0000,3,2.768945,1,-4.403700,68.726921,5.994465,5.259240,97.624309,0,10.780000000000003,10.622,10.370999999999999,-1,-1,1,1,1,57.33636395231645,66.49218827836283,39.024715300223676,-1,0.17376939098323696,0.126022280145767,0.047747110837469964
2010-03-05,sh.600824,10.4200,10.62,10.22,10.52,14487905,151833433.0000,3,1.979321,1,0.959700,69.386488,6.051994,5.309713,98.561203,0,10.726000000000003,10.65,10.395999999999999,-1,-1,1,1,1,47.62125603864738,59.10454940395513,24.654669308031885,-1,0.15680197598805456,0.13217821931422452,0.024623756673830044
2010-03-08,sh.600824,10.5200,10.76,10.5,10.56,10487010,111486993.0000,3,1.432724,1,0.380200,69.650315,6.075005,5.329902,98.935960,0,10.648000000000001,10.686,10.422999999999998,-1,-1,1,-1,1,35.178378378378426,46.71199945644742,12.111136222240432,-1,0.14491238331675227,0.13472505211473007,0.010187331202022198
2010-03-09,sh.600824,10.5900,10.83,10.51,10.66,15011756,160657991.0000,3,2.050889,1,0.947000,70.309883,6.132533,5.380374,99.872854,0,10.612,10.722,10.468499999999999,1,-1,1,-1,1,38.614856365799795,40.47149692760854,34.901575242182304,-1,0.14192296018890183,0.13616463372956442,0.0057583264593374095
2010-03-10,sh.600824,10.6700,10.72,10.28,10.36,12667597,132597525.0000,3,1.730633,1,-2.814300,68.331181,5.959948,5.228957,97.062173,0,10.504000000000001,10.706,10.483499999999998,-1,-1,-1,-1,1,30.078934035702662,34.624056259960305,20.98868958718738,-1,0.11403183995837551,0.13173807497532664,-0.017706235016951122
2010-03-11,sh.600824,10.3200,10.41,10.1,10.19,13838071,141758792.0000,3,1.890542,1,-1.640900,67.209916,5.862150,5.143153,95.469454,0,10.458,10.619,10.478499999999999,-1,-1,-1,-1,-1,20.975917976164837,29.889902792555773,3.1479483433829643,-1,0.07731906097481911,0.12085427217522512,-0.043535211200406015
2010-03-12,sh.600824,10.2000,10.37,10.1,10.13,12691172,129689276.0000,3,1.733854,1,-0.588800,66.814176,5.827633,5.112870,94.907318,0,10.379999999999999,10.553,10.466999999999999,-1,-1,-1,-1,-1,8.19207156769086,19.74897452651946,-14.921734349966343,-1,0.042888034010783116,0.10526102454233673,-0.06237299053155361
