date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600829,20.5800,20.72,20.4,20.62,3078185,63191969.0000,3,0.796235,1,0.194400,27.052982,5.610241,2.982590,-880.480554,0,20.300000000000015,19.916999999999994,19.695500000000003,1,1,1,1,1,94.46741314958366,88.65246582300846,106.0973078027341,1,0.20728289275785983,0.03948625203764541,0.1677966407202144
2010-02-26,sh.600829,20.6900,20.86,20.4,20.67,3155789,65047640.0000,3,0.816309,1,0.242500,27.118580,5.623845,2.989822,-882.615570,0,20.438000000000013,20.029999999999994,19.7635,1,1,1,1,1,91.53781688665411,91.46643264214323,91.68058537567586,1,0.2448754713249457,0.08056409589510546,0.16431137542984023
2010-03-01,sh.600829,20.6600,20.84,20.51,20.82,3275136,67704236.0000,3,0.847181,1,0.725700,27.315377,5.664657,3.011519,-889.020618,0,20.606000000000012,20.187999999999995,19.8585,1,1,1,1,1,93.62679772081975,93.2106759190192,94.45904132442087,1,0.2835035545746578,0.12115198763101594,0.1623515669436419
2010-03-02,sh.600829,20.8000,20.8,20.3,20.37,3853579,78738393.0000,3,0.996807,1,-2.161400,26.724987,5.542222,2.946428,-869.805475,0,20.612000000000013,20.302999999999994,19.927,-1,1,1,1,1,82.25995807702455,89.14152422816615,68.49682577474135,-1,0.2746394767267155,0.15184948545015586,0.12278999127655965
2010-03-03,sh.600829,20.3600,20.79,20.36,20.72,2704523,55817441.0000,3,0.699580,1,1.718200,27.184179,5.637449,2.997054,-884.750586,0,20.64000000000001,20.399999999999995,20.031,1,1,1,1,1,81.28086577717748,85.72254052500728,72.39751628151788,-1,0.29248511970366664,0.179976612300858,0.11250850740280863
2010-03-04,sh.600829,20.7200,20.8,19.98,19.99,2590460,52589642.0000,3,0.670075,1,-3.523200,26.226436,5.438833,2.891463,-853.579354,0,20.51400000000001,20.406999999999993,20.0715,-1,-1,-1,1,1,54.740371121160116,72.76039832512073,18.70031671323889,-1,0.24489996682573434,0.19296128320583328,0.05193868361990106
2010-03-05,sh.600829,20.0200,20.15,19.68,19.92,1734850,34532778.0000,3,0.448754,1,-0.350200,26.134597,5.419787,2.881338,-850.590332,0,20.36400000000001,20.400999999999993,20.085500000000003,-1,-1,-1,-1,1,41.68532139430762,59.235519430881745,6.584925321159375,-1,0.19924322349600843,0.1942176712638683,0.005025552232140129
2010-03-08,sh.600829,19.9900,20.46,19.7,20.43,1443018,29104642.0000,3,0.373266,1,2.560200,26.803706,5.558547,2.955107,-872.367494,0,20.286000000000012,20.445999999999994,20.095000000000002,1,-1,1,-1,1,33.94094446221086,43.4555456592262,14.91174206818016,-1,0.20188545338302077,0.1957512276876988,0.006134225695321988
2010-03-09,sh.600829,20.5000,20.5,20.13,20.36,1121221,22808238.0000,3,0.290027,1,-0.342600,26.711867,5.539501,2.944982,-869.378472,0,20.284000000000013,20.447999999999997,20.1205,1,-1,1,-1,1,47.17514124293792,40.93380236648547,59.65781899584282,1,0.1960708420023849,0.195815150550636,0.00025569145174889063
2010-03-10,sh.600829,20.3000,20.38,19.86,19.9,1157398,23178324.0000,3,0.299385,1,-2.259300,26.108358,5.414346,2.878445,-849.736325,0,20.12000000000001,20.38,20.125,-1,-1,-1,-1,-1,46.610169491525404,42.5754183988914,54.67967167679342,1,0.15258565255028955,0.18716925095056672,-0.034583598400277166
