date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600837,17.2100,17.51,17.15,17.4,108144188,1878341565.0000,3,2.701967,1,1.221600,31.524966,3.416924,14.446222,7.300226,0,17.29,17.194999999999997,17.132499999999993,1,1,1,1,1,56.186406186406224,61.38557270297044,45.78807315327778,-1,-0.35065048099802354,-0.5375560024283099,0.18690552143028638
2010-02-26,sh.600837,17.3000,17.35,17.0,17.07,68522730,1175035155.0000,3,1.712030,1,-1.896600,30.927079,3.352120,14.172242,7.161773,0,17.226,17.234999999999996,17.122499999999995,-1,-1,-1,-1,1,54.28876678876686,56.62445623476805,49.617387896764484,-1,-0.3369645541160402,-0.49743771276585597,0.16047315864981576
2010-03-01,sh.600837,17.0000,17.26,16.92,17.18,54170801,927947678.0000,3,1.353450,1,0.644400,31.126374,3.373721,14.263569,7.207924,0,17.168,17.266,17.103499999999993,1,-1,1,-1,1,50.89031339031343,53.78849545516218,45.09394926061594,-1,-0.3136269811558954,-0.46067556644386387,0.1470485852879685
2010-03-02,sh.600837,17.2000,17.24,16.9,16.96,50898006,867240536.0000,3,1.271679,1,-1.280600,30.727783,3.330519,14.080915,7.115622,0,17.160000000000004,17.258999999999997,17.076499999999992,-1,-1,-1,-1,1,35.57692307692319,46.91866775200116,12.893433726767242,-1,-0.30931831879503235,-0.4304041169140976,0.12108579811906522
2010-03-03,sh.600837,16.9600,17.29,16.82,17.2,66546321,1138597448.0000,3,1.662650,1,1.415100,31.162610,3.377649,14.280173,7.216315,0,17.162000000000003,17.224999999999998,17.07849999999999,1,-1,1,-1,1,39.74358974358983,42.070275403608825,35.09021842355183,-1,-0.28327229194484005,-0.4009777519202461,0.11770545997540605
2010-03-04,sh.600837,17.1900,17.22,16.62,16.67,77576059,1310576608.0000,3,1.938226,1,-3.081400,30.202367,3.273570,13.840145,6.993952,0,17.016000000000005,17.153,17.071499999999993,-1,-1,-1,-1,-1,25.847069597069677,33.722527472527574,10.096153846153882,-1,-0.30191688866397826,-0.3811655792689925,0.07924869060501427
2010-03-05,sh.600837,16.7500,17.19,16.75,16.94,83554544,1421838193.0000,3,2.087598,1,1.619700,30.691547,3.326591,14.064310,7.107231,0,16.990000000000002,17.107999999999997,17.068999999999992,-1,-1,-1,-1,-1,29.498754990328052,31.696471443662528,25.1033220836591,-1,-0.2915453688437708,-0.3632415371839482,0.07169616834017739
2010-03-08,sh.600837,16.9900,16.99,16.76,16.87,46978980,792222299.0000,3,1.173763,1,-0.413200,30.564723,3.312845,14.006193,7.077862,0,16.928000000000004,17.048,17.08499999999999,-1,-1,-1,-1,-1,22.836409844836822,26.060744810744854,16.38773991302076,-1,-0.28568112546504665,-0.3477294548401679,0.062048329375121225
2010-03-09,sh.600837,16.8500,17.1,16.68,16.99,49879505,843739003.0000,3,1.246232,1,0.711300,30.782136,3.336410,14.105823,7.128209,0,16.934,17.047,17.10599999999999,1,-1,-1,-1,-1,35.20599250936318,29.180385781509358,47.257205965070824,1,-0.26825835785533414,-0.33183523544320115,0.06357687758786701
2010-03-10,sh.600837,17.0200,17.28,16.93,17.04,60315802,1032007291.0000,3,1.506981,1,0.294300,30.872725,3.346229,14.147335,7.149186,0,16.901999999999997,17.032,17.097999999999992,1,1,-1,-1,-1,42.39905597455215,33.48048610958406,60.23619570448834,1,-0.24756236206019722,-0.31498066076660036,0.06741829870640315
2010-03-11,sh.600837,17.1000,17.42,16.96,17.31,105401832,1815759740.0000,3,2.633449,1,1.584500,31.361906,3.399250,14.371500,7.262466,0,17.029999999999998,17.023,17.108999999999995,1,1,1,1,-1,61.785760094402214,46.463602859439185,92.43007456432828,1,-0.20698786550206805,-0.2933821017136939,0.08639423621162584
2010-03-12,sh.600837,17.3100,17.37,17.04,17.07,68297911,1173101537.0000,3,1.706413,1,-1.386500,30.927079,3.352120,14.172242,7.161773,0,17.056,17.023,17.128999999999994,1,1,-1,1,-1,66.67808219178055,56.95429942024498,86.12564773485167,1,-0.19198519309325235,-0.27310271998960556,0.08111752689635321
2010-03-15,sh.600837,17.0500,17.15,16.81,16.99,44639520,757557854.0000,3,1.115312,1,-0.468700,30.782136,3.336410,14.105823,7.128209,0,17.08,17.003999999999998,17.134999999999994,-1,-1,-1,1,-1,62.91666666666637,63.79350298428306,61.162994031433,-1,-0.184424863506937,-0.25536714869307187,0.07094228518613488
2010-03-16,sh.600837,16.9400,17.14,16.86,17.06,41459903,705127854.0000,3,1.035870,1,0.412000,30.908961,3.350156,14.163940,7.157578,0,17.094,17.014,17.13649999999999,-1,1,-1,1,-1,52.499999999999716,60.698249619482226,36.103500761034695,-1,-0.17081577493068778,-0.23845687394059506,0.06764109900990728
2010-03-17,sh.600837,17.1100,17.4,17.0,17.38,84014219,1447446988.0000,3,2.099083,1,1.875700,31.488730,3.412996,14.429617,7.291835,0,17.162,17.032,17.128499999999992,1,1,1,1,1,65.28153153153117,60.23273273273244,75.37912912912863,1,-0.13267969955122183,-0.21730143906272043,0.0846217395114986
2010-03-18,sh.600837,17.4100,17.48,17.18,17.23,72041014,1247838175.0000,3,1.799934,1,-0.863100,31.216963,3.383540,14.305081,7.228902,0,17.146,17.087999999999997,17.120499999999993,1,1,1,1,1,72.78153153153131,63.52102102102075,91.30255255255246,1,-0.11325480061231019,-0.1964921113726384,0.0832373107603282
