date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600868,3.5400,3.59,3.46,3.52,53909972,190281068.0000,3,2.840134,1,1.149400,-17.449292,3.437183,13.154673,10451.463768,1,3.3859999999999992,3.3320000000000016,3.3225000000000002,1,1,1,1,1,89.72222222222221,90.27777777777777,88.61111111111109,-1,-0.07858280893288994,-0.1444753164449874,0.06589250751209746
2010-02-26,sh.600868,3.5200,3.54,3.48,3.49,20888592,73192973.0000,3,1.100472,1,-0.852300,-17.300576,3.407889,13.042559,10362.388793,1,3.4219999999999993,3.3600000000000017,3.3215000000000003,1,1,1,1,1,84.36274509803924,88.7690631808279,75.55010893246194,-1,-0.06241378344046167,-0.12806300984408225,0.06564922640362059
2010-03-01,sh.600868,3.4900,3.55,3.47,3.53,18332239,64686017.0000,3,0.965796,1,1.146100,-17.498864,3.446948,13.192044,10481.155426,1,3.465999999999999,3.3840000000000017,3.3270000000000004,1,1,1,1,1,78.48039215686276,84.18845315904143,67.06427015250543,-1,-0.04584359214650302,-0.11161912630456641,0.06577553415806339
2010-03-02,sh.600868,3.5300,3.54,3.49,3.53,18483472,65008614.0000,3,0.973763,1,0.000000,-17.498864,3.446948,13.192044,10481.155426,1,3.509999999999999,3.408000000000002,3.338,1,1,1,1,1,78.43137254901961,80.42483660130722,74.4444444444444,-1,-0.03233881444158904,-0.09576306393197094,0.0634242494903819
2010-03-03,sh.600868,3.5300,3.67,3.51,3.61,36639322,132219689.0000,3,1.930266,1,2.266300,-17.895439,3.525066,13.491014,10718.688694,1,3.5359999999999987,3.4390000000000023,3.353,1,1,1,1,1,83.47338935574227,80.12838468720823,90.16339869281038,1,-0.015007848268889123,-0.07961202079935457,0.06460417253046545
2010-03-04,sh.600868,3.6000,3.63,3.46,3.47,31089401,110255901.0000,3,1.637880,1,-3.878100,-17.201433,3.388360,12.967817,10303.005476,1,3.5259999999999985,3.456000000000002,3.3594999999999997,-1,1,1,1,1,73.4827264239029,78.46249610955495,63.523187052598814,-1,-0.012426517526530123,-0.06617492014478968,0.053748402618259555
2010-03-05,sh.600868,3.4700,3.55,3.47,3.54,18844390,66323500.0000,3,0.992777,1,2.017300,-17.548436,3.456713,13.229415,10510.847085,1,3.5359999999999987,3.4790000000000028,3.3705,1,1,1,1,1,69.04761904761908,75.33457827575477,56.47370059134769,-1,-0.004678449081359837,-0.05387562593210371,0.04919717685074387
2010-03-08,sh.600868,3.5400,3.57,3.53,3.54,16073273,57059349.0000,3,0.846787,1,0.000000,-17.548436,3.456713,13.229415,10510.847085,1,3.537999999999999,3.5020000000000033,3.3875,1,1,1,1,1,62.97619047619051,68.5021786492375,51.924214130096516,-1,0.0014452905731912047,-0.04281144263104473,0.04425673320423593
2010-03-09,sh.600868,3.5200,3.54,3.49,3.52,13427782,47245969.0000,3,0.707415,1,-0.565000,-17.449292,3.437183,13.154673,10451.463768,1,3.535999999999999,3.5230000000000032,3.403,-1,-1,1,1,1,55.039682539682566,62.3544973544974,40.41005291005291,-1,0.004631180153557679,-0.03332291807412425,0.03795409822768193
2010-03-10,sh.600868,3.5100,3.53,3.46,3.48,13784271,48094895.0000,3,0.726196,1,-1.136400,-17.251004,3.398124,13.005188,10332.697134,1,3.5099999999999993,3.5230000000000032,3.4145000000000003,-1,-1,1,-1,1,35.19841269841272,51.07142857142861,3.452380952380935,-1,0.003883587315912873,-0.025881616996116824,0.029765204312029697
2010-03-11,sh.600868,3.4800,3.5,3.43,3.47,11336970,39344043.0000,3,0.597265,1,-0.287400,-17.201433,3.388360,12.967817,10303.005476,1,3.5099999999999993,3.5180000000000033,3.425,-1,-1,1,-1,1,18.25396825396828,36.1640211640212,-17.566137566137556,-1,0.002455888228687364,-0.020214115951155985,0.02267000417984335
2010-03-12,sh.600868,3.4500,3.49,3.42,3.43,12128880,41896403.0000,3,0.638985,1,-1.152700,-17.003145,3.349301,12.818332,10184.238842,1,3.4879999999999995,3.512000000000003,3.436000000000001,-1,-1,-1,-1,1,10.063492063492111,21.171957671957717,-12.153439153439102,-1,-0.0018815499533686442,-0.016547602751598518,0.014666052798229873
2010-03-15,sh.600868,3.4300,3.44,3.34,3.36,14564412,49193306.0000,3,0.767296,1,-2.040800,-16.656142,3.280948,12.556733,9976.397233,1,3.4519999999999995,3.495000000000003,3.4395000000000002,-1,-1,-1,-1,1,8.909090909090954,12.408850408850464,1.909571909571934,-1,-0.010842431150667409,-0.015406568431412295,0.004564137280744887
2010-03-16,sh.600868,3.3500,3.39,3.35,3.39,10923329,36814991.0000,3,0.575473,1,0.892900,-16.804858,3.310242,12.668847,10065.472208,1,3.4259999999999997,3.481000000000003,3.4445,-1,-1,-1,-1,-1,9.100661790317028,9.357748254300047,8.586488862350993,-1,-0.015346341705238853,-0.015394523086177607,4.818138093875407e-05
2010-03-17,sh.600868,3.3900,3.48,3.38,3.46,14088403,48476929.0000,3,0.742218,1,2.064900,-17.151861,3.378595,12.930446,10273.313817,1,3.4219999999999997,3.4660000000000033,3.4524999999999997,1,-1,1,-1,-1,25.158632804809766,14.389461834739265,46.696974744950765,1,-0.013116113886680658,-0.014938841246278218,0.0018227273595975597
