date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600872,10.4300,10.5,10.31,10.45,20156802,209889791.0000,3,2.783260,1,0.384200,95.273112,4.713404,7.783187,59.445922,0,10.085999999999999,9.792999999999997,9.887999999999998,1,1,1,1,1,96.186923987609,84.12916278777794,120.30244638727112,1,-0.1551201794874757,-0.3327319381183628,0.17761175863088713
2010-02-26,sh.600872,10.4200,10.58,10.31,10.41,14546220,151982356.0000,3,2.008548,1,-0.382800,94.908431,4.695362,7.753395,59.218378,0,10.238,9.879999999999999,9.898999999999997,1,1,1,1,1,92.52612417917987,92.29214033715824,92.99409186322313,1,-0.10977378069143029,-0.2881403066329763,0.178366525941546
2010-03-01,sh.600872,10.4000,10.77,10.39,10.71,22676277,240791987.0000,3,3.131150,1,2.881800,97.643544,4.830675,7.976836,60.924959,0,10.422,10.020999999999997,9.934499999999998,1,1,1,1,1,92.71425913465464,93.80910243381452,90.52457253633489,-1,-0.04906336817952628,-0.2403249189422863,0.19126155076276002
2010-03-02,sh.600872,10.7000,11.2,10.61,10.77,32974670,359013255.0000,3,4.553156,1,0.560200,98.190566,4.857737,8.021524,61.266276,0,10.55,10.148999999999997,9.984499999999999,1,1,1,1,1,85.69831307643078,90.3128987967551,76.46914163578211,-1,0.003847221317599292,-0.19149049089030917,0.19533771220790846
2010-03-03,sh.600872,10.7700,11.85,10.71,11.85,118366725,1375245268.0000,3,16.344127,1,10.027900,108.036974,5.344864,8.825911,67.409969,0,10.838000000000001,10.379999999999999,10.094999999999997,1,1,1,1,1,90.12539640976411,89.51265620694984,91.35087681539264,1,0.13141139005389313,-0.1269101147014687,0.25832150475536186
2010-03-04,sh.600872,11.9500,11.95,11.0,11.16,77663518,890339764.0000,3,10.723811,1,-5.822800,101.746214,5.033644,8.311997,63.484832,0,10.98,10.532999999999998,10.145499999999997,1,1,1,1,1,80.41225996433167,85.4119898168422,70.41280025931061,-1,0.17481452635664319,-0.06656518648984633,0.2413797128464895
2010-03-05,sh.600872,11.1600,11.51,10.86,10.87,47960039,534570818.0000,3,6.622342,1,-2.598600,99.102271,4.902842,8.096004,61.835136,0,11.072000000000001,10.654999999999998,10.183999999999997,-1,1,1,1,1,72.7228976697062,81.08685134793399,55.99499031325064,-1,0.18369374110829462,-0.01651340097021814,0.20020714207851276
2010-03-08,sh.600872,10.9000,11.2,10.76,10.89,27210431,297610692.0000,3,3.757228,1,0.184000,99.284612,4.911863,8.110900,61.948908,0,11.108,10.764999999999999,10.217999999999998,-1,1,1,1,1,55.23114849478872,69.45543537627553,26.78257473181509,-1,0.19015245647089074,0.024819770518003638,0.1653326859528871
2010-03-09,sh.600872,10.9200,10.92,10.56,10.69,23938965,256590243.0000,3,3.305502,1,-1.836500,97.461203,4.821654,7.961940,60.811187,0,11.092000000000002,10.821,10.258,-1,-1,1,1,1,40.82706615609296,56.260370773529296,9.960456921220285,-1,0.17709130803451067,0.055274078021305045,0.12181723001320563
2010-03-10,sh.600872,10.7200,11.08,10.62,10.91,28499030,309242876.0000,3,3.935158,1,2.058000,99.466953,4.920884,8.125796,62.062680,0,10.904000000000002,10.870999999999999,10.305499999999999,1,1,1,1,1,35.760283345407736,43.93949933209647,19.401851372030265,-1,0.18238993751558397,0.08069724992016084,0.10169268759542313
2010-03-11,sh.600872,10.8200,10.86,10.55,10.65,16846623,179851622.0000,3,2.326189,1,-2.383100,97.096521,4.803612,7.932148,60.583643,0,10.802000000000003,10.891,10.341999999999999,-1,-1,1,-1,1,25.47425474254743,34.02053474801604,8.38169473161021,-1,0.1637220268524313,0.09730220530661493,0.06641982154581638
2010-03-12,sh.600872,10.6900,10.76,10.41,10.49,12865737,136307679.0000,3,1.776506,1,-1.502300,95.637794,4.731445,7.812979,59.673466,0,10.726000000000003,10.899,10.3895,-1,-1,1,-1,1,19.48227923837682,26.90560577544399,4.635626164242474,-1,0.1344668600724397,0.10473513625977988,0.029731723812659802
2010-03-15,sh.600872,10.5000,10.62,10.15,10.23,15883397,164349999.0000,3,2.193186,1,-2.478600,93.267363,4.614174,7.619331,58.194429,0,10.594000000000003,10.851,10.435999999999998,-1,-1,-1,-1,1,8.768638768638787,17.90839091652101,-9.51086552712566,-1,0.08927301874826021,0.10164271275747595,-0.01236969400921574
2010-03-16,sh.600872,10.2500,10.34,10.12,10.33,9364218,95894289.0000,3,1.293015,1,0.977500,94.179067,4.659278,7.693811,58.763289,0,10.522000000000002,10.807,10.477999999999998,-1,-1,-1,-1,1,7.038219825105105,11.763045944040234,-2.411432412765155,-1,0.06082459014671393,0.09347908823532355,-0.032654498088609624
